snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13895.0,13512.835,69996.81,856943.75,34703.06,284537.16,0.0,-2.6614304,3.1187148,-2.7781854,-1.7275214
600.0,6.3231816,2.5,18938.0,49206.035,121456.93,957510.4,30277.975,203296.61,0.0,-2.372861,2.957787,-3.0103698,-1.4674473
600.0,6.3231816,3.5,17889.0,31443.938,91141.875,931687.94,37560.23,128036.61,0.0,-2.6810074,2.818131,-0.10985452,-2.4174447
600.0,6.3231816,4.5,21147.0,2110.613,119843.06,969164.7,86017.73,190634.2,0.0,-2.8660934,-3.132025,2.2638896,-2.0859547
600.0,6.3231816,5.5,31840.0,70580.41,204682.62,948265.56,43194.477,265998.72,0.0,-2.2343063,-2.9389718,-0.5079958,-1.4160472
600.0,6.3231816,6.5,33708.0,58265.48,101423.445,674068.8,14846.901,189207.66,0.0,-2.7899501,-2.792996,-0.97118413,-0.99127597
600.0,6.3231816,7.5,33694.0,96479.85,102026.71,350267.97,60726.105,84512.164,0.0,-2.46468,-2.5916603,1.8222678,-1.5876209
600.0,6.3231816,8.5,40708.0,69694.92,125788.625,160563.2,61843.09,44061.71,0.0,-2.7879767,-2.7970912,0.98261577,-1.2273022
600.0,6.3231816,9.5,42918.0,77766.305,150377.75,243133.11,91884.336,53455.3,0.0,1.3878361,2.533752,1.9828318,-0.67142683
600.0,6.3231816,10.5,44434.0,3876.151,153094.05,388079.1,103128.49,36268.484,0.0,0.6309844,2.6070447,2.383913,-1.1049324
600.0,6.3231816,11.5,45077.0,29380.037,298615.62,422886.3,11864.814,73785.1,0.0,1.0237502,2.671142,0.1310846,2.732656
600.0,6.3231816,12.5,40009.0,3477.249,386624.16,410229.22,63772.26,85896.29,0.0,0.8538411,2.7244568,1.3104224,1.3295168
600.0,6.3231816,13.5,36041.0,30934.611,434843.38,359867.3,117254.04,72530.57,0.0,0.5912635,2.8949423,2.2599509,-2.9781282
600.0,6.3231816,14.5,30952.0,5219.807,349223.03,214718.94,147319.4,136630.86,0.0,0.40306762,2.8717818,1.7671856,2.6432054
600.0,6.3231816,15.5,27554.0,10467.215,264741.97,203799.12,203204.11,182983.22,0.0,0.56313896,2.9234219,1.8583587,1.9948992
600.0,6.3231816,16.5,21322.0,26150.627,160819.19,121690.29,26560.355,13188.092,0.0,0.6452932,2.9011838,1.8260019,-2.8766537
600.0,6.3231816,17.5,15246.0,38.71,169595.81,24143.922,26149.6,73979.0,0.0,0.9122902,2.622872,2.990237,-2.990977
600.0,6.3231816,18.5,11048.0,26204.055,180289.92,86071.07,33711.746,30125.873,0.0,0.3264621,-0.8166313,-1.1874907,-2.8873458
600.0,6.3231816,19.5,7816.0,38250.293,178056.66,124977.47,87631.92,64459.125,0.0,0.14469698,-0.5616094,-0.5535865,-1.1507468
600.0,6.3231816,20.5,5506.0,47586.52,148568.36,126408.71,72877.56,75061.76,0.0,-0.21589473,-0.98381656,-1.394304,-1.5941958
600.0,6.3231816,21.5,3678.0,30002.975,88000.586,70432.43,46905.5,51962.965,0.0,-0.2540666,-0.8858412,-1.1650941,-1.2877584
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14120.0,6315.263,62479.867,851833.1,30710.703,262114.42,0.0,-2.0284257,3.0816004,1.3472322,-1.7184416
602.0,6.2968197,2.5,18589.0,20627.682,108099.16,743879.2,40951.363,187962.36,0.0,-2.197152,2.9560134,0.172357,-1.5735954
602.0,6.2968197,3.5,18621.0,26178.828,123470.86,750646.9,3314.4165,34068.69,0.0,-2.6927998,2.6821055,-0.8110642,1.6775671
602.0,6.2968197,4.5,20992.0,8603.345,137753.06,978905.5,21171.676,193320.19,0.0,-2.4829326,2.8506927,-0.85053235,-2.6980689
602.0,6.2968197,5.5,33182.0,3459.726,165908.05,987493.94,43204.773,318743.2,0.0,-2.1047044,3.0183074,0.3111585,-2.0890613
602.0,6.2968197,6.5,34344.0,61070.938,212714.19,685992.7,20013.43,157893.14,0.0,-2.3942692,-2.9637015,-0.66887176,-2.1256027
602.0,6.2968197,7.5,34334.0,113558.414,178685.03,496819.56,104562.766,3486.7356,0.0,-2.5175257,-2.5973287,0.47803336,2.194994
602.0,6.2968197,8.5,40453.0,107183.47,144646.69,245830.52,178867.84,93284.414,0.0,-3.011304,-2.5172043,0.32015288,2.4892328
602.0,6.2968197,9.5,41400.0,102657.65,134826.58,83524.14,44838.105,93660.484,0.0,1.7204666,-2.191513,1.0946201,-2.481472
602.0,6.2968197,10.5,43496.0,42972.1,189531.28,184812.42,17253.111,58862.773,0.0,1.1262321,2.7869713,-3.0897696,-1.6103463
602.0,6.2968197,11.5,42979.0,19437.502,249528.66,292769.06,109164.1,32145.97,0.0,0.9902041,2.6236742,-2.6629455,1.1275687
602.0,6.2968197,12.5,42384.0,92705.09,319732.97,442583.1,116351.37,204865.9,0.0,0.8605478,2.8913689,-2.1315017,1.6289406
602.0,6.2968197,13.5,36674.0,23104.133,363194.75,395662.0,20847.705,84662.12,0.0,0.8147508,2.9220104,-2.0017872,1.2789845
602.0,6.2968197,14.5,30311.0,19859.629,338674.7,275582.28,87600.98,44525.207,0.0,0.7827379,2.7483404,2.2852106,2.690786
602.0,6.2968197,15.5,27416.0,15858.814,297889.78,77941.12,162611.47,116950.18,0.0,0.7368685,2.2692008,2.1963596,2.489708
602.0,6.2968197,16.5,22356.0,49742.08,265141.75,91925.03,92432.28,49060.56,0.0,0.6960162,-2.7863276,1.7680963,-0.39961872
602.0,6.2968197,17.5,15528.0,19945.025,171910.9,85899.73,59103.703,45189.7,0.0,0.60771286,-2.8664172,2.044155,-1.2758664
602.0,6.2968197,18.5,10313.0,9474.899,142893.33,40939.848,37106.973,32909.707,0.0,0.6757881,-0.2853098,0.40344203,-0.7235416
602.0,6.2968197,19.5,6796.0,36092.605,128862.17,78165.23,38573.234,31585.715,0.0,0.15581065,-0.65786463,-0.9416536,-1.0656607
602.0,6.2968197,20.5,5369.0,57482.74,138422.66,105970.914,74219.19,54428.523,0.0,-0.21586037,-0.80889016,-1.1663787,-1.6430817
602.0,6.2968197,21.5,4278.0,58829.324,130451.41,95354.49,64228.96,44745.062,0.0,-0.35582122,-0.99599725,-1.3643281,-1.6876479
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,14313.0,8728.586,46544.75,861720.8,33754.77,215748.28,0.0,-2.4499876,-3.1406157,3.0697029,-1.6650002
604.0,6.2570214,2.5,18203.0,3238.831,124377.414,732916.0,21249.16,248467.92,0.0,-2.3937926,-3.141194,-1.1327128,-1.3199682
604.0,6.2570214,3.5,18785.0,30076.18,112967.74,356437.53,33625.785,20267.46,0.0,-2.1722233,2.353436,2.1839204,-2.3952987
604.0,6.2570214,4.5,21177.0,26431.117,88258.58,672130.9,122515.28,111991.164,0.0,-2.2287405,2.2023816,-3.0064142,2.3145175
604.0,6.2570214,5.5,32433.0,23268.697,127682.13,820314.75,65659.914,178954.66,0.0,-2.0788817,2.6667995,-2.1976557,3.056343
604.0,6.2570214,6.5,36411.0,12877.806,143748.67,696576.0,53000.324,105964.24,0.0,-2.2109892,2.9511847,3.1093576,-2.592194
604.0,6.2570214,7.5,35541.0,7041.064,145526.75,654597.0,24392.787,34843.91,0.0,-2.49853,-2.8524358,2.5148845,-0.19763106
604.0,6.2570214,8.5,40289.0,5041.604,87618.97,558307.06,176584.31,31544.598,0.0,-2.8328052,-2.6695735,-0.09734867,-0.39186558
604.0,6.2570214,9.5,40543.0,31202.86,161243.0,320947.03,152709.81,58786.47,0.0,1.9151267,-2.6428587,0.33466104,-1.5750508
604.0,6.2570214,10.5,41985.0,66543.164,244342.25,280978.34,61096.01,51507.453,0.0,1.5005074,-2.963975,1.8080988,-0.20981401
604.0,6.2570214,11.5,41203.0,27512.97,329326.34,366985.12,122576.79,98045.64,0.0,1.2222946,3.0030553,2.75649,1.350759
604.0,6.2570214,12.5,40627.0,25749.848,401777.6,394351.47,25893.908,119211.87,0.0,0.91375303,3.0839343,2.9119358,1.2708349
604.0,6.2570214,13.5,37508.0,36058.69,423766.44,299163.56,79115.37,91983.57,0.0,0.8407306,3.0565379,2.454804,1.5255903
604.0,6.2570214,14.5,32483.0,26146.64,397082.47,326767.94,119183.945,39470.562,0.0,0.684763,2.97751,2.4374373,0.62493896
604.0,6.2570214,15.5,26755.0,21292.508,331172.38,194674.33,112797.28,49033.594,0.0,0.73369515,2.8082151,1.9991364,-2.7353885
604.0,6.2570214,16.5,20852.0,7344.555,236548.7,82099.66,92219.77,36169.51,0.0,0.6481917,-2.962895,1.8993267,-2.402117
604.0,6.2570214,17.5,15438.0,46819.24,179407.58,49272.062,27214.498,61370.824,0.0,0.6609816,2.8843887,2.810245,-1.7102586
604.0,6.2570214,18.5,10475.0,42204.945,136665.61,35548.258,58086.574,61357.094,0.0,0.59455514,2.5344565,-2.1063871,-1.4674238
604.0,6.2570214,19.5,6019.0,17774.885,82535.14,29865.34,17357.432,27462.037,0.0,0.27602214,0.0722693,-1.0433849,-1.6558782
604.0,6.2570214,20.5,4457.0,19942.268,66107.664,44230.02,39236.17,40485.387,0.0,0.13147832,-0.737571,-1.5919801,-2.1937113
604.0,6.2570214,21.5,4036.0,35381.723,71476.18,48440.117,32115.021,21544.299,0.0,-0.4035499,-1.1235617,-1.7842895,-1.9644793
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,14817.0,20189.629,43030.965,891008.0,15648.574,217259.88,0.0,-2.0512638,-3.1298215,-1.268799,-1.5920867
608.0,6.198067,2.5,18998.0,23304.6,134786.06,867105.1,50532.246,226780.38,0.0,-1.8664144,-3.0056186,-0.42934924,-1.9529201
608.0,6.198067,3.5,17921.0,51074.91,108869.58,327213.06,12138.166,204331.7,0.0,-1.6787665,-2.3838873,-2.4920814,-0.50422996
608.0,6.198067,4.5,24062.0,40397.37,159631.11,156168.11,29978.518,104762.695,0.0,-1.7986488,0.67313766,-0.9545693,0.79644066
608.0,6.198067,5.5,33592.0,1881.775,136238.6,276017.66,48880.176,53497.14,0.0,-1.7480452,1.9502305,-0.5735063,1.0250996
608.0,6.198067,6.5,33212.0,39070.93,161803.5,505276.62,69248.67,68394.41,0.0,-2.1146164,2.5960941,-0.93737704,1.451132
608.0,6.198067,7.5,34412.0,37799.93,152391.1,669868.8,34256.105,36907.555,0.0,-1.749493,2.8588142,-3.0748484,0.6200987
608.0,6.198067,8.5,38786.0,6032.093,192773.8,683098.2,91625.99,102557.93,0.0,-2.5469248,3.1335075,-0.6635087,-1.8503324
608.0,6.198067,9.5,42899.0,20688.348,164007.34,485336.16,182220.88,97133.97,0.0,3.0548022,-2.9438937,-0.76457167,-1.6877649
608.0,6.198067,10.5,43578.0,42358.62,177267.72,403180.88,113307.625,93951.34,0.0,2.2542987,-3.026803,-1.4135636,-1.6685576
608.0,6.198067,11.5,41826.0,64611.766,182730.45,367448.8,116270.83,82774.48,0.0,1.6424894,3.1177459,-1.8699741,0.37444356
608.0,6.198067,12.5,37612.0,112987.87,318273.84,318141.75,101621.27,96069.21,0.0,1.3242116,2.7861116,-2.950459,1.1805022
608.0,6.198067,13.5,35217.0,62182.31,316598.44,287871.56,93642.83,34802.1,0.0,1.1344334,2.6340244,2.6553397,0.8711092
608.0,6.198067,14.5,34174.0,55299.71,318367.72,214845.95,83167.37,55541.95,0.0,1.0446324,2.8507798,2.1372824,0.19035605
608.0,6.198067,15.5,27675.0,33912.07,266538.47,117527.586,149026.6,75434.95,0.0,0.94081235,2.7408533,2.4872549,-1.4847302
