snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13895.0,4.055187,171.74318,186.98274,177.1751,132.94777,0.0,2.7662237,1.655594,-1.3126334,-2.3475459
600.0,6.3231816,2.5,18938.0,179.82472,345.97287,15.803333,352.64026,42.840046,0.0,1.4287627,0.116130084,2.754426,3.0044966
600.0,6.3231816,3.5,17889.0,205.47922,216.51363,370.72757,298.134,100.27023,0.0,2.1066566,-2.7406538,-2.9902382,0.78282446
600.0,6.3231816,4.5,21147.0,62.083553,673.99286,62.0229,227.26483,132.55943,0.0,2.8101537,-1.0094291,-1.5306265,-2.071721
600.0,6.3231816,5.5,31840.0,302.97684,323.81982,326.90826,925.4647,102.805405,0.0,0.21498841,0.37122494,-0.31356823,2.9745908
600.0,6.3231816,6.5,33708.0,957.9824,1864.079,609.2177,696.1653,528.11816,0.0,-1.1787899,-1.6030412,-0.07467714,-1.5825231
600.0,6.3231816,7.5,33694.0,12.365442,2667.3716,982.83575,810.88306,613.093,0.0,-0.16500676,-1.3189383,-1.3382552,-0.7604447
600.0,6.3231816,8.5,40708.0,2102.4775,7360.317,989.50305,1396.8018,951.1664,0.0,-0.4837017,1.6521729,1.2463328,1.1094875
600.0,6.3231816,9.5,42918.0,1406.0084,9313.168,3751.0317,1047.9943,1019.51056,0.0,-0.57208747,-3.0601954,-2.5131798,2.8369238
600.0,6.3231816,10.5,44434.0,1949.3345,12502.417,8390.758,1462.8884,1478.9827,0.0,-1.0393826,-2.7206824,-2.3245218,0.22673285
600.0,6.3231816,11.5,45077.0,353.79218,18106.014,3969.3833,2019.4998,2640.0815,0.0,-1.1193995,-2.0173032,-2.838301,2.2057095
600.0,6.3231816,12.5,40009.0,1910.8732,19601.701,5475.969,703.0709,1251.6223,0.0,-1.0756869,-0.56279314,-0.9487675,-0.20765173
600.0,6.3231816,13.5,36041.0,2946.829,18744.18,7816.221,1532.0688,2303.034,0.0,-1.2526062,-0.63382846,-0.5275558,-0.7426019
600.0,6.3231816,14.5,30952.0,2805.5945,19630.545,9850.889,6148.5513,2520.5566,0.0,-1.2055883,-1.028632,-1.1833984,0.4034616
600.0,6.3231816,15.5,27554.0,3265.657,20648.701,7757.1533,5116.434,1692.8502,0.0,-1.2345774,-0.9405938,-1.3922244,-0.61971307
600.0,6.3231816,16.5,21322.0,910.8002,16814.447,3264.213,722.0217,1520.685,0.0,-1.3851842,-1.835658,-3.0227208,-2.378559
600.0,6.3231816,17.5,15246.0,210.10318,14443.135,8234.771,3407.1946,2308.125,0.0,-1.7392194,-2.7744262,-2.9495823,-1.5262222
600.0,6.3231816,18.5,11048.0,1605.4236,12287.368,9638.177,6771.659,1275.4608,0.0,-1.6374193,-2.552605,-3.1256008,2.4141486
600.0,6.3231816,19.5,7816.0,589.8536,6896.2886,6657.479,6363.316,3473.3025,0.0,-1.808124,-2.6429727,-3.0563002,2.4716992
600.0,6.3231816,20.5,5506.0,278.03268,4065.9255,4094.4846,3552.1375,2504.0103,0.0,-1.860641,-2.6951818,-3.0965798,2.467945
600.0,6.3231816,21.5,3678.0,601.1242,2719.6309,2072.834,1440.5059,1770.973,0.0,-1.6425964,-2.4538116,-2.8290534,2.6290784
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14120.0,86.60611,450.1794,214.19821,228.82219,206.57413,0.0,-2.82524,-1.5969416,-1.9716039,0.5117063
602.0,6.2968197,2.5,18589.0,125.78633,202.08203,165.01573,250.83961,93.82613,0.0,1.9521877,-2.2149549,-1.8467711,-1.7656397
602.0,6.2968197,3.5,18621.0,110.10204,118.612946,498.9779,383.71094,157.94337,0.0,1.4706979,1.3798381,2.079643,2.7488425
602.0,6.2968197,4.5,20992.0,80.58819,249.78943,259.8421,300.05286,260.93533,0.0,1.6367052,-1.6593537,1.3305259,0.54567975
602.0,6.2968197,5.5,33182.0,663.03735,1001.86786,552.3049,669.9364,372.26846,0.0,-2.4036272,1.4688337,-0.030801933,2.5413742
602.0,6.2968197,6.5,34344.0,797.8582,985.3589,985.4224,725.70294,759.26654,0.0,-1.7571375,-2.0313687,-1.8011929,0.5678509
602.0,6.2968197,7.5,34334.0,123.935974,2862.0454,1374.651,1500.9489,1303.5356,0.0,-0.2898973,-1.1542149,-1.2216915,-1.5344646
602.0,6.2968197,8.5,40453.0,248.20372,7224.9956,993.93524,323.09296,1417.792,0.0,-0.38722178,1.3693333,0.52128416,0.5913498
602.0,6.2968197,9.5,41400.0,2688.477,12272.036,2663.9177,3275.4512,1026.4343,0.0,-0.64009726,1.8388914,-3.094481,-1.224153
602.0,6.2968197,10.5,43496.0,361.1498,17637.928,6320.0425,276.55157,1659.4308,0.0,-1.0678538,2.7032182,2.4359248,0.31332538
602.0,6.2968197,11.5,42979.0,1607.1498,20663.94,5273.729,2154.0703,1670.8506,0.0,-1.1277511,2.9390223,1.8952384,0.733623
602.0,6.2968197,12.5,42384.0,3142.33,21938.771,3137.6284,1691.2163,1465.7498,0.0,-1.1024787,-0.918654,-2.2488947,-0.9938561
602.0,6.2968197,13.5,36674.0,3072.6255,21288.785,8308.805,2234.8362,3661.8782,0.0,-1.0030929,-0.80562973,-2.2194977,-2.1916409
602.0,6.2968197,14.5,30311.0,4286.3203,20530.56,9330.475,3404.627,2857.0754,0.0,-1.058578,-0.9184895,-1.6075068,-0.89629835
602.0,6.2968197,15.5,27416.0,5469.3555,21353.576,10004.087,4417.6772,1300.61,0.0,-1.1622255,-1.2095599,-1.1757963,-0.106514685
602.0,6.2968197,16.5,22356.0,2542.3735,18044.293,6390.4443,3698.9814,2395.09,0.0,-1.2763739,-1.3240756,-0.11627299,0.7417789
602.0,6.2968197,17.5,15528.0,982.52655,12962.322,2995.835,1610.0167,527.6954,0.0,-1.4830995,-2.6391943,2.083438,1.6914593
602.0,6.2968197,18.5,10313.0,1031.9437,11069.294,7398.5684,4703.31,358.7132,0.0,-1.6709336,-2.6349516,2.8520975,1.3035774
602.0,6.2968197,19.5,6796.0,1331.3885,7526.2485,5680.419,4860.9917,2119.4006,0.0,-1.6262033,-2.6233287,2.9072306,1.9242085
602.0,6.2968197,20.5,5369.0,948.8476,4896.994,4414.0327,3793.8523,2772.465,0.0,-1.7233968,-2.797291,2.9207783,2.1277528
602.0,6.2968197,21.5,4278.0,1036.9381,3534.942,3413.0232,2970.8035,2723.3296,0.0,-1.5134175,-2.3986025,-3.136013,2.2858846
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,14313.0,208.87996,360.8915,120.87418,177.68692,29.726568,0.0,-3.1144478,1.3561705,-1.8679961,-0.2843923
604.0,6.2570214,2.5,18203.0,257.96527,593.09973,313.6768,213.05666,42.783512,0.0,2.4250078,0.91891116,-2.3011987,2.8384144
604.0,6.2570214,3.5,18785.0,92.35246,481.36722,358.12292,194.64543,240.9321,0.0,1.4498162,1.1641642,2.850198,0.59291404
604.0,6.2570214,4.5,21177.0,127.23376,596.1549,384.1967,365.63974,251.76257,0.0,2.758939,0.7074514,-0.24428211,1.0727013
604.0,6.2570214,5.5,32433.0,299.21017,195.19122,234.82338,810.65155,760.91425,0.0,1.376175,-0.91942656,-0.4035213,0.84341955
604.0,6.2570214,6.5,36411.0,108.93799,1681.6636,285.5399,1233.6766,888.75256,0.0,-0.9823698,-2.8499227,-1.6793809,2.5474098
604.0,6.2570214,7.5,35541.0,1082.1637,2632.533,1134.4353,308.87018,487.18686,0.0,0.15542224,-1.3321074,-2.2070212,-2.778106
604.0,6.2570214,8.5,40289.0,2344.6604,7040.7144,556.25183,1471.9308,1299.6631,0.0,-0.5293302,-2.8393672,-0.50737447,-2.8153498
604.0,6.2570214,9.5,40543.0,2202.798,10206.518,1105.2665,731.07886,1738.216,0.0,-0.69187987,1.7235094,-1.3794801,-2.7397313
604.0,6.2570214,10.5,41985.0,6.7976265,14597.079,2401.2336,2078.585,2733.4985,0.0,-1.0078174,2.103004,-2.2543354,-1.918102
604.0,6.2570214,11.5,41203.0,2859.7932,20552.6,2002.789,983.2527,1046.9286,0.0,-1.1822096,-2.9820497,-1.2749853,-2.418312
604.0,6.2570214,12.5,40627.0,818.5177,24003.877,752.8238,1911.322,1990.4329,0.0,-1.1287293,-2.4824948,-2.6056666,-0.80851966
604.0,6.2570214,13.5,37508.0,402.28183,23671.89,4573.179,2522.2993,3255.1199,0.0,-1.1139865,-1.4536054,-2.8173306,-3.1053545
604.0,6.2570214,14.5,32483.0,5370.8843,23703.744,5401.259,1995.3892,5980.273,0.0,-1.0538231,-1.3477536,1.681754,-3.0242167
604.0,6.2570214,15.5,26755.0,6758.771,23949.645,6375.679,6200.22,5023.3467,0.0,-1.1357759,-1.5796736,-0.35034066,-1.6210035
604.0,6.2570214,16.5,20852.0,5414.909,19530.744,7766.5894,5877.4185,6332.6636,0.0,-1.100826,-1.2112836,-0.8816104,-0.79025584
604.0,6.2570214,17.5,15438.0,2561.6533,13835.421,7070.5913,4825.9014,3611.1104,0.0,-1.3212264,-1.2825632,-1.303973,-0.65392977
604.0,6.2570214,18.5,10475.0,1643.9767,10221.026,3233.9216,763.44037,940.5488,0.0,-1.4290694,-1.7176465,0.17145851,-0.6404791
604.0,6.2570214,19.5,6019.0,712.0621,6180.256,4093.663,1608.6208,1153.3168,0.0,-1.8082969,-2.7318258,2.7254896,1.8184689
604.0,6.2570214,20.5,4457.0,1302.6915,4720.485,3511.3647,2047.9646,1593.253,0.0,-1.6362306,-2.64507,2.5856934,1.365332
604.0,6.2570214,21.5,4036.0,2061.4834,4952.717,4158.7827,2714.7112,2270.718,0.0,-1.4021798,-2.4232674,2.6873453,1.4133962
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,14817.0,65.12117,548.5317,174.75826,232.1775,14.825652,0.0,-2.9530003,-2.024755,-1.6177875,0.57845736
608.0,6.198067,2.5,18998.0,207.1018,1019.3895,172.64424,452.15628,241.51471,0.0,-2.997392,-2.3700747,-1.6113299,-0.7273134
608.0,6.198067,3.5,17921.0,432.5914,335.79584,201.14702,117.31938,246.18692,0.0,1.8463072,2.2794883,0.8566813,-2.5424619
608.0,6.198067,4.5,24062.0,564.8649,625.6697,223.57559,110.104004,157.85463,0.0,2.629419,1.7471433,-1.7657129,-2.2500641
608.0,6.198067,5.5,33592.0,490.6144,557.8833,248.91971,704.13495,569.17377,0.0,0.43016505,-0.43519625,-0.7572123,-2.1262612
608.0,6.198067,6.5,33212.0,585.8443,1233.0394,472.36307,999.21063,181.26465,0.0,-0.48073196,1.0936252,3.0222225,0.6801088
608.0,6.198067,7.5,34412.0,1665.7223,3003.472,2351.9116,968.3411,586.15967,0.0,0.07600317,2.4506006,-2.1550317,-2.159061
608.0,6.198067,8.5,38786.0,1425.354,6530.3467,1830.1711,786.1698,1450.0791,0.0,-0.25051096,2.167462,-1.6030709,0.37405846
608.0,6.198067,9.5,42899.0,3350.0706,11206.146,267.55017,1364.6869,1237.9241,0.0,-0.73438996,1.8919002,-2.9952378,-1.1582152
608.0,6.198067,10.5,43578.0,2477.6812,19122.967,2979.0347,5840.449,2055.7986,0.0,-0.80138195,2.057469,-2.7113638,-3.007422
608.0,6.198067,11.5,41826.0,3319.7444,17550.297,5452.1978,1433.9509,1414.2498,0.0,-1.0293394,1.9536959,-2.016139,-0.6899026
608.0,6.198067,12.5,37612.0,168.7447,17908.79,4388.3687,3848.715,3272.9624,0.0,-1.1402097,2.360259,-0.5962729,-0.39048567
608.0,6.198067,13.5,35217.0,1028.6287,22340.072,1495.5956,3460.7864,4445.055,0.0,-1.2396588,2.2081134,-0.39479768,-0.227255
608.0,6.198067,14.5,34174.0,1034.686,25683.908,5490.245,591.87994,2008.508,0.0,-1.2653577,2.417643,1.1088096,0.99796194
608.0,6.198067,15.5,27675.0,3386.6228,20242.768,3039.6814,1430.8336,4132.1206,0.0,-1.3891886,-2.5087285,-2.5858207,1.7413253
608.0,6.198067,16.5,21925.0,3407.136,17256.355,5058.1475,3159.0188,3325.3289,0.0,-1.3218778,-1.7528775,-1.6513177,0.924126
608.0,6.198067,17.5,15572.0,3127.442,12746.069,2342.9333,4058.2822,2859.105,0.0,-1.3943324,-1.4714757,-1.0067528,-0.12841038
608.0,6.198067,18.5,11143.0,2636.1602,10217.896,4317.5234,3392.7307,2265.422,0.0,-1.517525,-1.8840898,-1.0493929,-1.17913
608.0,6.198067,19.5,6426.0,1499.156,6495.3477,3470.3464,633.45557,1337.74,0.0,-1.6588914,-2.1792421,-1.1242173,0.074382104
608.0,6.198067,20.5,4050.0,566.031,4872.287,2612.4006,711.0192,1144.6234,0.0,-1.8841387,-2.4532387,0.6295544,0.5525982
608.0,6.198067,21.5,3254.0,1092.4233,4428.306,3184.9521,1530.4076,2047.1704,0.0,-1.7513487,-2.7616987,1.6698822,0.43664342
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,14599.0,100.75825,584.6594,333.18112,241.42184,158.90967,0.0,-2.9105794,1.5909135,-2.1492443,2.2204714
610.0,6.1668267,2.5,19169.0,113.968994,1157.8694,586.3492,261.76752,405.71054,0.0,-2.9075148,2.0288239,-1.1727986,2.4844818
610.0,6.1668267,3.5,17363.0,533.1622,723.7571,333.80316,119.377014,302.41266,0.0,3.063536,-2.3928623,0.61507535,-1.7081441
610.0,6.1668267,4.5,22396.0,440.8326,790.19574,758.65424,633.85425,316.51117,0.0,2.575275,-2.1457539,-1.7608274,1.1828904
