snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,14.0,6.2345514,32.715126,4.1330047,8.735934,8.563509,0.0,2.3863485,1.2297337,-0.8272575,0.40561625
600.0,6.3231816,2.5,36.0,3.012997,22.622347,21.434608,40.980553,14.097908,0.0,2.1458843,2.552666,-1.1798581,-2.261086
600.0,6.3231816,3.5,40.0,4.783612,24.22679,44.81484,43.117977,33.6708,0.0,-1.8660687,-1.3713357,-1.3693722,-2.0556765
600.0,6.3231816,4.5,48.0,26.07578,74.45416,16.664791,71.2463,43.255985,0.0,-2.3641157,1.5892745,1.2173395,-1.4716132
600.0,6.3231816,5.5,75.0,15.389319,100.52661,25.291393,101.048134,42.251354,0.0,-2.882646,-1.86352,1.5377569,-1.8880138
600.0,6.3231816,6.5,73.0,92.312515,101.530815,61.88764,122.54274,44.03046,0.0,-0.6328776,0.466173,-0.97861624,0.041911412
600.0,6.3231816,7.5,84.0,136.54442,114.57104,140.6559,139.75763,61.177143,0.0,1.6654911,0.8544904,0.5724875,-0.4281509
600.0,6.3231816,8.5,112.0,98.564964,702.1469,124.73731,89.705635,65.91701,0.0,1.3259492,-2.7954636,0.3774017,-2.127357
600.0,6.3231816,9.5,104.0,70.4072,970.19696,182.75557,139.34349,107.798615,0.0,0.8091491,-2.1341052,-2.2477503,-1.9169754
600.0,6.3231816,10.5,132.0,18.040236,1640.427,82.439095,424.99036,262.88974,0.0,0.42586207,-0.92849594,-1.2121732,3.085623
600.0,6.3231816,11.5,143.0,127.68582,2041.4486,130.33301,372.91647,179.64883,0.0,0.33864287,-2.8583984,-1.5254525,2.681046
600.0,6.3231816,12.5,137.0,203.86188,2170.7942,363.3085,414.5024,192.57318,0.0,0.21833836,1.2298919,-2.5871992,-2.982886
600.0,6.3231816,13.5,179.0,58.911987,2999.3306,633.4906,513.47754,219.90784,0.0,0.39222053,0.781708,-1.4368739,-1.3028829
600.0,6.3231816,14.5,169.0,24.253164,3132.6663,677.3613,853.61035,331.35535,0.0,0.35289127,0.8130533,-1.5084301,-1.6875057
600.0,6.3231816,15.5,185.0,166.00243,3760.3638,791.67316,1377.1543,484.8246,0.0,0.36269575,0.6477949,-1.2472289,-1.7552309
600.0,6.3231816,16.5,204.0,164.18478,4604.2744,1183.2457,1443.8055,171.43863,0.0,0.16309609,0.107410915,-1.1277155,-2.914767
600.0,6.3231816,17.5,197.0,466.14307,4585.7993,907.8744,779.26404,407.0161,0.0,-0.05325417,-0.0599277,-2.0025277,-1.9548758
600.0,6.3231816,18.5,227.0,138.09639,5487.411,822.8273,1098.3445,553.9649,0.0,-0.07511439,-1.3088193,-1.385914,-2.4994206
