snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,12.0,0.102790065,189.62979,1.9274013,79.47328,1.382055,0.0,0.8970306,-0.4474249,-0.78839505,0.20831275
600.0,6.3231816,2.5,36.0,11.120116,380.8484,35.465954,154.67345,17.74392,0.0,0.77043533,2.5858252,-0.7808506,2.3961
600.0,6.3231816,3.5,40.0,6.2439027,142.29605,19.885727,60.42868,29.10092,0.0,0.8177592,-1.4078336,-0.38416034,-1.3581266
600.0,6.3231816,4.5,48.0,7.739846,27.3821,25.099268,56.38895,48.636806,0.0,-3.1045132,-0.50347733,-0.4404053,-2.4217334
600.0,6.3231816,5.5,76.0,16.079601,33.415977,35.049854,13.709128,33.44199,0.0,1.9588774,0.93371964,1.3012143,-1.5869591
600.0,6.3231816,6.5,72.0,31.964159,128.36235,31.934063,41.741234,28.582455,0.0,-0.3377131,0.07834775,-0.67643166,0.2485457
600.0,6.3231816,7.5,90.0,9.123795,243.35623,138.8931,63.42534,36.472977,0.0,-0.14348842,0.06444661,-0.95308757,2.9604607
600.0,6.3231816,8.5,106.0,96.908745,401.32986,192.23372,78.50803,26.21101,0.0,0.96554816,-0.9780497,-2.122188,-0.79408115
600.0,6.3231816,9.5,104.0,35.781403,630.0131,65.891,115.41981,72.87111,0.0,0.78536063,-0.3397186,-2.353253,-2.6228337
600.0,6.3231816,10.5,132.0,49.186996,1185.7374,121.94345,190.34908,106.08567,0.0,0.35165843,2.081543,-1.8908709,2.8046837
600.0,6.3231816,11.5,143.0,179.43637,1746.4646,308.08557,298.93506,209.72823,0.0,0.32180274,1.8718255,-2.5794003,2.3400164
600.0,6.3231816,12.5,137.0,288.30627,1359.4291,372.64035,276.42505,192.80281,0.0,0.20879008,0.9595764,3.0623267,2.4701943
600.0,6.3231816,13.5,179.0,22.801987,1909.5975,758.49774,196.0166,382.53616,0.0,0.40031424,0.7991338,-1.5074694,-1.9125545
600.0,6.3231816,14.5,169.0,68.771126,2473.1177,911.1532,529.6187,702.85516,0.0,0.69789803,0.7744693,-1.4246131,-2.1052442
600.0,6.3231816,15.5,189.0,67.286476,3241.448,584.3247,1493.9248,477.01788,0.0,1.0727195,0.26919568,-0.9379348,-1.4085605
600.0,6.3231816,16.5,200.0,304.44183,3012.3262,1269.9507,1174.5138,300.2172,0.0,0.8510243,-0.45727688,-0.5135853,-1.7901683
600.0,6.3231816,17.5,199.0,266.20462,3035.5435,1604.4214,467.42194,815.6308,0.0,0.29674363,-0.31523797,-0.14366499,-2.3318772
600.0,6.3231816,18.5,226.0,722.44525,3047.5825,1975.0046,1084.8829,1020.9127,0.0,0.21342793,-0.06992597,-1.3482051,-2.358513
600.0,6.3231816,19.5,238.0,929.3369,2441.4517,1493.8223,1472.4716,736.1175,0.0,0.028865298,-0.6410712,-1.5462152,-2.8440382
600.0,6.3231816,20.5,210.0,840.33795,1690.9836,1651.869,1461.5181,1122.598,0.0,-0.5746371,-1.229391,-1.9869431,-2.8542967
600.0,6.3231816,21.5,174.0,1388.9921,2713.14,2524.6965,2231.602,1866.1318,0.0,-0.81547666,-1.6337425,-2.456747,2.9981031
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,12.0,6.959151,177.03833,7.4525847,78.89277,9.721683,0.0,0.8511865,-2.7939987,-0.8257527,-1.8069112
602.0,6.2968197,2.5,36.0,29.75606,369.91583,34.760345,165.34964,24.834631,0.0,0.76301163,-2.1666868,-0.81407624,-2.860622
602.0,6.2968197,3.5,40.0,3.674802,148.2948,8.080588,25.590656,30.026012,0.0,0.6343985,0.7569394,-0.62130886,2.9029713
602.0,6.2968197,4.5,48.0,13.621047,18.639444,64.394424,27.536276,34.19599,0.0,-2.8000348,-1.7147441,-0.8484999,0.6668762
602.0,6.2968197,5.5,76.0,35.68554,67.87871,55.21907,35.49409,21.776604,0.0,0.2757527,-1.1666492,0.04893335,-1.6616807
602.0,6.2968197,6.5,72.0,15.406019,78.549614,103.813644,98.62389,37.689476,0.0,0.07155395,-0.97178835,-0.6078547,-0.6661233
602.0,6.2968197,7.5,87.0,31.16537,134.04279,139.80356,102.75676,32.25367,0.0,0.049555134,-0.48569626,-0.34490797,-0.8124592
602.0,6.2968197,8.5,109.0,96.98716,372.35492,209.22931,36.324276,56.42447,0.0,1.0958399,-0.83011806,-0.20533338,1.4731685
602.0,6.2968197,9.5,104.0,46.3367,453.44098,139.6713,160.62978,131.12625,0.0,0.87098026,-1.3191891,-2.6545293,1.6565986
602.0,6.2968197,10.5,133.0,58.719402,998.91064,238.41592,216.13622,181.09848,0.0,0.21751508,0.28515247,-2.6063876,1.7586459
602.0,6.2968197,11.5,142.0,115.26594,1704.3555,503.68958,207.24855,88.410706,0.0,0.04129286,0.849374,2.3358777,2.5025988
602.0,6.2968197,12.5,137.0,143.3032,1537.1536,401.1656,340.7981,65.1899,0.0,0.1503909,0.7318144,2.7283688,2.214995
