snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,14.0,2.706374,62.8497,8.985748,12.587147,16.208374,0.0,2.970485,1.370905,0.7157724,0.098379076
600.0,6.3231816,2.5,36.0,7.3326416,47.46593,29.906284,51.38524,18.00693,0.0,2.3854573,1.450278,-1.2574098,-2.1466968
600.0,6.3231816,3.5,40.0,18.803513,23.225533,64.16051,82.45184,36.891838,0.0,1.6526431,-1.4978796,-1.8249414,-2.1337898
600.0,6.3231816,4.5,48.0,59.77798,20.181353,19.02619,84.065094,25.169092,0.0,-1.512974,-2.753123,1.6567775,-1.7449602
600.0,6.3231816,5.5,76.0,78.92059,201.732,103.03426,137.56775,54.628056,0.0,2.740942,-1.3869042,1.2711792,-1.538732
600.0,6.3231816,6.5,72.0,104.27236,101.83723,58.72143,134.01733,60.896534,0.0,-2.6253424,1.1375922,-1.0179185,0.63921237
600.0,6.3231816,7.5,84.0,182.20448,391.16296,204.3215,179.76253,117.64844,0.0,2.2828143,1.6561959,0.87435013,0.3829633
600.0,6.3231816,8.5,112.0,269.17792,714.5271,397.5638,281.31085,49.29807,0.0,1.3644106,2.4999948,0.7585639,-3.1062324
600.0,6.3231816,9.5,104.0,128.41399,1050.1008,243.89893,64.40289,166.52876,0.0,0.7224294,-2.429617,-1.5126165,-1.957133
600.0,6.3231816,10.5,131.0,73.03195,1593.8911,169.20279,555.6015,397.2612,0.0,0.4672148,-1.1158199,-1.0566449,-3.1209846
600.0,6.3231816,11.5,144.0,95.786514,1894.0406,292.26578,452.11,130.455,0.0,0.3616573,-2.0744872,-1.119703,2.4998145
600.0,6.3231816,12.5,136.0,175.21036,2343.8127,233.51862,433.01733,202.08325,0.0,0.24316122,1.6794077,-2.4218128,-2.676195
600.0,6.3231816,13.5,178.0,150.10873,3333.7512,514.75665,670.3148,106.0605,0.0,0.38949838,0.46391907,-1.4114227,0.76416945
600.0,6.3231816,14.5,171.0,107.44077,3413.6692,445.36404,849.7788,194.03581,0.0,0.24441698,0.862131,-1.512806,-1.2504332
600.0,6.3231816,15.5,186.0,278.05798,4120.1523,687.2064,1258.4814,485.17136,0.0,0.13625126,0.8443299,-1.3652781,-2.296577
600.0,6.3231816,16.5,202.0,112.14213,5217.0483,1101.1166,1259.4446,400.4272,0.0,-0.00079443766,0.6480352,-1.4526597,-2.9633856
600.0,6.3231816,17.5,199.0,475.73563,5238.5615,394.992,884.3697,172.61278,0.0,-0.13194133,0.18677571,-2.0457842,-1.5596424
600.0,6.3231816,18.5,228.0,121.05135,5725.4893,1363.1111,1064.909,67.221825,0.0,-0.2088146,-1.8972244,-1.6262228,-3.1166058
600.0,6.3231816,19.5,234.0,155.86487,5987.8936,2051.2227,1286.2971,729.0205,0.0,-0.25480816,-2.0711167,-1.6562604,0.111345306
600.0,6.3231816,20.5,229.0,583.5997,4966.247,2188.8252,845.1507,1310.4143,0.0,-0.3460701,-1.6149845,3.0283155,0.3777506
600.0,6.3231816,21.5,271.0,1330.86,4344.172,1350.9933,1072.2592,1616.0579,0.0,-0.54183555,-1.6126523,2.2766964,0.4357306
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14.0,5.3587995,37.583397,24.269114,40.529358,16.439713,0.0,-3.1168532,1.8702505,0.84217936,-1.8214654
602.0,6.2968197,2.5,36.0,39.024807,146.94247,27.587229,38.952827,11.6814165,0.0,2.7909608,-2.0877657,-3.0589638,1.1724609
602.0,6.2968197,3.5,40.0,4.3105783,40.435978,78.5208,159.4502,96.319275,0.0,-2.7529829,3.0950456,-2.0261784,1.7402217
602.0,6.2968197,4.5,48.0,2.238199,44.33189,34.77847,96.36877,107.0516,0.0,-0.18730132,-0.9238305,2.6650176,-2.6928296
602.0,6.2968197,5.5,74.0,53.466705,94.90746,51.89643,74.00471,63.15042,0.0,3.0213685,-1.5697354,0.6881102,-1.9471735
602.0,6.2968197,6.5,74.0,173.25377,303.14685,129.45146,131.65971,81.442955,0.0,2.4281163,0.9848131,1.7692388,1.0536515
602.0,6.2968197,7.5,85.0,272.11697,370.23865,207.63806,56.88069,74.013695,0.0,1.9315468,0.9480871,1.3257536,-2.3716962
602.0,6.2968197,8.5,111.0,276.7424,527.7353,397.45935,212.13097,153.24792,0.0,1.4407152,2.3250895,-0.63462377,1.9362842
602.0,6.2968197,9.5,104.0,142.71211,1080.6661,345.10486,110.52896,47.21623,0.0,0.87918353,-2.1346664,2.5875425,3.138387
602.0,6.2968197,10.5,132.0,207.68692,1786.8982,325.17398,461.85056,238.7483,0.0,0.482047,-0.96064085,-1.2119445,2.407412
602.0,6.2968197,11.5,141.0,29.92801,1815.7947,396.6097,303.92355,168.89865,0.0,0.40767258,-1.4934399,-0.9292535,1.7552555
602.0,6.2968197,12.5,140.0,171.6287,1867.595,210.1925,281.2891,241.98058,0.0,0.37436745,2.1695812,-2.9624987,0.24218571
602.0,6.2968197,13.5,178.0,67.3778,3319.149,652.6941,520.16125,437.6788,0.0,0.38495368,1.4650537,-1.141301,-0.14087167
602.0,6.2968197,14.5,169.0,219.0089,3208.2073,789.0183,640.2598,280.113,0.0,0.2503179,0.8705556,-1.7432414,0.06490051
602.0,6.2968197,15.5,188.0,238.56828,3821.7158,762.0091,843.06006,636.9823,0.0,0.13060093,0.857535,-1.4406264,0.741727
602.0,6.2968197,16.5,202.0,64.68058,5260.8535,1204.3606,831.23395,358.17407,0.0,-0.03760711,0.6287726,-1.9119917,0.27475297
602.0,6.2968197,17.5,197.0,58.202667,5346.6177,391.1352,1097.2338,187.02472,0.0,0.0061343736,0.8101523,-1.8472326,0.41593447
602.0,6.2968197,18.5,231.0,243.51608,6158.9927,939.38275,763.5342,636.4238,0.0,-0.05603479,-2.0689917,-0.87419254,1.1027544
602.0,6.2968197,19.5,225.0,462.86523,5246.76,1637.2078,900.6842,400.68607,0.0,-0.25688532,-1.6892086,-1.5562406,0.00038595815
602.0,6.2968197,20.5,239.0,1599.1194,4689.3975,2524.9678,814.29474,567.8582,0.0,-0.38171452,-1.5980623,-3.0322561,-0.033221815
602.0,6.2968197,21.5,246.0,2494.3352,4741.015,1763.302,975.25684,1200.1873,0.0,-0.58992213,-1.6305745,2.711907,0.6738531
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,15.0,16.163284,40.940155,32.20705,11.816804,23.243847,0.0,-0.80878764,2.3781254,-2.7517233,0.31209293
604.0,6.2570214,2.5,35.0,12.157104,160.82085,59.578407,94.2213,19.407215,0.0,-2.8266327,1.9230154,2.496932,-0.3262236
604.0,6.2570214,3.5,41.0,67.28066,170.73758,37.407715,130.33855,56.549366,0.0,-2.9255261,0.9906049,-3.103342,-0.021951279
