snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13.0,7.667735,30.963009,6.0637107,9.109008,3.7717428,0.0,2.5193548,1.2485931,-0.40203598,-0.28246835
600.0,6.3231816,2.5,36.0,3.3356228,21.592861,18.954714,39.40681,12.824565,0.0,2.2062528,2.5748405,-0.9577488,-1.7508886
600.0,6.3231816,3.5,40.0,3.6804376,27.810669,59.043022,50.01235,30.973915,0.0,-1.9010494,-1.3256248,-1.4122528,-1.7514095
600.0,6.3231816,4.5,48.0,16.045029,64.08665,20.779753,72.71146,52.44634,0.0,-2.2181973,1.4668591,1.5962607,-1.1494237
600.0,6.3231816,5.5,74.0,11.430879,105.53324,27.798508,95.30619,51.6557,0.0,-2.7750278,-1.704888,1.6526473,-1.4304452
600.0,6.3231816,6.5,74.0,106.12408,99.00209,67.964226,104.545685,31.256449,0.0,-0.53264314,0.8292521,-0.7491672,0.71972936
600.0,6.3231816,7.5,86.0,124.486115,143.04922,115.23174,157.0874,36.74218,0.0,1.7978557,0.8482011,0.6579703,-0.32932073
600.0,6.3231816,8.5,110.0,111.59868,675.476,117.31667,71.34875,57.072647,0.0,1.3931459,-2.7448256,0.5463229,-1.7840549
600.0,6.3231816,9.5,104.0,91.13316,981.00836,210.56488,130.35272,121.57546,0.0,0.8734727,-2.0215492,-2.3139656,-1.6421776
600.0,6.3231816,10.5,132.0,21.155275,1662.3309,77.307335,457.28122,228.50185,0.0,0.48138985,-1.0601313,-1.06571,-3.098148
600.0,6.3231816,11.5,143.0,117.70853,2029.1825,121.49903,344.51184,175.9509,0.0,0.40100467,-2.7934432,-1.4029069,-3.1057422
600.0,6.3231816,12.5,137.0,164.92831,2144.0198,371.2922,340.7611,168.20735,0.0,0.29101494,1.2665181,-2.4390924,-2.7976515
600.0,6.3231816,13.5,178.0,16.0844,2930.6008,637.9914,482.26117,218.895,0.0,0.4606117,0.79550505,-1.2335877,-0.962983
600.0,6.3231816,14.5,171.0,66.075455,3169.442,698.69763,845.0857,449.85065,0.0,0.4408651,0.9333436,-1.297112,-1.6043178
600.0,6.3231816,15.5,184.0,148.55829,3728.0244,785.54364,1433.8063,592.6996,0.0,0.40134564,0.5949341,-0.9706638,-1.3927475
600.0,6.3231816,16.5,202.0,245.84868,4488.6396,1370.0883,1277.6028,378.3087,0.0,0.21231416,0.145585,-1.0308235,-2.7785735
600.0,6.3231816,17.5,200.0,400.77097,4787.0356,763.303,936.75464,377.8017,0.0,-0.016928665,0.0083486205,-1.9204482,-2.2265396
600.0,6.3231816,18.5,226.0,75.71197,5577.3926,723.26135,1006.24695,397.6946,0.0,-0.010957455,-1.3422029,-1.0996867,-2.169238
600.0,6.3231816,19.5,231.0,280.8295,5839.893,1333.143,1141.5054,452.8133,0.0,-0.065522596,-1.8052808,-1.2543083,0.950195
600.0,6.3231816,20.5,238.0,179.16869,5189.8174,1617.78,947.547,1024.3456,0.0,-0.18522109,-1.6019211,-2.3632941,0.9378651
600.0,6.3231816,21.5,261.0,1158.368,4845.971,2742.6917,1138.5629,1555.28,0.0,-0.4059633,-1.6284379,2.694192,1.1170362
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,13.0,6.3678513,18.596634,6.5222793,16.130522,15.661916,0.0,-2.8571918,2.0113769,-0.1613602,-1.5299749
602.0,6.2968197,2.5,36.0,30.922611,110.09084,43.091877,7.138454,15.33124,0.0,2.8299527,-2.141254,-1.8312603,2.3461823
602.0,6.2968197,3.5,40.0,12.867292,27.748507,55.13149,86.37486,76.469154,0.0,-3.0165296,-2.8265808,-2.060704,2.042657
602.0,6.2968197,4.5,48.0,11.944158,110.52747,17.22878,56.62715,32.913433,0.0,-1.4071714,-1.5841022,3.0755615,-2.500774
602.0,6.2968197,5.5,76.0,44.4998,85.061226,49.215626,71.79972,37.133446,0.0,-2.789054,-2.0198889,0.91349393,-1.1619846
602.0,6.2968197,6.5,72.0,76.254486,105.76596,63.1051,35.997223,28.541513,0.0,1.7576815,-0.19483727,0.18923415,1.7553774
