snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,14.0,5.839544,29.56635,244.10638,26.431307,83.35539,0.0,2.912469,3.1236956,1.4371207,-1.6671346
600.0,6.3231816,2.5,36.0,18.49597,7.449659,1049.9047,58.77706,64.952866,0.0,-1.7475798,2.9031656,-0.9268165,0.25821412
600.0,6.3231816,3.5,40.0,29.546461,59.34087,852.373,10.692402,44.52526,0.0,2.8394403,2.8634763,1.6675048,1.5043849
600.0,6.3231816,4.5,48.0,7.3016176,80.44021,707.3277,15.031344,15.7442465,0.0,1.9958565,-3.1330135,-1.3265797,-0.11084045
600.0,6.3231816,5.5,75.0,4.9944224,96.65394,942.8935,20.454983,16.875473,0.0,0.33436304,-3.0577948,-1.7344383,-0.34658307
600.0,6.3231816,6.5,73.0,51.225502,44.214027,656.4939,92.358116,78.77657,0.0,-2.8543744,3.0925326,1.0433419,-0.3052311
600.0,6.3231816,7.5,84.0,88.296425,115.61598,691.3033,180.67636,95.172775,0.0,1.9208852,3.0892186,0.39233434,0.2564506
600.0,6.3231816,8.5,112.0,31.301857,181.40611,875.5897,174.91463,130.97754,0.0,0.7709941,3.1217337,0.16821864,1.4950606
600.0,6.3231816,9.5,104.0,57.800274,247.17117,585.9784,128.75677,86.23134,0.0,0.624375,3.0060287,-1.2474011,0.8461579
600.0,6.3231816,10.5,132.0,75.160484,119.70916,742.9899,113.743065,150.83707,0.0,1.1747962,2.9618194,-1.2972546,1.0428064
600.0,6.3231816,11.5,143.0,40.31285,118.51542,520.29846,283.46292,163.53755,0.0,2.754557,-3.0788348,1.257352,1.4055061
600.0,6.3231816,12.5,137.0,19.338736,101.42326,395.34683,233.65395,32.737152,0.0,-2.202215,-3.0154312,2.1263793,-0.02298679
600.0,6.3231816,13.5,179.0,140.05997,124.056625,757.2492,30.138414,128.16359,0.0,-1.091424,-2.968231,0.27408585,0.0802542
