snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,12.0,3.5358343,7.339039,46.26724,9.02714,6.9916253,0.0,0.2968389,-3.1034458,-0.82691056,-1.4984918
600.0,6.3231816,2.5,36.0,16.054,29.600023,403.09973,45.96632,77.241135,0.0,1.8042197,-3.1319203,0.28299752,-1.8374228
600.0,6.3231816,3.5,40.0,12.897233,3.3001456,538.7497,59.866604,39.91054,0.0,-0.62956774,-3.1183658,2.8401253,0.14040533
600.0,6.3231816,4.5,48.0,10.039003,10.361644,561.66705,53.854958,37.28389,0.0,0.89702445,-3.0546434,2.479158,1.9876121
600.0,6.3231816,5.5,76.0,17.540106,10.141874,929.88367,39.76303,81.72422,0.0,1.3481331,-3.0725286,-1.1683022,1.2435489
600.0,6.3231816,6.5,72.0,10.494584,50.099598,637.9495,67.720375,98.40014,0.0,0.6743769,-3.0438619,-0.42354825,1.036111
600.0,6.3231816,7.5,90.0,57.739017,56.223427,717.36993,88.60714,47.32505,0.0,1.1278516,-3.096101,0.33281997,2.9437013
600.0,6.3231816,8.5,106.0,40.64936,137.11116,674.56226,68.62967,12.655701,0.0,0.5871623,3.1035502,-0.6522898,0.5543836
600.0,6.3231816,9.5,104.0,15.394972,61.623573,474.54666,139.38396,20.598602,0.0,0.6494479,3.0288734,-1.2759542,-0.9131105
600.0,6.3231816,10.5,132.0,8.856373,92.77523,681.3207,251.92874,167.22292,0.0,0.20711485,2.9155898,-1.630536,0.2958577
600.0,6.3231816,11.5,143.0,59.405144,108.59847,632.03723,126.97573,193.53014,0.0,1.1705647,2.970184,-0.4398401,0.88408685
600.0,6.3231816,12.5,137.0,156.49582,182.51288,440.67938,19.544704,180.98067,0.0,-0.45224616,2.7992978,-0.05510427,0.9503074
600.0,6.3231816,13.5,179.0,304.7208,329.3134,742.6544,249.58589,94.80361,0.0,-0.43594253,2.9968748,-0.07120274,1.7515097
600.0,6.3231816,14.5,169.0,325.4349,207.92288,758.7547,435.39737,200.17245,0.0,0.673287,2.709405,-0.096539706,-0.98748785
600.0,6.3231816,15.5,189.0,85.34825,172.76056,623.7689,563.46686,463.8907,0.0,0.77239764,2.717247,-0.124193,-1.875805
600.0,6.3231816,16.5,200.0,73.81735,303.3567,932.99274,474.0542,100.7448,0.0,-0.4319912,-3.1101444,0.2642355,-2.012428
600.0,6.3231816,17.5,199.0,201.07756,90.20412,948.966,701.14276,103.549194,0.0,2.7731488,-3.0885468,1.9263161,0.42603177
600.0,6.3231816,18.5,226.0,73.584564,382.77536,390.00647,887.0136,461.82007,0.0,2.4734182,-2.8017306,1.9625233,0.41404387
600.0,6.3231816,19.5,238.0,9.856326,98.24099,298.81226,557.8125,670.51917,0.0,1.5283341,2.9460363,1.6464773,0.8135403
600.0,6.3231816,20.5,210.0,105.658104,319.42984,440.5549,446.21957,342.05026,0.0,-3.1246915,2.5673008,1.808137,1.0041974
600.0,6.3231816,21.5,174.0,200.64278,381.78342,328.7656,256.609,183.2229,0.0,2.1720085,1.2010779,0.22462976,-0.76931596
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,12.0,1.0480831,9.367304,57.0717,2.5825822,27.039667,0.0,2.6126432,2.8319101,0.59304726,-1.6283308
602.0,6.2968197,2.5,36.0,19.467987,40.80103,408.5891,40.282974,10.102351,0.0,-2.6963263,3.1207137,2.8407443,-1.9678613
602.0,6.2968197,3.5,40.0,6.5725493,9.49333,518.4976,14.240022,33.926243,0.0,-2.9372637,3.1183548,2.1689405,1.2343522
602.0,6.2968197,4.5,48.0,0.70446974,28.898535,587.5643,9.115418,60.71149,0.0,-2.7257512,-3.1200182,-2.9590154,2.106956
602.0,6.2968197,5.5,76.0,13.383634,17.403374,959.8839,26.917995,92.25606,0.0,-3.1358237,-3.0587575,-1.118501,1.9264406
602.0,6.2968197,6.5,72.0,0.47140998,44.721363,644.02454,37.233204,74.82159,0.0,2.314558,-3.0109847,-0.4616352,1.4923986
602.0,6.2968197,7.5,87.0,9.82271,60.94972,660.70844,107.083,121.68689,0.0,0.8691602,-3.0984128,0.07641742,2.419847
602.0,6.2968197,8.5,109.0,27.288317,54.41982,767.43146,30.743654,99.786514,0.0,1.3423824,3.063666,-0.50142974,1.8612612
602.0,6.2968197,9.5,104.0,17.255964,42.451015,511.39053,81.551056,31.693716,0.0,0.37608805,3.1284723,-2.0063138,0.9854115
602.0,6.2968197,10.5,133.0,2.9515147,110.41076,855.4901,180.25108,135.64148,0.0,1.8061304,-3.0681703,-1.3079664,0.8059032
602.0,6.2968197,11.5,142.0,67.251205,245.1206,665.04987,92.627464,183.36757,0.0,2.0078647,-3.0216386,-1.105358,1.0959668
602.0,6.2968197,12.5,137.0,19.28986,167.36699,527.0722,144.8466,277.3913,0.0,0.628922,-3.067308,-1.616199,1.2186329
602.0,6.2968197,13.5,178.0,148.54803,284.2246,800.3918,271.0483,96.703094,0.0,-0.03849719,3.0572996,-0.80212057,1.1068779
602.0,6.2968197,14.5,170.0,334.5696,215.19687,845.4328,399.46585,123.6122,0.0,0.24914998,2.678957,-0.5314554,-0.2941959
602.0,6.2968197,15.5,182.0,279.8686,367.57727,584.5524,408.87985,228.87747,0.0,-0.30035505,2.382471,-0.46389672,-1.2933046
602.0,6.2968197,16.5,209.0,160.72127,240.33305,805.97906,499.34897,196.75673,0.0,-0.07531815,3.0654209,0.290866,-2.4506674
602.0,6.2968197,17.5,193.0,63.470676,256.6744,926.5622,643.61945,152.20905,0.0,-1.9351798,-2.9529173,1.3963104,-2.4285314
602.0,6.2968197,18.5,235.0,45.264362,101.977295,516.90015,705.0326,47.271713,0.0,-1.7485307,2.7854478,1.5270149,-1.6404252
602.0,6.2968197,19.5,223.0,49.298363,206.25873,397.01154,676.4198,501.59735,0.0,3.0297675,2.8049357,1.7882655,0.41178098
602.0,6.2968197,20.5,210.0,383.27365,360.63605,432.48605,837.9045,585.59326,0.0,1.5980656,-2.871516,1.8773968,0.2971324
602.0,6.2968197,21.5,195.0,228.27948,385.29572,404.69492,390.03867,280.77682,0.0,2.4396644,1.9518112,1.1131849,0.56402266
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,12.0,9.379164,16.00608,45.70546,11.426219,11.130574,0.0,-0.056792088,3.0728185,3.0988443,-0.5989585
604.0,6.2570214,2.5,36.0,25.767101,26.426245,425.0962,30.72559,53.43279,0.0,-0.80743957,-3.1151881,2.607616,-2.2978907
604.0,6.2570214,3.5,40.0,20.355055,47.377823,484.01624,6.4285693,50.941517,0.0,0.02657968,3.078687,2.9305193,2.9745154
604.0,6.2570214,4.5,48.0,0.42939222,27.96751,612.58435,21.664072,96.067184,0.0,2.5754945,3.0618002,1.6430374,1.4828075
604.0,6.2570214,5.5,76.0,34.92451,11.378861,960.1992,44.86203,130.53806,0.0,-1.3589888,3.1338246,-1.3775419,1.9624351
604.0,6.2570214,6.5,72.0,4.298829,50.46634,644.5378,64.219986,90.09959,0.0,-0.20641378,3.1095145,-1.6571509,1.429858
604.0,6.2570214,7.5,89.0,10.016605,41.020096,736.1694,19.363413,78.931046,0.0,1.4474247,-3.0841832,-2.2007854,1.7620373
604.0,6.2570214,8.5,107.0,12.69213,87.10715,808.4008,57.907684,178.46016,0.0,0.7089336,3.0983808,-1.8946602,1.5427852
604.0,6.2570214,9.5,104.0,9.927006,81.4842,572.4689,132.28308,145.14928,0.0,-2.3585553,-3.0628505,-1.7879539,1.7571524
604.0,6.2570214,10.5,132.0,68.444824,77.788765,760.6506,114.48062,80.38899,0.0,2.1000724,-3.0413394,-2.281486,1.09814
604.0,6.2570214,11.5,142.0,7.5042315,194.0384,726.5191,184.92859,157.8557,0.0,1.236758,-3.0425653,-2.4670193,0.48134893
604.0,6.2570214,12.5,138.0,2.1047513,281.62033,611.5073,215.64783,193.7434,0.0,0.58122504,3.0492446,-2.056459,0.6659676
604.0,6.2570214,13.5,177.0,51.29482,472.5327,863.68536,312.59146,149.63264,0.0,0.44307002,2.9894586,-1.9743556,0.81658834
604.0,6.2570214,14.5,171.0,240.19856,403.97003,716.5312,255.97046,98.78425,0.0,0.0591454,2.6808913,-1.3327006,1.3743821
604.0,6.2570214,15.5,186.0,176.304,388.92065,653.86865,586.76587,162.53128,0.0,-0.046861373,-2.93971,-0.264631,2.5282621
604.0,6.2570214,16.5,202.0,101.196785,343.40274,592.34235,656.7071,72.53634,0.0,-1.2490479,-3.0527394,0.1959054,1.4763203
604.0,6.2570214,17.5,196.0,234.4389,331.31296,666.0025,496.78867,115.023056,0.0,-3.071829,-2.679982,0.44388765,0.29326928
604.0,6.2570214,18.5,232.0,18.88401,489.36084,575.2518,525.3486,446.6602,0.0,-2.6010795,-3.0838985,1.1133775,-1.1359191
604.0,6.2570214,19.5,231.0,15.60212,242.59717,355.2556,381.34122,320.264,0.0,-2.667078,2.5027213,1.3356739,-0.48322242
604.0,6.2570214,20.5,224.0,24.460104,234.5543,399.55145,474.33545,429.5295,0.0,-2.9430904,2.2203693,1.0480803,-0.054029778
604.0,6.2570214,21.5,204.0,193.57748,402.1272,487.44568,567.5661,515.8841,0.0,2.6233764,2.0262613,1.1856632,0.26243106
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,13.0,13.753235,9.340295,27.676937,14.82548,15.247983,0.0,-1.2111958,-2.753493,-2.7654066,-1.7336248
608.0,6.198067,2.5,35.0,3.3881028,27.178158,387.4659,44.55908,47.788742,0.0,-1.1610906,3.0702784,0.6518681,-1.9151914
608.0,6.198067,3.5,40.0,3.320763,53.273132,477.38153,44.854767,41.59133,0.0,-2.316304,-3.1265302,-3.0245597,1.8139102
608.0,6.198067,4.5,48.0,14.573455,22.170082,505.48645,15.635049,72.90043,0.0,2.8605137,3.1357884,2.927056,1.7572339
608.0,6.198067,5.5,76.0,23.668346,45.138397,887.6077,34.06266,83.86489,0.0,1.9602209,3.0866344,0.80770063,0.9401543
608.0,6.198067,6.5,72.0,12.230982,19.857094,586.41815,47.071667,66.35953,0.0,0.03563841,3.1097248,-1.832848,1.5368185
608.0,6.198067,7.5,92.0,18.84334,18.104433,815.12994,57.406116,131.32811,0.0,-2.0814154,3.021552,2.5393646,1.1346124
608.0,6.198067,8.5,104.0,14.481424,77.67028,738.7085,117.39836,91.932106,0.0,2.2423892,-3.0950572,2.520109,1.5644186
608.0,6.198067,9.5,104.0,17.18117,109.583755,637.5907,91.106155,73.85001,0.0,0.80303997,-3.0604346,-2.3437166,2.3790252
608.0,6.198067,10.5,132.0,4.231481,74.83896,860.0546,166.92441,94.44406,0.0,0.8384525,-3.0267034,-1.8754448,1.7650521
608.0,6.198067,11.5,144.0,47.785355,150.18155,824.66077,143.79498,211.2164,0.0,0.87339437,-3.1006942,-1.1538854,0.8121093
608.0,6.198067,12.5,138.0,89.22026,262.07513,575.90826,78.768906,51.82134,0.0,1.5660559,3.1369433,-2.3719802,0.15012051
608.0,6.198067,13.5,177.0,227.28763,173.66068,896.22833,276.7438,131.39304,0.0,1.0982515,2.9665148,-2.0043175,1.8897496
608.0,6.198067,14.5,169.0,201.43518,164.27951,641.60284,95.70995,232.32846,0.0,-0.83955693,2.785137,-0.765443,1.4765848
608.0,6.198067,15.5,188.0,65.36111,327.04266,340.59357,424.5743,149.61298,0.0,-1.6624798,3.0746572,-0.7231332,1.4429566
608.0,6.198067,16.5,199.0,4.1393847,268.59634,580.6289,441.31772,243.89532,0.0,-2.0334358,-3.0332408,-0.68506575,-1.0784698
608.0,6.198067,17.5,200.0,85.29027,188.88419,771.6166,351.59058,135.48013,0.0,-0.8278921,3.1122372,-0.81665075,-0.57608336
608.0,6.198067,18.5,227.0,68.24616,91.3746,1027.0978,463.21106,377.398,0.0,-1.1724741,3.064749,-0.20632108,0.073334046
608.0,6.198067,19.5,232.0,67.74732,348.72864,287.1351,176.12761,359.03244,0.0,-2.0741482,2.8980024,1.3659196,-0.8038524
608.0,6.198067,20.5,230.0,72.02202,213.55295,410.31326,385.41785,380.53595,0.0,-2.286462,2.7529683,1.5923613,0.23171626
608.0,6.198067,21.5,213.0,117.79928,278.8566,212.79744,231.92024,162.86232,0.0,2.650126,2.084242,1.7328131,1.1052402
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,12.0,3.9553592,5.7923,22.396637,27.87069,25.78802,0.0,0.3369751,2.8658018,-2.2891197,-0.9230443
610.0,6.1668267,2.5,36.0,19.134556,44.71272,389.10577,34.14837,18.676834,0.0,0.9260216,-3.1107087,1.379296,-1.4687874
610.0,6.1668267,3.5,40.0,0.50964415,24.255203,547.5874,31.462729,87.423965,0.0,2.152217,3.0591805,-0.33376154,1.0876203
610.0,6.1668267,4.5,48.0,21.35658,19.48534,550.5832,7.245794,118.6807,0.0,2.47284,-3.1167474,-2.8988924,1.0703193
610.0,6.1668267,5.5,76.0,27.553194,66.016815,815.4221,12.022141,96.82739,0.0,1.1458592,3.1173987,0.9049654,1.2985189
610.0,6.1668267,6.5,72.0,2.0990698,48.249855,577.60614,29.01119,47.31825,0.0,0.5117466,3.0992985,-2.884987,1.1909394
610.0,6.1668267,7.5,91.0,25.957369,12.586737,714.884,44.21025,142.20103,0.0,0.87463474,3.041762,2.7188797,1.1356938
610.0,6.1668267,8.5,105.0,86.39369,37.49131,734.8557,46.007225,102.76034,0.0,1.4997877,3.0074415,2.3918374,1.7435498
610.0,6.1668267,9.5,104.0,12.00296,127.790344,647.18146,67.95614,104.868835,0.0,0.62443066,-3.0702808,2.69088,2.6333878
610.0,6.1668267,10.5,132.0,0.29581198,112.82576,886.1772,109.509186,155.39426,0.0,0.37710464,-3.0228672,-2.480909,1.7609904
610.0,6.1668267,11.5,143.0,14.916382,133.65517,824.736,112.86497,208.38885,0.0,0.85128343,-2.9960067,-1.613153,0.98271716
610.0,6.1668267,12.5,138.0,73.93144,199.27042,586.3829,142.04881,336.8835,0.0,1.6508139,-3.052842,-2.3697872,1.1827371
610.0,6.1668267,13.5,179.0,245.72935,271.4247,878.3895,241.28752,255.97359,0.0,1.5014836,3.1138198,-2.4877267,1.7879115
610.0,6.1668267,14.5,169.0,141.1458,196.93857,842.69275,148.31201,184.31139,0.0,-0.35131186,3.0312965,-2.7204676,0.8602269
610.0,6.1668267,15.5,185.0,40.609913,276.66193,486.9385,249.83809,130.19008,0.0,-0.45845574,-3.061698,-2.249592,2.752483
610.0,6.1668267,16.5,201.0,125.38884,73.86467,771.8907,330.83344,80.14123,0.0,-0.25832936,-2.8302424,-1.5895413,2.4324512
610.0,6.1668267,17.5,199.0,29.274418,422.62646,776.39844,239.02873,188.59882,0.0,2.7809746,-2.6990736,-0.5430209,-2.307338
610.0,6.1668267,18.5,228.0,186.98491,100.84742,765.03326,338.52615,122.226105,0.0,1.141009,2.8940911,-1.3061261,-0.45055062
610.0,6.1668267,19.5,234.0,93.5649,580.23456,404.51947,505.55325,325.87955,0.0,-2.4760356,2.5701885,1.1337885,-0.49292597
610.0,6.1668267,20.5,228.0,96.33827,108.657295,122.94864,218.10129,349.18552,0.0,2.7485964,2.09945,1.1861076,-0.31180826
610.0,6.1668267,21.5,216.0,53.98979,122.831566,153.0586,179.05101,191.04659,0.0,2.6693087,1.9979881,1.1869128,0.313586
612.0,6.133891,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612.0,6.133891,1.5,12.0,5.650015,12.647686,42.255333,21.860727,13.898899,0.0,-2.680584,3.0843356,-1.8424498,-2.560036
612.0,6.133891,2.5,36.0,25.247784,25.331348,438.15823,32.56044,36.702854,0.0,1.5767226,3.131913,-2.9843364,-1.4626988
612.0,6.133891,3.5,40.0,0.76084054,36.51018,479.61874,17.900835,19.749619,0.0,-1.5500025,-3.073637,-1.4774367,-0.72662616
612.0,6.133891,4.5,48.0,26.889902,69.38359,577.9628,2.8400526,112.88396,0.0,1.3092378,-3.128084,-0.21044429,1.0971624
612.0,6.133891,5.5,76.0,35.871563,29.447834,881.03656,27.340569,150.15688,0.0,1.9792354,3.1137116,1.8911097,0.8044928
612.0,6.133891,6.5,72.0,4.737741,39.28706,547.48444,16.992887,79.422874,0.0,2.0808191,3.0730379,2.6032934,1.2912264
612.0,6.133891,7.5,90.0,6.4970894,92.22214,732.1478,19.52775,136.92348,0.0,0.4856731,2.974701,-0.4384869,0.68343437
612.0,6.133891,8.5,106.0,37.873177,77.07711,771.2311,80.80588,181.53485,0.0,1.9077941,3.1001399,2.5273085,2.0134754
612.0,6.133891,9.5,104.0,31.172432,134.30736,634.757,14.22452,106.71184,0.0,1.1868274,3.037639,1.4776448,2.098258
612.0,6.133891,10.5,132.0,4.191945,133.01614,879.9106,37.741863,84.59859,0.0,0.60960114,-3.1242917,1.8373986,0.76450574
612.0,6.133891,11.5,143.0,47.274643,197.71887,848.9197,33.895317,258.39783,0.0,1.6585344,-2.9529898,-0.5287708,1.318155
612.0,6.133891,12.5,137.0,19.015024,131.11751,626.31696,157.63676,237.79744,0.0,1.4351652,-2.921099,-2.3853896,1.2979189
612.0,6.133891,13.5,179.0,38.050663,158.90971,970.3367,271.66553,240.30464,0.0,1.1953789,-2.983754,-2.1493635,1.7650597
612.0,6.133891,14.5,169.0,93.98833,313.71313,629.19446,391.7088,101.22021,0.0,0.41450587,-3.0042353,-2.9223402,1.8603208
612.0,6.133891,15.5,190.0,86.391785,256.22565,915.527,322.1162,181.42287,0.0,-0.42098328,-2.8743844,-3.0637717,1.9530433
612.0,6.133891,16.5,198.0,39.132824,72.65826,532.51337,249.874,159.05118,0.0,0.029225083,-2.73385,-2.8879256,2.6730618
612.0,6.133891,17.5,201.0,95.31116,277.66196,597.7023,311.7684,72.21299,0.0,1.8167576,-2.5415344,-1.0810268,-2.2800503
612.0,6.133891,18.5,227.0,204.31956,329.77023,442.97714,309.82178,227.4093,0.0,2.1600718,2.9645805,0.1822842,-1.1458739
612.0,6.133891,19.5,227.0,182.3636,494.40604,201.6608,417.42892,261.97726,0.0,2.8102849,2.9077895,0.9749131,-0.5053418
612.0,6.133891,20.5,233.0,68.78685,144.56468,96.0215,91.367,257.98502,0.0,2.635368,2.3089008,-0.8019469,-1.4242767
612.0,6.133891,21.5,207.0,58.526176,115.65638,116.271736,116.22208,94.03974,0.0,2.3355427,1.3795877,0.3747405,-0.6296191
614.0,6.1007195,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614.0,6.1007195,1.5,12.0,2.9018505,14.461666,52.19889,9.641347,19.070436,0.0,-0.6437659,-3.0815759,-0.5754446,-1.6844583
614.0,6.1007195,2.5,36.0,6.9232855,10.854141,415.0129,40.88225,87.84094,0.0,2.9812987,-3.0204172,-1.7430569,-1.3844225
614.0,6.1007195,3.5,40.0,6.0740976,55.31079,563.55524,27.456356,79.66109,0.0,2.0225432,-3.0897036,-0.025579851,0.58679384
614.0,6.1007195,4.5,48.0,30.627977,15.713648,558.8015,17.595068,66.86979,0.0,-2.3627324,3.0996392,-0.32961965,0.74194646
614.0,6.1007195,5.5,76.0,2.3140879,24.280607,861.2164,58.28483,65.60757,0.0,2.3658571,-3.0934968,0.829821,1.626033
614.0,6.1007195,6.5,72.0,12.397903,35.486225,562.2837,16.12919,32.74376,0.0,1.258856,3.0882342,1.1987137,1.1406568
614.0,6.1007195,7.5,88.0,54.184128,74.36259,696.31256,43.039036,86.7002,0.0,2.0355003,3.1133964,-0.4031491,0.5570272
614.0,6.1007195,8.5,108.0,40.066116,72.39217,680.91565,88.0629,106.97712,0.0,-2.891087,3.0772367,3.1061902,1.6282772
614.0,6.1007195,9.5,104.0,49.085217,156.37418,544.14844,34.184677,65.45134,0.0,1.5160564,3.1337302,0.8207048,1.4495972
614.0,6.1007195,10.5,132.0,34.457844,174.26782,769.1756,111.84924,107.83493,0.0,1.4270089,-2.931028,2.4995258,-2.6700027
614.0,6.1007195,11.5,144.0,7.5410695,160.44072,646.4599,157.25288,94.058075,0.0,0.8129567,-2.9460366,-2.847325,0.4742124
614.0,6.1007195,12.5,136.0,0.3319803,148.62587,676.3384,58.255756,247.9763,0.0,1.4374073,-3.05808,-3.0917764,0.8254
614.0,6.1007195,13.5,180.0,53.16405,196.00252,1026.0098,329.3969,114.72027,0.0,1.4053591,-2.9903884,-2.577966,1.4057401
614.0,6.1007195,14.5,167.0,40.53417,163.28651,842.14526,183.44519,258.83817,0.0,0.80960584,-2.9324527,-2.5263245,2.5678287
614.0,6.1007195,15.5,186.0,116.83007,118.21734,834.9352,351.66693,188.86945,0.0,0.36723498,-2.9192398,2.9877603,2.792429
614.0,6.1007195,16.5,204.0,41.80412,29.750181,794.7644,308.51923,201.78595,0.0,0.65683544,-2.6267457,-2.852445,-2.9995604
614.0,6.1007195,17.5,196.0,25.298618,158.87402,496.66403,269.11215,188.85751,0.0,1.5520691,-2.2422187,-1.4300747,2.7242012
614.0,6.1007195,18.5,233.0,116.59935,345.56274,316.61755,200.72365,231.01578,0.0,1.8585422,-2.9717126,-2.2593765,-0.3264365
614.0,6.1007195,19.5,224.0,272.31763,343.7524,182.54427,455.3344,607.34204,0.0,2.6401818,2.4964726,0.9179058,-0.60747117
614.0,6.1007195,20.5,236.0,367.43445,760.41583,622.97125,623.27985,548.0217,0.0,2.5152981,1.8265117,0.77407676,-0.1950505
614.0,6.1007195,21.5,218.0,145.28188,295.41763,304.3095,333.16733,378.1897,0.0,2.8286443,2.2940955,1.5498617,0.8002903
616.0,6.067346,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616.0,6.067346,1.5,12.0,6.394523,8.7333975,69.40246,18.145508,5.093772,0.0,2.1013393,3.1401305,3.0416882,3.0213163
616.0,6.067346,2.5,36.0,14.695775,9.323292,458.16403,37.507202,77.9953,0.0,1.9423627,3.096597,2.0583673,-1.9895451
616.0,6.067346,3.5,40.0,23.454517,12.905381,559.50867,45.177948,40.1535,0.0,1.9138118,-3.1372917,-1.3874992,-2.3233228
616.0,6.067346,4.5,48.0,3.9044752,22.633402,614.6277,33.66221,57.115902,0.0,0.7399309,-3.129472,-1.3954667,1.2332132
616.0,6.067346,5.5,76.0,9.658001,57.655952,864.63855,69.99767,66.97381,0.0,1.8188189,-3.1323555,-0.58334625,1.8338003
616.0,6.067346,6.5,72.0,4.6388645,58.08514,566.19305,47.401157,87.36473,0.0,1.4311122,-3.1029294,-0.3826297,1.4934038
616.0,6.067346,7.5,89.0,7.1026006,41.4547,677.95605,52.754215,115.1789,0.0,1.4188036,-3.075218,-1.8538889,1.3488909
616.0,6.067346,8.5,107.0,8.066357,17.798807,603.8198,79.81211,136.0259,0.0,-3.009297,-3.076276,1.3974175,1.5060961
616.0,6.067346,9.5,104.0,12.74667,54.321873,492.19373,66.4516,103.29607,0.0,1.1914816,-3.0501738,1.546304,1.9676993
616.0,6.067346,10.5,133.0,81.47034,232.75351,843.3225,79.968094,183.47874,0.0,-0.27342415,-3.0984502,-1.3067101,1.934885
616.0,6.067346,11.5,143.0,54.159527,152.14508,829.4591,113.872604,123.59785,0.0,-0.09663355,3.0576015,-2.4724016,-0.09774875
616.0,6.067346,12.5,136.0,36.897163,93.65258,678.31696,119.28204,275.06705,0.0,1.2560428,-2.9670687,2.95835,0.69317836
616.0,6.067346,13.5,180.0,41.578392,113.51155,951.5314,284.84506,217.02258,0.0,-0.1872184,-2.9345307,-2.8636327,1.9005257
616.0,6.067346,14.5,168.0,65.501816,179.51408,609.26636,410.86777,273.0773,0.0,1.6275991,-2.528105,2.6293018,3.053413
616.0,6.067346,15.5,185.0,59.62472,244.54166,635.8401,652.2159,178.75406,0.0,2.1493552,-2.8160472,2.6431348,2.807647
616.0,6.067346,16.5,206.0,3.30379,364.6519,423.81964,255.63062,348.1712,0.0,2.3002176,-2.7287955,-2.5818005,-2.869605
616.0,6.067346,17.5,193.0,109.16193,89.37876,542.13104,147.71744,256.61853,0.0,2.2600117,-2.2123365,-1.9183333,-2.5799625
616.0,6.067346,18.5,235.0,126.7003,334.2361,718.7064,148.7472,329.07526,0.0,2.1638205,-2.390541,2.1427789,-1.2028439
616.0,6.067346,19.5,221.0,241.99013,564.81195,456.7245,198.94601,150.70303,0.0,2.3599749,2.7009735,2.5401542,-0.81976175
616.0,6.067346,20.5,230.0,478.2001,1018.61597,960.9386,596.20166,389.54507,0.0,2.5858214,2.0253239,1.2135944,-0.24179192
616.0,6.067346,21.5,242.0,440.1412,729.75543,457.27664,413.17804,414.45023,0.0,2.588226,1.7250886,0.6025062,0.041198406
618.0,6.032073,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618.0,6.032073,1.5,12.0,2.2794192,16.372929,63.1082,14.021213,36.14678,0.0,-0.2986443,2.9797518,-2.0516996,-1.5444546
618.0,6.032073,2.5,36.0,17.80863,18.898186,448.67792,63.974564,94.25768,0.0,0.096140444,3.034724,-1.0307451,-2.331088
618.0,6.032073,3.5,40.0,4.0036526,43.634483,522.34314,41.354668,31.625532,0.0,1.1353009,3.0599856,0.74207336,-2.605751
618.0,6.032073,4.5,48.0,12.953922,23.771534,583.42566,28.128014,82.92887,0.0,-0.43986732,3.0017962,-2.4312518,0.9498324
618.0,6.032073,5.5,76.0,37.970516,3.538466,898.7201,35.40403,50.663994,0.0,-1.7976394,3.1222038,-3.124778,1.7495875
618.0,6.032073,6.5,72.0,0.12702496,54.704697,606.283,26.464851,87.520226,0.0,2.0149484,-3.1133842,-0.017511524,1.2262532
618.0,6.032073,7.5,90.0,17.274958,21.597958,702.684,23.773756,72.31841,0.0,-1.8943212,-3.093015,1.0040141,1.5794973
