snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,14.0,46.10464,53.335796,453.33408,68.73119,35.083603,0.0,2.9433339,2.942228,1.3603989,-1.7595071
600.0,6.3231816,2.5,36.0,45.27422,29.72535,1377.3737,99.511795,124.521164,0.0,2.597876,2.7930315,-0.8933594,-0.28789052
600.0,6.3231816,3.5,40.0,71.54948,65.21363,1001.24994,84.87545,43.78974,0.0,-2.9875782,2.6499906,0.22025855,-0.010529029
600.0,6.3231816,4.5,48.0,31.67208,115.273834,794.4826,107.74435,67.44069,0.0,1.8374456,2.7676487,0.27211496,0.36452812
600.0,6.3231816,5.5,76.0,102.37609,153.72314,763.8771,72.14102,142.8792,0.0,0.84614956,3.1306307,0.8839255,-1.9597472
600.0,6.3231816,6.5,72.0,53.34333,145.00471,581.554,76.88214,89.913,0.0,-2.366339,2.9842818,2.0906577,-0.48090354
600.0,6.3231816,7.5,84.0,86.258705,271.4543,641.8542,280.5118,237.71065,0.0,1.9560734,3.0514758,0.2755938,0.6480781
600.0,6.3231816,8.5,112.0,51.560265,195.09229,895.0643,279.39514,354.06122,0.0,0.7169321,3.1203322,0.21390562,1.3821404
600.0,6.3231816,9.5,104.0,134.3668,437.66806,637.749,56.415955,214.79591,0.0,0.7672192,3.098287,-1.9947612,1.4041414
600.0,6.3231816,10.5,131.0,100.66643,152.25502,707.8665,140.35124,240.76518,0.0,1.3778744,3.0933309,0.9127935,1.6362224
600.0,6.3231816,11.5,144.0,77.26067,221.79424,438.60358,448.28192,216.98473,0.0,2.9753833,-2.6723247,1.4072257,1.7452773
600.0,6.3231816,12.5,136.0,175.88272,172.76686,439.3487,309.3305,34.08045,0.0,-2.8166754,-2.6529825,2.1416097,-2.4900599
600.0,6.3231816,13.5,178.0,33.007256,149.8593,868.10754,57.8959,188.63168,0.0,-2.845585,-2.7871478,-3.1393347,0.04330301
600.0,6.3231816,14.5,171.0,158.84254,50.608368,1014.5466,232.51405,358.54257,0.0,-1.9728566,-2.9011633,-0.45309168,0.3367861
600.0,6.3231816,15.5,186.0,187.77835,275.34042,1460.6669,80.04728,481.7288,0.0,0.1355207,3.1324663,-3.0461047,0.5377774
600.0,6.3231816,16.5,202.0,111.68451,494.3682,1270.4686,404.93674,346.43564,0.0,0.011192879,2.9304032,-3.1404412,0.80626065
600.0,6.3231816,17.5,199.0,131.23598,573.0578,445.84085,38.338642,515.58594,0.0,-0.6564493,2.8294597,-0.06699459,1.801907
600.0,6.3231816,18.5,228.0,271.6512,313.20135,901.2982,695.0118,526.6486,0.0,0.9570915,-2.9597037,-0.10368519,2.436798
600.0,6.3231816,19.5,234.0,162.628,444.8153,764.29956,720.2441,145.5212,0.0,1.2814447,-2.888541,-0.11888758,2.433124
600.0,6.3231816,20.5,229.0,160.13013,341.43576,206.72356,319.254,296.04135,0.0,1.898282,-2.9476616,1.03188,2.9441037
600.0,6.3231816,21.5,271.0,300.31946,215.51544,504.01917,332.5037,280.16577,0.0,1.5835515,0.95210797,2.2439163,1.5217906
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14.0,19.848997,53.674118,540.82495,18.56177,39.172295,0.0,2.9749546,3.059969,-1.3226428,2.329701
602.0,6.2968197,2.5,36.0,56.392826,9.091025,1493.2085,30.331501,198.3035,0.0,2.8046343,3.0207415,2.5100675,1.1874154
602.0,6.2968197,3.5,40.0,5.4346385,73.984695,937.58105,79.50642,174.97025,0.0,-0.4110063,2.732942,0.77510846,1.3966204
602.0,6.2968197,4.5,48.0,35.29722,158.21494,708.55634,207.42609,96.256516,0.0,-1.2946441,2.943579,0.85276735,-2.72922
602.0,6.2968197,5.5,74.0,43.580727,150.36314,942.77325,187.841,180.77052,0.0,0.8195311,-3.135045,1.4933299,2.7449005
602.0,6.2968197,6.5,74.0,30.24161,132.72633,752.59,200.784,119.44221,0.0,2.1565988,2.9668407,-0.21298103,-1.5145767
602.0,6.2968197,7.5,85.0,39.4971,213.10332,623.31134,311.39236,180.30354,0.0,2.3125987,3.0986993,0.71384275,-0.4557642
602.0,6.2968197,8.5,111.0,31.27231,296.05518,881.86224,209.76349,283.39508,0.0,0.3890964,-3.1358814,-0.11347791,1.7845721
602.0,6.2968197,9.5,104.0,144.97484,434.55225,675.01306,179.48918,147.11568,0.0,0.25618732,-2.8956277,-1.1387523,0.8552621
602.0,6.2968197,10.5,132.0,49.314835,344.7051,635.1896,160.18468,407.48795,0.0,0.19060911,-3.0251873,0.42771357,0.37111485
602.0,6.2968197,11.5,141.0,127.11626,290.8756,488.52536,493.18015,329.97784,0.0,3.0729544,-2.49045,0.687631,0.6223766
602.0,6.2968197,12.5,140.0,43.710407,179.80269,585.6803,163.2826,53.10744,0.0,2.1131086,-2.1752126,1.4533645,-2.6379986
602.0,6.2968197,13.5,178.0,27.440042,257.411,688.8025,362.66837,125.85665,0.0,-0.2572227,-2.7531624,-2.0003471,0.7670873
602.0,6.2968197,14.5,169.0,165.42606,298.25607,821.5367,214.79541,370.09802,0.0,-0.3106081,-3.1325288,-2.0019937,0.769786
602.0,6.2968197,15.5,188.0,262.63297,187.99944,1044.3058,373.74637,514.66034,0.0,-1.0293752,2.966269,-2.1504056,0.40828598
602.0,6.2968197,16.5,202.0,132.33847,447.68375,1305.246,535.60864,240.13556,0.0,-0.108287014,2.731734,-2.42941,0.78062826
602.0,6.2968197,17.5,197.0,89.99734,627.3323,995.1015,479.56018,308.46933,0.0,-0.3285644,2.7112997,-1.1591372,1.5508776
602.0,6.2968197,18.5,231.0,68.88839,596.7971,1049.6415,1157.0616,850.5005,0.0,0.35814673,3.1133323,-0.39760435,1.8167981
602.0,6.2968197,19.5,225.0,186.98677,524.802,708.0648,777.0588,674.0309,0.0,0.26311773,-2.417671,-0.29894373,1.6832784
602.0,6.2968197,20.5,239.0,160.6851,707.6049,161.9016,350.1133,91.74572,0.0,1.8802675,3.095898,-0.13563181,1.5198681
602.0,6.2968197,21.5,246.0,206.30035,699.4669,559.00653,152.22186,322.77176,0.0,1.8067143,0.838195,0.46287763,-3.0484073
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,15.0,30.14313,33.765736,430.8368,57.25275,33.30241,0.0,1.7133132,-2.934008,0.1471686,-2.7208345
