snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,12.0,1.5008955,12.439375,43.68907,17.697561,6.3887615,0.0,1.353147,-2.9808662,-0.5467355,-1.9745269
600.0,6.3231816,2.5,36.0,8.660659,5.512354,365.30087,38.388165,77.583626,0.0,1.9589392,-3.0213132,0.51736534,-1.4063367
600.0,6.3231816,3.5,40.0,2.770325,21.241287,508.93515,60.823742,35.26938,0.0,2.526384,-2.9668913,2.9644775,-0.8071093
600.0,6.3231816,4.5,48.0,11.277334,19.917147,549.4854,35.591297,37.209373,0.0,1.0549277,-2.9108174,2.5020967,2.0128124
600.0,6.3231816,5.5,76.0,25.851849,31.861668,922.0176,57.99664,76.702675,0.0,0.008155875,-2.9734488,-1.4697691,1.5995727
600.0,6.3231816,6.5,72.0,18.62902,30.81192,636.6429,79.566025,103.05974,0.0,0.9837066,-2.8727345,0.08865698,1.3328036
600.0,6.3231816,7.5,90.0,43.69287,56.36906,735.1252,87.78308,4.606209,0.0,0.9491133,-3.0226038,0.56295115,1.4716052
600.0,6.3231816,8.5,106.0,49.3142,142.10905,662.7748,57.665543,12.431125,0.0,0.6706513,-3.0770419,-0.67970175,2.6347713
600.0,6.3231816,9.5,104.0,55.936165,69.63152,497.42062,121.49862,25.040182,0.0,0.71893066,3.1410985,-1.0448763,-0.18292154
600.0,6.3231816,10.5,132.0,21.572052,121.51916,706.3382,283.39694,145.50554,0.0,0.32032147,3.0583236,-1.4712133,0.5001165
600.0,6.3231816,11.5,143.0,58.943848,61.74792,589.82166,90.07508,151.80212,0.0,0.7881215,3.0040894,-0.44190714,1.4058421
600.0,6.3231816,12.5,137.0,93.32374,163.31691,464.33273,63.51387,173.02695,0.0,-0.21836081,3.1286263,0.6760299,1.267616
600.0,6.3231816,13.5,179.0,256.64417,277.7235,764.44244,267.17157,139.20134,0.0,-0.3940338,3.0935137,0.17424361,1.8915659
600.0,6.3231816,14.5,169.0,268.18445,203.9239,747.39404,505.63602,205.73206,0.0,0.53948295,2.9019053,0.2676959,-1.1384348
600.0,6.3231816,15.5,183.0,68.33364,103.15721,745.8632,470.6726,239.8436,0.0,2.385718,2.8724744,0.177971,-1.6529964
600.0,6.3231816,16.5,206.0,31.67241,269.70593,991.21436,509.2014,43.282246,0.0,-1.0905923,-2.9071436,1.0310655,-0.6490785
600.0,6.3231816,17.5,200.0,235.54123,163.13298,1012.2749,785.0105,202.70615,0.0,2.2904277,-3.0348125,1.7906785,0.91854954
600.0,6.3231816,18.5,228.0,99.311676,392.96362,695.18005,758.69324,559.79517,0.0,2.7352397,-2.876453,2.0414972,0.83459073
600.0,6.3231816,19.5,230.0,68.5884,217.0864,281.95023,661.7184,795.95013,0.0,-0.0080453195,-2.7521806,1.8936726,1.1477445
600.0,6.3231816,20.5,206.0,96.83938,247.01648,329.20715,365.79584,337.40485,0.0,3.0370703,2.540139,1.8582021,1.0999079
600.0,6.3231816,21.5,182.0,196.20068,322.33804,258.48288,192.47862,113.52599,0.0,2.420261,1.9925666,1.4309211,1.633508
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,12.0,3.4230454,6.194446,56.367237,12.652147,20.776299,0.0,-2.5777047,2.9954894,-1.0524453,-1.7374171
602.0,6.2968197,2.5,36.0,11.403082,29.395546,363.33032,27.873234,23.45448,0.0,-2.6994228,-3.0753853,-2.8081067,-1.8150412
602.0,6.2968197,3.5,40.0,10.611189,12.561046,518.91406,3.943465,13.392175,0.0,-2.0920904,-2.9647863,2.3014557,-2.122768
602.0,6.2968197,4.5,48.0,10.602532,26.717253,569.7175,36.307068,42.420086,0.0,-3.0885396,-3.010044,2.8227935,2.197592
602.0,6.2968197,5.5,76.0,18.078243,19.707499,953.52637,51.0962,81.007095,0.0,-2.6718438,-2.9936318,-0.5599854,2.0612867
602.0,6.2968197,6.5,72.0,8.281491,24.845926,652.0875,22.134184,80.204124,0.0,1.7703161,-2.825091,-0.8168428,2.1181283
602.0,6.2968197,7.5,89.0,17.207685,79.10286,697.913,125.50307,97.53241,0.0,1.7460033,-2.9950867,0.425751,2.4373417
602.0,6.2968197,8.5,107.0,61.08741,56.816345,728.0805,68.41599,120.48789,0.0,1.0409443,-3.1366937,0.2239468,2.2371588
602.0,6.2968197,9.5,104.0,68.364235,59.348297,499.89944,113.81051,51.410652,0.0,1.0112453,-3.102434,-1.72317,-0.08140629
602.0,6.2968197,10.5,133.0,9.153231,110.64566,839.1247,171.02217,136.00844,0.0,1.7164474,-2.9928288,-1.3179204,1.4151994
602.0,6.2968197,11.5,141.0,36.303734,260.14258,692.16455,100.78054,167.13759,0.0,2.0704231,-2.986446,-1.4524441,1.0916108
602.0,6.2968197,12.5,138.0,2.3339221,126.025345,517.7443,68.24918,253.85007,0.0,0.35184196,-2.8813677,-1.05771,1.6033247
602.0,6.2968197,13.5,178.0,214.53046,238.69759,856.30524,309.118,202.88084,0.0,0.13529098,3.0821795,-0.3720367,1.5206399
602.0,6.2968197,14.5,170.0,323.7543,220.47581,816.5834,412.68524,107.02079,0.0,0.3762833,2.8739204,-0.13046998,-0.1486228
602.0,6.2968197,15.5,185.0,201.00583,377.58255,732.0607,388.13742,158.46616,0.0,-0.35766876,2.6594887,0.007273682,-1.0015258
602.0,6.2968197,16.5,201.0,131.70415,263.2431,849.17413,527.9649,132.61217,0.0,-0.80451137,-3.1063187,1.0344307,-1.8669431
