snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,14.0,47.35328,67.323425,458.06436,86.267944,17.177439,0.0,2.8578382,3.0803485,1.2918267,-0.8176567
600.0,6.3231816,2.5,36.0,49.8292,36.345657,1417.7975,122.27682,134.08514,0.0,1.6793798,2.8966737,-0.668546,-0.05656483
600.0,6.3231816,3.5,40.0,51.859642,89.8575,954.426,125.30317,64.68007,0.0,-3.0310533,2.7370346,0.65516806,-0.11231051
600.0,6.3231816,4.5,48.0,0.7286536,153.28336,755.19727,80.39511,59.8574,0.0,1.8924344,2.981088,0.3713072,0.5071374
600.0,6.3231816,5.5,74.0,112.70628,149.90399,751.39044,82.09759,144.4829,0.0,0.74766517,-3.0735836,1.2709965,-1.9839946
600.0,6.3231816,6.5,74.0,71.38454,136.50806,591.67676,76.36055,117.44194,0.0,-2.640458,3.0802178,1.6121917,-0.1634674
600.0,6.3231816,7.5,86.0,70.04614,163.01382,663.5405,224.85599,241.5067,0.0,1.8461994,-3.0880873,0.48887712,0.8102408
600.0,6.3231816,8.5,110.0,54.041985,188.42593,901.01556,265.86627,331.2387,0.0,0.8881229,-3.049696,0.4477756,1.6618941
600.0,6.3231816,9.5,104.0,139.0941,443.59268,687.0655,23.93029,254.63226,0.0,0.81538075,-3.0129316,2.8773727,1.5994604
600.0,6.3231816,10.5,133.0,90.77134,170.0203,711.78784,176.4997,352.80603,0.0,1.5672563,-2.9893582,1.0060921,1.8616623
600.0,6.3231816,11.5,142.0,76.61595,226.32323,502.77475,379.57867,229.69702,0.0,2.7714076,-2.4707088,1.4155256,2.0016923
600.0,6.3231816,12.5,137.0,147.76512,128.64781,481.05368,263.04633,50.78181,0.0,-2.704183,-2.4714913,2.6183083,2.7493002
600.0,6.3231816,13.5,178.0,14.5119505,190.8098,914.454,52.521614,53.416885,0.0,-2.3480997,-2.4716308,3.04057,0.09554124
600.0,6.3231816,14.5,171.0,173.56448,126.1037,952.6357,169.10953,348.52203,0.0,-2.403846,-2.7193105,-0.18768156,0.79099995
600.0,6.3231816,15.5,184.0,248.0905,213.97208,1323.1321,52.17537,372.07477,0.0,0.6405172,-3.0108426,2.603515,0.9504494
600.0,6.3231816,16.5,202.0,210.9881,465.5073,1131.1267,290.43564,322.30942,0.0,-0.25514498,2.8993185,3.054063,0.7477607
600.0,6.3231816,17.5,197.0,181.66454,439.09674,562.2835,44.3814,320.3851,0.0,-0.55838037,2.4799664,0.57105297,1.7801958
600.0,6.3231816,18.5,227.0,398.89633,405.69983,720.23505,768.5926,718.7225,0.0,0.6711641,-3.0209951,0.017457636,2.73221
600.0,6.3231816,19.5,231.0,285.68427,511.83224,612.4071,770.6294,286.58344,0.0,1.4832458,-3.0331833,-0.030926103,-2.059195
600.0,6.3231816,20.5,236.0,117.76795,215.27745,391.07858,163.24239,432.71802,0.0,2.4320014,3.0741992,0.92692024,-2.157866
600.0,6.3231816,21.5,263.0,224.7518,154.71191,656.21027,211.12057,258.20612,0.0,0.44131187,1.350334,1.996014,-3.056077
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14.0,17.593363,69.41058,522.988,4.768286,20.36353,0.0,3.0777624,-3.0950077,3.0612633,-0.14258556
602.0,6.2968197,2.5,35.0,36.15695,76.45741,1411.9893,96.29691,140.15004,0.0,3.0859191,3.1190228,2.5269344,1.2377045
602.0,6.2968197,3.5,41.0,50.99125,155.06561,946.2861,122.93634,244.27036,0.0,-0.21881704,2.8676932,-0.13662745,1.9585266
602.0,6.2968197,4.5,48.0,41.635532,111.83919,730.42725,211.9611,97.22778,0.0,-0.8476052,3.1327708,1.2749927,-3.1216016
602.0,6.2968197,5.5,74.0,69.89181,163.9426,916.3045,128.06702,158.34294,0.0,0.78960043,-3.0873134,1.4215909,2.9557316
602.0,6.2968197,6.5,74.0,22.591013,72.95842,759.3178,128.34958,98.89721,0.0,2.2605126,3.1070106,-0.06442825,-0.5652837
602.0,6.2968197,7.5,86.0,41.629795,230.57388,694.90466,305.66327,133.70212,0.0,2.4294925,-3.0848289,1.0566142,-0.22586216
602.0,6.2968197,8.5,110.0,33.806854,296.84576,898.0162,184.12567,224.1337,0.0,0.36826104,-3.0546064,-0.111174226,1.8864535
602.0,6.2968197,9.5,104.0,126.454155,435.3492,683.76154,180.90213,181.40182,0.0,0.28207156,-2.7648067,-0.65159535,1.3758578
602.0,6.2968197,10.5,131.0,13.764888,308.93384,612.42377,227.46458,317.75052,0.0,0.3465269,-2.699708,0.6075228,0.6671192
602.0,6.2968197,11.5,142.0,100.874626,290.92056,552.7464,469.91702,326.87268,0.0,2.8073447,-2.1892617,0.861274,1.0507646
602.0,6.2968197,12.5,140.0,74.091835,110.710945,683.01874,177.5552,103.74929,0.0,2.3645773,-2.037544,2.0882964,-2.7386773
602.0,6.2968197,13.5,177.0,62.36049,303.3074,758.9513,376.53485,109.49431,0.0,-0.43485272,-2.4141126,-1.9699671,1.924781
602.0,6.2968197,14.5,170.0,160.07983,237.04549,791.3933,219.17393,297.71906,0.0,-0.21402591,-2.8569765,-1.8365105,1.1732997
602.0,6.2968197,15.5,185.0,226.13377,153.79843,979.9789,450.30432,439.37683,0.0,-0.98198766,-3.139298,-2.0186806,0.9315041
602.0,6.2968197,16.5,202.0,246.35614,358.64075,1220.1644,329.344,298.92975,0.0,0.045342635,2.7964337,-2.2085385,1.6499412
602.0,6.2968197,17.5,200.0,27.25147,635.28015,1082.0195,550.4838,278.98178,0.0,-0.062229417,2.6518755,-1.3101879,1.8683823
602.0,6.2968197,18.5,228.0,178.87634,604.1546,845.14374,1051.5333,643.8723,0.0,0.06613651,-3.070757,-0.12454908,2.3491662
602.0,6.2968197,19.5,232.0,188.39835,437.26355,441.03827,756.9283,511.35843,0.0,0.48038182,-2.306096,-0.28388274,2.2769384
602.0,6.2968197,20.5,225.0,211.9038,563.14703,295.80722,498.4851,237.37494,0.0,2.002872,2.4952612,-0.06933678,-3.0670958
602.0,6.2968197,21.5,261.0,112.976524,670.6146,524.9297,134.63907,618.94574,0.0,1.7671944,0.87053305,-0.14214893,2.9314342
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,15.0,0.8544523,48.288635,445.70596,46.890457,19.394394,0.0,2.1098807,-2.9309807,0.5365663,1.1372832
604.0,6.2570214,2.5,35.0,55.116543,72.01692,1475.0204,40.157837,246.2767,0.0,-2.190523,-2.9366345,-0.24898483,1.8936976
604.0,6.2570214,3.5,41.0,55.39343,42.845882,758.22345,65.30714,230.06267,0.0,-2.773785,3.060712,-2.4308167,1.4310162
604.0,6.2570214,4.5,48.0,104.788185,274.08865,673.8971,185.14084,144.20819,0.0,-2.731366,-3.1293583,-0.45496967,2.0949535
604.0,6.2570214,5.5,76.0,2.3992114,185.4219,1015.1147,80.05899,164.38162,0.0,0.18417698,-2.9730732,-1.6883985,1.7689035
604.0,6.2570214,6.5,72.0,24.601023,113.00238,895.9012,213.919,175.40082,0.0,-2.2843807,-3.0184867,-1.4709387,1.4895741
604.0,6.2570214,7.5,88.0,57.88663,209.21252,845.7573,14.170123,232.13306,0.0,-1.4055841,-3.1043677,-1.5940858,0.37693152
604.0,6.2570214,8.5,108.0,121.92142,170.14825,880.53107,354.7821,126.27011,0.0,1.173402,-3.033151,0.82698584,0.6425455
604.0,6.2570214,9.5,104.0,74.83873,340.18265,885.62915,210.2421,135.43938,0.0,1.2752223,-2.6840887,-0.24973458,0.97215974
604.0,6.2570214,10.5,131.0,13.92836,444.215,804.0156,103.14687,296.8614,0.0,2.285304,-2.6349041,-2.6501114,-1.0046885
604.0,6.2570214,11.5,140.0,239.90448,136.39758,451.13528,503.91772,125.87354,0.0,0.558419,-2.6973548,0.45304728,-1.4580474
604.0,6.2570214,12.5,141.0,308.84003,181.75072,623.34863,479.38992,258.4294,0.0,0.862784,-2.223003,0.48840162,-1.2113883
604.0,6.2570214,13.5,179.0,75.009705,230.30727,734.6757,258.61362,425.34857,0.0,0.07093256,-2.5160036,-1.3109052,-0.116318054
604.0,6.2570214,14.5,169.0,44.74218,231.9289,651.4004,311.96478,548.53986,0.0,0.53756386,-2.9563787,-2.0851064,0.15939705
604.0,6.2570214,15.5,187.0,18.795082,335.60617,677.3434,230.85457,764.52576,0.0,0.08724668,3.1052873,-2.2222068,0.369967
604.0,6.2570214,16.5,199.0,141.24625,372.05237,1050.4258,437.8812,837.96387,0.0,-0.18694308,2.8032799,-1.1877707,0.77428734
604.0,6.2570214,17.5,200.0,121.086494,454.27853,1168.4027,440.7862,712.0258,0.0,-0.05128822,2.9715898,-1.1433132,2.0038972
604.0,6.2570214,18.5,232.0,151.21931,474.84647,1284.5809,207.69417,714.7856,0.0,-0.0019656112,2.8383775,-0.19593818,2.0609248
604.0,6.2570214,19.5,225.0,108.11191,574.17377,205.43938,501.04053,378.4489,0.0,0.31888714,2.3957596,-1.5949962,1.2260032
604.0,6.2570214,20.5,242.0,83.048134,327.6546,72.64903,388.64355,290.6876,0.0,1.0103188,-1.9233774,-1.098665,0.48047447
604.0,6.2570214,21.5,232.0,177.22672,194.42683,252.7536,328.70578,345.37274,0.0,2.3258495,0.60981894,-0.70666915,-1.7921213
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,15.0,1.7338735,85.42901,471.65662,98.77324,90.74303,0.0,1.2491179,-3.1304815,1.225994,1.0706586
608.0,6.198067,2.5,37.0,92.84783,66.689316,1208.9314,132.0355,131.72186,0.0,2.8376932,-2.9335945,1.6121374,2.5958772
608.0,6.198067,3.5,39.0,5.5924473,60.15807,667.48846,69.23048,139.76122,0.0,-3.0264885,-2.5943828,2.628277,1.2070029
608.0,6.198067,4.5,48.0,42.7262,100.75629,434.00674,135.6073,153.67818,0.0,-1.3416939,-2.9284773,-0.94948244,2.1968513
608.0,6.198067,5.5,76.0,36.095165,171.12126,942.6711,297.1527,102.31406,0.0,1.41346,-3.073253,0.2760113,2.5610323
608.0,6.198067,6.5,72.0,125.98694,231.51993,788.22943,118.01663,161.01628,0.0,-2.6610358,-3.09292,-1.3875594,-2.8450365
608.0,6.198067,7.5,87.0,13.385504,124.085945,1067.0552,287.1676,152.27716,0.0,0.36281908,-3.0528362,-1.169775,0.632871
608.0,6.198067,8.5,109.0,17.994728,206.85196,1163.1411,267.88013,68.53383,0.0,1.1042674,3.1404238,-1.2967508,2.2529905
608.0,6.198067,9.5,104.0,130.6279,175.67842,829.9585,159.69707,307.28674,0.0,1.2559572,-2.7882404,-0.9905952,2.6577451
608.0,6.198067,10.5,132.0,94.02291,154.84753,779.27234,246.73308,99.01118,0.0,1.867267,-2.7099082,-1.0995674,-2.0088496
608.0,6.198067,11.5,142.0,121.67382,93.025734,510.55884,391.88803,277.44543,0.0,2.447402,-2.1563797,0.33949026,-1.9694576
608.0,6.198067,12.5,138.0,97.29295,159.14314,729.72534,493.9861,180.58484,0.0,1.6093476,-1.8628396,0.18574177,-2.0364194
608.0,6.198067,13.5,175.0,125.43583,458.14423,721.45233,532.7613,99.8908,0.0,0.27009326,-2.386685,0.05859948,3.0518284
608.0,6.198067,14.5,173.0,32.99466,94.37348,634.5988,282.04465,263.48975,0.0,0.9484353,-2.8062565,-0.19059038,-0.16370827
