snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,12.0,2.6495218421917144e-14,1.3663519574599822e-14,0.0,0.558369517326355,-0.21190090477466583
520.0,7.641375389072152,2.5,28.0,28.0,3.1075809646178525e-14,8.009196383673749e-15,0.0,-2.9522290229797363,-1.967738151550293
520.0,7.641375389072152,3.5,36.0,36.0,5.0238141416164236e-14,1.3652183918644087e-14,0.0,-0.6145630478858948,-1.0456510782241821
520.0,7.641375389072152,4.5,40.0,40.0,4.0590183712904984e-14,6.383712819149314e-15,0.0,-0.12652520835399628,-1.1132137775421143
520.0,7.641375389072152,5.5,52.0,52.0,4.139197512548856e-14,1.504476808629368e-14,0.0,-0.24507518112659454,-2.3802218437194824
520.0,7.641375389072152,6.5,68.0,68.0,3.6987431723917304e-14,3.498066075199972e-14,0.0,0.32487010955810547,0.6430737376213074
520.0,7.641375389072152,7.5,68.0,68.0,2.4878261659360027e-14,2.8677846282659894e-14,0.0,-0.1300344169139862,-1.567674160003662
520.0,7.641375389072152,8.5,84.0,84.0,6.12862896991335e-14,1.709329255889198e-14,0.0,-0.010907519608736038,-2.957188367843628
520.0,7.641375389072152,9.5,92.0,92.0,6.853209226397728e-14,4.4956580660864205e-15,0.0,-0.3114771544933319,0.30414509773254395
520.0,7.641375389072152,10.5,100.0,100.0,8.491844764501502e-14,1.5656406946581286e-14,0.0,-0.5214722156524658,-2.8320305347442627
520.0,7.641375389072152,11.5,108.0,108.0,6.513686143967101e-14,9.391739059285443e-15,0.0,-0.6115300059318542,1.6584540605545044
520.0,7.641375389072152,12.5,120.0,120.0,7.609658843931368e-14,9.654794376441477e-15,0.0,-0.5503489971160889,3.0460000038146973
520.0,7.641375389072152,13.5,124.0,124.0,7.699823448061202e-14,1.829743231409664e-14,0.0,-0.6797584295272827,2.6153066158294678
520.0,7.641375389072152,14.5,156.0,156.0,1.0614274611929422e-13,1.329708984925302e-14,0.0,-0.6941854357719421,3.123288154602051
520.0,7.641375389072152,15.5,132.0,132.0,7.643010999323874e-14,1.2563855920183641e-14,0.0,-0.6104503273963928,-2.1456592082977295
520.0,7.641375389072152,16.5,172.0,172.0,1.0096625313912029e-13,2.920125540862708e-14,0.0,-0.7257627248764038,-2.2272696495056152
520.0,7.641375389072152,17.5,164.0,164.0,8.186361710407057e-14,6.539237838090669e-15,0.0,-0.5577784180641174,-1.5922549962997437
520.0,7.641375389072152,18.5,188.0,188.0,6.738211119581362e-14,2.6732166523308828e-14,0.0,-0.44011443853378296,-1.9653316736221313
