snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,3.8419720421560555e-15,3.945075357585049e-15,4.555230075158804e-15,6.008272673550557e-15,3.4548789888617522e-15,0.0,-0.7078933715820312,2.4563398361206055,-2.236514091491699,0.20897509157657623
520.0,7.641375389072152,2.5,28.0,1.2455817695084144e-14,7.976302854139416e-15,2.108193345433474e-14,2.2920239706030595e-15,8.179883980640233e-15,0.0,0.87625652551651,-2.2559473514556885,-1.2331347465515137,-0.10990176349878311
520.0,7.641375389072152,3.5,36.0,3.292242365432094e-16,3.0485943683753706e-14,3.472879264928701e-14,1.1954916947941436e-14,8.910012535753074e-15,0.0,1.5451740026474,-1.880049705505371,-2.184701919555664,-0.43944767117500305
520.0,7.641375389072152,4.5,40.0,1.896508801781452e-14,1.4701395986030183e-14,2.1539255876821184e-14,7.254165032649183e-15,1.7885894642061073e-14,0.0,-2.5101168155670166,-1.4197782278060913,-2.1650302410125732,1.5199209451675415
520.0,7.641375389072152,5.5,52.0,3.780405621791466e-14,1.9557303781273127e-14,1.8074540953748418e-14,2.714858798919751e-14,1.0319155655118082e-14,0.0,-1.053210735321045,-0.26315733790397644,-0.7565313577651978,-2.3104257583618164
520.0,7.641375389072152,6.5,68.0,2.3821670005509665e-14,3.401808986780797e-14,3.527419548528387e-14,3.112349860853187e-14,2.7563533620046384e-14,0.0,-1.1076467037200928,0.49755430221557617,-1.4446879625320435,-2.3717293739318848
520.0,7.641375389072152,7.5,68.0,1.5833939248730694e-14,7.929109263314899e-14,2.981247674507542e-14,4.683316021268472e-14,3.548522712847148e-14,0.0,-1.7295440435409546,2.651622772216797,-1.6975153684616089,-1.879494547843933
520.0,7.641375389072152,8.5,84.0,2.0469279618734806e-14,1.5515606199814708e-13,7.66663757123034e-14,9.219249681857357e-14,4.692278265170959e-14,0.0,-1.926561951637268,2.881920576095581,-1.633745551109314,-1.7779558897018433
520.0,7.641375389072152,9.5,92.0,1.7851066897453874e-14,2.1611656872776377e-13,9.868180327557262e-14,1.2449037521925312e-13,1.8961063979503882e-14,0.0,-1.918434739112854,2.6564996242523193,-1.6115853786468506,-1.908491849899292
520.0,7.641375389072152,10.5,100.0,1.4321214637899767e-14,2.34302189056596e-13,1.1062333998735001e-13,9.356491753243685e-14,1.5239864415470795e-14,0.0,-1.8183413743972778,2.609316349029541,-1.7868777513504028,1.3777308464050293
520.0,7.641375389072152,11.5,108.0,9.588044503586624e-15,2.533534512741603e-13,1.2050083306872307e-13,1.0964536624892912e-13,5.6114051030989356e-14,0.0,-1.7717756032943726,2.3436472415924072,-1.9839606285095215,1.7289390563964844
520.0,7.641375389072152,12.5,120.0,3.33419205330969e-14,2.682584168752158e-13,1.4646049236295182e-13,7.971526762967676e-14,8.739540121897491e-14,0.0,-1.814481496810913,2.4449620246887207,-2.3229846954345703,1.6400723457336426
520.0,7.641375389072152,13.5,124.0,8.007793240354458e-14,2.459316942445543e-13,1.952633921852238e-13,7.062598131908516e-14,1.2716879144677553e-13,0.0,-1.942184567451477,2.4720876216888428,3.137295722961426,1.439022421836853
520.0,7.641375389072152,14.5,156.0,1.1342596512638886e-13,2.461195318658696e-13,2.0630364231107873e-13,7.657424401285317e-14,1.4073707988592694e-13,0.0,-1.9733961820602417,2.5091512203216553,-3.064873218536377,1.607129454612732
520.0,7.641375389072152,15.5,132.0,9.315405434875967e-14,1.847568689433253e-13,1.552795026744242e-13,5.689557084604852e-14,1.232093401430797e-13,0.0,-2.0001513957977295,2.7082948684692383,2.9076552391052246,1.6911964416503906
520.0,7.641375389072152,16.5,172.0,1.2378814607475613e-13,1.7420967746462716e-13,1.369326330498236e-13,7.600773419901509e-14,1.1227722026286593e-13,0.0,-2.007622718811035,2.5993740558624268,-2.6261239051818848,1.4560195207595825
520.0,7.641375389072152,17.5,164.0,9.820289248669081e-14,1.124408583236059e-13,8.62843862613166e-14,7.253552677172814e-14,8.097950781658213e-14,0.0,-2.065941572189331,2.801240921020508,-2.373962879180908,1.3669430017471313
520.0,7.641375389072152,18.5,188.0,9.037136138164911e-14,8.905821607276031e-14,8.074108293929438e-14,7.239314864113015e-14,6.669680452779769e-14,0.0,-2.22210693359375,2.970417022705078,-1.9881389141082764,1.4748719930648804
520.0,7.641375389072152,19.5,180.0,7.293016017484444e-14,6.333545841370575e-14,7.660010820090282e-14,5.990050985265723e-14,5.540322763165933e-14,0.0,-2.629293441772461,-3.1282331943511963,-1.8357445001602173,1.9910184144973755
520.0,7.641375389072152,20.5,200.0,6.07778055856413e-14,5.1262074362686544e-14,7.194561204914682e-14,6.827491990773042e-14,4.416564000007764e-14,0.0,-2.6449453830718994,-3.0988824367523193,-1.4991281032562256,1.3754675388336182
520.0,7.641375389072152,21.5,204.0,4.1860876473075875e-14,4.877857159236692e-14,6.584148108571742e-14,5.761428066044282e-14,3.6667760870711474e-14,0.0,-3.0032057762145996,-2.8783693313598633,-1.2725493907928467,1.4506852626800537
520.0,7.641375389072152,22.5,196.0,2.7078914875385343e-14,4.6760370197509097e-14,5.855172694386408e-14,4.6518243713831317e-14,3.3964038814233745e-14,0.0,3.0059285163879395,-2.6588728427886963,-0.9409837126731873,1.7144101858139038
520.0,7.641375389072152,23.5,228.0,2.8114146685058287e-14,4.577254311983364e-14,5.209297848643565e-14,3.38088202006348e-14,3.54504348221164e-14,0.0,3.012990951538086,-2.626791477203369,-0.8869078159332275,2.1344642639160156
520.0,7.641375389072152,24.5,252.0,2.294793180349433e-14,3.7805861968774915e-14,3.9474509643299525e-14,3.5183605495397286e-14,2.4030660194050573e-14,0.0,3.0370430946350098,-2.3515396118164062,-0.5881364345550537,1.9223268032073975
520.0,7.641375389072152,25.5,252.0,1.794393728385673e-14,3.3063527565864956e-14,3.218895995704327e-14,2.952436412504506e-14,1.5612750292374005e-14,0.0,2.9477105140686035,-2.130492687225342,-0.36761271953582764,2.042992353439331
520.0,7.641375389072152,26.5,244.0,1.5028729400280022e-14,2.979149139390747e-14,2.7818595865963708e-14,2.5385589539091663e-14,8.822732344433645e-15,0.0,2.896796703338623,-1.9796262979507446,-0.20103886723518372,2.112110137939453
520.0,7.641375389072152,27.5,260.0,1.2477185795244528e-14,2.8522195201641036e-14,2.6918313088881243e-14,1.7171939081363835e-14,8.523165628522277e-15,0.0,2.807842493057251,-2.032087564468384,-0.16229873895645142,2.6550369262695312
520.0,7.641375389072152,28.5,280.0,1.0192619351887065e-14,2.8496888768166544e-14,2.908799462814198e-14,1.8677379875780687e-14,5.301867980170661e-15,0.0,2.950918197631836,-1.7670116424560547,0.11283554881811142,2.1095564365386963
520.0,7.641375389072152,29.5,300.0,7.970975598049334e-15,2.7025179054130218e-14,2.7583938586316512e-14,1.7858685560291325e-14,6.4218533110267405e-15,0.0,3.0203211307525635,-1.7086085081100464,0.1448906511068344,2.0513219833374023
520.0,7.641375389072152,30.5,284.0,6.774971005756893e-15,2.396615487266407e-14,2.223873431652988e-14,1.545812631848213e-14,7.373228689170417e-15,0.0,3.1258060932159424,-1.6201764345169067,0.16630230844020844,2.1466825008392334
520.0,7.641375389072152,31.5,292.0,7.898214620847242e-15,2.2558339678388202e-14,1.7512804005177148e-14,1.0178555033998061e-14,7.413741232353925e-15,0.0,-3.137728691101074,-1.6148853302001953,0.2645077705383301,2.4885685443878174
