snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,4.699416718398006e-15,6.7258790530355436e-15,6.535734974472449e-15,0.0,-0.7566329836845398,2.3315787315368652
520.0,7.641375389072152,2.5,28.0,3.0122781981452296e-14,2.152092285305003e-14,5.1541801627061897e-14,0.0,1.0529170036315918,-2.196843147277832
520.0,7.641375389072152,3.5,36.0,2.037227105286814e-15,1.067916862809228e-13,1.2466415891584317e-13,0.0,1.5405101776123047,-1.8530998229980469
520.0,7.641375389072152,4.5,40.0,8.651192690825246e-14,6.7626609209758e-14,9.841816576839637e-14,0.0,-2.494147539138794,-1.4056988954544067
520.0,7.641375389072152,5.5,52.0,2.060445455746851e-13,1.0621974458736312e-13,1.0012228862531906e-13,0.0,-1.0800384283065796,-0.2192339152097702
520.0,7.641375389072152,6.5,68.0,1.5204984081702844e-13,2.2512426882918772e-13,2.285538097755942e-13,0.0,-1.1228249073028564,0.5030474066734314
520.0,7.641375389072152,7.5,68.0,1.2078185673836117e-13,5.984002598687717e-13,2.2945822466431967e-13,0.0,-1.7351924180984497,2.679824113845825
520.0,7.641375389072152,8.5,84.0,1.7855134688479768e-13,1.3236934482907538e-12,6.592863120953043e-13,0.0,-1.9324240684509277,2.8876731395721436
520.0,7.641375389072152,9.5,92.0,1.6934152376798378e-13,2.0699218126040765e-12,9.398006534992628e-13,0.0,-1.919661045074463,2.6479694843292236
520.0,7.641375389072152,10.5,100.0,1.5168657887913717e-13,2.471839127270593e-12,1.162714434937638e-12,0.0,-1.8182471990585327,2.6072404384613037
520.0,7.641375389072152,11.5,108.0,1.1260151746564015e-13,2.907372879070261e-12,1.3843866564985232e-12,0.0,-1.772261381149292,2.3479928970336914
