snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,1.0781301659811351e-13,3.49661280759594e-14,2.4389094365823346e-14,0.0,-1.3906272649765015,2.792940378189087
520.0,7.641375389072152,2.5,28.0,2.7318995776372734e-15,1.2484507040570706e-13,1.0880714929693845e-13,0.0,0.6792977452278137,-0.30033206939697266
520.0,7.641375389072152,3.5,36.0,2.9806520207738274e-14,1.0738576339147918e-13,4.1388754804503213e-14,0.0,1.0357637405395508,2.263871669769287
520.0,7.641375389072152,4.5,40.0,3.050894769023732e-14,1.1206587615593757e-13,1.1367611084797333e-13,0.0,0.5691765546798706,2.839207172393799
520.0,7.641375389072152,5.5,52.0,3.6720928083206275e-14,1.2576415016992368e-13,2.3815788999467914e-14,0.0,0.7070126533508301,1.2901241779327393
520.0,7.641375389072152,6.5,68.0,5.6210419280863615e-15,1.1080588013305855e-13,9.902986405378052e-15,0.0,0.36298203468322754,-1.1574203968048096
520.0,7.641375389072152,7.5,68.0,8.961537431182928e-14,5.869956542913641e-14,4.2677072383743506e-14,0.0,0.06525850296020508,0.0051109157502651215
520.0,7.641375389072152,8.5,84.0,2.102776401624335e-14,2.028278552848607e-14,2.2658714382967574e-14,0.0,0.6915756464004517,-1.2196742296218872
520.0,7.641375389072152,9.5,92.0,3.331544228316573e-14,1.756598901506493e-14,1.610676645202567e-14,0.0,1.9199237823486328,-1.1550447940826416
520.0,7.641375389072152,10.5,100.0,6.804570063878926e-14,1.0979216073870492e-14,1.640115884839916e-14,0.0,-2.2629778385162354,-1.0786986351013184
520.0,7.641375389072152,11.5,108.0,6.704000147985528e-14,2.347704391524615e-14,7.655435932876862e-15,0.0,-1.7980284690856934,-1.7066030502319336
520.0,7.641375389072152,12.5,120.0,4.622323506483887e-14,3.5400611230963267e-14,4.729908565153039e-15,0.0,-2.1807351112365723,-0.6711331009864807
520.0,7.641375389072152,13.5,124.0,3.484370656044698e-14,4.470277779189491e-14,1.4363384884982068e-14,0.0,-2.0119428634643555,-1.1430256366729736
520.0,7.641375389072152,14.5,156.0,4.5285176568940835e-14,5.078863331898192e-14,1.3402082797249861e-14,0.0,-2.1574811935424805,-0.7146960496902466
520.0,7.641375389072152,15.5,132.0,3.4768578126157315e-14,3.988257151219497e-14,6.40478936918353e-15,0.0,-2.1932623386383057,-0.5507727265357971
520.0,7.641375389072152,16.5,172.0,4.24612906955394e-14,4.6589500360344235e-14,1.1524820522112659e-14,0.0,-2.4279654026031494,-0.06875443458557129
520.0,7.641375389072152,17.5,164.0,4.135798284789563e-14,3.0467703453543503e-14,4.7364228472071705e-15,0.0,-2.5571770668029785,-0.36792847514152527
