snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,9.260939183488442e-14,3.230291064342518e-14,1.5233753261389185e-14,0.0,-2.1865293979644775,2.7077507972717285
520.0,7.641375389072152,2.5,28.0,7.57774512626444e-14,1.0599904669061482e-13,8.409028283901925e-14,0.0,0.5545555949211121,-0.5360968708992004
520.0,7.641375389072152,3.5,36.0,2.187818509528667e-14,1.4001291761899532e-13,5.0673650792438534e-14,0.0,0.5942044258117676,-2.7149903774261475
520.0,7.641375389072152,4.5,40.0,7.2029059420501e-14,1.3658277939546319e-13,1.0408227637442955e-13,0.0,0.37892189621925354,2.9655017852783203
520.0,7.641375389072152,5.5,52.0,1.1565076153685627e-13,1.5937890191197212e-13,1.818552527012618e-14,0.0,0.2631874978542328,-1.97657310962677
520.0,7.641375389072152,6.5,68.0,1.126295440917989e-13,1.516068728634262e-13,5.212207349761991e-14,0.0,0.2451096475124359,0.425686776638031
520.0,7.641375389072152,7.5,68.0,1.5810141011044637e-13,1.0630569729826182e-13,1.8834412994580498e-14,0.0,-0.46849390864372253,-0.25254756212234497
520.0,7.641375389072152,8.5,84.0,9.110335370213912e-14,7.835488671420482e-14,4.8305861231297184e-14,0.0,-0.8808952569961548,-2.835298538208008
520.0,7.641375389072152,9.5,92.0,9.922671815069603e-14,1.0840775529551467e-13,3.423358145979111e-14,0.0,-1.3627195358276367,2.8566770553588867
520.0,7.641375389072152,10.5,100.0,1.2293285963846379e-13,1.7490740106324684e-13,5.399251486213666e-14,0.0,-1.3189929723739624,3.117976427078247
520.0,7.641375389072152,11.5,108.0,1.5271665225816133e-13,1.6910596532557379e-13,4.232588287873376e-14,0.0,-1.3686434030532837,2.4901556968688965
520.0,7.641375389072152,12.5,120.0,1.4024285205360698e-13,1.9931836011869155e-13,7.665379781424722e-14,0.0,-1.509601354598999,2.514591693878174
520.0,7.641375389072152,13.5,124.0,1.7258312563338957e-13,2.0340409048371974e-13,1.0336890450907167e-13,0.0,-1.5897852182388306,2.5607616901397705
520.0,7.641375389072152,14.5,156.0,2.2838442291853167e-13,2.2342931391731453e-13,1.0104698366852222e-13,0.0,-1.547515630722046,2.595883846282959
520.0,7.641375389072152,15.5,132.0,1.7117050507033105e-13,1.6016298377980003e-13,7.423300556781392e-14,0.0,-1.5653188228607178,2.886772632598877
520.0,7.641375389072152,16.5,172.0,2.2094545431509266e-13,1.7640068394072e-13,6.59642699986221e-14,0.0,-1.551552176475525,2.967529773712158
520.0,7.641375389072152,17.5,164.0,2.0760747721643158e-13,1.1089572279008432e-13,3.690587254949465e-14,0.0,-1.414379358291626,2.9733991622924805
520.0,7.641375389072152,18.5,188.0,1.885873456095727e-13,7.3178853876348e-14,5.524253554583492e-14,0.0,-1.5105900764465332,-2.7655787467956543
520.0,7.641375389072152,19.5,180.0,1.5787136951449926e-13,7.396221723437496e-14,1.1285620008127356e-14,0.0,-1.1083142757415771,-2.312472343444824
520.0,7.641375389072152,20.5,200.0,1.684505535276895e-13,5.901644001438923e-14,2.7907476282621257e-14,0.0,-1.1585273742675781,-2.9391589164733887
520.0,7.641375389072152,21.5,204.0,1.4696266935603636e-13,6.445726881053636e-14,3.2149704258578845e-14,0.0,-1.5174932479858398,-3.0642387866973877
520.0,7.641375389072152,22.5,196.0,1.2105109124284363e-13,4.263552946141604e-14,1.599965133109698e-14,0.0,-0.7847679853439331,-2.171424150466919
520.0,7.641375389072152,23.5,228.0,1.221270670313454e-13,4.8991619130472665e-14,1.2462731777211489e-14,0.0,-0.7902747988700867,-1.1072638034820557
520.0,7.641375389072152,24.5,252.0,1.2497824769443916e-13,4.843544904620406e-14,1.7538566890562815e-14,0.0,-0.8884226679801941,-0.8414777517318726
520.0,7.641375389072152,25.5,252.0,1.3828417306637614e-13,4.289682322633092e-14,3.820119369106397e-14,0.0,-1.5487149953842163,-1.6977999210357666
520.0,7.641375389072152,26.5,244.0,1.0502536340606383e-13,2.6450893324278776e-14,2.0180538462879206e-14,0.0,-0.6317234635353088,-0.5025381445884705
520.0,7.641375389072152,27.5,260.0,1.0282184446323145e-13,3.191606492637544e-14,1.4181659723578977e-14,0.0,-0.8141481280326843,-0.39897584915161133
520.0,7.641375389072152,28.5,280.0,1.0270206045196253e-13,2.077509548468364e-14,1.4477603097729804e-14,0.0,-1.2025980949401855,0.08407757431268692
520.0,7.641375389072152,29.5,300.0,9.932420147852963e-14,1.99567642965036e-14,2.349279769933041e-14,0.0,-1.3178049325942993,0.04192357882857323
520.0,7.641375389072152,30.5,284.0,1.0220132845486368e-13,1.7850681993753842e-14,1.6614929658378102e-14,0.0,-1.0536950826644897,0.09949276596307755
520.0,7.641375389072152,31.5,292.0,9.616409773517687e-14,1.4305309886569138e-14,2.2129958545401808e-14,0.0,-1.2125346660614014,0.019092334434390068
520.0,7.641375389072152,32.5,316.0,9.008963822339233e-14,1.3604988637724778e-14,2.1708401020003724e-14,0.0,2.5663444995880127,0.07079961895942688
520.0,7.641375389072152,33.5,324.0,9.852208838253412e-14,5.807315276158964e-15,1.742098379129683e-14,0.0,2.679542303085327,0.2810768485069275
520.0,7.641375389072152,34.5,324.0,8.915252840439522e-14,1.7881797995727075e-14,1.648817353978024e-14,0.0,2.518664598464966,0.2636205554008484
520.0,7.641375389072152,35.5,348.0,8.967497832626167e-14,2.6133612105111785e-14,1.66146852438761e-14,0.0,2.4025917053222656,0.08847051113843918
520.0,7.641375389072152,36.5,352.0,8.938349057218895e-14,2.881448258842014e-14,1.7150065494201793e-14,0.0,2.4134445190429688,0.42940518260002136
