snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,0.75,14777.0,14777.0,1136.5933,1515.894,0.0,2.2270396,-1.3438896
520.0,7.6413755,1.25,13519.0,13519.0,1154.9176,1542.2148,0.0,2.8715456,1.7152443
520.0,7.6413755,1.75,10084.0,10084.0,830.7764,3681.4976,0.0,2.4925246,1.7963629
520.0,7.6413755,2.25,6705.0,6705.0,544.27234,3430.1594,0.0,2.5125937,1.8713834
520.0,7.6413755,2.75,4306.0,4306.0,246.5022,3097.6907,0.0,2.7359624,1.9218874
520.0,7.6413755,3.25,2244.0,2244.0,121.9195,1528.4061,0.0,0.4747812,1.988317
520.0,7.6413755,3.75,1620.0,1620.0,39.820236,1048.2786,0.0,-1.6860709,2.1039648
520.0,7.6413755,4.25,1432.0,1432.0,83.62711,726.34064,0.0,-0.722586,2.7245884
520.0,7.6413755,4.75,1623.0,1623.0,54.915028,524.12555,0.0,3.1108897,2.964205
520.0,7.6413755,5.25,1741.0,1741.0,205.464,250.70735,0.0,1.9371847,-3.1288161
520.0,7.6413755,5.75,1911.0,1911.0,193.86795,40.050743,0.0,0.75771916,-1.8921021
523.0,7.596713,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.75,15113.0,15113.0,820.98926,1382.6865,0.0,2.5540242,-1.2335117
523.0,7.596713,1.25,13602.0,13602.0,558.00226,1705.2771,0.0,-2.930297,2.1637926
523.0,7.596713,1.75,9935.0,9935.0,514.19495,3537.8162,0.0,3.0519016,1.8985747
523.0,7.596713,2.25,6582.0,6582.0,233.35255,3175.2842,0.0,-1.7188762,1.8924118
523.0,7.596713,2.75,4196.0,4196.0,113.35479,2833.8152,0.0,-1.304971,1.9585147
523.0,7.596713,3.25,2472.0,2472.0,162.36841,1801.154,0.0,-2.5991704,1.9722016
523.0,7.596713,3.75,1771.0,1771.0,121.76915,1301.8741,0.0,3.1047213,2.016661
523.0,7.596713,4.25,1651.0,1651.0,82.76133,1186.0084,0.0,2.0322223,2.2395778
523.0,7.596713,4.75,1700.0,1700.0,373.77267,1277.2928,0.0,-1.7245752,2.3274865
523.0,7.596713,5.25,1601.0,1601.0,274.89532,640.4517,0.0,-1.4285928,2.718386
523.0,7.596713,5.75,1846.0,1846.0,226.72694,358.70282,0.0,2.2079813,2.6919785
525.0,7.566684,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,0.75,14041.0,14041.0,363.7844,906.9083,0.0,2.9442546,-1.5589921
525.0,7.566684,1.25,12413.0,12413.0,299.07776,2844.373,0.0,2.9387739,2.1100545
525.0,7.566684,1.75,9794.0,9794.0,633.73846,3872.7534,0.0,2.302081,2.0852165
525.0,7.566684,2.25,6537.0,6537.0,518.9908,3390.045,0.0,2.0448053,1.9292188
525.0,7.566684,2.75,3960.0,3960.0,99.77382,2756.7317,0.0,-2.6571407,1.8317423
525.0,7.566684,3.25,2361.0,2361.0,217.22807,1887.2175,0.0,0.6444201,1.8440644
525.0,7.566684,3.75,1795.0,1795.0,82.07707,1329.007,0.0,1.8349729,1.8681101
525.0,7.566684,4.25,1683.0,1683.0,111.64368,1205.0013,0.0,0.79373276,1.8538604
525.0,7.566684,4.75,1761.0,1761.0,225.63187,1214.2294,0.0,-1.8801371,1.9290808
525.0,7.566684,5.25,1736.0,1736.0,472.63727,911.55133,0.0,-2.2533956,2.2226808
525.0,7.566684,5.75,1868.0,1868.0,226.90239,657.4455,0.0,-2.6205416,2.263214
527.0,7.5333905,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,0.75,14374.0,14374.0,49.511314,166.35483,0.0,0.38501814,-2.3880925
527.0,7.5333905,1.25,12501.0,12501.0,446.67825,2691.8123,0.0,2.5325608,2.1138883
527.0,7.5333905,1.75,9522.0,9522.0,136.24815,4229.8877,0.0,-2.242094,2.0074644
527.0,7.5333905,2.25,6428.0,6428.0,335.67035,3725.908,0.0,-2.4061415,1.8920957
527.0,7.5333905,2.75,4151.0,4151.0,304.65076,3047.2434,0.0,3.136525,1.8522516
527.0,7.5333905,3.25,2294.0,2294.0,109.93747,1613.7185,0.0,2.2696946,1.8781149
527.0,7.5333905,3.75,1785.0,1785.0,182.27615,1153.7294,0.0,-2.090926,1.7663472
527.0,7.5333905,4.25,1630.0,1630.0,356.03223,1179.8135,0.0,-2.3811212,1.4267293
527.0,7.5333905,4.75,1899.0,1899.0,9.9038515,1179.5122,0.0,-1.6826541,1.6110303
527.0,7.5333905,5.25,1817.0,1817.0,93.26878,977.9168,0.0,2.3455482,1.5142521
527.0,7.5333905,5.75,1980.0,1980.0,93.051346,902.44073,0.0,-2.364386,1.756247
530.0,7.48298,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,0.75,14992.0,14992.0,603.17206,504.05984,0.0,1.7563671,-1.2400253
530.0,7.48298,1.25,13768.0,13768.0,701.52655,2649.8809,0.0,1.8558599,1.991151
530.0,7.48298,1.75,10565.0,10565.0,198.94505,4636.628,0.0,2.8989842,2.0323312
530.0,7.48298,2.25,6813.0,6813.0,435.86148,4164.322,0.0,1.6095902,2.025057
530.0,7.48298,2.75,4225.0,4225.0,389.14767,3289.8394,0.0,2.5703287,1.9417785
530.0,7.48298,3.25,2365.0,2365.0,301.205,1613.6249,0.0,1.8784702,1.9944671
530.0,7.48298,3.75,1768.0,1768.0,113.04767,917.3351,0.0,1.8923244,1.6285405
530.0,7.48298,4.25,1448.0,1448.0,11.375247,517.0644,0.0,1.0722177,0.9201401
530.0,7.48298,4.75,1484.0,1484.0,29.624043,490.18124,0.0,-2.495409,0.5400861
530.0,7.48298,5.25,1596.0,1596.0,166.4238,608.1555,0.0,2.6638615,0.8388744
530.0,7.48298,5.75,1826.0,1826.0,84.036644,617.2623,0.0,2.4846845,1.254767
532.0,7.445623,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,0.75,15170.0,15170.0,1438.3912,735.97064,0.0,2.6435094,-2.2797773
532.0,7.445623,1.25,13560.0,13560.0,862.13824,2269.3262,0.0,2.1945958,1.9672974
532.0,7.445623,1.75,10384.0,10384.0,607.2215,4423.174,0.0,2.1140351,1.912463
