snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,86579.0,86579.0,806.51154,23702.967,0.0,2.4478621,-1.2213392
520.0,7.6413755,2.5,89676.0,89676.0,482.12875,30067.873,0.0,-2.8317733,-1.2087964
520.0,7.6413755,3.5,85141.0,85141.0,1282.7579,27348.928,0.0,2.7811582,-1.2562226
520.0,7.6413755,4.5,76342.0,76342.0,824.7313,23007.53,0.0,2.619365,-1.2051904
520.0,7.6413755,5.5,67121.0,67121.0,210.04898,19012.986,0.0,-0.24695835,-1.2651427
520.0,7.6413755,6.5,59386.0,59386.0,757.7518,16646.406,0.0,3.1053324,-1.2343384
520.0,7.6413755,7.5,51984.0,51984.0,660.0333,14034.477,0.0,2.6483123,-1.253328
520.0,7.6413755,8.5,45109.0,45109.0,416.7669,12226.931,0.0,2.597691,-1.3021312
520.0,7.6413755,9.5,40372.0,40372.0,253.20518,9418.825,0.0,-2.9100254,-1.3576145
520.0,7.6413755,10.5,36694.0,36694.0,269.1139,8494.1455,0.0,0.68630993,-1.3400474
520.0,7.6413755,11.5,34100.0,34100.0,483.53082,7753.5264,0.0,1.0563823,-1.3641559
520.0,7.6413755,12.5,31676.0,31676.0,514.96063,7190.0586,0.0,0.40376395,-1.435898
520.0,7.6413755,13.5,29905.0,29905.0,783.04224,6583.029,0.0,0.16945064,-1.4051023
520.0,7.6413755,14.5,27800.0,27800.0,916.0149,6743.393,0.0,-0.032709606,-1.3433143
520.0,7.6413755,15.5,25761.0,25761.0,1293.309,6151.5293,0.0,-0.25515315,-1.361732
520.0,7.6413755,16.5,23719.0,23719.0,1523.6206,5717.5317,0.0,-0.10568047,-1.3440182
520.0,7.6413755,17.5,21815.0,21815.0,1655.7723,5160.8677,0.0,-0.17098272,-1.213413
520.0,7.6413755,18.5,19808.0,19808.0,1585.4476,4106.5225,0.0,-0.12025134,-1.3272724
520.0,7.6413755,19.5,18677.0,18677.0,1777.6368,4625.7666,0.0,-0.23788656,-1.2548066
520.0,7.6413755,20.5,17584.0,17584.0,1267.2355,4114.6597,0.0,-0.26927543,-1.227553
520.0,7.6413755,21.5,16317.0,16317.0,1515.1403,3969.485,0.0,0.07206711,-1.161732
520.0,7.6413755,22.5,14910.0,14910.0,890.2342,3252.0234,0.0,0.53584903,-1.2630417
520.0,7.6413755,23.5,13914.0,13914.0,929.8734,3187.6772,0.0,0.26054543,-1.225667
520.0,7.6413755,24.5,12491.0,12491.0,512.4705,2545.3628,0.0,-0.15328376,-1.1454905
520.0,7.6413755,25.5,11689.0,11689.0,783.2067,2705.3955,0.0,-0.058944706,-1.3100635
520.0,7.6413755,26.5,10809.0,10809.0,886.3189,2699.435,0.0,-0.20795947,-1.1040518
520.0,7.6413755,27.5,10166.0,10166.0,619.0033,2408.219,0.0,-0.1631186,-1.019997
520.0,7.6413755,28.5,9465.0,9465.0,305.34662,2025.4652,0.0,1.1758745,-0.9872036
520.0,7.6413755,29.5,9240.0,9240.0,82.54313,1861.154,0.0,1.1189823,-0.8990697
520.0,7.6413755,30.5,8595.0,8595.0,167.4125,1844.4924,0.0,2.2448404,-0.89630336
520.0,7.6413755,31.5,7918.0,7918.0,254.99892,1932.0607,0.0,2.175478,-0.97960675
520.0,7.6413755,32.5,7577.0,7577.0,269.56863,1676.7913,0.0,1.9257139,-1.0466659
520.0,7.6413755,33.5,7259.0,7259.0,344.41742,1647.288,0.0,2.2898324,-1.104985
520.0,7.6413755,34.5,6837.0,6837.0,299.40533,1556.1401,0.0,1.785543,-0.91443956
520.0,7.6413755,35.5,6634.0,6634.0,346.31143,1551.3115,0.0,2.066864,-0.93125945
520.0,7.6413755,36.5,6545.0,6545.0,512.9273,1767.7289,0.0,1.6854997,-0.9968458
520.0,7.6413755,37.5,6153.0,6153.0,377.1281,1662.0914,0.0,2.0939465,-0.84814936
520.0,7.6413755,38.5,5955.0,5955.0,663.1345,1737.478,0.0,1.8680496,-1.0578156
520.0,7.6413755,39.5,5569.0,5569.0,515.3177,1473.7894,0.0,2.2044632,-0.8431504
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,85429.0,85429.0,1176.8213,23316.502,0.0,-2.5835574,-1.1418482
523.0,7.596713,2.5,89305.0,89305.0,942.3913,30609.275,0.0,-3.0295198,-1.1679524
523.0,7.596713,3.5,83637.0,83637.0,562.3598,28254.232,0.0,2.7705958,-1.1786804
523.0,7.596713,4.5,75091.0,75091.0,941.4981,23526.502,0.0,2.78517,-1.2055064
523.0,7.596713,5.5,66612.0,66612.0,1124.4708,18567.852,0.0,2.41805,-1.1871287
523.0,7.596713,6.5,59039.0,59039.0,330.12497,17247.533,0.0,-0.5771816,-1.2200341
523.0,7.596713,7.5,52337.0,52337.0,723.8718,14131.562,0.0,2.0516844,-1.2361577
523.0,7.596713,8.5,45435.0,45435.0,336.5403,11803.347,0.0,0.7358355,-1.2088126
523.0,7.596713,9.5,41192.0,41192.0,763.5894,10197.318,0.0,-2.6416411,-1.292695
523.0,7.596713,10.5,37334.0,37334.0,360.81473,8693.144,0.0,0.39163688,-1.3180176
523.0,7.596713,11.5,34866.0,34866.0,1174.7523,7440.979,0.0,-0.3711415,-1.2448512
523.0,7.596713,12.5,32852.0,32852.0,970.2526,7343.987,0.0,-0.27529413,-1.3011053
523.0,7.596713,13.5,30325.0,30325.0,1275.3104,6898.4683,0.0,0.06658588,-1.3727269
523.0,7.596713,14.5,27991.0,27991.0,1264.6008,6364.991,0.0,-0.27718425,-1.3563259
523.0,7.596713,15.5,26290.0,26290.0,1441.7289,6327.4014,0.0,-0.4951516,-1.325212
523.0,7.596713,16.5,24269.0,24269.0,1921.5349,5998.3237,0.0,-0.3019743,-1.3222162
523.0,7.596713,17.5,22097.0,22097.0,1551.3695,5345.1406,0.0,-0.3547119,-1.3008186
523.0,7.596713,18.5,20032.0,20032.0,1632.8948,4305.5107,0.0,-0.5684632,-1.3522241
523.0,7.596713,19.5,18714.0,18714.0,1469.6993,4259.448,0.0,-0.27689245,-1.2536654
523.0,7.596713,20.5,17214.0,17214.0,1327.3174,3867.7583,0.0,-0.3279075,-1.2278616
523.0,7.596713,21.5,16340.0,16340.0,932.51935,3986.5786,0.0,-0.51555055,-1.2100163
523.0,7.596713,22.5,14928.0,14928.0,842.13806,3513.1218,0.0,-0.02909869,-1.177298
523.0,7.596713,23.5,13608.0,13608.0,802.21515,2719.4377,0.0,-0.015392951,-1.1569095
523.0,7.596713,24.5,12769.0,12769.0,732.4096,2597.8997,0.0,0.12815696,-1.1591718
523.0,7.596713,25.5,11943.0,11943.0,1421.5497,2402.4963,0.0,-0.16706643,-0.9380089
523.0,7.596713,26.5,11463.0,11463.0,1599.3824,2544.9336,0.0,-0.14646414,-0.84551716
523.0,7.596713,27.5,10994.0,10994.0,2215.6296,3247.3513,0.0,-0.012042878,-0.55241823
523.0,7.596713,28.5,10376.0,10376.0,1763.2014,2856.111,0.0,-0.07633748,-0.7054068
523.0,7.596713,29.5,9463.0,9463.0,814.979,2701.975,0.0,-0.2396559,-0.64241797
523.0,7.596713,30.5,8777.0,8777.0,375.2787,2263.9978,0.0,0.5767907,-0.7850936
523.0,7.596713,31.5,8193.0,8193.0,124.7098,2039.684,0.0,2.2390382,-0.98729956
523.0,7.596713,32.5,7480.0,7480.0,262.71585,1876.2408,0.0,-2.878557,-1.0867962
523.0,7.596713,33.5,7304.0,7304.0,137.36536,1592.3093,0.0,-2.5861106,-1.1037859
523.0,7.596713,34.5,6824.0,6824.0,127.33232,1739.5149,0.0,1.7172407,-1.0574274
523.0,7.596713,35.5,6640.0,6640.0,302.45862,1770.2162,0.0,1.7356458,-0.8499081
523.0,7.596713,36.5,6335.0,6335.0,580.8263,1590.9001,0.0,2.0674682,-0.67242503
523.0,7.596713,37.5,6326.0,6326.0,717.3276,1775.781,0.0,2.3272314,-0.7833737
523.0,7.596713,38.5,5989.0,5989.0,427.02917,1813.838,0.0,2.4463427,-0.9235928
523.0,7.596713,39.5,5649.0,5649.0,625.1466,1728.7758,0.0,2.2633848,-0.85957384
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,86193.0,86193.0,474.9411,23032.396,0.0,-1.9566686,-1.2160269
525.0,7.566684,2.5,89465.0,89465.0,500.31506,31440.773,0.0,-0.34809044,-1.2117566
525.0,7.566684,3.5,84927.0,84927.0,534.9458,28788.516,0.0,-0.843414,-1.2202725
