snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,0.75,36823.0,36823.0,843.1222,5711.3115,325.69302,1219.2714,0.0,2.6634407,-1.1383185,2.0461645,-2.8254318
520.0,7.6413755,1.25,44955.0,44955.0,438.46204,10366.935,539.10754,1336.3923,0.0,2.3892703,-1.2304368,0.7830444,-2.4766304
520.0,7.6413755,1.75,48783.0,48783.0,268.26175,13401.564,368.27417,1577.4344,0.0,2.7759109,-1.2207127,1.9852301,-2.4315398
520.0,7.6413755,2.25,50220.0,50220.0,364.60797,14742.24,1050.3774,2520.6897,0.0,-1.2149223,-1.1858718,1.2916086,-2.3686793
520.0,7.6413755,2.75,51036.0,51036.0,552.2839,15379.645,328.15875,2642.0325,0.0,2.436749,-1.2341683,1.7463629,-2.1849651
520.0,7.6413755,3.25,50421.0,50421.0,980.86597,14811.418,771.61475,2435.6326,0.0,2.234921,-1.2719245,1.8525816,-2.4332411
520.0,7.6413755,3.75,49497.0,49497.0,137.10524,12865.707,1216.953,2409.2642,0.0,2.6914916,-1.2391543,1.8151573,-2.2147827
520.0,7.6413755,4.25,47785.0,47785.0,436.4564,12658.578,276.34882,2306.2258,0.0,2.1633132,-1.2198217,1.6160028,-2.3376951
520.0,7.6413755,4.75,46255.0,46255.0,474.99927,11528.238,771.58624,1886.7009,0.0,2.740132,-1.2080165,1.3854693,-2.430911
520.0,7.6413755,5.25,44155.0,44155.0,210.07712,10803.783,246.84581,1640.6266,0.0,2.0613284,-1.2703146,1.1391432,-2.0903637
520.0,7.6413755,5.75,42827.0,42827.0,632.9163,9962.518,377.854,1486.1313,0.0,0.2828958,-1.2821727,1.5881344,-2.6703157
520.0,7.6413755,6.25,40962.0,40962.0,75.295,9437.765,289.2908,1256.3008,0.0,1.7436564,-1.25613,1.5385859,-2.3938408
520.0,7.6413755,6.75,39271.0,39271.0,665.58307,9446.659,462.0222,1581.7732,0.0,2.6735008,-1.2357059,0.74651694,-2.820726
520.0,7.6413755,7.25,37352.0,37352.0,296.3317,8300.406,450.3442,1495.0151,0.0,2.8847039,-1.2425079,-0.7363803,-2.1360435
520.0,7.6413755,7.75,36236.0,36236.0,573.73425,8500.971,299.76443,1402.3726,0.0,2.0114727,-1.2917056,-0.14949365,-2.4502146
520.0,7.6413755,8.25,34619.0,34619.0,539.5081,7882.6157,189.58516,1414.438,0.0,2.2559285,-1.3259119,0.09893476,-2.3743806
520.0,7.6413755,8.75,32768.0,32768.0,456.68018,7456.3867,147.209,1544.5833,0.0,1.706769,-1.347668,1.2156243,-2.3276289
520.0,7.6413755,9.25,31893.0,31893.0,321.16623,6575.084,447.12238,963.3762,0.0,1.6032449,-1.3974668,-2.2356606,-2.704288
520.0,7.6413755,9.75,31180.0,31180.0,448.40833,5999.2563,418.02435,1420.0369,0.0,0.47904566,-1.3145713,-0.30152252,-2.4009695
520.0,7.6413755,10.25,29858.0,29858.0,684.3611,6219.2656,937.0867,1037.8794,0.0,0.48861402,-1.4006525,-2.2964778,-2.4824295
520.0,7.6413755,10.75,29492.0,29492.0,480.0321,5879.8984,363.7833,1021.70776,0.0,1.9115596,-1.3760862,2.3871236,-2.8786767
520.0,7.6413755,11.25,28397.0,28397.0,517.6944,5984.016,351.35785,691.8106,0.0,0.8722804,-1.366104,2.1454163,-2.639383
520.0,7.6413755,11.75,28160.0,28160.0,693.7378,5525.813,134.53975,1243.5103,0.0,0.5039218,-1.4110721,0.5566513,-2.8074749
520.0,7.6413755,12.25,27085.0,27085.0,226.50099,5638.648,247.73619,1192.5242,0.0,0.52826494,-1.5144149,2.1360333,-2.9282067
520.0,7.6413755,12.75,26474.0,26474.0,465.59955,5541.3643,567.6504,713.85333,0.0,0.20733272,-1.4404566,-1.3085465,-2.506659
520.0,7.6413755,13.25,25770.0,25770.0,565.5451,5514.163,197.0232,560.3984,0.0,0.56307286,-1.4425356,-2.8426085,-2.5024776
520.0,7.6413755,13.75,25079.0,25079.0,841.8608,5482.6836,292.71927,490.5523,0.0,-0.4172158,-1.3750037,-0.19425544,-2.6603057
520.0,7.6413755,14.25,24439.0,24439.0,792.2175,5644.805,1006.474,596.7559,0.0,-0.2746061,-1.3709917,0.80957174,-1.8045484
520.0,7.6413755,14.75,23481.0,23481.0,918.7554,5429.6367,386.65945,1028.3698,0.0,-0.3212116,-1.3834866,1.2320921,-2.1201177
520.0,7.6413755,15.25,23010.0,23010.0,902.63605,5525.3433,335.9945,942.46045,0.0,-0.27265832,-1.4259506,-0.9251583,-2.6521606
520.0,7.6413755,15.75,22102.0,22102.0,1124.7428,4987.7686,280.28336,664.79333,0.0,-0.2321417,-1.3143142,0.12488284,-2.7726152
520.0,7.6413755,16.25,21406.0,21406.0,1209.5681,4948.8584,593.0421,491.70505,0.0,-0.3973739,-1.3647385,-0.504269,-2.915647
520.0,7.6413755,16.75,20679.0,20679.0,1314.6951,4569.443,487.98444,503.55658,0.0,0.11266138,-1.3393047,0.56800073,-2.1338468
520.0,7.6413755,17.25,19841.0,19841.0,1449.0691,4289.7676,593.8656,129.88272,0.0,0.0771983,-1.3173711,-0.06060309,-2.5430486
520.0,7.6413755,17.75,18204.0,18204.0,1195.3656,4180.4927,381.86746,397.5508,0.0,-0.093916565,-1.2508806,0.25768146,-2.7625866
520.0,7.6413755,18.25,15714.0,15714.0,1233.0221,3374.5168,314.69785,313.0319,0.0,-0.06109576,-1.2774326,0.2458459,-1.1687894
520.0,7.6413755,18.75,13050.0,13050.0,1025.8198,2779.1274,215.57535,249.08846,0.0,-0.045230888,-1.3097392,1.210574,-3.0552957
520.0,7.6413755,19.25,10283.0,10283.0,1030.0654,2519.6616,354.991,216.81602,0.0,-0.30512014,-1.2158308,-0.6339272,-1.0863427
520.0,7.6413755,19.75,5579.0,5579.0,590.1793,1384.8027,502.75385,259.46603,0.0,-0.21919687,-1.1878926,-1.1311557,-1.4275236
523.0,7.596713,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.75,36425.0,36425.0,241.42699,6005.3726,513.4373,910.1361,0.0,-2.9400477,-1.2045164,-0.61386156,-2.4907722
523.0,7.596713,1.25,44388.0,44388.0,773.8279,10364.592,306.71738,1891.8041,0.0,-2.4510856,-1.153904,2.7171707,-2.2407527
523.0,7.596713,1.75,48083.0,48083.0,240.77298,13089.59,368.53745,2024.6869,0.0,-2.7894366,-1.1288347,-2.852457,-2.0766716
523.0,7.596713,2.25,49886.0,49886.0,309.2852,15204.083,365.53006,2117.9016,0.0,-2.9549515,-1.1669328,-2.3364136,-2.3986852
523.0,7.596713,2.75,50994.0,50994.0,679.48914,15625.439,688.3124,1928.6227,0.0,2.7375424,-1.1836721,2.284181,-2.431131
523.0,7.596713,3.25,50080.0,50080.0,612.54724,14712.175,134.35564,2118.463,0.0,2.5334673,-1.1641135,2.6097772,-2.4843726
523.0,7.596713,3.75,48908.0,48908.0,240.2519,13946.15,175.44833,2837.9993,0.0,1.9961687,-1.1941062,0.9481464,-2.2729354
523.0,7.596713,4.25,47303.0,47303.0,478.8396,12954.542,342.36453,2535.766,0.0,2.147883,-1.2150594,0.5028083,-2.1328347
523.0,7.596713,4.75,45843.0,45843.0,635.2996,11658.924,118.91547,2575.7039,0.0,2.7327867,-1.2415172,-1.0349587,-2.445045
523.0,7.596713,5.25,43747.0,43747.0,369.15353,10706.844,480.53427,2530.822,0.0,2.005047,-1.2201674,0.81970364,-2.1944518
523.0,7.596713,5.75,42519.0,42519.0,728.93463,9415.041,395.60403,1476.3683,0.0,2.2648253,-1.1752616,-0.29515988,-2.1547966
523.0,7.596713,6.25,41225.0,41225.0,731.6923,10160.01,229.6624,1948.6261,0.0,1.0210068,-1.2337507,-1.3903602,-2.262187
523.0,7.596713,6.75,39390.0,39390.0,492.29993,9380.076,551.2595,1583.3534,0.0,-1.1497505,-1.2385824,-0.8862105,-2.4261994
523.0,7.596713,7.25,37991.0,37991.0,689.5412,8320.937,188.76378,1725.1882,0.0,1.9142349,-1.2738373,-1.1452262,-2.2834315
523.0,7.596713,7.75,36591.0,36591.0,569.49164,8288.02,681.1793,1196.983,0.0,1.4546475,-1.197444,-1.3581293,-2.7562988
523.0,7.596713,8.25,34541.0,34541.0,534.4966,7733.0874,447.98798,1042.1464,0.0,1.3385144,-1.29879,-2.392862,-2.6118362
523.0,7.596713,8.75,33365.0,33365.0,381.6082,7462.5225,351.75934,1065.0575,0.0,1.3587754,-1.2200578,-0.92656827,-2.0976963
