snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,93738.0,1527.699,3499.3804,1276.7004,0.0,-0.29984558,1.7357186
520.0,7.6413755,2.5,101256.0,3002.467,7309.772,4083.5369,0.0,0.17892022,-1.4715241
520.0,7.6413755,3.5,99918.0,3016.322,7827.8975,2950.577,0.0,0.23214859,1.4720764
520.0,7.6413755,4.5,94040.0,3235.414,8919.11,1639.9098,0.0,-0.37629497,-0.29629734
520.0,7.6413755,5.5,86982.0,3696.211,13658.856,4792.1807,0.0,-0.24894544,0.8159254
520.0,7.6413755,6.5,80233.0,4194.792,11584.677,3430.763,0.0,-0.31059363,0.35665098
520.0,7.6413755,7.5,73588.0,4152.834,9038.697,3302.4563,0.0,-0.3895636,-1.0920067
520.0,7.6413755,8.5,67387.0,3403.799,11094.216,3148.6047,0.0,-0.21041323,-0.2683475
520.0,7.6413755,9.5,63073.0,626.413,9473.247,3513.4858,0.0,-0.18806799,-1.5175549
520.0,7.6413755,10.5,59350.0,1238.552,12628.4795,3154.5369,0.0,-0.14637846,-1.8347627
520.0,7.6413755,11.5,56557.0,1342.939,14782.978,3401.036,0.0,-0.38343912,-2.0237007
520.0,7.6413755,12.5,53559.0,977.746,10329.855,3406.1123,0.0,-0.37452108,-1.7496569
520.0,7.6413755,13.5,50849.0,1161.023,7927.929,4029.365,0.0,-0.3819518,-1.4924278
520.0,7.6413755,14.5,47920.0,1122.902,10455.143,5467.4062,0.0,-0.7520233,3.1329741
520.0,7.6413755,15.5,45112.0,111.954,9644.462,5501.9307,0.0,-0.7695081,-2.5678763
520.0,7.6413755,16.5,42085.0,161.768,11028.044,2439.6797,0.0,-0.78985393,-1.964035
520.0,7.6413755,17.5,39432.0,1991.659,15750.449,3075.8171,0.0,-0.5114013,-1.0479987
520.0,7.6413755,18.5,36449.0,3355.995,13803.797,5831.855,0.0,-0.45660174,-0.21695891
520.0,7.6413755,19.5,34466.0,380.5,12997.236,4911.6978,0.0,-0.656147,-0.4896616
520.0,7.6413755,20.5,32388.0,1679.76,9464.243,3778.9897,0.0,-0.7825263,-0.18104728
520.0,7.6413755,21.5,30272.0,203.305,8369.393,3030.6978,0.0,-0.87686217,-0.6928161
520.0,7.6413755,22.5,27936.0,390.207,9188.995,5450.7886,0.0,-0.6134939,-0.6244365
520.0,7.6413755,23.5,26160.0,2774.359,7393.499,5159.0005,0.0,-0.962313,-1.0845656
520.0,7.6413755,24.5,23756.0,1806.682,7178.7256,2576.8755,0.0,-0.64422596,-0.70372385
520.0,7.6413755,25.5,22309.0,3393.973,3891.2217,2282.3704,0.0,-0.76238436,-0.31673327
520.0,7.6413755,26.5,20576.0,2036.737,4403.635,5247.3755,0.0,-0.98246884,-0.16885658
520.0,7.6413755,27.5,19535.0,2013.989,4219.4214,2923.6343,0.0,-1.157993,0.491874
520.0,7.6413755,28.5,18451.0,773.732,1916.2678,3326.185,0.0,-1.0590464,1.3438996
520.0,7.6413755,29.5,17836.0,470.832,819.0886,3646.3335,0.0,-0.80998266,1.1645565
520.0,7.6413755,30.5,16548.0,1524.574,2197.8948,2910.2666,0.0,-1.6557426,2.1896942
520.0,7.6413755,31.5,15731.0,952.936,3510.1343,3657.7485,0.0,-1.0799129,2.1364422
520.0,7.6413755,32.5,14923.0,1186.391,2651.8645,4031.3496,0.0,-1.1723067,1.3091946
520.0,7.6413755,33.5,14333.0,1201.922,1490.8062,1818.2305,0.0,-1.7468013,0.9007054
520.0,7.6413755,34.5,13513.0,1910.954,1294.2401,1191.009,0.0,1.44173,-0.2616383
520.0,7.6413755,35.5,13112.0,191.103,308.0872,2638.3127,0.0,-0.03268301,-0.09658316
520.0,7.6413755,36.5,12816.0,974.752,1425.1105,1719.0007,0.0,2.0867934,0.040967125
520.0,7.6413755,37.5,12193.0,1689.246,208.27231,2723.0137,0.0,-0.71919817,0.30511054
520.0,7.6413755,38.5,11749.0,129.91,2559.951,2459.5422,0.0,2.2946608,-0.024060633
520.0,7.6413755,39.5,11134.0,925.297,1303.5272,2906.1667,0.0,2.2945013,0.28085813
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,92471.0,1704.109,2621.547,1183.4933,0.0,0.22235034,0.60322154
523.0,7.596713,2.5,100880.0,2168.582,6104.6357,2060.5894,0.0,-0.08191827,-0.23440386
523.0,7.596713,3.5,98988.0,2044.44,7624.745,1019.46594,0.0,0.21012011,1.2203525
523.0,7.596713,4.5,93146.0,439.217,9065.634,1445.1923,0.0,0.17528775,-0.5660418
523.0,7.596713,5.5,86266.0,4347.786,9272.229,4944.2124,0.0,-0.14594841,-0.42894334
523.0,7.596713,6.5,80615.0,2929.996,8366.144,5652.253,0.0,-0.025835227,-0.33007663
523.0,7.596713,7.5,74582.0,4654.372,10381.056,6604.6665,0.0,-0.29334584,-0.9675201
523.0,7.596713,8.5,67906.0,975.97,10158.38,7991.2563,0.0,-0.017134087,-0.9832144
523.0,7.596713,9.5,63913.0,2382.84,6818.017,2970.1025,0.0,-0.13412452,-1.2137487
523.0,7.596713,10.5,60334.0,1539.384,9533.406,4666.07,0.0,-0.05113415,-0.51632774
523.0,7.596713,11.5,57320.0,1262.619,8941.24,4202.3687,0.0,0.25553814,-2.1116972
523.0,7.596713,12.5,54955.0,1329.421,8025.186,3735.7383,0.0,-0.08421058,-1.3829268
523.0,7.596713,13.5,51699.0,161.09,7962.795,4001.2964,0.0,-0.28036654,-2.1921687
523.0,7.596713,14.5,48247.0,74.696,9752.696,3698.559,0.0,-0.61769664,-2.8607125
523.0,7.596713,15.5,45680.0,307.059,11069.563,3041.3372,0.0,-0.65332747,-1.7730249
523.0,7.596713,16.5,42603.0,107.163,10325.9795,4031.375,0.0,-1.0378731,-1.4690661
523.0,7.596713,17.5,39227.0,697.219,12019.236,1794.0592,0.0,-0.93180627,-2.7156706
523.0,7.596713,18.5,36258.0,560.61,13530.928,4059.3093,0.0,-0.8020812,-1.948354
523.0,7.596713,19.5,33986.0,414.464,8569.024,2882.5928,0.0,-0.7933017,-0.17361888
523.0,7.596713,20.5,31721.0,888.594,4116.0156,1979.7738,0.0,-0.44883794,-2.4406693
523.0,7.596713,21.5,29752.0,1777.688,8669.623,1469.5596,0.0,-0.8799074,-0.3844551
523.0,7.596713,22.5,27667.0,1003.479,5292.84,2850.0994,0.0,-1.22755,-1.1184665
523.0,7.596713,23.5,25313.0,1829.125,6826.79,3676.396,0.0,-1.0034679,-1.6009341
523.0,7.596713,24.5,23923.0,1593.279,6080.0044,6095.1196,0.0,-1.172608,-1.0081829
523.0,7.596713,25.5,22390.0,1003.602,4795.3994,4398.8115,0.0,-1.1016622,-1.1673126
523.0,7.596713,26.5,21758.0,2382.057,2939.655,2210.2275,0.0,-0.6445468,-0.6483026
523.0,7.596713,27.5,20584.0,3628.087,3721.034,2825.6404,0.0,2.9525144,-2.9473367
523.0,7.596713,28.5,19543.0,2358.208,3543.624,2181.9954,0.0,2.9320924,2.0784183
523.0,7.596713,29.5,18191.0,2759.075,3178.4417,3395.908,0.0,-2.77776,2.6285944
523.0,7.596713,30.5,17075.0,3107.338,3761.4016,4579.089,0.0,-2.7988746,2.2065103
523.0,7.596713,31.5,16101.0,2124.52,2365.6016,2752.445,0.0,-2.4586034,2.2705355
523.0,7.596713,32.5,14855.0,203.005,3078.3528,2573.0952,0.0,2.8869088,1.4306451
523.0,7.596713,33.5,14267.0,593.642,752.26447,1888.5209,0.0,2.6892986,0.6370071
523.0,7.596713,34.5,13671.0,808.262,3270.5579,835.89734,0.0,2.9694602,0.80629015
523.0,7.596713,35.5,13132.0,190.804,1911.4896,2353.5547,0.0,2.4897032,1.8959433
523.0,7.596713,36.5,12736.0,1345.722,2362.674,476.22943,0.0,1.410266,-0.761324
523.0,7.596713,37.5,12402.0,36.216,2972.1157,1362.8857,0.0,2.0523353,0.35584465
