snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,15.0,1.3882518,144.29579,19.16222,26.602966,14.107063,0.0,2.3691587,-0.9988885,0.896866,-0.42144278
520.0,7.6413755,2.5,34.0,17.520374,337.86395,20.80179,46.174065,32.49269,0.0,2.3547559,-2.6027217,-1.0155748,1.3020626
520.0,7.6413755,3.5,42.0,22.569044,316.03897,36.86525,92.97375,8.695922,0.0,2.7767367,-0.9433353,0.6574171,1.8703517
520.0,7.6413755,4.5,48.0,49.897064,330.65118,83.92434,68.67228,25.922518,0.0,2.8482928,0.42939734,0.73605454,-2.51889
520.0,7.6413755,5.5,76.0,25.436586,496.36502,36.886185,37.59027,35.568214,0.0,-2.9204175,2.4398446,0.5917357,-2.7258506
520.0,7.6413755,6.5,72.0,74.58016,645.498,145.87465,79.93088,33.640415,0.0,-2.985807,1.1726053,1.6720214,-0.6066255
520.0,7.6413755,7.5,87.0,23.820566,719.6325,227.47801,26.670296,80.51393,0.0,3.0771637,0.9126356,0.5264367,-1.8894526
520.0,7.6413755,8.5,109.0,92.78734,1119.099,69.305435,232.36162,68.8081,0.0,2.9873326,-3.0784447,1.9987212,-0.317383
520.0,7.6413755,9.5,104.0,174.3211,654.9338,276.3401,224.38512,60.16976,0.0,3.0883155,-1.3337756,1.0739416,-0.42272213
520.0,7.6413755,10.5,132.0,431.1861,252.93636,337.65244,160.55087,263.86856,0.0,-0.8443917,2.3111725,-2.306899,1.1923591
520.0,7.6413755,11.5,144.0,518.3992,856.03784,761.43616,634.5977,245.25948,0.0,-0.8234241,1.5956802,-1.8503482,1.5451354
520.0,7.6413755,12.5,136.0,445.26202,1765.6984,1015.333,835.59186,239.26044,0.0,-0.84567434,1.5731177,-1.8501309,1.3493133
520.0,7.6413755,13.5,179.0,69.18549,2928.7732,796.92065,960.48395,311.0567,0.0,-0.9517268,1.2707707,-1.9112424,1.3475381
520.0,7.6413755,14.5,170.0,135.2007,3547.7961,1051.3599,1673.8741,519.6229,0.0,-1.0428604,1.3861754,-2.097581,0.8128497
520.0,7.6413755,15.5,182.0,322.79245,3591.3,1119.2805,1583.1326,485.06952,0.0,-1.133507,1.615911,-2.1241565,1.345122
520.0,7.6413755,16.5,205.0,14.104477,3777.5876,1318.8545,1423.2439,364.0484,0.0,-1.2963804,1.5005426,-2.4129932,1.2152207
520.0,7.6413755,17.5,200.0,266.85483,3004.328,477.37683,2448.4204,1109.1693,0.0,-1.8309642,-0.11859782,-2.9371748,-0.2480571
520.0,7.6413755,18.5,229.0,865.86346,3235.441,110.37723,2180.8174,736.46716,0.0,-1.971751,0.14935078,-2.8923266,-0.8572322
520.0,7.6413755,19.5,218.0,1681.4413,2870.8743,300.32236,2002.5338,963.0061,0.0,-1.7312828,-1.9791986,-2.3867066,-1.028163
520.0,7.6413755,20.5,233.0,1661.876,2832.8276,600.22974,1580.9606,1536.8059,0.0,-1.8445439,-1.6277826,-2.4492402,-1.916722
