snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,1015780000.0,40775264.0,162337380.0,16220360.0,40886868.0,0.0,1.1076638,-1.0596869,1.8464035,-2.876472
520.0,7.6413755,2.5,40263.0,1631255900.0,37577250.0,150452110.0,24701684.0,61833892.0,0.0,-0.461409,-1.1046829,1.6241308,-2.6938875
520.0,7.6413755,3.5,57150.0,2143434800.0,27500542.0,48845652.0,59825730.0,67548360.0,0.0,-1.1397109,-2.8586442,0.96332014,2.4258447
520.0,7.6413755,4.5,81043.0,2447482600.0,90249944.0,77978744.0,31186732.0,78284520.0,0.0,0.70689803,-1.0753789,-2.234714,-0.23102085
520.0,7.6413755,5.5,102145.0,2254539300.0,117078960.0,30394112.0,8875825.0,56569724.0,0.0,0.750265,-1.2321844,0.49508053,0.665844
520.0,7.6413755,6.5,95116.0,1674313700.0,82710640.0,64193484.0,41351580.0,40416204.0,0.0,-1.0461017,-2.0628982,2.8207686,-0.15546338
520.0,7.6413755,7.5,90846.0,1126792700.0,102927510.0,52837612.0,8636861.0,19055704.0,0.0,-1.6710311,-1.9242493,0.050981984,-0.24619137
520.0,7.6413755,8.5,88220.0,810330000.0,80010820.0,74327576.0,30419662.0,27376920.0,0.0,-2.5582497,-0.6370557,-1.3689352,-3.000043
520.0,7.6413755,9.5,85640.0,651999600.0,33157638.0,15326232.0,29541310.0,35183276.0,0.0,2.6641207,0.03219838,1.2229054,-3.0495825
520.0,7.6413755,10.5,81576.0,537798000.0,25578054.0,15716428.0,14241974.0,19776168.0,0.0,0.88846064,0.5312529,2.845528,-2.8616679
520.0,7.6413755,11.5,67096.0,406811100.0,26592818.0,2610952.5,31974350.0,28431174.0,0.0,-0.20913644,1.6086801,0.35205662,-0.6185474
520.0,7.6413755,12.5,57075.0,322928450.0,64659988.0,55687692.0,26665690.0,37234920.0,0.0,-0.3888382,-1.4338286,1.1518327,-0.6038543
520.0,7.6413755,13.5,46515.0,246639250.0,58042124.0,24871652.0,12227894.0,22148840.0,0.0,-0.5289128,-2.3670888,2.8204498,-0.2909482
520.0,7.6413755,14.5,35826.0,184307200.0,56297704.0,49185216.0,19374516.0,16868752.0,0.0,-0.9513478,3.0993826,0.06902997,-0.014151809
520.0,7.6413755,15.5,28716.0,147821180.0,32348572.0,74347650.0,29094968.0,20859420.0,0.0,0.0765983,-2.757831,-0.12887456,1.1919329
520.0,7.6413755,16.5,26840.0,135321470.0,56283696.0,80390856.0,17532258.0,10367336.0,0.0,0.90052474,-2.586762,-1.3541862,0.17523222
520.0,7.6413755,17.5,20380.0,102349560.0,74771784.0,31465014.0,36007450.0,23779788.0,0.0,0.6297852,-2.6948895,-2.3910258,-2.387403
520.0,7.6413755,18.5,17968.0,92628150.0,87008080.0,32125034.0,33423672.0,10927387.0,0.0,0.79074657,-2.6884208,-1.8479497,2.329618
520.0,7.6413755,19.5,13351.0,68121330.0,80555850.0,12137290.0,12628282.0,7875662.0,0.0,0.67041737,1.8098242,-1.6224916,-0.71689326
520.0,7.6413755,20.5,9569.0,49444824.0,63272932.0,21613948.0,1909725.4,5373372.5,0.0,0.64137924,1.3085196,-2.6146812,-1.2418962
520.0,7.6413755,21.5,6989.0,32689706.0,43669000.0,19942032.0,7455154.5,2891356.2,0.0,0.62353724,1.1541872,1.989802,-1.6402913
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,1031964350.0,2862881.8,181942820.0,28756160.0,22701356.0,0.0,1.3130882,-1.2252017,3.0981941,0.87662435
523.0,7.596713,2.5,40766.0,1599961100.0,55786030.0,122290970.0,11697462.0,13177289.0,0.0,2.4888432,-1.0072265,-0.47064868,-3.1383674
523.0,7.596713,3.5,52348.0,2016463000.0,56670656.0,74597210.0,17645042.0,11327430.0,0.0,-1.8157704,2.395276,-2.1191654,1.1053123
523.0,7.596713,4.5,73791.0,2317651700.0,120575416.0,115117976.0,31287980.0,47289824.0,0.0,-3.1374211,2.8649364,1.6222025,-0.69501734
523.0,7.596713,5.5,95006.0,2204013000.0,7648153.0,126094810.0,34189244.0,56551336.0,0.0,3.001768,-2.984572,1.9466648,-0.054193243
523.0,7.596713,6.5,105385.0,1701199100.0,22750658.0,112563710.0,9718630.0,82765300.0,0.0,0.65113264,2.609408,-0.75622433,0.31338477
523.0,7.596713,7.5,102293.0,1255671600.0,52318560.0,56004800.0,20347386.0,46658960.0,0.0,-2.1668596,-2.675794,2.540503,-1.5671614
523.0,7.596713,8.5,97985.0,920569600.0,133982720.0,47769656.0,49382052.0,42256596.0,0.0,-1.9617469,-0.86821204,-2.1982374,2.3418188
523.0,7.596713,9.5,84195.0,627879740.0,30072246.0,80177624.0,46522380.0,5531785.0,0.0,2.9088686,-0.31206277,-2.0545053,-1.1154641
523.0,7.596713,10.5,78746.0,514522340.0,20760496.0,47167180.0,30696740.0,11445472.0,0.0,-2.8905516,0.31640965,1.0458672,-2.652455
523.0,7.596713,11.5,69698.0,404931940.0,39214910.0,21186808.0,26010872.0,15726067.0,0.0,-0.7521773,1.610744,0.647733,-1.5534418
523.0,7.596713,12.5,61208.0,345541100.0,85871896.0,14486847.0,29275202.0,8634002.0,0.0,-0.40107727,2.925081,1.5046668,-0.67976403
523.0,7.596713,13.5,49975.0,267342080.0,66369920.0,49844084.0,45332884.0,12610596.0,0.0,-0.68503565,-3.0207872,1.9512359,0.22579779
