snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,31864.0,1280321500.0,70714740.0,293603360.0,11888879.0,28005070.0,0.0,-0.40409324,-1.3941177,-0.24310556,-2.1048265
600.0,6.3231816,2.5,37097.0,1533403000.0,54206130.0,321123780.0,35003372.0,45004012.0,0.0,0.38021106,-1.4086746,1.6921711,-2.7607
600.0,6.3231816,3.5,38763.0,1613576100.0,12655620.0,190809060.0,30040772.0,82187920.0,0.0,0.02469035,-1.422519,-2.9964197,-2.488789
600.0,6.3231816,4.5,46800.0,1598497700.0,37463300.0,34807136.0,13353849.0,71949816.0,0.0,-1.9061447,2.3660326,1.8152621,2.362091
600.0,6.3231816,5.5,58633.0,1415718100.0,49977780.0,129047840.0,24509434.0,74472456.0,0.0,-0.16385733,1.812043,0.86895967,-2.2750006
600.0,6.3231816,6.5,59982.0,1112973300.0,43014600.0,201431180.0,25902304.0,51318524.0,0.0,-2.0920565,1.8267179,3.0149648,-2.9931
600.0,6.3231816,7.5,57890.0,821413700.0,24262558.0,112482030.0,26697684.0,71725384.0,0.0,-1.0831176,1.7682474,-0.7393101,-2.483605
600.0,6.3231816,8.5,60101.0,592218050.0,21473918.0,56096988.0,24812754.0,24783362.0,0.0,2.1492295,2.8047614,-2.8287697,-2.8658338
600.0,6.3231816,9.5,56955.0,464815600.0,30330982.0,34258744.0,20292032.0,7545208.0,0.0,2.174215,-1.9348308,1.0692626,-2.8410397
600.0,6.3231816,10.5,54910.0,389335500.0,26142788.0,30585042.0,17827056.0,23795976.0,0.0,2.4785151,-1.8779129,2.028793,-2.4140406
600.0,6.3231816,11.5,52239.0,338831780.0,9968988.0,37563876.0,14337481.0,48520770.0,0.0,-0.7890324,-0.9552038,-2.793643,-2.4082675
600.0,6.3231816,12.5,45990.0,277677150.0,16957994.0,29158466.0,9290855.0,6368550.0,0.0,0.42286745,-0.38836935,3.0315812,2.1230795
600.0,6.3231816,13.5,39851.0,231616640.0,32050054.0,23817046.0,3787807.8,9094981.0,0.0,-0.6867539,0.87084144,-0.64798546,-1.4686115
600.0,6.3231816,14.5,33734.0,187468540.0,49734716.0,20812484.0,16738014.0,9437031.0,0.0,-0.51513803,0.23093247,1.5024134,3.1394155
600.0,6.3231816,15.5,29501.0,168210020.0,62945556.0,30547120.0,35577216.0,25871472.0,0.0,-0.19456957,0.24269307,0.8284386,1.8890735
600.0,6.3231816,16.5,22987.0,126622390.0,57125950.0,12390223.0,24764942.0,15266186.0,0.0,-0.4627238,-0.60918885,0.6132339,1.9315907
600.0,6.3231816,17.5,16625.0,91640344.0,45227624.0,3374077.0,18646774.0,1540620.2,0.0,-0.5235257,-0.8818555,0.8266159,2.7499764
600.0,6.3231816,18.5,12149.0,70065090.0,50279370.0,25740960.0,10410364.0,11495076.0,0.0,-0.7496501,-1.8029084,2.3268528,2.128333
600.0,6.3231816,19.5,8686.0,46367132.0,39766640.0,22992878.0,4787907.5,8531955.0,0.0,-0.6354052,-1.2277375,3.0652475,1.652715
600.0,6.3231816,20.5,6098.0,34293880.0,39849716.0,25969588.0,10663685.0,8517343.0,0.0,-0.70373654,-1.4057472,-2.2674036,-3.0510669
600.0,6.3231816,21.5,3980.0,24561940.0,25648918.0,19117410.0,12287729.0,9106154.0,0.0,-0.7049657,-1.4268405,-2.0319452,-2.7951417
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,32211.0,1304979300.0,55597690.0,307665060.0,32025482.0,35482340.0,0.0,-1.0116702,-1.490095,-2.5295618,3.0185199
602.0,6.2968197,2.5,36359.0,1453741300.0,73489680.0,340819460.0,22769682.0,54190230.0,0.0,-1.1863407,-1.4695454,-0.50226074,-3.087758
602.0,6.2968197,3.5,39738.0,1646267400.0,56949484.0,205236500.0,27124526.0,77205400.0,0.0,-0.114297755,-1.6689012,-0.21474248,-1.8019744
602.0,6.2968197,4.5,46777.0,1618752600.0,66857020.0,45838696.0,24002804.0,86316630.0,0.0,-1.8409082,0.35334295,-1.51441,1.9315759
602.0,6.2968197,5.5,60896.0,1458682800.0,29340344.0,204764050.0,19671970.0,63223772.0,0.0,-0.04539731,1.4424436,1.6322224,-2.9809194
602.0,6.2968197,6.5,60859.0,1124415200.0,24182100.0,143916980.0,29939556.0,64171070.0,0.0,2.7028563,1.1979591,-0.73184264,3.1371858
602.0,6.2968197,7.5,58281.0,796466800.0,4219061.0,65856628.0,6073571.5,22209536.0,0.0,1.5082248,1.5117434,0.6865655,-2.6070457
602.0,6.2968197,8.5,59772.0,594540600.0,16181067.0,40423816.0,12664093.0,22148956.0,0.0,3.035844,2.462224,1.9206274,-2.0778952
602.0,6.2968197,9.5,54997.0,448712320.0,63707600.0,25765370.0,17989194.0,33025058.0,0.0,2.7556818,-1.8511109,-0.90042704,2.7885349
602.0,6.2968197,10.5,53296.0,393338140.0,26852336.0,19640482.0,19674572.0,3122871.0,0.0,3.034527,-1.8774612,1.0051917,1.116655
602.0,6.2968197,11.5,50503.0,329819740.0,23754798.0,36418796.0,6931106.0,14846010.0,0.0,1.0004177,-1.7875699,0.70298535,2.096839
602.0,6.2968197,12.5,48126.0,286663260.0,17708240.0,21486754.0,9768367.0,9967757.0,0.0,1.3039247,-0.529591,-1.480909,1.9446725
602.0,6.2968197,13.5,40499.0,238221950.0,13583598.0,16500835.0,18679622.0,10494779.0,0.0,-0.4224341,-0.43709973,-0.6560649,2.2669868
602.0,6.2968197,14.5,33152.0,178002400.0,44555270.0,14475982.0,17723736.0,7780611.5,0.0,-0.32630402,0.48924243,-0.43861243,-1.334579
602.0,6.2968197,15.5,29467.0,159784860.0,68770410.0,21668396.0,23616918.0,23200406.0,0.0,-0.47401345,-0.08615272,0.48917988,1.6260616
602.0,6.2968197,16.5,24120.0,133392980.0,60482884.0,17327208.0,41456336.0,27906674.0,0.0,-0.37789345,0.1041481,0.3387963,0.74990034
602.0,6.2968197,17.5,17292.0,96243570.0,41067412.0,9167337.0,15287911.0,3450769.5,0.0,-0.6176338,-2.8438659,0.73600626,1.754416
602.0,6.2968197,18.5,11749.0,65810464.0,39913892.0,18283936.0,11455808.0,8785369.0,0.0,-0.79231316,-2.4633758,1.808106,1.039637
602.0,6.2968197,19.5,8164.0,47972780.0,38111956.0,23539112.0,6048346.5,11352085.0,0.0,-0.71189076,-1.7939311,2.683691,1.3614146
602.0,6.2968197,20.5,6072.0,37117356.0,38688570.0,26308080.0,9847352.0,5201017.0,0.0,-0.7234394,-1.4187789,-2.4584758,2.649279
602.0,6.2968197,21.5,4632.0,27739790.0,32473438.0,23994710.0,13029518.0,9723920.0,0.0,-0.71050245,-1.5338242,-2.2945163,2.5906143
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,32380.0,1279476900.0,49568996.0,325035100.0,17473866.0,75947910.0,0.0,1.0622346,-1.5059463,0.12050545,2.5573418
604.0,6.2570214,2.5,36131.0,1518023700.0,69495190.0,288072900.0,7144011.5,81095970.0,0.0,-0.0093718795,-1.3974845,-0.60408324,-2.9045765
