snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,37571.0,153192340.0,2878014.8,56700572.0,2507384.0,5103090.5,0.0,1.5719546,1.6736484,-2.5478964,-2.1916122
600.0,6.3231816,2.5,41015.0,189682850.0,7012881.0,61908596.0,3300597.0,13658894.0,0.0,1.0875444,1.8940059,2.4600687,-2.9967053
600.0,6.3231816,3.5,36141.0,185129540.0,3808412.0,36787700.0,2202379.5,8410002.0,0.0,2.7984073,0.9935883,2.135118,-2.2613044
600.0,6.3231816,4.5,42438.0,220578430.0,7743159.5,67020092.0,6602902.5,16807090.0,0.0,-1.4943514,0.94172126,-2.2002647,1.6520646
600.0,6.3231816,5.5,63994.0,315920600.0,19643394.0,98136340.0,22546408.0,13956571.0,0.0,-0.19601879,1.7433771,0.8239475,-3.051224
600.0,6.3231816,6.5,67248.0,333333200.0,29347108.0,80169380.0,21006352.0,9384960.0,0.0,3.0736024,1.7336966,-1.9075774,-3.1373312
600.0,6.3231816,7.5,67299.0,329691870.0,13391266.0,74670910.0,10402827.0,18270506.0,0.0,-0.22182472,1.893984,-2.2421448,-2.4033272
600.0,6.3231816,8.5,81576.0,402646750.0,35858930.0,85192830.0,16315599.0,12028402.0,0.0,2.3351424,2.9030323,-2.2666864,-1.2056164
600.0,6.3231816,9.5,85547.0,420404600.0,55968572.0,55637788.0,16615916.0,19325078.0,0.0,2.4250965,-2.2478461,1.9665415,2.3938322
600.0,6.3231816,10.5,90432.0,453816060.0,40590640.0,54105828.0,23192644.0,21297268.0,0.0,-3.0991964,-1.9629955,1.6880925,2.7804146
600.0,6.3231816,11.5,90809.0,452595200.0,31012654.0,28779696.0,22308396.0,58257428.0,0.0,2.1651268,-0.94935536,2.6971736,-2.7666855
600.0,6.3231816,12.5,81771.0,404424700.0,30976744.0,42481816.0,22820184.0,14545357.0,0.0,0.64703935,0.22065565,2.2876983,1.0181669
600.0,6.3231816,13.5,73662.0,362484450.0,59111196.0,73017850.0,7279627.0,20123184.0,0.0,-0.6351139,1.1224566,0.5587646,-1.15483
600.0,6.3231816,14.5,63668.0,307873000.0,87551550.0,57415700.0,37137764.0,13372328.0,0.0,-0.41820818,1.0198208,1.4179834,2.6337712
600.0,6.3231816,15.5,57568.0,290476200.0,130637880.0,66612760.0,68318376.0,57369292.0,0.0,-0.1592388,0.49897313,0.91334504,1.8751687
600.0,6.3231816,16.5,45270.0,221568820.0,103040990.0,33164020.0,48935680.0,21592680.0,0.0,-0.45347357,0.60293424,0.685415,1.8127201
600.0,6.3231816,17.5,32547.0,158739550.0,83812140.0,14297663.0,39536200.0,3852337.5,0.0,-0.54901016,1.064895,0.9517655,1.5158031
600.0,6.3231816,18.5,23942.0,120462670.0,95144456.0,37855630.0,18157236.0,16223001.0,0.0,-0.7265037,-1.8726825,2.197904,2.0204768
600.0,6.3231816,19.5,16997.0,82430120.0,77264430.0,44046736.0,9927479.0,12191890.0,0.0,-0.6730241,-1.304097,-2.784118,1.765227
600.0,6.3231816,20.5,11874.0,59639060.0,74145176.0,48007364.0,24645146.0,16084829.0,0.0,-0.72811615,-1.3439063,-2.1827548,-3.010561
600.0,6.3231816,21.5,7776.0,38925020.0,51029340.0,36458560.0,26055372.0,19921526.0,0.0,-0.69274265,-1.3614696,-2.143805,-2.729262
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,38158.0,156353490.0,4353748.0,57873100.0,6709340.0,7078210.5,0.0,-1.5760067,1.6605138,0.8529023,-2.8959079
602.0,6.2968197,2.5,40157.0,183825760.0,7290416.5,76646950.0,4393945.0,18677000.0,0.0,-1.7821985,1.877977,0.48169413,-2.9647624
602.0,6.2968197,3.5,37703.0,192462080.0,4374457.0,12990672.0,8417658.0,709984.1,0.0,1.9627041,1.6001824,-0.49580842,-1.7666543
602.0,6.2968197,4.5,42238.0,219630770.0,7580862.5,57704028.0,1261113.5,16411959.0,0.0,-1.6163601,0.5772343,-2.8569934,0.20541166
602.0,6.2968197,5.5,66532.0,329493500.0,4278466.5,119093860.0,13911868.0,33360522.0,0.0,-2.799404,1.2824731,-1.2880058,2.354798
602.0,6.2968197,6.5,68675.0,338767550.0,21086040.0,89301096.0,12550209.0,24219216.0,0.0,2.735242,1.3526294,0.9155884,-3.1319468
602.0,6.2968197,7.5,68665.0,339553060.0,27249168.0,72801350.0,22575742.0,13127551.0,0.0,-0.4975482,1.7965072,2.3123324,1.8735329
602.0,6.2968197,8.5,80820.0,399131550.0,24909144.0,81042060.0,18891058.0,4602066.5,0.0,3.1217453,2.224844,1.177001,-0.98777413
602.0,6.2968197,9.5,83172.0,408138180.0,77247510.0,67573600.0,25049492.0,28231190.0,0.0,2.4669437,-2.7957027,0.37196743,1.2280208
602.0,6.2968197,10.5,87126.0,434708800.0,61657796.0,43314444.0,51564780.0,5741333.5,0.0,2.9634058,-2.3999147,0.34315372,-1.1149373
602.0,6.2968197,11.5,87810.0,443332000.0,26843396.0,27880512.0,18682166.0,8744740.0,0.0,2.0555544,-2.3008409,1.6192697,1.0030262
602.0,6.2968197,12.5,87020.0,424628740.0,32377560.0,21034994.0,6915278.0,10291259.0,0.0,1.4839851,-0.08657758,-2.8567002,2.2743673
602.0,6.2968197,13.5,75017.0,372626240.0,30414476.0,39455850.0,52603096.0,7363575.0,0.0,-0.29328147,0.710857,-0.8790367,0.49929166
602.0,6.2968197,14.5,62570.0,304198200.0,91617560.0,38404536.0,31701646.0,12809893.0,0.0,-0.30215377,0.7643387,-0.31661138,-0.5379973
602.0,6.2968197,15.5,57058.0,278263800.0,130148760.0,51058240.0,53156584.0,48602468.0,0.0,-0.42494786,0.413747,0.31345627,1.4741027
602.0,6.2968197,16.5,47400.0,239221870.0,128625540.0,50679508.0,73279980.0,53282380.0,0.0,-0.3681992,0.40954828,0.33104366,0.7093228
602.0,6.2968197,17.5,34112.0,165293040.0,78547250.0,22918924.0,34775684.0,9124184.0,0.0,-0.6157478,2.022787,0.54475427,0.41959864
602.0,6.2968197,18.5,23071.0,112003040.0,71823840.0,27186298.0,26751210.0,20989686.0,0.0,-0.7419125,-2.7363915,1.7524393,1.012338
602.0,6.2968197,19.5,16141.0,80232830.0,70711970.0,40648016.0,15945509.0,19698878.0,0.0,-0.7188476,-1.8725278,2.5052521,1.3149394
602.0,6.2968197,20.5,11697.0,57961310.0,70513736.0,45607210.0,19043624.0,11946843.0,0.0,-0.72521687,-1.5138466,-2.3181164,2.5932581
602.0,6.2968197,21.5,9015.0,44902816.0,63689620.0,43912030.0,28726742.0,19614074.0,0.0,-0.69150335,-1.4973677,-2.4227824,3.075056
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,38731.0,159311580.0,1955234.2,54482356.0,876334.6,8630747.0,0.0,2.590116,1.5539808,-2.834503,-2.9545412
604.0,6.2570214,2.5,39446.0,181415580.0,3759879.8,80353750.0,1840575.6,19619762.0,0.0,1.6617923,1.6643106,-1.9528127,-2.9856353
604.0,6.2570214,3.5,38021.0,197129070.0,4945335.0,57830524.0,9558081.0,21655750.0,0.0,-0.30581668,2.3130531,-1.8657724,-2.413791
604.0,6.2570214,4.5,42146.0,217252700.0,14121313.0,29046148.0,6055736.0,10605498.0,0.0,1.0634263,-0.99772584,1.8427937,3.0064874
604.0,6.2570214,5.5,64862.0,319158530.0,17326670.0,73111420.0,1676614.4,19169698.0,0.0,2.056201,0.30198464,2.3228846,0.651495
604.0,6.2570214,6.5,73208.0,361110200.0,15851311.0,103320650.0,2764053.5,11701760.0,0.0,-1.9676933,0.5788957,-0.5645988,1.5599784
604.0,6.2570214,7.5,70870.0,349236540.0,30101726.0,82939150.0,4044577.0,25947420.0,0.0,-1.6212635,0.9584927,-2.5907276,2.312888
604.0,6.2570214,8.5,80811.0,401793630.0,61262140.0,63449520.0,26031092.0,10191193.0,0.0,-2.6923678,1.8138951,-2.2262993,-2.7139268
604.0,6.2570214,9.5,81359.0,403248580.0,68534550.0,47446096.0,49880870.0,15117803.0,0.0,2.4876618,2.060874,-1.7299337,-1.5766962
604.0,6.2570214,10.5,84234.0,418234340.0,68603920.0,41768760.0,78375370.0,12092582.0,0.0,2.3845136,2.841174,-1.3433279,1.4114444
604.0,6.2570214,11.5,83300.0,412743970.0,31413322.0,34316110.0,36781556.0,11805512.0,0.0,2.9587402,-2.174631,-1.5586506,2.8148763
604.0,6.2570214,12.5,82652.0,405639970.0,34126944.0,14278441.0,26279140.0,12810009.0,0.0,2.1579044,-0.6046261,2.1948054,1.9923168
604.0,6.2570214,13.5,76971.0,378235420.0,28438918.0,25306516.0,46957028.0,19983280.0,0.0,0.7739697,0.7900746,-2.9815638,1.9722421
604.0,6.2570214,14.5,67003.0,327171460.0,75148440.0,27430178.0,68925200.0,19407228.0,0.0,-0.5410894,1.7818929,-2.0197954,-1.3489077
604.0,6.2570214,15.5,55932.0,271842700.0,105775370.0,28763312.0,42792468.0,47060660.0,0.0,-0.7251851,0.40531015,-1.1438477,-0.8243445
604.0,6.2570214,16.5,44328.0,219844640.0,118266984.0,35639252.0,43616844.0,32375682.0,0.0,-0.6451283,0.035148423,-0.3147459,-0.2677997
604.0,6.2570214,17.5,33978.0,169854220.0,99411500.0,23165696.0,30816850.0,14017465.0,0.0,-0.41320723,1.0980253,0.10783609,-1.6346054
604.0,6.2570214,18.5,23551.0,116406460.0,75419624.0,21402316.0,12854639.0,24958858.0,0.0,-0.37843597,2.5891604,0.34789246,-1.4487677
604.0,6.2570214,19.5,14191.0,69264300.0,54815948.0,17212150.0,17861676.0,15463711.0,0.0,-0.71679056,-2.9311452,1.4164437,-0.22877115
604.0,6.2570214,20.5,10617.0,50980388.0,56707440.0,31409386.0,17944688.0,9234702.0,0.0,-0.87111217,-2.2931519,2.66013,1.3815747
604.0,6.2570214,21.5,8880.0,43792330.0,60083220.0,40035820.0,28330488.0,20118882.0,0.0,-0.8698604,-2.0575259,3.079398,2.0203972
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,39217.0,161449200.0,893095.25,50224024.0,2322844.2,2706371.8,0.0,0.5728991,1.6377913,1.5862914,2.4879053
