snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,37571.0,37571.0,745.5765,13473.694,416.65744,1300.3922,0.0,1.2832816,1.6852887,-2.7800522,-2.205354
600.0,6.3231816,2.5,41015.0,41015.0,1382.623,14473.511,574.0917,3253.3643,0.0,1.003252,1.857979,2.399291,-3.0110314
600.0,6.3231816,3.5,36141.0,36141.0,716.39856,7629.3696,97.510895,1866.7902,0.0,2.4776328,0.98640895,1.7402235,-2.1889246
600.0,6.3231816,4.5,42438.0,42438.0,1249.1494,13469.182,845.88306,3945.1824,0.0,-2.0361576,0.911043,-1.7773486,1.5476124
600.0,6.3231816,5.5,63994.0,63994.0,3848.2693,19504.252,3824.3584,3908.0005,0.0,-0.0021590402,1.7424403,0.8777844,-3.0165572
600.0,6.3231816,6.5,67248.0,67248.0,5475.0117,17350.584,3333.9827,2223.137,0.0,3.0450227,1.6502304,-1.9504621,-2.554416
600.0,6.3231816,7.5,67299.0,67299.0,2350.0188,15918.781,1990.0144,3543.5205,0.0,0.22728495,1.8497198,-2.08741,-2.413641
600.0,6.3231816,8.5,81576.0,81576.0,8805.78,15447.252,2769.2046,658.4968,0.0,2.3897586,2.8706841,-2.226273,-0.870466
600.0,6.3231816,9.5,85547.0,85547.0,11386.506,11351.4,2967.1077,4100.404,0.0,2.3858972,-2.261886,1.6642997,2.7927883
600.0,6.3231816,10.5,90432.0,90432.0,7153.019,9938.8,3354.783,4037.7822,0.0,3.0781696,-1.645019,1.5924964,-2.8787365
600.0,6.3231816,11.5,90809.0,90809.0,7375.639,6821.594,2230.0232,10449.666,0.0,2.244029,-0.93327564,2.3662822,-2.643274
600.0,6.3231816,12.5,81771.0,81771.0,5212.0205,7975.974,4972.7847,3240.5908,0.0,0.7392886,0.23269941,2.0499434,1.2499108
600.0,6.3231816,13.5,73662.0,73662.0,9439.509,15230.382,1626.1887,4111.6997,0.0,-0.67182577,1.0865875,0.9631809,-1.0649345
600.0,6.3231816,14.5,63668.0,63668.0,15081.009,12726.282,7119.246,3876.5466,0.0,-0.4650967,1.1171362,1.5446706,2.6650047
