snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,27938.0,289.53726,2070.2014,0.0,2.8322575,-0.8349211
520.0,7.6413755,2.5,40263.0,40263.0,1602.25,3934.6033,0.0,-0.12277786,1.5967778
520.0,7.6413755,3.5,57150.0,57150.0,2416.4834,8976.994,0.0,-0.71910113,1.9294401
520.0,7.6413755,4.5,81043.0,81043.0,5025.259,9620.341,0.0,0.44930714,3.0513127
520.0,7.6413755,5.5,102145.0,102145.0,8963.531,8704.555,0.0,1.0352583,-2.6968513
520.0,7.6413755,6.5,95116.0,95116.0,2297.2617,3235.522,0.0,-0.47911134,-2.907882
520.0,7.6413755,7.5,90846.0,90846.0,8174.1123,7853.872,0.0,-3.062349,-3.0044584
520.0,7.6413755,8.5,88220.0,88220.0,9211.595,5661.152,0.0,-3.0187516,-1.217445
520.0,7.6413755,9.5,85640.0,85640.0,7035.707,3353.589,0.0,-2.8552892,-0.115473256
520.0,7.6413755,10.5,81576.0,81576.0,4921.6206,6502.2993,0.0,1.1486361,0.52846795
520.0,7.6413755,11.5,67096.0,67096.0,6726.943,3975.1035,0.0,-0.032537714,2.0477943
520.0,7.6413755,12.5,57075.0,57075.0,9092.909,8936.33,0.0,-0.302852,-1.53395
520.0,7.6413755,13.5,46515.0,46515.0,10095.206,4694.205,0.0,-0.3982098,-2.6252317
520.0,7.6413755,14.5,35826.0,35826.0,10912.854,9584.771,0.0,-0.97657984,-3.0173595
520.0,7.6413755,15.5,28716.0,28716.0,6651.109,14777.258,0.0,-0.07875863,-2.676983
520.0,7.6413755,16.5,26840.0,26840.0,10828.699,15527.777,0.0,0.9997224,-2.4418232
520.0,7.6413755,17.5,20380.0,20380.0,14977.668,6151.723,0.0,0.626737,-2.664358
