snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,86580.0,86580.0,806.85236,23699.682,0.0,2.4597652,-1.2210326
520.0,7.6413755,2.5,89671.0,89671.0,476.8748,30069.623,0.0,-2.8602362,-1.2092382
520.0,7.6413755,3.5,85141.0,85141.0,1271.1783,27357.588,0.0,2.7911017,-1.2568305
520.0,7.6413755,4.5,76336.0,76336.0,813.00854,22998.816,0.0,2.6117878,-1.2050886
520.0,7.6413755,5.5,67127.0,67127.0,211.78836,18989.81,0.0,-0.20378141,-1.2652024
520.0,7.6413755,6.5,59390.0,59390.0,754.79297,16667.346,0.0,3.0972822,-1.2354336
520.0,7.6413755,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,85433.0,85433.0,1182.1244,23323.549,0.0,-2.5905252,-1.1408256
523.0,7.596713,2.5,89306.0,89306.0,935.67773,30614.334,0.0,-3.0249357,-1.167198
523.0,7.596713,3.5,83632.0,83632.0,553.8822,28248.719,0.0,2.7921398,-1.1771859
523.0,7.596713,4.5,75091.0,75091.0,939.0611,23528.701,0.0,2.7622023,-1.2048398
523.0,7.596713,5.5,66615.0,66615.0,1114.5242,18565.355,0.0,2.4300551,-1.1855934
523.0,7.596713,6.5,59034.0,59034.0,329.48752,17232.723,0.0,-0.5998892,-1.2193918
523.0,7.596713,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,86196.0,86196.0,468.40417,23047.049,0.0,-1.9843398,-1.2145877
525.0,7.566684,2.5,89466.0,89466.0,484.71616,31447.254,0.0,-0.3889461,-1.2093829
525.0,7.566684,3.5,84922.0,84922.0,503.6666,28789.367,0.0,-0.85423523,-1.2188121
525.0,7.566684,4.5,75326.0,75326.0,681.0267,22457.848,0.0,1.046137,-1.2053521
525.0,7.566684,5.5,66404.0,66404.0,903.8226,19481.975,0.0,-0.36613342,-1.288102
525.0,7.566684,6.5,58943.0,58943.0,279.819,16197.07,0.0,0.90997076,-1.2329448
525.0,7.566684,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
