snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,121118.0,3630.2615,9324.706,0.0,2.6989923,-1.1158758
520.0,7.6413755,2.5,92709.0,92709.0,550.6593,1522.6271,0.0,1.9772547,-0.70645064
520.0,7.6413755,3.5,84954.0,84954.0,1046.6077,2377.3604,0.0,-0.6544741,1.9677011
520.0,7.6413755,4.5,97090.0,97090.0,2532.1328,4939.036,0.0,0.5004343,-3.0647497
520.0,7.6413755,5.5,112683.0,112683.0,4709.6367,4225.807,0.0,1.0643145,-2.6304395
520.0,7.6413755,6.5,103172.0,103172.0,1253.364,1528.7457,0.0,-0.30962694,-3.1201468
520.0,7.6413755,7.5,98135.0,98135.0,3999.891,4097.7944,0.0,-3.08775,-3.1196804
520.0,7.6413755,8.5,94827.0,94827.0,4639.2637,1962.2124,0.0,-3.077555,-1.2261901
520.0,7.6413755,9.5,90934.0,90934.0,3527.1772,1398.7177,0.0,-2.90828,0.43184662
520.0,7.6413755,10.5,86561.0,86561.0,2699.6292,3637.9763,0.0,1.136735,0.7498611
520.0,7.6413755,11.5,71699.0,71699.0,3565.683,2485.8462,0.0,0.06674289,2.0519142
520.0,7.6413755,12.5,60728.0,60728.0,4699.0166,4001.324,0.0,-0.25194106,-1.5435652
520.0,7.6413755,13.5,49568.0,49568.0,5060.828,2290.9663,0.0,-0.35563502,-2.7682996
520.0,7.6413755,14.5,38441.0,38441.0,5492.3643,4695.1475,0.0,-0.97191346,-3.1055253
520.0,7.6413755,15.5,30775.0,30775.0,3360.2654,7520.897,0.0,0.014781656,-2.7038596
520.0,7.6413755,16.5,28298.0,28298.0,5746.6597,7852.763,0.0,0.9795638,-2.4569244
520.0,7.6413755,17.5,21614.0,21614.0,7825.3145,3148.911,0.0,0.6150616,-2.7163444
520.0,7.6413755,18.5,19029.0,19029.0,9126.438,2879.4521,0.0,0.7698636,-2.8203769
520.0,7.6413755,19.5,14239.0,14239.0,8404.281,1331.2476,0.0,0.6389122,1.6154598
520.0,7.6413755,20.5,10248.0,10248.0,6459.336,1976.7019,0.0,0.5960936,1.2607199
520.0,7.6413755,21.5,7409.0,7409.0,4968.474,2353.3938,0.0,0.5848813,1.1977177
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,121525.0,1427.5077,9390.132,0.0,2.773547,-1.2078078
523.0,7.596713,2.5,92430.0,92430.0,403.2278,1680.6846,0.0,1.2120209,-0.9788455
523.0,7.596713,3.5,80968.0,80968.0,1265.5228,3219.158,0.0,2.994017,1.3630948
523.0,7.596713,4.5,91207.0,91207.0,1733.3406,7486.0005,0.0,-2.2135773,2.1530128
523.0,7.596713,5.5,106089.0,106089.0,1738.034,8277.906,0.0,2.128067,2.8586068
523.0,7.596713,6.5,113779.0,113779.0,3827.704,6535.4355,0.0,0.285614,2.1494102
523.0,7.596713,7.5,109791.0,109791.0,3602.141,2081.2915,0.0,-0.96070266,2.690351
523.0,7.596713,8.5,104589.0,104589.0,7608.152,1190.847,0.0,-2.2625594,1.786932
523.0,7.596713,9.5,90162.0,90162.0,3844.7437,2909.9514,0.0,-2.7709794,0.5243296
523.0,7.596713,10.5,83641.0,83641.0,2615.7563,2815.5864,0.0,-1.872493,0.9133526
523.0,7.596713,11.5,73963.0,73963.0,4791.5645,3430.58,0.0,-0.71799845,2.082444
523.0,7.596713,12.5,64993.0,64993.0,8160.217,2543.3674,0.0,-0.5205051,2.6399746
