snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,13007.04,2058164.8,72576.305,774413.2,0.0,1.1301649,-2.8620956,-0.25951758
520.0,7.6413755,2.5,92709.0,13336.334,1253903.2,41368.266,404717.1,0.0,1.3466666,-2.4905465,-0.4367901
520.0,7.6413755,3.5,84954.0,54984.016,741523.75,71143.82,151940.5,0.0,1.9114505,-1.9125383,-0.15590753
520.0,7.6413755,4.5,97090.0,51748.414,681556.6,128899.69,86997.63,0.0,2.2797737,0.62256557,-0.33711505
520.0,7.6413755,5.5,112683.0,9610.766,636802.5,89145.73,279163.34,0.0,2.982991,-3.0436623,-0.42779216
520.0,7.6413755,6.5,103172.0,138244.22,890511.06,127094.14,92965.98,0.0,-3.11839,1.0677253,1.7884234
520.0,7.6413755,7.5,98135.0,28650.525,830693.94,280768.62,14039.084,0.0,2.9422176,0.63699156,0.17050274
520.0,7.6413755,8.5,94827.0,89045.71,990065.1,87243.66,149186.0,0.0,2.9072146,-2.9605613,1.8644732
520.0,7.6413755,9.5,90934.0,66923.19,657057.06,280879.4,175212.05,0.0,2.9903328,-1.2452407,1.2788976
520.0,7.6413755,10.5,86561.0,245727.06,101235.1,220783.03,115142.46,0.0,-0.21542397,2.0355458,-2.4791148
520.0,7.6413755,11.5,71699.0,259890.03,434715.75,378027.1,205387.98,0.0,-0.85058767,1.4804357,-2.011551
520.0,7.6413755,12.5,60728.0,260803.66,909981.5,442486.4,218881.92,0.0,-0.77357566,1.4892567,-1.992304
520.0,7.6413755,13.5,49568.0,44576.594,1002577.4,136306.78,165686.84,0.0,-0.88544494,1.1656544,-2.3503547
520.0,7.6413755,14.5,38441.0,117561.17,933701.7,77308.32,178670.0,0.0,-0.9817707,1.4563907,-2.3406272
520.0,7.6413755,15.5,30775.0,12296.476,896177.9,118700.61,287742.84,0.0,-1.0085002,1.1585965,-3.0088165
520.0,7.6413755,16.5,28298.0,160098.61,876063.3,224192.23,255953.88,0.0,-0.99155074,0.9048212,-2.7166104
520.0,7.6413755,17.5,21614.0,109193.94,382600.7,99008.67,159628.81,0.0,-1.4126978,-0.7722292,-2.8719203
520.0,7.6413755,18.5,19029.0,125622.055,255647.47,82579.84,66899.72,0.0,-1.9139891,-1.5477821,-2.6461267
520.0,7.6413755,19.5,14239.0,147937.16,242633.94,97238.24,58104.49,0.0,-2.1758378,-1.7601393,-1.9678109
520.0,7.6413755,20.5,10248.0,151714.81,247353.98,140511.23,66080.484,0.0,-2.5383291,-2.2452784,-2.1373205
520.0,7.6413755,21.5,7409.0,128465.31,208545.62,133726.06,70120.766,0.0,-2.705926,-2.47333,-2.0021925
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,47804.43,1959444.2,108452.63,669985.3,0.0,1.1608727,1.4037013,-0.2570686
523.0,7.596713,2.5,92430.0,120620.07,1231918.5,109778.91,343000.9,0.0,1.4376211,2.0398483,-0.46152478
523.0,7.596713,3.5,80968.0,15622.189,774752.44,101208.14,195645.7,0.0,1.8136183,-1.4245017,-0.4791447
523.0,7.596713,4.5,91207.0,1828.288,645543.44,58150.152,260684.31,0.0,2.2729487,-0.9725347,-0.76786155
523.0,7.596713,5.5,106089.0,3731.542,584052.3,121572.39,130936.34,0.0,2.945774,-1.7042958,-2.219352
523.0,7.596713,6.5,113779.0,18367.055,900709.3,64536.324,147184.14,0.0,-3.0207894,-2.3570669,-2.9696105
523.0,7.596713,7.5,109791.0,12381.376,967266.0,68766.96,153160.64,0.0,2.9526336,1.4984449,2.1320453
523.0,7.596713,8.5,104589.0,170558.06,973635.06,132669.08,159253.02,0.0,2.6636684,-0.07551274,2.5818067
523.0,7.596713,9.5,90162.0,104230.36,506657.0,211118.39,337052.72,0.0,2.8717985,0.06721901,1.7511791
523.0,7.596713,10.5,83641.0,55832.867,170125.69,175123.44,83631.45,0.0,-2.9289787,0.028408801,2.142114
523.0,7.596713,11.5,73963.0,29911.328,418714.2,375852.38,128502.48,0.0,-0.91407233,0.37582648,3.0372338
523.0,7.596713,12.5,64993.0,114407.35,898806.0,327280.8,163049.88,0.0,-0.7980881,0.3138683,-2.4187508
523.0,7.596713,13.5,53348.0,91205.65,819075.5,217220.11,232435.31,0.0,-0.85504746,0.61060256,-2.5668232
523.0,7.596713,14.5,39554.0,156123.97,730605.1,92838.03,69485.27,0.0,-1.0568147,1.6631999,-1.7078975
