snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,57734.0,2898.972,794139.75,45202.656,247331.67,0.0,1.4379275,-2.6428742,-0.34697425
520.0,7.6413755,2.5,56839.0,10216.92,633079.8,12842.473,178714.86,0.0,1.8100315,2.0042078,-0.73361635
520.0,7.6413755,3.5,66130.0,45606.465,513051.66,54223.81,81665.61,0.0,2.4919448,-1.9933801,-0.30294925
520.0,7.6413755,4.5,86232.0,58759.93,602712.9,134041.25,47618.47,0.0,2.571403,0.59566873,-0.31730533
520.0,7.6413755,5.5,105840.0,12077.486,663354.9,83665.016,243447.06,0.0,3.1412303,-3.0139112,-0.40061122
520.0,7.6413755,6.5,98215.0,144683.69,901537.9,132107.2,93429.02,0.0,-3.048541,1.0305383,2.0257173
520.0,7.6413755,7.5,94065.0,28122.299,822750.8,282291.62,12246.802,0.0,2.9717324,0.640403,-0.5899012
520.0,7.6413755,8.5,91645.0,92244.45,976443.4,92513.03,152017.73,0.0,2.9265647,-3.0301635,1.8936642
520.0,7.6413755,9.5,88714.0,65017.824,645864.25,282424.0,167646.69,0.0,3.0048409,-1.2039437,1.3162909
520.0,7.6413755,10.5,84600.0,243858.86,111640.88,229077.3,119110.19,0.0,-0.3234102,2.028183,-2.4942946
520.0,7.6413755,11.5,69901.0,254329.56,435149.8,374332.56,207830.12,0.0,-0.82352453,1.504444,-2.0060768
520.0,7.6413755,12.5,59277.0,248786.31,900563.2,436476.66,219099.23,0.0,-0.7615129,1.4964507,-1.9440051
520.0,7.6413755,13.5,48512.0,53802.375,993222.7,132029.0,153015.52,0.0,-0.8808407,1.222148,-2.302146
520.0,7.6413755,14.5,37669.0,116793.44,936228.2,73913.41,174880.56,0.0,-0.97239786,1.5223677,-2.3695936
520.0,7.6413755,15.5,30232.0,10101.511,896384.25,113731.48,285474.06,0.0,-1.0043341,1.1590968,-2.9902525
520.0,7.6413755,16.5,27871.0,157584.62,878957.75,224803.47,254880.03,0.0,-0.9878344,0.8919887,-2.708375
520.0,7.6413755,17.5,21258.0,107808.8,384691.97,99623.836,159323.84,0.0,-1.4048004,-0.77646667,-2.8657176
520.0,7.6413755,18.5,18747.0,123395.62,254802.95,81938.98,67204.5,0.0,-1.8962837,-1.5296612,-2.615325
520.0,7.6413755,19.5,14021.0,147158.11,241492.98,98495.305,58267.926,0.0,-2.1740315,-1.7579396,-1.9667617
520.0,7.6413755,20.5,10041.0,150807.95,245783.36,139604.75,67485.32,0.0,-2.532532,-2.2365508,-2.1101224
520.0,7.6413755,21.5,7287.0,128245.99,208520.05,133660.08,70039.85,0.0,-2.7061706,-2.4637022,-2.005673
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,58445.0,40903.008,787847.8,80629.82,219508.75,0.0,1.4443521,1.0309534,-0.629742
523.0,7.596713,2.5,57018.0,90226.99,645404.06,69163.516,101702.3,0.0,1.9470898,1.8710746,-0.9341187
523.0,7.596713,3.5,61686.0,9713.85,558008.1,130167.695,92087.41,0.0,2.37226,-1.1831757,-1.1778028
523.0,7.596713,4.5,79720.0,3272.352,565891.56,49468.4,204793.8,0.0,2.6339302,-1.2135243,-0.8830601
523.0,7.596713,5.5,99009.0,848.429,614215.5,117574.695,151558.27,0.0,3.1237576,-1.8139827,-2.3333461
523.0,7.596713,6.5,108780.0,17247.1,915190.06,55856.598,171044.72,0.0,-2.9607472,-2.421407,-3.000037
523.0,7.596713,7.5,105605.0,8321.99,949525.9,68331.06,153504.97,0.0,2.989106,1.6067367,2.200025
523.0,7.596713,8.5,101286.0,167067.0,961711.9,134420.11,171904.77,0.0,2.680483,-0.034489058,2.640213
523.0,7.596713,9.5,87530.0,102685.414,497797.06,221533.97,327116.4,0.0,2.8801205,0.099963136,1.7784216
523.0,7.596713,10.5,81793.0,53841.44,163994.19,175946.42,83625.06,0.0,-2.8817391,0.039024018,2.1796422
523.0,7.596713,11.5,72468.0,32845.53,433039.66,376656.5,129904.19,0.0,-0.9141306,0.36936414,3.0608313
523.0,7.596713,12.5,63749.0,118175.02,909114.5,332046.78,163909.33,0.0,-0.7938124,0.30681175,-2.4227552
523.0,7.596713,13.5,52363.0,98837.47,829541.5,222255.12,236279.06,0.0,-0.8523188,0.6240402,-2.543544
523.0,7.596713,14.5,38689.0,160665.69,724500.3,85388.3,70272.35,0.0,-1.0511199,1.7028178,-1.5195063
523.0,7.596713,15.5,29518.0,69057.51,660967.7,26044.621,155802.22,0.0,-1.018514,-2.0704536,-2.8862658
523.0,7.596713,16.5,24915.0,2183.626,609057.0,35038.066,194976.98,0.0,-1.1939657,-1.7456237,-2.8946676
523.0,7.596713,17.5,21745.0,101775.96,477302.34,21766.86,188312.47,0.0,-1.2997383,-1.6935196,-2.418134
523.0,7.596713,18.5,17280.0,121681.84,328906.8,38353.242,178670.08,0.0,-1.4258922,-3.1272852,-2.645058
523.0,7.596713,19.5,12617.0,96735.125,190490.42,72367.01,66051.51,0.0,-1.9132013,-2.3678703,-2.8228874
523.0,7.596713,20.5,9104.0,107327.016,189329.62,128781.63,75248.914,0.0,-2.6704957,-2.528137,-2.1785715
523.0,7.596713,21.5,5237.0,72761.695,119106.53,86857.914,52603.195,0.0,-2.8183732,-2.8274124,-2.676214
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,58346.0,18371.236,756880.4,64301.69,294228.62,0.0,1.4302139,-2.6633573,-0.35326698
525.0,7.566684,2.5,57831.0,48490.082,571620.25,74490.56,156092.84,0.0,2.0068576,-0.65726465,-0.36757717
525.0,7.566684,3.5,63818.0,32323.2,564422.75,74689.86,142087.89,0.0,2.3564315,-2.9656668,-1.2217104
525.0,7.566684,4.5,79900.0,25148.762,425275.44,110984.39,106084.78,0.0,2.5734096,-3.0926332,-1.3818223
525.0,7.566684,5.5,97094.0,95065.88,498972.4,128889.445,170764.03,0.0,2.7705574,2.8054905,-2.3703904
525.0,7.566684,6.5,103976.0,115530.56,698178.44,180117.39,161178.03,0.0,-3.1162465,-1.6364142,-2.2227259
525.0,7.566684,7.5,107833.0,35246.285,1028558.75,91663.53,193259.0,0.0,2.989863,1.7038578,2.3890395
525.0,7.566684,8.5,102551.0,118851.41,851805.9,233939.62,134545.16,0.0,2.780691,-0.25730392,1.1668725
525.0,7.566684,9.5,94960.0,36086.164,461261.16,375395.4,361683.03,0.0,2.0727878,-1.1015753,0.8210446
525.0,7.566684,10.5,84560.0,34097.957,163151.02,228163.84,132463.17,0.0,-0.71290267,-0.38484302,0.21347044
525.0,7.566684,11.5,72798.0,121830.99,493164.94,190755.75,46541.438,0.0,-0.8369156,0.09043496,3.0444493
525.0,7.566684,12.5,66529.0,259266.36,857624.0,253511.31,195703.2,0.0,-0.8321962,0.2729004,2.3598824
525.0,7.566684,13.5,53283.0,212944.12,690215.6,122594.16,111779.58,0.0,-0.96127415,-0.31621307,2.2937164
525.0,7.566684,14.5,40381.0,132655.25,622815.4,120249.695,46548.49,0.0,-0.90258414,-0.66121405,-2.4367335
525.0,7.566684,15.5,29974.0,97593.93,558147.8,58292.652,33117.65,0.0,-0.96299636,-1.9543573,-2.0315075
525.0,7.566684,16.5,23991.0,44395.37,401645.53,132465.61,139352.4,0.0,-1.0649842,-2.210292,-2.4005423
525.0,7.566684,17.5,20566.0,16690.549,280542.7,158658.64,189449.81,0.0,-1.4541315,-2.6296089,-2.4312673
525.0,7.566684,18.5,16783.0,96428.39,324131.84,6093.0396,162983.19,0.0,-1.4322098,1.5055624,-2.5923417
525.0,7.566684,19.5,12058.0,100657.195,182861.94,27963.648,79905.65,0.0,-1.8347951,-2.3008113,-2.880516
525.0,7.566684,20.5,9470.0,95869.73,177073.06,117232.06,54960.574,0.0,-2.595237,-2.48877,-2.5626864
525.0,7.566684,21.5,3959.0,45719.68,74186.24,47690.27,33286.734,0.0,-2.7568176,-2.7998252,-2.6838117
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,57173.0,77057.49,682774.9,82138.67,230850.44,0.0,1.448779,2.972093,-0.41390112
527.0,7.5333905,2.5,57277.0,12977.235,533021.8,73294.586,165296.38,0.0,2.048348,-1.9475638,-0.8153999
527.0,7.5333905,3.5,65995.0,82378.28,615756.5,105359.08,68433.67,0.0,2.3637443,-3.1309898,-1.0712769
527.0,7.5333905,4.5,83192.0,66475.93,608111.3,206173.47,98770.34,0.0,2.485291,-2.614553,-2.047567
527.0,7.5333905,5.5,102423.0,38568.168,539113.25,180197.22,155480.61,0.0,2.714148,-3.015344,-1.2966906
527.0,7.5333905,6.5,101973.0,68324.86,485563.75,79511.63,129236.195,0.0,3.0628488,-1.5886898,-1.8457817
527.0,7.5333905,7.5,100084.0,84579.76,811292.94,134870.47,232951.36,0.0,-3.0813184,-3.0861003,2.171804
527.0,7.5333905,8.5,104001.0,43146.94,1126330.1,79781.15,198292.25,0.0,2.9111102,2.5482945,1.1100959
527.0,7.5333905,9.5,93806.0,40238.555,438603.06,254001.9,163188.81,0.0,2.685923,-0.883389,0.39329183
527.0,7.5333905,10.5,89211.0,32170.79,275526.47,369353.75,28085.242,0.0,-0.7346496,-0.826074,0.74112904
527.0,7.5333905,11.5,74054.0,199618.75,579609.5,334314.3,204007.58,0.0,-0.5576983,-0.6165472,0.4215452
527.0,7.5333905,12.5,69111.0,327297.2,824604.5,334410.3,144143.78,0.0,-0.67648727,-0.56586075,1.2536734
527.0,7.5333905,13.5,56424.0,299066.34,827250.25,252978.45,45882.36,0.0,-0.70803535,-0.7098367,1.8702987
527.0,7.5333905,14.5,43095.0,237844.11,629992.4,54359.81,54847.652,0.0,-0.9092718,-3.0778766,-0.8754196
527.0,7.5333905,15.5,33758.0,77683.76,608637.1,71266.26,134414.97,0.0,-0.932135,-2.8435817,-2.2612023
527.0,7.5333905,16.5,23798.0,43715.824,368382.06,106323.0,131513.64,0.0,-1.1299665,-2.2432578,-2.6757088
527.0,7.5333905,17.5,18274.0,4778.056,230075.05,111885.85,127822.24,0.0,-1.4576287,-2.58724,-2.266648
527.0,7.5333905,18.5,14822.0,3589.526,150107.75,88287.22,98897.33,0.0,-1.486242,-2.2229514,-2.2410696
527.0,7.5333905,19.5,11406.0,49803.805,107183.95,32753.926,73807.8,0.0,-1.7316235,-2.430533,-2.1177573
527.0,7.5333905,20.5,7911.0,82496.9,133190.75,111634.84,67330.88,0.0,-2.555019,-2.4131675,-2.1284497
527.0,7.5333905,21.5,4062.0,23459.264,52547.69,59001.727,47867.668,0.0,-2.665877,-2.4705415,-2.4169493
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,57126.0,96397.664,600028.6,9594.275,196666.2,0.0,1.3942735,1.0263871,-0.64292145
530.0,7.48298,2.5,56526.0,78872.36,499346.72,13228.523,77056.67,0.0,2.14307,-2.519938,-1.1129396
530.0,7.48298,3.5,67208.0,31621.117,582369.94,89973.55,92239.35,0.0,2.5271175,0.894945,-0.7628252
530.0,7.48298,4.5,81910.0,17472.979,795269.94,124560.58,188941.52,0.0,2.632123,1.826717,-2.7070396
530.0,7.48298,5.5,100028.0,11610.193,696546.44,109051.09,325714.97,0.0,2.9706368,1.8168279,2.531351
530.0,7.48298,6.5,109450.0,165503.06,645657.56,58487.977,222796.5,0.0,2.8694046,2.6837463,1.5583026
530.0,7.48298,7.5,100622.0,82017.95,582121.2,225281.34,79613.625,0.0,-2.930008,-2.7390013,2.811197
530.0,7.48298,8.5,98517.0,99699.28,747462.44,189282.2,104253.805,0.0,2.996328,2.3233361,-1.7326909
530.0,7.48298,9.5,95257.0,105126.55,644651.4,243383.27,81903.14,0.0,-3.1040444,0.9779279,-0.89154947
530.0,7.48298,10.5,88245.0,28353.316,267050.22,435651.72,52927.242,0.0,-2.16753,-1.1752273,-1.0899558
530.0,7.48298,11.5,73647.0,38918.812,469706.66,419420.3,80160.84,0.0,-0.7061374,-1.1513447,2.8585515
530.0,7.48298,12.5,66604.0,278114.44,982272.7,314597.4,189287.72,0.0,-0.75191146,-0.6069688,-1.3371978
530.0,7.48298,13.5,58343.0,290329.06,1076694.2,86586.33,87266.97,0.0,-0.64606524,-0.76472324,1.6102856
530.0,7.48298,14.5,48964.0,254290.44,799727.7,110800.05,159651.45,0.0,-0.7214786,-1.9544376,2.4245014
530.0,7.48298,15.5,36526.0,134297.02,639206.06,235738.89,71525.86,0.0,-0.8295896,-2.5623176,2.9660978
530.0,7.48298,16.5,27006.0,81629.49,484300.84,70903.03,134483.22,0.0,-1.2740629,-2.356359,-2.6820378
530.0,7.48298,17.5,19245.0,48306.258,322069.72,103463.6,117518.45,0.0,-1.2952595,-2.2663112,-2.0860367
530.0,7.48298,18.5,14901.0,18929.56,211172.0,79785.9,146919.62,0.0,-1.1784946,-2.2671874,-2.0116885
530.0,7.48298,19.5,11003.0,14913.429,82969.6,52678.406,110238.945,0.0,-1.3451737,-2.1280909,-1.7587212
530.0,7.48298,20.5,7416.0,38598.855,58383.3,72578.35,57279.305,0.0,-2.3980455,-3.043275,-2.7340078
530.0,7.48298,21.5,4673.0,46607.58,71163.71,95431.2,75556.71,0.0,-3.0142741,3.0066683,3.0163298
532.0,7.445623,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,1.5,57899.0,22797.496,643240.5,67495.75,161996.11,0.0,1.4167371,3.0359168,-0.26841125
532.0,7.445623,2.5,57150.0,51253.48,492626.78,32291.299,93818.59,0.0,2.0478377,-1.2384872,-0.62333673
532.0,7.445623,3.5,67577.0,107074.56,635627.56,100157.2,63960.03,0.0,2.3989432,-0.548793,-1.2050716
532.0,7.445623,4.5,83674.0,45010.066,963769.7,123254.31,21309.521,0.0,2.5464838,0.2035752,-0.38702205
532.0,7.445623,5.5,101403.0,71692.7,671243.75,15981.081,167210.48,0.0,2.7639408,-1.3724377,2.5814753
532.0,7.445623,6.5,105923.0,118871.35,707899.4,78804.87,65922.25,0.0,3.0929158,1.3054224,-2.15384
532.0,7.445623,7.5,106891.0,165606.14,804711.75,162000.31,51617.39,0.0,-2.9884903,3.0829694,1.7221762
532.0,7.445623,8.5,103044.0,170331.9,894413.44,177487.89,79858.555,0.0,-3.033489,1.1318533,-2.0151322
532.0,7.445623,9.5,90060.0,42351.2,601584.4,313485.72,102908.13,0.0,-2.8257022,1.2052937,-1.5487602
532.0,7.445623,10.5,87517.0,86678.66,268119.72,115438.73,137889.33,0.0,-2.366226,-1.7541751,0.064363144
532.0,7.445623,11.5,80520.0,218490.05,587469.06,486664.06,137060.02,0.0,-0.49808213,-1.5215207,1.5441331
532.0,7.445623,12.5,64069.0,134829.58,751115.1,391768.38,80360.555,0.0,-0.6308433,-0.8220284,-0.6252068
