snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,37571.0,817.313,153138.31,16146.383,61872.957,34017.484,0.0,3.1283581,1.4524659,-0.77023065,0.29154354
600.0,6.3231816,2.5,41015.0,9928.238,245120.52,21001.012,68496.89,16115.782,0.0,-2.6863666,3.099288,-0.9867303,-2.2966602
600.0,6.3231816,3.5,36141.0,4118.674,274659.03,53644.016,80161.51,35408.844,0.0,-2.8021855,-1.1840146,-1.4485601,-1.8084673
600.0,6.3231816,4.5,42438.0,22779.496,425023.44,26273.227,19064.316,17083.709,0.0,-2.6919377,1.3466533,-2.4465365,-1.2893322
600.0,6.3231816,5.5,63994.0,8714.462,710197.3,63460.152,39524.055,60854.168,0.0,-2.6629043,-2.3465135,0.48805836,-1.310715
600.0,6.3231816,6.5,67248.0,71596.96,683451.56,111312.72,149425.34,54071.56,0.0,-2.4898891,0.3259473,-0.73859864,1.3979458
600.0,6.3231816,7.5,67299.0,106915.81,685518.3,116980.836,132469.3,47264.61,0.0,-2.7602837,0.7417569,0.32704976,0.48263323
600.0,6.3231816,8.5,81576.0,42592.586,577039.3,35150.973,95823.26,86209.87,0.0,3.0085387,-2.110609,1.5356346,-1.3372434
600.0,6.3231816,9.5,85547.0,9382.585,349000.6,167130.61,103048.414,85073.17,0.0,2.3913705,-1.5954676,-2.3044577,-1.5697185
600.0,6.3231816,10.5,90432.0,1558.202,269779.06,63176.617,211992.77,147448.36,0.0,0.15503688,-0.32555246,-1.6208189,-2.8907568
600.0,6.3231816,11.5,90809.0,66791.01,520229.28,126764.39,124692.875,103778.1,0.0,0.105482556,2.6590343,-1.6065649,2.707927
600.0,6.3231816,12.5,81771.0,94790.28,621462.75,185053.08,167905.33,131838.25,0.0,-0.07820025,1.708728,-2.6301146,3.1399076
600.0,6.3231816,13.5,73662.0,73878.41,664724.7,285660.06,98144.875,87312.5,0.0,0.3472997,0.9369658,-3.0474024,-2.6020093
600.0,6.3231816,14.5,63668.0,54497.18,653595.4,360222.16,86205.125,168481.11,0.0,0.44473043,0.8568456,-1.0305443,-2.1472635
600.0,6.3231816,15.5,57568.0,126486.195,733529.9,467963.66,215679.83,123651.9,0.0,0.30306116,0.55325866,-0.06199863,-1.7597133
600.0,6.3231816,16.5,45270.0,106592.67,717506.75,454631.12,154468.75,46077.605,0.0,-0.0045660655,-0.047478676,-0.4095766,1.3549776
600.0,6.3231816,17.5,32547.0,104854.41,552786.2,218346.06,39605.547,81297.47,0.0,-0.18157896,-0.37671816,-1.5793908,0.53081226
600.0,6.3231816,18.5,23942.0,165559.14,532970.8,235816.53,159542.97,20699.541,0.0,-0.4766891,-1.1565174,-2.2328568,-2.1651165
600.0,6.3231816,19.5,16997.0,159531.44,449063.72,239396.95,125598.16,33177.02,0.0,-0.54015857,-1.3834239,-1.9432102,0.72007644
600.0,6.3231816,20.5,11874.0,160865.56,379063.06,285079.1,187426.2,88134.914,0.0,-0.6620277,-1.4862652,-2.2635758,3.122897
600.0,6.3231816,21.5,7776.0,117211.445,260428.44,213583.33,152584.72,108582.03,0.0,-0.69950545,-1.5407463,-2.3062105,-3.0330348
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,38158.0,11747.771,167802.6,33383.777,87131.46,37786.56,0.0,-2.8035336,-2.3639507,-0.30483443,-1.5935068
602.0,6.2968197,2.5,40157.0,44773.527,335683.34,6176.6997,64498.504,9253.108,0.0,-2.8036096,-2.73013,-0.7697655,2.2505338
602.0,6.2968197,3.5,37703.0,3494.953,311313.84,65937.31,97813.555,57686.805,0.0,-2.7332442,-2.9612346,-2.027775,2.1792605
602.0,6.2968197,4.5,42238.0,6573.372,404762.9,24581.807,79366.51,40367.67,0.0,-2.5765464,-1.641044,-2.9438086,-2.2828085
602.0,6.2968197,5.5,66532.0,29293.775,740405.5,39109.83,88916.51,7589.5864,0.0,-2.6906347,-2.4875238,-0.99556977,-1.3249764
602.0,6.2968197,6.5,68675.0,69764.164,699845.44,87074.2,56415.08,13348.622,0.0,-2.7591064,-0.58361953,-0.8717971,1.149546
602.0,6.2968197,7.5,68665.0,137595.2,695955.25,105310.78,101755.26,32502.59,0.0,-2.9467382,0.1862878,-0.5573639,-2.4012349
602.0,6.2968197,8.5,80820.0,30100.746,707755.3,58587.72,70414.75,103733.9,0.0,-3.1407342,-2.3988354,0.0053584906,2.0567498
602.0,6.2968197,9.5,83172.0,29130.871,469314.62,257414.64,96524.57,76684.375,0.0,2.6442337,-1.5351014,3.135475,2.4872026
602.0,6.2968197,10.5,87126.0,118676.09,169103.72,167679.19,231888.02,108056.35,0.0,-0.14974299,-0.1234363,-2.910496,2.1149325
602.0,6.2968197,11.5,87810.0,7418.956,472526.9,128019.805,27828.617,29975.441,0.0,-0.14958352,0.8127951,2.3455427,2.8493254
602.0,6.2968197,12.5,87020.0,116569.1,492303.94,181887.11,200337.25,127399.73,0.0,-0.10964261,1.7795802,-2.9199955,1.0958446
602.0,6.2968197,13.5,75017.0,57591.633,679972.75,225467.84,119157.766,84552.05,0.0,0.11319996,1.1603564,-2.3269377,-0.378168
602.0,6.2968197,14.5,62570.0,97498.62,610362.56,314808.9,43860.348,38868.96,0.0,0.18626946,0.72021145,-1.4731476,-2.2851686
602.0,6.2968197,15.5,57058.0,152087.4,657215.06,416023.2,96622.086,137219.8,0.0,0.29818186,0.394871,0.25193354,1.1665668
602.0,6.2968197,16.5,47400.0,107752.38,763369.44,580353.75,162479.19,46527.734,0.0,0.06294265,-0.09470361,-0.5287213,1.2967656
602.0,6.2968197,17.5,34112.0,79147.13,543436.5,333038.3,84437.21,37253.67,0.0,-0.012306163,-0.21213828,-1.1104457,-2.2964325
602.0,6.2968197,18.5,23071.0,132841.11,415629.1,137340.97,84979.59,4950.23,0.0,-0.44549078,-1.1011795,-2.8809998,1.3028303
602.0,6.2968197,19.5,16141.0,178809.5,435149.8,246012.72,118306.29,33943.86,0.0,-0.64481354,-1.4122003,-2.4430692,0.58273005
602.0,6.2968197,20.5,11697.0,177275.47,390537.78,268166.28,163225.5,53754.234,0.0,-0.6617692,-1.4921535,-2.36382,2.8447042
602.0,6.2968197,21.5,9015.0,171986.22,346087.97,273417.34,202793.17,137762.45,0.0,-0.73340523,-1.5699089,-2.4041564,2.987717
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,38731.0,28607.625,89421.73,12288.463,35698.0,23712.818,0.0,-2.4737945,-1.7287441,-0.4535726,1.452499
604.0,6.2570214,2.5,39446.0,8779.281,370819.3,43216.957,63749.957,4319.854,0.0,-2.649853,2.1862164,-1.008128,2.9149907
604.0,6.2570214,3.5,38021.0,30760.504,401042.8,44903.08,29755.914,17017.834,0.0,-2.5233624,1.9193481,-2.3921099,-0.25925958
604.0,6.2570214,4.5,42146.0,32359.408,367864.28,11251.696,59276.3,22182.965,0.0,-2.4875877,-2.7565932,1.8610214,1.7259108
604.0,6.2570214,5.5,64862.0,65669.83,669305.56,18374.293,67460.625,36535.457,0.0,-2.749404,-0.3132768,2.6371582,-2.377574
604.0,6.2570214,6.5,73208.0,6070.049,673199.3,29021.898,102818.03,31758.021,0.0,-2.780282,-0.46043903,-2.9427023,-0.258413
604.0,6.2570214,7.5,70870.0,114008.52,647978.9,200434.22,108517.92,46679.156,0.0,-3.0088148,-0.25995904,-1.6903098,-1.8382215
604.0,6.2570214,8.5,80811.0,75507.59,683537.5,79911.0,81424.71,43923.57,0.0,-3.1172955,-0.3030065,0.3245552,-1.4099773
604.0,6.2570214,9.5,81359.0,41509.156,497860.6,151612.47,84791.46,7048.0547,0.0,2.4948475,-2.1277938,1.8938781,-0.4400525
604.0,6.2570214,10.5,84234.0,11367.79,397225.78,219254.73,158404.7,148899.39,0.0,1.0619075,-1.637399,0.37350714,-0.010923138
604.0,6.2570214,11.5,83300.0,114534.24,278970.0,266903.6,109141.08,50707.67,0.0,0.0075203897,-1.2934409,0.9532818,0.33285332
604.0,6.2570214,12.5,82652.0,67060.945,429583.88,112306.59,124042.58,44411.46,0.0,-0.1395349,-0.110729896,1.8023816,2.567268
604.0,6.2570214,13.5,76971.0,68.434,446164.34,262386.3,175396.77,164114.66,0.0,0.072717935,1.2663829,2.7354643,-2.3192186
604.0,6.2570214,14.5,67003.0,81566.13,477659.16,134655.06,104716.88,232634.98,0.0,0.32944903,1.0837764,-2.7637713,-1.7739913
604.0,6.2570214,15.5,55932.0,67058.85,503492.94,256441.7,56293.168,162204.95,0.0,0.13485524,-0.07829333,-0.98169816,-1.1450294
604.0,6.2570214,16.5,44328.0,74812.625,549933.3,369309.7,119201.63,142492.58,0.0,0.13317578,-0.122481115,-0.5550344,-1.4979801
604.0,6.2570214,17.5,33978.0,115826.055,544519.2,344146.53,39354.223,59204.477,0.0,-0.005011811,-0.29709807,-1.8956426,2.5874233
604.0,6.2570214,18.5,23551.0,147950.1,417125.75,246540.47,36753.36,89867.04,0.0,-0.27570832,-0.72598505,-2.7475789,2.4451203
604.0,6.2570214,19.5,14191.0,119199.48,265882.84,157767.1,58309.723,40686.332,0.0,-0.52187276,-1.4808166,-3.0810184,0.57411504
604.0,6.2570214,20.5,10617.0,136430.48,282644.78,200947.14,138046.02,59274.223,0.0,-0.7480483,-1.8198792,-3.0097995,1.6357136
604.0,6.2570214,21.5,8880.0,184940.55,352215.72,281172.6,208544.81,129774.84,0.0,-0.8647543,-1.8586265,-2.9061906,2.2382061
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,39217.0,18713.762,54358.957,27688.785,7370.124,27773.213,0.0,3.0578701,1.158593,-0.45110062,0.760173
608.0,6.198067,2.5,40779.0,22074.455,415736.53,72124.34,41079.414,16582.984,0.0,-2.4142885,-1.0593833,-1.1033014,1.1879863
608.0,6.198067,3.5,36478.0,7256.167,517018.03,49025.96,111821.07,41750.28,0.0,-2.4648495,-0.7459436,-0.7120024,0.0690825
608.0,6.198067,4.5,48046.0,41213.85,539756.75,21405.81,98230.37,30919.492,0.0,-2.4787083,2.1989527,1.4149101,-1.2594604
608.0,6.198067,5.5,67382.0,53049.594,601283.0,61782.0,108629.89,61846.305,0.0,-2.5347252,2.7818828,1.9733475,0.33821395
608.0,6.198067,6.5,66406.0,46275.863,465331.1,72615.66,32916.785,82122.46,0.0,-2.9023697,-3.06844,-2.646719,1.0575796
608.0,6.198067,7.5,68550.0,24370.045,609847.0,80188.52,57945.88,31014.479,0.0,3.1051295,-1.2229058,-0.9317454,-1.0464664
608.0,6.198067,8.5,77276.0,77529.46,679282.9,101393.18,131920.1,131090.17,0.0,3.091421,-0.8767817,0.30699834,2.3802843
608.0,6.198067,9.5,86598.0,3009.51,406619.1,154743.69,171105.02,27029.855,0.0,2.4584951,-0.6722349,-1.3769242,-1.1770831
608.0,6.198067,10.5,87537.0,19786.34,257884.86,75378.91,173744.62,111163.0,0.0,0.6533573,-1.8239464,-2.2052839,-0.5609051
608.0,6.198067,11.5,84366.0,115657.04,410751.5,218616.31,119440.664,64817.9,0.0,0.17195009,-2.7619667,-1.5937178,0.29649416
608.0,6.198067,12.5,76023.0,127178.13,446763.34,229930.06,47957.395,124176.55,0.0,0.22344103,-2.7697473,-2.7329338,1.7205518
608.0,6.198067,13.5,71619.0,150410.69,515517.03,155697.1,35610.793,86580.664,0.0,0.31848183,-2.6989298,1.2736422,-1.7732488
608.0,6.198067,14.5,70577.0,105245.03,640435.3,135205.03,104792.03,115209.516,0.0,0.5212111,-3.073936,3.022031,-2.1239505
608.0,6.198067,15.5,57504.0,20611.7,540534.1,124894.93,81833.234,98289.11,0.0,0.53389513,1.4853754,2.7923088,-3.1243694
608.0,6.198067,16.5,46205.0,66108.15,520521.84,61157.965,107355.195,55718.285,0.0,0.45348263,0.38624883,1.7736601,2.8444793
608.0,6.198067,17.5,33374.0,55294.758,421049.72,69644.58,120249.734,44380.008,0.0,0.22282647,-0.58468384,1.4900908,0.101378
608.0,6.198067,18.5,24259.0,117850.57,376753.84,129784.23,103081.67,123772.24,0.0,0.06865616,-0.5069783,1.2815845,0.5329148
608.0,6.198067,19.5,14589.0,107515.11,248705.88,96044.43,45881.516,69322.15,0.0,-0.16350722,-0.9838098,1.7595333,0.805033
608.0,6.198067,20.5,9498.0,73031.04,154963.5,97917.69,30095.564,71301.4,0.0,-0.59059685,-1.5505834,2.358047,0.7974293
608.0,6.198067,21.5,7677.0,104852.69,198562.77,140938.61,99577.38,86602.83,0.0,-1.125657,-2.3954554,2.3719118,0.8940948
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,39455.0,74716.2,67845.53,18839.826,30380.08,20027.943,0.0,-1.8788637,2.5248106,1.2138429,-1.2784052
610.0,6.1668267,2.5,41221.0,101482.555,355393.84,52243.51,11132.366,22884.82,0.0,-2.3674679,2.9024234,-2.8863974,-1.4008536
610.0,6.1668267,3.5,34984.0,8795.545,462191.6,15747.156,53336.6,15727.888,0.0,-2.456862,-1.2689462,-0.7475634,-2.6962998
610.0,6.1668267,4.5,45002.0,2060.263,484684.44,21881.617,119463.72,35370.49,0.0,-2.4500988,-0.34187192,0.11865083,1.1954942
610.0,6.1668267,5.5,69428.0,32795.562,641046.94,43615.562,77820.65,29403.336,0.0,-2.6137247,-3.0654373,0.7863262,-0.275941
610.0,6.1668267,6.5,70991.0,35983.31,615084.6,43052.168,83986.89,69334.02,0.0,-2.7626204,-2.4315717,1.6668246,2.7485394
610.0,6.1668267,7.5,67765.0,88170.52,543654.7,106220.99,45953.934,155012.78,0.0,-2.828107,-1.9354794,-1.664396,-0.6950834
610.0,6.1668267,8.5,76578.0,82336.91,628835.75,93481.68,176659.03,151860.11,0.0,3.0633779,-1.2798258,-0.8856734,1.4744278
610.0,6.1668267,9.5,85530.0,57433.258,390004.84,121418.555,82130.945,106253.43,0.0,2.5478148,-2.0190587,-1.5328808,1.4046241
610.0,6.1668267,10.5,89570.0,102724.74,188583.17,209992.22,119046.41,47873.82,0.0,1.286695,-2.077054,-1.4573561,-1.1702268
610.0,6.1668267,11.5,88014.0,72099.93,334677.25,190701.6,18024.137,117832.43,0.0,0.16561887,-2.666803,-1.5189552,1.9431586
610.0,6.1668267,12.5,77035.0,156927.44,531561.44,294848.75,114011.25,106497.78,0.0,0.012842759,-2.9162726,2.3006382,1.4824644
610.0,6.1668267,13.5,70293.0,172140.05,738287.5,321891.78,99510.945,52395.508,0.0,0.31023753,3.003528,2.1662111,-2.9707649
610.0,6.1668267,14.5,67578.0,106934.93,668595.25,78840.836,48411.098,124178.49,0.0,0.41008273,2.859993,2.2850695,-1.3728148
610.0,6.1668267,15.5,59740.0,56196.48,558787.06,54451.1,54653.152,9306.286,0.0,0.46839833,1.3681734,-0.7484847,-3.0368416
610.0,6.1668267,16.5,47254.0,50319.582,554166.1,122622.15,117537.06,30488.252,0.0,0.4612875,0.6945936,0.81677544,2.7630603
610.0,6.1668267,17.5,35495.0,67367.484,481330.9,58917.97,183968.83,9153.635,0.0,0.2554,0.12357599,1.1984913,-1.3860404
610.0,6.1668267,18.5,25549.0,127900.875,413141.4,174236.06,107334.234,75024.84,0.0,0.16438226,-0.22332983,0.86288416,0.16139723
610.0,6.1668267,19.5,15878.0,101423.914,280854.12,146729.25,61724.355,52258.56,0.0,0.054759312,-0.41450572,0.16333348,-0.17361134
610.0,6.1668267,20.5,7823.0,62148.727,111390.67,39493.08,24796.055,34051.734,0.0,-0.17080015,-0.72167224,1.217129,0.08600539
610.0,6.1668267,21.5,6060.0,57538.18,108648.99,83224.23,65029.684,62844.03,0.0,-1.1855729,-2.6187499,2.0723681,0.21944861
612.0,6.133891,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612.0,6.133891,1.5,39222.0,51036.844,116453.68,84269.69,37760.777,15365.575,0.0,-1.1623304,0.6325173,1.0962642,1.0163369
612.0,6.133891,2.5,42209.0,31387.203,306061.3,50277.277,65414.57,33471.88,0.0,-2.1111374,2.0089374,0.6793976,1.8634869
