snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,3.268,298578.97,23647.84,0.0,2.4391685,-0.78596896
520.0,7.6413755,2.5,40263.0,3275.057,427032.0,10848.938,0.0,2.3372793,-0.30862275
520.0,7.6413755,3.5,57150.0,36399.14,460581.1,40299.324,0.0,2.7554162,-1.7165889
520.0,7.6413755,4.5,81043.0,62020.973,583570.7,133758.39,0.0,2.7404864,0.4913692
520.0,7.6413755,5.5,102145.0,16420.533,638146.75,65316.605,0.0,-3.0593803,-2.9249542
520.0,7.6413755,6.5,95116.0,139436.17,869574.9,147359.86,0.0,-3.0286148,1.0210823
520.0,7.6413755,7.5,90846.0,28961.729,786494.25,296543.34,0.0,2.9863653,0.64292
520.0,7.6413755,8.5,88220.0,99627.336,939048.94,91525.914,0.0,2.9350073,-3.0557103
520.0,7.6413755,9.5,85640.0,67883.98,621796.6,280945.28,0.0,3.011548,-1.2057558
520.0,7.6413755,10.5,81576.0,236245.95,128507.77,238154.44,0.0,-0.32520878,2.0420303
520.0,7.6413755,11.5,67096.0,237455.42,417432.34,354561.53,0.0,-0.7805582,1.5605135
520.0,7.6413755,12.5,57075.0,228727.64,880351.25,410743.03,0.0,-0.74231964,1.5438012
520.0,7.6413755,13.5,46515.0,67168.805,943828.75,109972.79,0.0,-0.8731492,1.3103588
520.0,7.6413755,14.5,35826.0,115920.56,899413.44,67548.555,0.0,-0.97498804,1.4241465
520.0,7.6413755,15.5,28716.0,1808.259,863121.0,113465.5,0.0,-1.0061244,1.0686797
520.0,7.6413755,16.5,26840.0,155079.42,857209.06,216352.78,0.0,-0.9945653,0.9259738
520.0,7.6413755,17.5,20380.0,106048.516,374555.88,93178.71,0.0,-1.4171135,-0.82808524
520.0,7.6413755,18.5,17968.0,120296.15,246655.12,76995.07,0.0,-1.9090737,-1.5800304
520.0,7.6413755,19.5,13351.0,141824.05,232764.98,93806.01,0.0,-2.1784816,-1.8101368
520.0,7.6413755,20.5,9569.0,144786.47,236403.75,135643.52,0.0,-2.5407908,-2.2639341
520.0,7.6413755,21.5,6989.0,123250.24,201102.25,131415.53,0.0,-2.7018683,-2.46321
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,26985.42,323856.4,40125.938,0.0,2.426267,0.61185384
523.0,7.596713,2.5,40766.0,78144.46,490009.25,56512.492,0.0,2.4873455,2.1586494
523.0,7.596713,3.5,52348.0,2431.117,466951.06,85835.52,0.0,2.5960994,-1.1837008
523.0,7.596713,4.5,73791.0,5874.367,529616.7,61802.527,0.0,2.724807,-1.2371237
523.0,7.596713,5.5,95006.0,5537.593,584566.75,118915.086,0.0,-3.0997634,-1.8602432
523.0,7.596713,6.5,105385.0,19202.463,886445.4,39781.707,0.0,-2.9493823,-2.4052866
523.0,7.596713,7.5,102293.0,14065.804,905717.94,63732.254,0.0,2.9881241,1.3095115
523.0,7.596713,8.5,97985.0,167879.06,920292.56,139603.94,0.0,2.6777496,-0.08203677
523.0,7.596713,9.5,84195.0,100803.72,465852.0,233379.08,0.0,2.9138622,0.07157559
523.0,7.596713,10.5,78746.0,46314.293,141607.86,187050.25,0.0,-2.8032856,0.032595485
523.0,7.596713,11.5,69698.0,54647.46,427806.3,349429.3,0.0,-0.8821263,0.3551241
523.0,7.596713,12.5,61208.0,130704.57,887814.7,310369.56,0.0,-0.7873371,0.24438234
523.0,7.596713,13.5,49975.0,106874.73,787851.44,197496.1,0.0,-0.84129554,0.59089434
523.0,7.596713,14.5,36556.0,175144.62,647615.9,66365.016,0.0,-1.0506642,2.2022104
523.0,7.596713,15.5,27770.0,85104.234,600579.44,60064.56,0.0,-1.0241325,-2.0133142
523.0,7.596713,16.5,23526.0,6425.113,575151.4,44618.12,0.0,-1.1979499,-1.9514256
523.0,7.596713,17.5,20489.0,97725.805,458694.0,28452.453,0.0,-1.3084687,-2.0861506
523.0,7.596713,18.5,16348.0,117336.1,320972.72,46061.543,0.0,-1.4326688,-3.0122583
523.0,7.596713,19.5,11927.0,93069.336,184113.81,71094.695,0.0,-1.9000732,-2.3774242
523.0,7.596713,20.5,8616.0,103095.25,182554.31,126582.61,0.0,-2.68989,-2.5316763
523.0,7.596713,21.5,5030.0,70768.2,116859.97,87147.48,0.0,-2.8294067,-2.828949
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,28402.0,30720.469,320908.16,28774.95,0.0,2.522066,1.0790768
525.0,7.566684,2.5,41036.0,37452.72,422580.6,70041.53,0.0,2.6054616,-0.49165988
525.0,7.566684,3.5,54451.0,36813.027,508694.47,74685.195,0.0,2.582112,-2.9666939
525.0,7.566684,4.5,73771.0,23499.389,389357.88,113406.875,0.0,2.7180946,-2.9837568
525.0,7.566684,5.5,92880.0,95760.75,478028.8,141953.3,0.0,2.8343105,2.7928498
525.0,7.566684,6.5,100589.0,124402.95,676247.1,194409.06,0.0,-3.0988472,-1.693239
525.0,7.566684,7.5,104504.0,31598.613,995863.4,93832.555,0.0,2.9804325,1.6436504
525.0,7.566684,8.5,99485.0,121073.59,816211.5,234922.02,0.0,2.7833695,-0.2957907
525.0,7.566684,9.5,91494.0,26646.709,436162.06,379936.9,0.0,2.05486,-1.1121532
525.0,7.566684,10.5,81252.0,40171.676,191438.11,232541.5,0.0,-0.7370285,-0.43294638
525.0,7.566684,11.5,70067.0,121128.65,505806.6,190899.28,0.0,-0.83196896,0.012110397
525.0,7.566684,12.5,63918.0,253877.4,840351.5,240254.34,0.0,-0.83549166,0.2434761
525.0,7.566684,13.5,50591.0,212432.25,673221.3,119264.41,0.0,-0.9427152,-0.37936258
525.0,7.566684,14.5,38431.0,132237.25,602114.7,111172.44,0.0,-0.8911807,-0.7052237
525.0,7.566684,15.5,27974.0,89089.32,518785.1,79130.38,0.0,-0.96173835,-2.1619167
525.0,7.566684,16.5,22379.0,51338.836,348276.16,158406.97,0.0,-1.065644,-2.2289014
525.0,7.566684,17.5,19253.0,15294.607,254577.7,166145.94,0.0,-1.4788291,-2.626775
525.0,7.566684,18.5,15718.0,90404.96,297665.53,12149.989,0.0,-1.4449042,-2.8906963
525.0,7.566684,19.5,11391.0,96692.336,171120.81,32870.145,0.0,-1.8473097,-2.3342597
525.0,7.566684,20.5,8872.0,91340.49,171669.39,120375.81,0.0,-2.6143403,-2.4629898
525.0,7.566684,21.5,3652.0,41684.12,69445.48,47649.77,0.0,-2.748918,-2.7492936
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,27624.0,58206.89,262672.4,44290.086,0.0,2.6180148,-2.8582735
527.0,7.5333905,2.5,40519.0,29205.996,445230.3,65520.36,0.0,2.6651685,-2.0549126
527.0,7.5333905,3.5,56695.0,76266.43,525679.75,77903.61,0.0,2.579895,-2.9580123
527.0,7.5333905,4.5,77062.0,64138.64,558591.4,218026.69,0.0,2.5668287,-2.5923
