snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,37571.0,3055935.5,214498.53,462918.6,10887.581,189855.58,0.0,3.102887,1.8331015,-0.36914954,2.5392041
600.0,6.3231816,2.5,41015.0,6974420.5,357531.94,787597.44,166902.08,69198.445,0.0,-2.793536,0.21353304,-1.3256865,-0.41984576
600.0,6.3231816,3.5,36141.0,7616243.5,80934.23,1136540.4,55808.39,412728.53,0.0,-0.24458006,2.6373277,-1.5442573,1.6115906
600.0,6.3231816,4.5,42438.0,9441811.0,433504.75,1875919.1,216650.95,731174.75,0.0,1.5589985,-3.006127,1.550013,-2.0569124
600.0,6.3231816,5.5,63994.0,14624362.0,1150596.6,1921767.6,843011.1,227039.88,0.0,2.9544528,-1.4536076,-2.2874067,-0.9183364
600.0,6.3231816,6.5,67248.0,15912499.0,1114730.4,2668554.5,864068.5,286234.6,0.0,-0.10380649,-1.5967344,1.1227509,0.7309268
600.0,6.3231816,7.5,67299.0,15958915.0,611508.5,2593742.2,475020.38,590170.06,0.0,2.9626205,-1.3061755,0.87865484,0.75019276
600.0,6.3231816,8.5,81576.0,19138266.0,2026421.4,3151869.0,670052.7,82250.6,0.0,-0.6462045,-0.027524859,0.967236,-2.6859643
600.0,6.3231816,9.5,85547.0,19716684.0,2507736.5,3042194.2,675796.7,994949.25,0.0,-0.71291614,1.0715778,-1.3641481,-0.34569654
600.0,6.3231816,10.5,90432.0,20438248.0,1642065.0,3073718.0,743688.75,1003606.25,0.0,-0.025998706,1.5947733,-1.621447,0.19288528
600.0,6.3231816,11.5,90809.0,20158480.0,1798454.1,2495715.8,401567.25,2352295.0,0.0,-0.82986623,2.029079,-0.93697315,0.49710572
600.0,6.3231816,12.5,81771.0,17661328.0,941730.1,1897826.6,1051334.6,752411.0,0.0,-2.2360926,2.865405,-1.0765781,-1.8098475
600.0,6.3231816,13.5,73662.0,15527813.0,1867014.2,2786173.0,333167.03,875028.2,0.0,2.367197,-2.1340594,-2.5843391,1.9422601
600.0,6.3231816,14.5,63668.0,13068221.0,3018541.0,2079247.4,1316358.4,767316.44,0.0,2.6539097,-2.088448,-1.5360805,-0.22128095
600.0,6.3231816,15.5,57568.0,11545362.0,4003612.8,1373107.5,1687338.6,1445545.5,0.0,2.8188536,-3.0349512,-2.4141304,-1.1125343
600.0,6.3231816,16.5,45270.0,8766046.0,3900415.2,826095.9,1469861.4,319898.28,0.0,2.5532608,2.94069,-2.7335105,-0.38128918
600.0,6.3231816,17.5,32547.0,6156447.0,3430901.0,412990.72,1399236.2,61368.176,0.0,2.582731,-3.0231173,-2.2320375,2.599883
600.0,6.3231816,18.5,23942.0,4500635.0,3755216.2,1510145.5,542961.1,500268.72,0.0,2.4503865,1.5262173,-0.9905793,-1.2205286
600.0,6.3231816,19.5,16997.0,3149931.0,3166908.8,1821803.4,414314.97,304949.8,0.0,2.4908283,1.9140707,0.62753034,-1.4670864
600.0,6.3231816,20.5,11874.0,2168024.2,2783262.2,1796005.2,981578.5,594804.25,0.0,2.4363582,1.8366519,1.050663,0.29435438
600.0,6.3231816,21.5,7776.0,1338567.6,1765272.8,1223474.8,878183.44,619241.5,0.0,2.4450283,1.8235835,1.0490601,0.42455652
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,38158.0,3135830.8,204564.16,426387.34,165429.47,165628.95,0.0,2.4569333,1.6209984,-1.9512229,-2.4982662
602.0,6.2968197,2.5,40157.0,6716420.0,468344.62,1173754.5,168332.42,206014.22,0.0,1.7330179,-0.6323737,-2.8060179,0.12906279
602.0,6.2968197,3.5,37703.0,8050666.0,178540.28,1235761.9,368219.34,111286.9,0.0,-2.9369812,1.4011928,2.9449387,2.6899078
602.0,6.2968197,4.5,42238.0,9565388.0,369701.88,1773023.2,297555.5,917623.25,0.0,1.46695,2.6790757,0.26249102,3.1335948
602.0,6.2968197,5.5,66532.0,15193074.0,517160.25,2826716.5,532914.8,704272.94,0.0,2.5184124,-2.1139772,1.9332334,-1.0807521
602.0,6.2968197,6.5,68675.0,16402127.0,868900.3,2786846.8,512029.2,770708.75,0.0,-0.30484834,-2.0416346,-2.025097,0.021110054
602.0,6.2968197,7.5,68665.0,16328259.0,1526807.9,2098334.0,938226.44,489150.0,0.0,2.6464512,-1.4562293,-1.0684683,-1.2352476
602.0,6.2968197,8.5,80820.0,18981268.0,1444316.2,2763500.0,680641.06,412776.03,0.0,-0.07788374,-0.6694369,-1.8369514,2.9200716
602.0,6.2968197,9.5,83172.0,19158360.0,3519604.0,3368050.8,867513.0,1379391.2,0.0,-0.69398564,0.6278362,-3.0795016,-1.9031426
602.0,6.2968197,10.5,87126.0,19709078.0,2261588.8,3072920.5,1876379.1,412968.9,0.0,-0.37976518,1.1729504,-2.9695275,-1.9397272
602.0,6.2968197,11.5,87810.0,19431146.0,1267375.4,1982657.1,858498.3,303857.72,0.0,-1.0394341,1.5586915,-1.6305783,-1.1584162
602.0,6.2968197,12.5,87020.0,18878854.0,1163538.6,1783358.6,288718.38,397454.25,0.0,-1.0809242,2.3165193,0.29997,-1.0966568
602.0,6.2968197,13.5,75017.0,15915400.0,866214.56,1765019.1,2015659.4,155015.55,0.0,2.639656,-3.0438905,2.2824492,-1.5674533
602.0,6.2968197,14.5,62570.0,12793822.0,3220517.0,1143890.6,936913.75,260463.98,0.0,2.7494104,-2.5647619,-3.134245,2.5678787
602.0,6.2968197,15.5,57058.0,11342752.0,4388864.0,1534394.9,1823288.5,1941091.2,0.0,2.6408029,-2.8482838,-2.9020848,-1.4766349
602.0,6.2968197,16.5,47400.0,9158770.0,4457449.5,919943.6,1908678.9,1045523.5,0.0,2.6408947,-3.0625865,-2.9800355,-2.321684
602.0,6.2968197,17.5,34112.0,6387173.5,3218066.0,504458.6,1097678.6,123912.445,0.0,2.4498355,-0.47511786,-2.729376,-3.0033996
602.0,6.2968197,18.5,23071.0,4269478.5,2973782.8,1107925.4,924955.8,699477.0,0.0,2.4199696,0.6858362,-1.3766596,-1.9928519
602.0,6.2968197,19.5,16141.0,3008011.2,2874650.8,1533831.2,490353.84,573301.8,0.0,2.4485154,1.4532555,-0.5690442,-1.9187354
602.0,6.2968197,20.5,11697.0,2152227.2,2734687.2,1770069.8,777620.8,390552.78,0.0,2.420329,1.6911044,0.9270409,-0.23270467
602.0,6.2968197,21.5,9015.0,1605938.4,2334073.5,1657326.4,1119358.9,756124.25,0.0,2.4283588,1.654159,0.7255004,-0.07460969
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,38731.0,3239017.5,89179.77,559130.56,95206.01,119385.16,0.0,2.191286,1.9740674,0.21409532,-2.5157108
604.0,6.2570214,2.5,39446.0,6567796.5,73506.44,1171020.4,94919.53,354517.7,0.0,-2.1192698,-1.40453,-1.0266011,0.0098226415
604.0,6.2570214,3.5,38021.0,8005822.5,433703.84,1927165.2,356008.4,675944.3,0.0,2.7391777,-0.25013942,1.2486292,0.7251712
604.0,6.2570214,4.5,42146.0,9583129.0,679973.6,2454757.8,109483.73,487928.16,0.0,-2.4221418,1.6590698,-1.0138408,0.44055808
604.0,6.2570214,5.5,64862.0,15130598.0,509709.7,2641805.5,88215.016,819024.6,0.0,-2.2778373,2.9391084,2.2572236,-2.9943855
604.0,6.2570214,6.5,73208.0,17439844.0,963138.2,3825764.2,79838.92,361113.56,0.0,1.5069592,-2.870059,1.6496791,-1.4477522
604.0,6.2570214,7.5,70870.0,16968922.0,1618982.6,3025496.8,349055.38,993384.6,0.0,1.7923837,-2.4629683,0.018821446,-1.0639502
604.0,6.2570214,8.5,80811.0,18935364.0,2762514.2,1893889.2,869092.3,414266.53,0.0,0.451437,-1.3234177,0.5811311,0.38467082
604.0,6.2570214,9.5,81359.0,18669716.0,3045679.8,1747996.2,2033593.5,547873.3,0.0,-0.7657464,-0.8064989,1.4808599,1.1848867
604.0,6.2570214,10.5,84234.0,18919838.0,2381559.2,1881693.0,2924092.8,304103.5,0.0,-1.1009872,0.15580654,1.8890929,-1.0371891
604.0,6.2570214,11.5,83300.0,18426478.0,1109207.1,2407364.5,1342378.8,631719.44,0.0,-0.44072172,1.2328614,1.6465602,-0.2288673
604.0,6.2570214,12.5,82652.0,17929832.0,1873752.6,2041048.1,775337.3,307465.53,0.0,-0.75627184,1.732931,-1.2466874,-0.6463343
604.0,6.2570214,13.5,76971.0,16267095.0,620158.4,975405.3,1780819.8,670652.3,0.0,-1.6563416,2.2502866,0.4320156,-1.8958392
604.0,6.2570214,14.5,67003.0,13722850.0,2936233.0,741687.5,2712317.5,645608.7,0.0,2.4677744,-0.844168,0.9996434,2.161196
