snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,37571.0,40910.043,259659.33,1618609.6,71107.36,589284.1,0.0,-2.3522673,-3.0350542,-0.99723285,-1.4212219
600.0,6.3231816,2.5,41015.0,70869.8,299131.44,1878804.2,47403.81,420303.53,0.0,-2.3425205,3.0739684,-2.7538276,-1.2563571
600.0,6.3231816,3.5,36141.0,45313.707,198997.36,1864276.1,73968.48,270104.03,0.0,-2.7100828,2.9425075,-0.39841455,-2.068452
600.0,6.3231816,4.5,42438.0,8168.122,233682.81,1936953.4,141748.45,413866.56,0.0,-2.9418702,-3.0205472,2.5504398,-1.8633262
600.0,6.3231816,5.5,63994.0,135684.9,407124.5,1894909.2,63409.79,521162.72,0.0,-2.2533665,-2.8115394,-0.7983929,-1.1585764
600.0,6.3231816,6.5,67248.0,109147.3,219911.1,1320254.1,33983.027,368832.4,0.0,-2.705172,-2.6377525,-0.3853721,-0.78027207
600.0,6.3231816,7.5,67299.0,210665.33,195141.52,699391.9,104858.21,185837.97,0.0,-2.520449,-2.4657047,2.1735437,-1.0845251
600.0,6.3231816,8.5,81576.0,137227.77,244250.42,361561.34,92381.734,84896.7,0.0,3.1412554,-2.577632,1.2189562,-1.1536784
600.0,6.3231816,9.5,85547.0,139648.56,335790.34,460909.72,186788.05,83668.72,0.0,1.5278434,2.7425869,2.0080647,-0.39554235
600.0,6.3231816,10.5,90432.0,25183.342,411325.78,777088.2,148615.73,78371.91,0.0,0.97342277,2.785777,2.6711428,-0.5952095
600.0,6.3231816,11.5,90809.0,64020.348,648558.7,840009.94,43181.37,163522.9,0.0,1.2071888,2.8009048,-0.30094516,3.1188362
600.0,6.3231816,12.5,81771.0,5589.766,844775.0,825041.56,124376.43,159625.38,0.0,1.0033019,2.8329709,1.2292948,1.7830937
600.0,6.3231816,13.5,73662.0,35483.836,905831.7,733298.25,254332.11,116782.27,0.0,0.7365558,3.026464,2.5157042,-2.6877556
600.0,6.3231816,14.5,63668.0,25357.705,746204.9,488717.47,279317.6,266608.75,0.0,0.5629065,2.9832153,2.03085,2.9519908
600.0,6.3231816,15.5,57568.0,34559.496,564110.25,403538.78,397379.4,343382.03,0.0,0.73070514,2.9727488,2.0592866,2.23044
600.0,6.3231816,16.5,45270.0,43259.46,359946.6,240050.3,59131.008,55203.074,0.0,0.7191631,3.0818043,2.6767755,2.4625604
600.0,6.3231816,17.5,32547.0,4718.98,364619.4,40713.094,107956.43,170538.75,0.0,0.993912,-2.9178882,-2.8157802,3.1338212
600.0,6.3231816,18.5,23942.0,49161.465,360722.47,177631.67,85679.88,72668.77,0.0,0.5079039,-0.6135163,-1.0584978,-2.6817088
600.0,6.3231816,19.5,16997.0,57432.516,332675.1,242448.61,179689.38,124351.82,0.0,0.3129294,-0.41549116,-0.3561778,-0.95044506
600.0,6.3231816,20.5,11874.0,82513.805,277730.06,233983.77,129890.6,136624.58,0.0,-0.102164365,-0.84900963,-1.1323429,-1.3111329
600.0,6.3231816,21.5,7776.0,60122.35,169797.45,140190.08,88059.06,99873.125,0.0,-0.21973814,-0.77528346,-0.98700374,-1.1015142
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,38158.0,18832.508,234786.6,1612335.0,48528.5,555189.44,0.0,-2.0849314,-3.0972536,1.305005,-1.4938198
602.0,6.2968197,2.5,40157.0,2623.809,257017.02,1508401.9,52201.223,441107.03,0.0,-2.1340947,3.0748322,0.31982118,-1.2348489
602.0,6.2968197,3.5,37703.0,62386.555,235966.06,1507503.1,22340.06,51231.85,0.0,-2.5558887,2.7991338,0.10214887,2.7600787
602.0,6.2968197,4.5,42238.0,7443.353,330806.9,1968107.5,32472.574,374232.5,0.0,-2.4164972,2.9786086,-0.8579566,-2.4053466
602.0,6.2968197,5.5,66532.0,13528.682,365804.94,2000492.0,94532.38,629407.7,0.0,-2.1512957,-3.1403346,0.41536766,-1.8895111
602.0,6.2968197,6.5,68675.0,103438.164,489215.78,1385121.4,43827.54,307667.1,0.0,-2.3450332,-2.8430264,0.17040989,-1.9098871
602.0,6.2968197,7.5,68665.0,230992.61,407843.88,1008818.0,175223.64,28489.896,0.0,-2.461133,-2.4833148,0.7746726,2.5865412
602.0,6.2968197,8.5,80820.0,210817.77,344620.47,504088.72,335267.78,182564.39,0.0,-2.9789693,-2.3833776,0.5605614,2.882156
602.0,6.2968197,9.5,83172.0,177709.14,283087.22,201855.6,83623.39,188371.97,0.0,1.9664223,-2.0588303,1.0681317,-2.3839781
602.0,6.2968197,10.5,87126.0,94475.375,419524.7,385584.5,73502.34,128526.87,0.0,1.2690698,2.9590678,2.9297132,-1.5420023
602.0,6.2968197,11.5,87810.0,50984.16,558721.75,630611.06,268537.06,75475.0,0.0,1.179118,2.8123496,-2.4686244,1.0248002
602.0,6.2968197,12.5,87020.0,164110.28,639657.5,897034.4,247910.61,439433.28,0.0,1.0426502,3.026253,-1.8154128,1.87829
602.0,6.2968197,13.5,75017.0,41084.062,732838.44,807215.56,122817.07,230125.97,0.0,0.96196884,3.0743432,-1.7601482,1.3024942
602.0,6.2968197,14.5,62570.0,9176.807,669296.1,565962.8,172587.73,62330.453,0.0,0.9342495,2.8520339,2.7025828,2.4109166
602.0,6.2968197,15.5,57058.0,39299.69,619847.75,203465.88,340499.16,213503.62,0.0,0.84962136,2.5195243,2.4862194,2.717726
602.0,6.2968197,16.5,47400.0,102806.086,537003.7,202280.94,196360.78,115407.86,0.0,0.86013216,-2.871555,2.1508882,-0.02710403
602.0,6.2968197,17.5,34112.0,43612.348,371535.6,156602.45,91175.83,92548.36,0.0,0.7789011,-2.810503,2.5454237,-1.0594321
602.0,6.2968197,18.5,23071.0,17144.113,294650.22,68042.44,49077.113,57722.08,0.0,0.7364997,-0.21043004,0.3868605,-0.585192
602.0,6.2968197,19.5,16141.0,71614.195,240115.36,129391.19,71415.625,52225.13,0.0,0.21649587,-0.64464015,-0.75880456,-0.4661288
602.0,6.2968197,20.5,11697.0,103182.08,248485.48,185634.42,145729.25,103808.414,0.0,-0.089953914,-0.68081725,-0.9382705,-1.234156
602.0,6.2968197,21.5,9015.0,112989.55,241201.11,175615.67,114139.77,80901.086,0.0,-0.29258463,-0.8789502,-1.123605,-1.2734413
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,38731.0,25884.877,195998.48,1616611.6,7527.161,509756.9,0.0,-2.257448,-3.063913,2.3964953,-1.627608
604.0,6.2570214,2.5,39446.0,21885.916,274470.53,1454661.1,39076.918,512084.56,0.0,-2.3536863,-3.0558507,-1.4413956,-1.2285471
604.0,6.2570214,3.5,38021.0,47910.004,282723.5,755263.3,47548.06,57123.996,0.0,-2.174767,2.4505177,2.112319,-1.9747349
