snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,179.449,4968.0957,299.191,814.9705,0.0,0.68222576,-2.828575,-2.6353145
520.0,7.6413755,2.5,92709.0,395.896,8813.618,738.20935,1241.6243,0.0,0.86824846,-2.8349001,-2.3640103
520.0,7.6413755,3.5,84954.0,278.582,9341.406,892.58,978.0705,0.0,0.96770996,-2.5739245,-2.7273052
520.0,7.6413755,4.5,97090.0,740.505,11126.134,1690.1194,1260.3864,0.0,1.3325238,-2.018021,-1.9953047
520.0,7.6413755,5.5,112683.0,660.647,16084.528,1676.3164,4358.2695,0.0,1.4121726,-2.1012244,-2.8688128
520.0,7.6413755,6.5,103172.0,1533.375,14779.219,1067.1581,2784.6653,0.0,1.2863358,-0.033370472,-1.7740397
520.0,7.6413755,7.5,98135.0,1232.543,14024.619,6761.418,1475.0973,0.0,1.3735204,-0.785199,-2.3612614
520.0,7.6413755,8.5,94827.0,510.517,21566.879,1997.5906,5110.9194,0.0,0.97529995,-1.9893419,2.8394887
520.0,7.6413755,9.5,90934.0,5872.569,14920.543,10775.88,1732.6234,0.0,0.8812653,-1.5644909,-2.4217205
520.0,7.6413755,10.5,86561.0,12910.745,1744.4906,13719.068,14310.783,0.0,-1.2797018,-1.3008494,-0.051451348
520.0,7.6413755,11.5,71699.0,15029.513,19438.5,10512.658,12393.875,0.0,-1.9087132,-0.44579163,1.6587379
520.0,7.6413755,12.5,60728.0,14149.582,27987.94,6732.4478,11670.828,0.0,-2.1892147,-0.40317154,1.9637127
520.0,7.6413755,13.5,49568.0,9445.792,32217.156,6811.583,13963.655,0.0,-2.2128773,-0.55594337,2.085568
520.0,7.6413755,14.5,38441.0,4108.648,28720.604,1712.2919,12126.288,0.0,-2.3570585,-1.2340578,2.492249
520.0,7.6413755,15.5,30775.0,7095.087,23493.639,5796.1265,13514.602,0.0,-2.288726,0.56424654,2.4132423
520.0,7.6413755,16.5,28298.0,11107.934,21384.973,10579.032,16626.154,0.0,-2.4982786,0.10314275,2.0909739
520.0,7.6413755,17.5,21614.0,10248.079,18318.104,3724.383,5072.264,0.0,-2.9456916,-1.4444653,1.1858888
520.0,7.6413755,18.5,19029.0,6333.234,15595.793,6669.111,4273.7197,0.0,3.0373561,-2.378592,0.31491324
520.0,7.6413755,19.5,14239.0,6708.343,12841.344,5817.0454,4051.3936,0.0,3.139614,-3.019547,2.1279035
520.0,7.6413755,20.5,10248.0,3225.438,5963.939,792.37274,4345.817,0.0,3.089679,-3.0952957,1.1018097
520.0,7.6413755,21.5,7409.0,80.08,1914.3525,2958.967,5103.6714,0.0,1.7777213,0.8696993,1.0909039
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,236.405,6087.902,418.03632,680.14124,0.0,1.0032886,-0.8768375,-3.1089725
523.0,7.596713,2.5,92430.0,209.796,10191.887,1354.1683,1770.6902,0.0,1.0096025,1.4912587,-2.6855648
523.0,7.596713,3.5,80968.0,731.518,11880.621,537.0094,1341.0887,0.0,1.0486612,3.013688,-3.0767026
523.0,7.596713,4.5,91207.0,581.351,13808.969,1554.6886,2988.5088,0.0,1.1883254,-2.6570182,3.1171117
523.0,7.596713,5.5,106089.0,2749.843,15259.475,3222.3784,3595.4136,0.0,1.3411884,3.1156151,2.726005
523.0,7.596713,6.5,113779.0,3898.451,19340.309,5075.334,2891.3594,0.0,1.1811522,-2.8650384,2.7604327
523.0,7.596713,7.5,109791.0,1838.365,19234.691,1880.8475,3523.3474,0.0,1.2281463,-0.9638592,-1.6647137
523.0,7.596713,8.5,104589.0,4042.723,17719.885,5905.793,4794.1353,0.0,1.1866182,-2.3952942,-1.4620714
523.0,7.596713,9.5,90162.0,4873.503,12984.347,9161.528,5467.569,0.0,1.3172007,-2.5957282,-0.2985579
523.0,7.596713,10.5,83641.0,7224.779,5913.453,7432.7334,6512.325,0.0,1.992406,-1.9272178,-0.32119003
523.0,7.596713,11.5,73963.0,11925.422,21674.434,5634.922,6069.5815,0.0,-2.297693,-1.5909108,0.87911284
523.0,7.596713,12.5,64993.0,12653.462,40233.418,10589.775,5792.975,0.0,-2.1390243,-1.5684413,1.4378655
523.0,7.596713,13.5,53348.0,14667.909,39845.61,7590.877,4608.666,0.0,-2.070838,-1.1527786,2.205867
523.0,7.596713,14.5,39554.0,5987.009,33813.316,3998.401,4323.272,0.0,-2.240302,-0.37227845,1.6650198
523.0,7.596713,15.5,30221.0,4547.188,27788.008,2433.0608,4131.679,0.0,-2.5138326,0.9295661,-3.1382616
523.0,7.596713,16.5,25487.0,8489.022,25029.863,1448.5977,4270.975,0.0,-2.5597353,2.365364,-2.9761653
523.0,7.596713,17.5,22094.0,11321.662,19426.371,2449.0771,1717.6246,0.0,-2.7197163,-3.0264697,2.0299063
523.0,7.596713,18.5,17505.0,6115.178,9282.772,6321.9517,4489.6094,0.0,2.9837005,2.2765675,2.3811417
523.0,7.596713,19.5,12789.0,4775.894,11168.804,9951.863,5068.204,0.0,2.8194835,2.790183,2.7062023
523.0,7.596713,20.5,9259.0,3852.983,8905.379,8122.4155,4552.247,0.0,2.8328207,2.8262672,2.4860072
523.0,7.596713,21.5,5402.0,2781.435,5177.3867,3239.3503,1771.8401,0.0,-3.024594,-2.3883717,-0.7324902
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,122011.0,473.386,6770.563,750.8913,1093.4468,0.0,0.76931024,-3.0758822,-2.2974167
525.0,7.566684,2.5,93692.0,344.734,9843.009,506.34805,1967.0592,0.0,0.95665723,-2.7239542,-2.974944
525.0,7.566684,3.5,82937.0,1147.263,11560.899,356.52875,1089.168,0.0,0.94730026,2.398603,-2.6315374
525.0,7.566684,4.5,91438.0,1197.377,14916.432,1627.0206,2726.6804,0.0,1.0385817,-2.5599875,2.6564748
525.0,7.566684,5.5,104332.0,46.889,15500.283,2055.6887,2525.4067,0.0,1.2325907,-1.7343959,2.772858
525.0,7.566684,6.5,108892.0,3729.567,19510.143,5407.9644,1806.023,0.0,1.3954588,3.0789385,0.30476445
525.0,7.566684,7.5,111946.0,4095.909,20150.723,2376.1978,2963.4424,0.0,0.9811848,-0.87814313,0.72157055
525.0,7.566684,8.5,105728.0,1277.923,18744.49,5604.4326,6550.4907,0.0,1.1796287,1.4826125,-0.9059802
525.0,7.566684,9.5,97610.0,412.374,14985.92,10854.026,8634.992,0.0,1.2945826,-2.8835611,0.69051766
525.0,7.566684,10.5,86596.0,4562.139,7296.566,7604.5737,2365.7937,0.0,2.7842984,-2.495558,-0.17265633
525.0,7.566684,11.5,74326.0,7356.667,18164.38,8843.464,4217.5347,0.0,-2.4978054,-1.9912425,0.75682145
525.0,7.566684,12.5,67843.0,1778.444,44883.785,18538.281,6714.5796,0.0,-2.3002267,-2.5432227,1.5045522
525.0,7.566684,13.5,54336.0,10259.076,42866.008,14609.525,3432.1946,0.0,-2.2112849,-1.8308277,-2.7303305
525.0,7.566684,14.5,41077.0,10911.784,29710.414,4904.709,7554.632,0.0,-2.5146344,-1.0779458,-2.950109
525.0,7.566684,15.5,30568.0,6087.779,32621.28,1697.1322,8241.825,0.0,-2.7271883,-1.9906548,-2.3440778
525.0,7.566684,16.5,24533.0,6735.137,24272.879,3988.3567,7636.1,0.0,-2.8216681,-2.7945037,-2.5881782
525.0,7.566684,17.5,21059.0,7003.873,16086.577,6927.4346,5891.1743,0.0,-2.9743156,2.50918,2.8843927
525.0,7.566684,18.5,17036.0,9495.824,12039.242,8796.938,9385.172,0.0,-2.5684478,1.2716695,2.2862473
525.0,7.566684,19.5,12302.0,6324.359,7056.215,8772.582,9645.981,0.0,-2.9828613,2.0939403,2.60883
525.0,7.566684,20.5,9643.0,4036.653,4777.7437,8095.323,9305.839,0.0,3.1247187,2.1595063,2.6217334
525.0,7.566684,21.5,4102.0,2288.795,4289.293,3155.664,1207.2521,0.0,3.1011562,-3.097024,-2.9194365
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,120434.0,538.996,6479.2725,764.0553,527.1535,0.0,0.87834716,-0.5140579,-0.7728538
527.0,7.5333905,2.5,93247.0,1142.978,9637.685,944.7574,1237.8972,0.0,0.95633733,2.7818222,-2.8039215
527.0,7.5333905,3.5,85040.0,326.133,12620.998,1316.5468,1308.5569,0.0,1.0045068,0.7854415,2.8159215
527.0,7.5333905,4.5,94960.0,141.415,16089.29,2180.7104,2407.4016,0.0,0.97791153,2.0532184,2.5142672
527.0,7.5333905,5.5,109924.0,693.208,13370.241,1306.334,3718.9722,0.0,1.1662749,2.8560507,2.2391474
527.0,7.5333905,6.5,107066.0,4770.636,17777.709,4972.171,2657.3645,0.0,1.3597025,2.2039876,-0.99630815
527.0,7.5333905,7.5,104079.0,4039.38,20469.79,534.3683,4848.7593,0.0,1.062574,2.5082722,0.36047998
527.0,7.5333905,8.5,107264.0,426.704,20007.621,6341.115,1639.2341,0.0,1.0304973,0.39720765,-2.3366327
527.0,7.5333905,9.5,96239.0,139.017,12066.207,4211.524,4568.804,0.0,0.7882391,-2.640318,-1.237335
527.0,7.5333905,10.5,91204.0,316.57,3367.1611,10767.027,5729.638,0.0,1.1923891,-2.6212363,0.23282714
527.0,7.5333905,11.5,75713.0,2152.718,19084.057,8418.888,5510.5537,0.0,-2.7022903,-2.2538629,-2.6584644
527.0,7.5333905,12.5,70468.0,597.788,38255.25,17940.986,3894.3452,0.0,-2.4030523,-2.753327,-2.7221367
527.0,7.5333905,13.5,57448.0,3682.129,44168.016,16436.83,6742.521,0.0,-2.3746831,3.1323042,1.1230803
527.0,7.5333905,14.5,43782.0,7803.983,33020.934,6833.1494,5126.249,0.0,-2.68088,-2.5100086,-2.7921603
527.0,7.5333905,15.5,34296.0,6962.262,26306.117,4855.8896,9425.337,0.0,-2.8306582,-1.8950105,-2.7784467
527.0,7.5333905,16.5,24386.0,5430.97,20475.984,5894.9487,3784.5872,0.0,-3.031381,1.9033757,2.3738883
527.0,7.5333905,17.5,18827.0,6212.558,16333.524,3211.1873,4869.643,0.0,-3.1305163,2.6038313,2.436208
527.0,7.5333905,18.5,15123.0,7597.878,12928.735,3699.2007,6825.1123,0.0,-3.0599263,2.5550754,2.4836922
527.0,7.5333905,19.5,11649.0,3656.082,8477.587,8627.872,11540.515,0.0,2.8998566,2.0163226,2.6190486
527.0,7.5333905,20.5,8098.0,3088.204,4477.6636,5402.583,7242.075,0.0,2.8911095,2.2810705,2.3901584
527.0,7.5333905,21.5,4172.0,2641.344,3491.5728,1019.6707,4324.045,0.0,-2.345372,1.2728322,2.1890478
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,121096.0,484.282,6689.7954,552.92084,452.3259,0.0,1.0802821,-2.9703486,0.6477449
530.0,7.48298,2.5,92450.0,186.803,7481.193,586.3021,666.1899,0.0,1.0828619,-1.5699011,-2.0937448
530.0,7.48298,3.5,86204.0,496.177,11986.201,542.96564,1219.761,0.0,1.079829,2.1599386,2.6033454
530.0,7.48298,4.5,93189.0,357.73,15182.357,1925.4185,2723.9578,0.0,0.93067706,-0.9286907,2.0035887
