snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,57734.0,7.451,4503.9395,135.20625,599.57404,0.0,0.24745452,0.9741502,-2.0708504
520.0,7.6413755,2.5,56839.0,213.016,7004.334,606.40216,1231.5454,0.0,0.77767205,-2.5941806,-2.576472
520.0,7.6413755,3.5,66130.0,120.369,8548.293,722.2727,724.2194,0.0,0.9316809,-2.5415993,-2.6603312
520.0,7.6413755,4.5,86232.0,703.779,10500.27,1895.0515,1419.7131,0.0,1.2857213,-2.0810018,-2.0437226
520.0,7.6413755,5.5,105840.0,525.018,16102.408,1556.9269,4260.089,0.0,1.4356973,-2.042218,-2.8450177
520.0,7.6413755,6.5,98215.0,1429.304,14676.026,839.00397,2657.6675,0.0,1.3186893,-0.15175202,-1.7544427
520.0,7.6413755,7.5,94065.0,1290.775,13840.202,6770.806,1178.1224,0.0,1.380359,-0.8061391,-2.2007732
520.0,7.6413755,8.5,91645.0,652.873,21357.447,1966.8103,4894.64,0.0,0.98641616,-1.8936771,2.788662
520.0,7.6413755,9.5,88714.0,6032.907,14855.686,10705.693,1783.2725,0.0,0.87324286,-1.5572771,-2.4273624
520.0,7.6413755,10.5,84600.0,12846.034,1581.4468,13724.483,14252.288,0.0,-1.2779653,-1.295904,-0.04831793
520.0,7.6413755,11.5,69901.0,15142.6,19624.186,10444.348,12326.513,0.0,-1.9238712,-0.46081096,1.6777551
520.0,7.6413755,12.5,59277.0,14302.936,28126.016,6898.753,11622.755,0.0,-2.1943097,-0.42700028,1.9701476
520.0,7.6413755,13.5,48512.0,9609.471,32292.125,6686.3716,14078.296,0.0,-2.207828,-0.5436322,2.1075554
520.0,7.6413755,14.5,37669.0,4054.06,29013.059,1512.7336,12081.13,0.0,-2.3558223,-1.1483111,2.5160754
520.0,7.6413755,15.5,30232.0,7093.018,23606.262,5760.138,13483.425,0.0,-2.2857037,0.56198686,2.4141784
520.0,7.6413755,16.5,27871.0,11125.492,21427.871,10661.143,16581.596,0.0,-2.495654,0.105101995,2.0871093
520.0,7.6413755,17.5,21258.0,10306.429,18365.229,3707.0613,5131.17,0.0,-2.9422958,-1.4286275,1.1633111
520.0,7.6413755,18.5,18747.0,6381.715,15554.2,6616.5454,4302.0327,0.0,3.0431864,-2.376056,0.31580994
520.0,7.6413755,19.5,14021.0,6688.992,12795.006,5823.88,4039.2708,0.0,-3.135654,-3.0209317,2.1323657
520.0,7.6413755,20.5,10041.0,3159.192,5839.0586,642.8891,4316.9014,0.0,3.1098654,-2.965366,1.0828577
520.0,7.6413755,21.5,7287.0,96.933,1845.5511,3005.5837,5141.97,0.0,1.7682284,0.8548813,1.0951248
