snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,27938.0,70.371,2203.3005,227.45242,128.13223,203.12172,0.0,0.56807506,0.6748383,-2.1039839,2.612537
520.0,7.6413755,2.5,40263.0,17.848,5266.7285,541.01587,634.6688,224.69003,0.0,0.77659744,-2.719652,-2.7759037,-1.2078199
520.0,7.6413755,3.5,57150.0,286.211,7463.634,733.6022,547.2436,233.84238,0.0,0.93360955,-2.7679527,-2.375772,-1.1297632
520.0,7.6413755,4.5,81043.0,1088.293,9107.526,1797.2864,1688.5728,921.15924,0.0,1.2810252,-2.0603292,-1.8710103,1.798612
520.0,7.6413755,5.5,102145.0,378.861,14972.171,1601.956,3806.7983,1762.243,0.0,1.4468421,-1.8921411,-2.7543628,0.6347215
520.0,7.6413755,6.5,95116.0,1139.987,13054.455,840.12695,2788.2405,4289.949,0.0,1.3525727,-0.68606246,-1.5979493,3.1183536
520.0,7.6413755,7.5,90846.0,1724.979,11162.425,7114.0327,1099.412,5530.121,0.0,1.4167814,-0.81818634,-1.5474346,1.8695489
520.0,7.6413755,8.5,88220.0,1024.001,17822.834,1840.0281,3260.692,2040.6409,0.0,0.991635,-1.3768488,2.6392162,-2.7734704
520.0,7.6413755,9.5,85640.0,5668.29,12193.944,9952.051,1589.5703,3007.6873,0.0,0.815737,-1.4897661,-2.4575088,1.018285
520.0,7.6413755,10.5,81576.0,11517.947,1773.6594,12896.163,12892.994,9486.858,0.0,-1.7161638,-1.3492582,-0.107282445,0.7394181
520.0,7.6413755,11.5,67096.0,13247.594,17797.377,9097.168,10236.261,4325.7964,0.0,-1.9544065,-0.44520554,1.7059368,-0.14086221
520.0,7.6413755,12.5,57075.0,13275.627,25697.629,6023.6567,11514.485,1849.8885,0.0,-2.2178674,-0.38305658,2.0355039,1.4549944
520.0,7.6413755,13.5,46515.0,8976.719,29357.988,6211.3027,13274.237,4956.928,0.0,-2.2054296,-0.51995635,2.0888798,1.2701063
520.0,7.6413755,14.5,35826.0,3800.15,25836.443,552.5128,10944.634,1622.3062,0.0,-2.3437915,-1.0644945,2.4289622,2.915109
520.0,7.6413755,15.5,28716.0,6236.499,20324.402,5135.314,12565.397,7485.1113,0.0,-2.2608593,0.99762446,2.442982,-1.7213804
520.0,7.6413755,16.5,26840.0,9999.483,19283.482,10209.17,16037.655,10947.999,0.0,-2.4811497,0.17208353,2.079997,-1.8351092
520.0,7.6413755,17.5,20380.0,9142.627,16345.882,3021.0247,5075.1616,993.47986,0.0,-2.961801,-1.3718855,1.2092412,1.2097795
520.0,7.6413755,18.5,17968.0,5497.633,14104.496,5900.647,4197.067,5753.9263,0.0,3.0051305,-2.4295976,0.38634768,1.3117748
520.0,7.6413755,19.5,13351.0,6264.429,11744.484,5400.944,4089.8992,6571.714,0.0,-3.1262405,-3.05177,2.1163294,2.3603837
520.0,7.6413755,20.5,9569.0,2902.059,5463.0015,745.2303,3910.3674,4857.9067,0.0,3.0970926,-2.7857504,1.0810492,1.9512273
520.0,7.6413755,21.5,6989.0,31.107,1432.0569,2486.8313,4696.5938,3860.7646,0.0,1.8727616,0.744078,1.0828369,1.6408939
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,28655.0,222.605,2733.5266,227.77016,404.82764,265.36322,0.0,0.8679934,2.7052674,-2.2592087,-2.7934191
523.0,7.596713,2.5,40766.0,488.772,5802.6626,613.08594,994.2529,475.8968,0.0,0.97742635,1.4485816,-2.562564,-2.0528498
523.0,7.596713,3.5,52348.0,599.237,8941.336,359.53513,717.9479,309.70032,0.0,0.98091424,2.877176,2.7649903,1.0221615
523.0,7.596713,4.5,73791.0,245.151,11551.729,1165.4353,2247.7585,1119.5212,0.0,1.1958172,-2.8187733,2.9143877,2.394724
523.0,7.596713,5.5,95006.0,2549.668,13888.027,3179.0034,3635.3923,893.73486,0.0,1.3680726,3.13443,2.78121,2.9531863
523.0,7.596713,6.5,105385.0,3467.74,17528.117,5077.747,2311.5918,3863.7693,0.0,1.183326,-2.830493,2.6980457,-0.58719444
