snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33634.0,33634.0,1652.1149,102.0288,0.0,0.21616581,1.411371
520.0,7.6413755,2.5,41993.0,41993.0,2944.3486,180.07646,0.0,0.76059186,-2.2113924
520.0,7.6413755,3.5,56691.0,56691.0,4242.682,232.86792,0.0,0.932907,-2.8231573
520.0,7.6413755,4.5,78726.0,78726.0,5063.31,828.54346,0.0,1.2294203,-2.0861423
520.0,7.6413755,5.5,99162.0,99162.0,8525.217,841.73816,0.0,1.394973,-1.8447176
520.0,7.6413755,6.5,92843.0,92843.0,7928.861,485.6259,0.0,1.29924,0.18800585
520.0,7.6413755,7.5,89924.0,89924.0,8714.398,2627.8936,0.0,1.3495812,-0.81958205
520.0,7.6413755,8.5,88143.0,88143.0,12555.724,957.401,0.0,1.0264298,-2.0754132
520.0,7.6413755,9.5,86576.0,86576.0,8963.462,5300.766,0.0,0.94132143,-1.5450085
520.0,7.6413755,10.5,82826.0,82826.0,1389.0339,7068.3613,0.0,0.16691846,-1.2288479
520.0,7.6413755,11.5,68854.0,68854.0,10679.46,6064.6797,0.0,-1.936485,-0.4621851
520.0,7.6413755,12.5,58620.0,58620.0,15540.4795,4215.753,0.0,-2.184013,-0.38325793
520.0,7.6413755,13.5,48399.0,48399.0,18427.104,3023.397,0.0,-2.2350533,-0.62063664
520.0,7.6413755,14.5,37858.0,37858.0,17694.564,1459.8022,0.0,-2.3610756,-1.1132293
520.0,7.6413755,15.5,30866.0,30866.0,14775.13,4211.6377,0.0,-2.320901,0.09643229
520.0,7.6413755,16.5,27922.0,27922.0,12804.915,6112.8896,0.0,-2.487269,-0.026477823
520.0,7.6413755,17.5,21271.0,21271.0,10624.385,1971.4756,0.0,-2.940476,-1.5017315
520.0,7.6413755,18.5,18891.0,18891.0,9027.087,3461.7207,0.0,3.0424883,-2.411305
520.0,7.6413755,19.5,14333.0,14333.0,6869.0635,3274.315,0.0,3.0980632,-3.0969083
520.0,7.6413755,20.5,10134.0,10134.0,3043.4795,493.7395,0.0,2.9927778,2.0468774
520.0,7.6413755,21.5,7157.0,7157.0,1108.6583,1751.4517,0.0,1.8055644,0.9006766
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,34033.0,34033.0,1698.9392,120.95635,0.0,0.53282166,2.5273547
523.0,7.596713,2.5,42151.0,42151.0,3382.497,500.98947,0.0,0.8966989,1.6639382
523.0,7.596713,3.5,52050.0,52050.0,4770.505,260.31598,0.0,0.9321241,3.044832
523.0,7.596713,4.5,71932.0,71932.0,6305.529,487.79608,0.0,1.15816,-2.6284447
523.0,7.596713,5.5,92419.0,92419.0,7615.267,1509.782,0.0,1.3279349,2.9396234
523.0,7.596713,6.5,102986.0,102986.0,9952.251,2313.7563,0.0,1.1977466,-2.958791
523.0,7.596713,7.5,100745.0,100745.0,10639.717,890.94086,0.0,1.232866,-0.3976324
523.0,7.596713,8.5,97607.0,97607.0,9993.257,2618.724,0.0,1.1963689,-2.3824542
523.0,7.596713,9.5,85078.0,85078.0,7577.074,4540.88,0.0,1.3547666,-2.5474353
523.0,7.596713,10.5,80023.0,80023.0,4246.0337,3692.9866,0.0,1.7476711,-1.9446052
523.0,7.596713,11.5,71459.0,71459.0,11030.31,3180.44,0.0,-2.2560356,-1.1703621
523.0,7.596713,12.5,63636.0,63636.0,22961.902,6320.382,0.0,-2.0955768,-1.2679739
523.0,7.596713,13.5,52706.0,52706.0,23080.871,4376.118,0.0,-2.0465088,-1.0162983
523.0,7.596713,14.5,39149.0,39149.0,20147.201,2779.6064,0.0,-2.252696,-0.3176955
523.0,7.596713,15.5,30279.0,30279.0,17158.523,1411.8322,0.0,-2.491345,0.68536365
523.0,7.596713,16.5,25467.0,25467.0,15226.028,188.99327,0.0,-2.5307841,2.422215
523.0,7.596713,17.5,22023.0,22023.0,11435.289,1178.3511,0.0,-2.7478096,-2.9212337
523.0,7.596713,18.5,17536.0,17536.0,5846.5728,3463.8687,0.0,2.9819143,2.2968674
523.0,7.596713,19.5,12889.0,12889.0,6599.714,5222.5938,0.0,2.8856406,2.8456845
523.0,7.596713,20.5,9130.0,9130.0,4636.4,4122.9995,0.0,2.856523,2.807736
523.0,7.596713,21.5,5219.0,5219.0,2754.3057,1666.5712,0.0,-2.9838746,-2.3977134
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,33850.0,33850.0,1656.0374,121.66434,0.0,0.4523454,-2.5465508
525.0,7.566684,2.5,42735.0,42735.0,3212.2017,320.8703,0.0,0.8926847,3.0752602
525.0,7.566684,3.5,53811.0,53811.0,4598.6963,260.3252,0.0,0.89088315,3.0211475
525.0,7.566684,4.5,71913.0,71913.0,6830.5347,552.8276,0.0,1.032774,-2.9363077
525.0,7.566684,5.5,90275.0,90275.0,7200.1494,949.6034,0.0,1.2446127,-1.8660227
525.0,7.566684,6.5,98376.0,98376.0,9609.727,2255.0938,0.0,1.4129304,2.9594622
525.0,7.566684,7.5,103170.0,103170.0,11101.477,1088.831,0.0,1.0256125,-0.84965193
525.0,7.566684,8.5,98863.0,98863.0,10677.414,2840.9646,0.0,1.1867881,1.4333049
525.0,7.566684,9.5,92420.0,92420.0,9367.495,5118.72,0.0,1.3128682,-2.7482624
525.0,7.566684,10.5,82627.0,82627.0,4176.409,2648.6895,0.0,2.527469,-2.4818087
525.0,7.566684,11.5,71501.0,71501.0,9522.1455,4219.9224,0.0,-2.5341628,-1.819776
525.0,7.566684,12.5,66214.0,66214.0,25306.83,10009.972,0.0,-2.2846687,-2.390932
525.0,7.566684,13.5,53491.0,53491.0,24729.055,8418.872,0.0,-2.2005796,-1.690296
525.0,7.566684,14.5,40870.0,40870.0,17806.777,3486.0964,0.0,-2.4557023,-0.90578604
525.0,7.566684,15.5,30621.0,30621.0,18857.967,1166.8932,0.0,-2.6695688,-2.0124588
525.0,7.566684,16.5,24582.0,24582.0,14474.638,1821.4734,0.0,-2.7566338,-2.899699
525.0,7.566684,17.5,21200.0,21200.0,9950.778,3267.3906,0.0,-2.845284,2.3561182
525.0,7.566684,18.5,17330.0,17330.0,7499.3345,4927.189,0.0,-2.6188369,1.3238809
525.0,7.566684,19.5,12440.0,12440.0,4571.992,5222.2236,0.0,-3.1004367,2.1070282
525.0,7.566684,20.5,9631.0,9631.0,2973.9814,4434.1465,0.0,3.1129348,2.163904
525.0,7.566684,21.5,4120.0,4120.0,2644.5073,1525.1708,0.0,-3.0561302,3.1313064
527.0,7.5333905,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527.0,7.5333905,1.5,33064.0,33064.0,1559.8231,80.86796,0.0,0.43780315,2.7966428
527.0,7.5333905,2.5,42230.0,42230.0,3101.9907,354.85352,0.0,0.86520725,2.2375605
527.0,7.5333905,3.5,55985.0,55985.0,4913.1436,878.5666,0.0,0.9962697,0.8350598
527.0,7.5333905,4.5,75146.0,75146.0,7309.606,783.2775,0.0,0.9745672,1.922655
527.0,7.5333905,5.5,95242.0,95242.0,6644.9756,566.48083,0.0,1.1708287,2.9197485
527.0,7.5333905,6.5,96189.0,96189.0,8852.062,2120.7437,0.0,1.3980331,2.2150636
527.0,7.5333905,7.5,95410.0,95410.0,10843.858,425.15262,0.0,1.0845172,2.5465608
527.0,7.5333905,8.5,100179.0,100179.0,11452.457,3048.4912,0.0,1.0726585,0.263023
527.0,7.5333905,9.5,91238.0,91238.0,7384.042,1844.6744,0.0,0.9243158,-2.3588066
527.0,7.5333905,10.5,87247.0,87247.0,3765.1826,5260.788,0.0,1.3630791,-2.5833638
527.0,7.5333905,11.5,72419.0,72419.0,10117.963,3913.6765,0.0,-2.7763004,-2.3011158
527.0,7.5333905,12.5,68228.0,68228.0,21219.451,10150.642,0.0,-2.423772,-2.6341228
527.0,7.5333905,13.5,56509.0,56509.0,25691.324,9443.323,0.0,-2.3715234,-2.87068
527.0,7.5333905,14.5,43735.0,43735.0,19399.713,5461.326,0.0,-2.5920086,-2.0621948
527.0,7.5333905,15.5,34328.0,34328.0,15349.883,2067.3936,0.0,-2.7621973,-1.9121593
527.0,7.5333905,16.5,24297.0,24297.0,12212.184,2782.2393,0.0,-2.9329586,1.7715088
527.0,7.5333905,17.5,18619.0,18619.0,9742.7295,2069.1936,0.0,-3.0649219,2.7083843
527.0,7.5333905,18.5,15152.0,15152.0,7809.9487,1922.6454,0.0,-3.0096917,2.24374
527.0,7.5333905,19.5,11894.0,11894.0,5049.5786,5316.6475,0.0,2.951762,1.9712296
527.0,7.5333905,20.5,8192.0,8192.0,2933.872,3510.7349,0.0,2.9362495,2.1958964
527.0,7.5333905,21.5,4292.0,4292.0,2420.6113,675.17035,0.0,-2.4424677,1.4674506
530.0,7.48298,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530.0,7.48298,1.5,32906.0,32906.0,1359.8822,107.220764,0.0,0.500893,-0.638247
530.0,7.48298,2.5,41917.0,41917.0,2452.405,220.2285,0.0,1.0492076,-1.2930382
530.0,7.48298,3.5,57633.0,57633.0,5082.3564,161.78098,0.0,1.1061618,2.3236818
530.0,7.48298,4.5,74267.0,74267.0,6788.491,759.96906,0.0,0.938445,-0.8845667
530.0,7.48298,5.5,93427.0,93427.0,8215.591,1588.1519,0.0,1.105466,0.4365545
530.0,7.48298,6.5,103491.0,103491.0,11029.454,2480.5813,0.0,1.333987,1.1169508
530.0,7.48298,7.5,96085.0,96085.0,10382.688,2025.8822,0.0,1.4284323,0.77236265
530.0,7.48298,8.5,95069.0,95069.0,12478.635,1923.9589,0.0,1.3887731,1.3410597
530.0,7.48298,9.5,92865.0,92865.0,7716.063,3715.6526,0.0,1.2293829,-1.7718434
530.0,7.48298,10.5,86411.0,86411.0,2741.6396,3970.4238,0.0,-1.1732455,-2.8887696
530.0,7.48298,11.5,72189.0,72189.0,3764.8716,2368.3462,0.0,-2.4600992,-2.9663086
530.0,7.48298,12.5,65439.0,65439.0,13184.557,6404.2686,0.0,-2.4055383,-2.9924364
530.0,7.48298,13.5,57746.0,57746.0,17798.068,9295.98,0.0,-2.343484,-2.896394
530.0,7.48298,14.5,48681.0,48681.0,19053.066,4485.0786,0.0,-2.3678644,2.846092
530.0,7.48298,15.5,36710.0,36710.0,16963.158,1892.2452,0.0,-2.6583657,1.5526977
530.0,7.48298,16.5,27688.0,27688.0,12431.119,2236.7212,0.0,-2.7796657,1.7511129
530.0,7.48298,17.5,19894.0,19894.0,9409.839,4037.2383,0.0,3.0408666,2.3162887
530.0,7.48298,18.5,15053.0,15053.0,7321.2593,3593.0588,0.0,2.9027703,2.573384
530.0,7.48298,19.5,10827.0,10827.0,4572.5923,3430.0981,0.0,2.7509365,2.2128265
530.0,7.48298,20.5,7506.0,7506.0,3976.6763,3766.485,0.0,2.7063735,2.4091606
530.0,7.48298,21.5,4769.0,4769.0,2438.3381,477.1948,0.0,-2.953083,-3.0544176
532.0,7.445623,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532.0,7.445623,1.5,33714.0,33714.0,1153.9323,56.887043,0.0,0.34840083,-0.32337123
532.0,7.445623,2.5,42265.0,42265.0,2775.2395,258.78357,0.0,1.0390468,-2.2421901
532.0,7.445623,3.5,58015.0,58015.0,5747.9365,549.0044,0.0,1.092718,-1.8696337
532.0,7.445623,4.5,76235.0,76235.0,7763.2305,910.0166,0.0,1.1325259,-1.8374127
532.0,7.445623,5.5,94704.0,94704.0,8540.862,932.4215,0.0,1.0266759,-1.2660758
532.0,7.445623,6.5,100246.0,100246.0,9102.528,877.1874,0.0,1.2831988,-0.30761585
532.0,7.445623,7.5,102120.0,102120.0,12323.61,1115.9478,0.0,1.3044863,1.5097533
532.0,7.445623,8.5,99127.0,99127.0,10484.434,3783.9258,0.0,1.278347,0.5778596
532.0,7.445623,9.5,87517.0,87517.0,7519.869,304.164,0.0,1.6409976,1.6215545
532.0,7.445623,10.5,85770.0,85770.0,1043.7435,3435.7563,0.0,-0.2055819,-2.3752158
532.0,7.445623,11.5,78508.0,78508.0,8480.909,2662.573,0.0,-1.7671884,2.73542
532.0,7.445623,12.5,62665.0,62665.0,11904.847,3067.601,0.0,-2.1795545,2.6036081
532.0,7.445623,13.5,54845.0,54845.0,15777.91,3513.0293,0.0,-2.1709406,3.0599544
532.0,7.445623,14.5,44086.0,44086.0,18311.178,3965.2373,0.0,-2.1467443,2.2944517
532.0,7.445623,15.5,37953.0,37953.0,18180.727,2443.368,0.0,-2.4040241,1.5892115
532.0,7.445623,16.5,31122.0,31122.0,16202.523,1720.5206,0.0,-2.5228257,0.3118293
532.0,7.445623,17.5,24116.0,24116.0,8414.28,1514.1926,0.0,-2.91511,1.0983707
532.0,7.445623,18.5,16828.0,16828.0,5892.734,2770.6653,0.0,2.840108,2.0140507
532.0,7.445623,19.5,11095.0,11095.0,4498.2715,4962.4106,0.0,2.498527,2.023649
532.0,7.445623,20.5,6936.0,6936.0,3941.6475,3722.889,0.0,2.6301901,2.2599084
532.0,7.445623,21.5,4500.0,4500.0,2532.5708,1691.9622,0.0,2.8676002,2.6676326
535.0,7.388983,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535.0,7.388983,1.5,34228.0,34228.0,1479.8789,203.5536,0.0,0.60293174,-0.31588724
535.0,7.388983,2.5,43330.0,43330.0,3502.4087,98.44472,0.0,0.9737147,2.0165772
535.0,7.388983,3.5,56832.0,56832.0,5460.6294,639.1577,0.0,1.0552785,1.3404857
535.0,7.388983,4.5,78762.0,78762.0,8754.299,1446.9979,0.0,1.2260485,-3.0180526
535.0,7.388983,5.5,100593.0,100593.0,10303.236,1584.2252,0.0,1.1877055,2.961326
535.0,7.388983,6.5,102550.0,102550.0,7749.1484,2183.1692,0.0,1.3028965,-2.3862648
535.0,7.388983,7.5,100083.0,100083.0,14472.115,3794.7053,0.0,1.7122525,-3.1030426
535.0,7.388983,8.5,102645.0,102645.0,14202.536,1749.5382,0.0,1.297139,-1.5941622
535.0,7.388983,9.5,92356.0,92356.0,9100.715,3890.1821,0.0,1.5987777,0.7460054
535.0,7.388983,10.5,84789.0,84789.0,1304.906,6600.4224,0.0,-2.8314326,1.9522414
535.0,7.388983,11.5,73367.0,73367.0,8252.919,5741.4395,0.0,-1.562687,2.8987122
535.0,7.388983,12.5,64398.0,64398.0,15736.946,707.31085,0.0,-2.1010613,-2.628922
535.0,7.388983,13.5,51952.0,51952.0,18171.809,694.93365,0.0,-2.0868416,0.10827283
535.0,7.388983,14.5,42934.0,42934.0,21082.387,2780.0376,0.0,-2.161709,1.1246806
535.0,7.388983,15.5,37719.0,37719.0,22644.688,5770.7427,0.0,-2.3795786,0.68525064
535.0,7.388983,16.5,30994.0,30994.0,18448.24,4896.7456,0.0,-2.4379401,1.1739889
535.0,7.388983,17.5,23751.0,23751.0,10330.478,2805.1875,0.0,-2.781506,-0.5107116
535.0,7.388983,18.5,19821.0,19821.0,7838.2925,1288.81,0.0,-2.878487,-2.1954422
535.0,7.388983,19.5,11998.0,11998.0,3858.7312,1835.3522,0.0,2.9731154,1.4774574
535.0,7.388983,20.5,6512.0,6512.0,2490.331,3443.9722,0.0,2.107606,1.8467276
535.0,7.388983,21.5,4066.0,4066.0,2333.1423,2970.2947,0.0,1.9626807,2.0330706
537.0,7.3680286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537.0,7.3680286,1.5,34546.0,34546.0,1581.6077,96.3849,0.0,0.57187533,-2.0461712
537.0,7.3680286,2.5,43224.0,43224.0,3476.5117,297.57712,0.0,0.9636426,0.29427347
537.0,7.3680286,3.5,54803.0,54803.0,5493.2812,733.64276,0.0,1.1216441,1.5990725
537.0,7.3680286,4.5,76719.0,76719.0,9023.388,1450.5988,0.0,1.1086743,1.9622198
537.0,7.3680286,5.5,99833.0,99833.0,10128.099,1501.133,0.0,1.2037925,2.647225
537.0,7.3680286,6.5,106126.0,106126.0,8708.87,728.0719,0.0,1.3417215,2.9355435
537.0,7.3680286,7.5,101192.0,101192.0,12422.999,3426.5059,0.0,1.6232511,2.729816
537.0,7.3680286,8.5,100091.0,100091.0,15885.689,4858.416,0.0,1.4450786,2.392154
537.0,7.3680286,9.5,96250.0,96250.0,9636.515,3136.8684,0.0,1.3978983,0.10540051
537.0,7.3680286,10.5,83467.0,83467.0,3673.1155,8066.732,0.0,2.5359938,1.3684797
537.0,7.3680286,11.5,73913.0,73913.0,9872.09,7464.5054,0.0,-1.8762895,1.8244808
537.0,7.3680286,12.5,65668.0,65668.0,13881.885,3999.0417,0.0,-2.0393834,2.5801995
537.0,7.3680286,13.5,54528.0,54528.0,19571.215,308.98013,0.0,-2.1839411,-0.38973713
537.0,7.3680286,14.5,42899.0,42899.0,21432.658,2545.2288,0.0,-2.1666684,0.08865455
537.0,7.3680286,15.5,36334.0,36334.0,22288.225,5770.6646,0.0,-2.4341395,0.30614468
537.0,7.3680286,16.5,29532.0,29532.0,18460.572,6098.2505,0.0,-2.5387516,0.43204588
537.0,7.3680286,17.5,22152.0,22152.0,11706.965,1595.5226,0.0,-2.7375402,-0.8101902
537.0,7.3680286,18.5,20996.0,20996.0,8783.338,2352.3633,0.0,-2.8416991,-2.604782
537.0,7.3680286,19.5,12679.0,12679.0,4011.6729,1351.6743,0.0,3.1353161,1.5901836
537.0,7.3680286,20.5,6324.0,6324.0,2550.5388,3153.7002,0.0,1.9541371,1.6786186
537.0,7.3680286,21.5,3608.0,3608.0,2436.9377,2881.1934,0.0,1.9223415,1.7730286
539.0,7.3258142,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539.0,7.3258142,1.5,34796.0,34796.0,1286.1483,150.15433,0.0,0.6390329,0.78293353
539.0,7.3258142,2.5,44354.0,44354.0,3846.5852,178.13904,0.0,1.110112,2.7092872
539.0,7.3258142,3.5,56544.0,56544.0,5543.978,286.28824,0.0,1.139812,-2.0814
539.0,7.3258142,4.5,73909.0,73909.0,8853.978,668.7321,0.0,1.2147229,-0.3492002
539.0,7.3258142,5.5,94553.0,94553.0,12960.815,1088.2294,0.0,1.2433715,0.92507285
539.0,7.3258142,6.5,102700.0,102700.0,10642.597,2085.7244,0.0,1.329791,1.6173851
539.0,7.3258142,7.5,104022.0,104022.0,9443.458,1985.7443,0.0,1.8003318,-2.114276
539.0,7.3258142,8.5,99028.0,99028.0,12319.192,3115.0876,0.0,1.7282999,2.209911
539.0,7.3258142,9.5,98076.0,98076.0,13671.273,5242.763,0.0,1.4703918,1.2753792
539.0,7.3258142,10.5,92872.0,92872.0,5517.9272,5897.705,0.0,1.8176018,0.33739007
539.0,7.3258142,11.5,78580.0,78580.0,7459.376,7837.9424,0.0,-2.1641994,1.1391288
539.0,7.3258142,12.5,67631.0,67631.0,14362.075,8165.2974,0.0,-2.0583792,1.198488
539.0,7.3258142,13.5,57459.0,57459.0,19131.764,2396.75,0.0,-2.1666641,1.0611688
539.0,7.3258142,14.5,41921.0,41921.0,19883.05,1269.2238,0.0,-2.2794325,-2.1791422
539.0,7.3258142,15.5,35550.0,35550.0,23057.982,4795.063,0.0,-2.4006398,-0.3178159
539.0,7.3258142,16.5,31466.0,31466.0,20345.396,8474.984,0.0,-2.456027,0.31789228
539.0,7.3258142,17.5,23308.0,23308.0,13796.345,5667.615,0.0,-2.8177962,-0.57093406
539.0,7.3258142,18.5,18884.0,18884.0,10075.276,1130.2422,0.0,-2.8792465,-0.93887776
539.0,7.3258142,19.5,12902.0,12902.0,3844.7295,303.1005,0.0,2.8093636,-1.5665165
539.0,7.3258142,20.5,6153.0,6153.0,2261.8958,1435.9514,0.0,2.2462597,1.1478688
539.0,7.3258142,21.5,3309.0,3309.0,2518.8364,2615.6672,0.0,1.6337664,1.5085355
541.0,7.3045545,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541.0,7.3045545,1.5,34144.0,34144.0,1225.7062,462.65564,0.0,0.6706728,1.0942267
541.0,7.3045545,2.5,43677.0,43677.0,3767.5068,359.0752,0.0,1.1680621,2.6100073
541.0,7.3045545,3.5,56725.0,56725.0,5431.4165,319.83795,0.0,1.150025,-0.9143963
541.0,7.3045545,4.5,74364.0,74364.0,8952.112,320.04062,0.0,1.1359512,-0.6801372
541.0,7.3045545,5.5,94423.0,94423.0,14101.402,1648.1577,0.0,1.155963,0.4526529
541.0,7.3045545,6.5,102809.0,102809.0,11454.214,1206.2721,0.0,1.3217252,0.61253643
541.0,7.3045545,7.5,101445.0,101445.0,10853.734,568.33014,0.0,1.6249948,-2.686361
541.0,7.3045545,8.5,99297.0,99297.0,11411.291,2523.124,0.0,1.7142752,2.6275945
541.0,7.3045545,9.5,98132.0,98132.0,10506.1455,6203.5938,0.0,1.389207,1.1120661
541.0,7.3045545,10.5,97818.0,97818.0,5843.1484,4850.036,0.0,1.50878,0.5530409
541.0,7.3045545,11.5,80472.0,80472.0,5277.853,9362.402,0.0,-1.9420866,0.617517
541.0,7.3045545,12.5,68535.0,68535.0,13017.299,5371.3047,0.0,-1.9995629,1.0345212
541.0,7.3045545,13.5,57522.0,57522.0,17894.816,3865.6558,0.0,-2.173024,0.545133
541.0,7.3045545,14.5,46715.0,46715.0,20145.266,1857.7904,0.0,-2.2658687,0.58578074
541.0,7.3045545,15.5,35704.0,35704.0,19809.322,4085.545,0.0,-2.4004369,-1.0602555
541.0,7.3045545,16.5,30444.0,30444.0,21849.145,9594.861,0.0,-2.455535,-0.22233064
541.0,7.3045545,17.5,22145.0,22145.0,14106.028,6335.079,0.0,-2.7712324,-0.5004623
541.0,7.3045545,18.5,19098.0,19098.0,11310.094,2925.3154,0.0,-2.860134,-0.60694534
