snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,33671.0,117.749,1602.1854,127.43393,0.0,0.10105422,1.7899805
520.0,7.6413755,2.5,41658.0,61.836,2651.3928,252.05437,0.0,0.7220693,-2.7551637
520.0,7.6413755,3.5,56894.0,267.036,3328.4192,380.62128,0.0,0.91577905,-2.5456693
520.0,7.6413755,4.5,79381.0,1045.508,3577.7952,755.70856,0.0,1.2660475,-1.8148494
520.0,7.6413755,5.5,98776.0,382.833,5730.6953,655.93243,0.0,1.4776218,-2.4444885
520.0,7.6413755,6.5,91219.0,736.479,4514.23,513.19824,0.0,1.4275526,-1.1239097
520.0,7.6413755,7.5,85910.0,1587.329,2793.9575,3082.1418,0.0,1.5014042,-0.94891995
520.0,7.6413755,8.5,81422.0,433.966,5758.9106,1873.7245,0.0,1.0816144,-1.7830181
520.0,7.6413755,9.5,78202.0,3639.894,3569.7056,3938.7686,0.0,0.6558543,-1.4313267
520.0,7.6413755,10.5,73687.0,6734.563,1968.9076,4286.395,0.0,-1.9793228,-1.3819277
520.0,7.6413755,11.5,60663.0,8343.209,6300.784,2578.9475,0.0,-2.0241842,0.018866636
520.0,7.6413755,12.5,51897.0,9109.741,9159.856,1969.8567,0.0,-2.2383888,0.13044329
520.0,7.6413755,13.5,41569.0,6160.291,9765.001,1503.8916,0.0,-2.1963856,-0.5430774
520.0,7.6413755,14.5,31392.0,2574.998,8795.989,475.87012,0.0,-2.339927,2.3952975
520.0,7.6413755,15.5,25013.0,4428.588,6888.1016,2312.0247,0.0,-2.2072282,1.7032018
520.0,7.6413755,16.5,23284.0,6098.391,6535.1733,2936.4736,0.0,-2.5616202,0.352312
520.0,7.6413755,17.5,17944.0,6201.009,5578.0654,650.4206,0.0,-2.969438,-1.1574358
520.0,7.6413755,18.5,15747.0,3437.062,5026.7114,1894.3871,0.0,2.905608,-2.6595378
520.0,7.6413755,19.5,11482.0,4717.35,4187.127,1789.2766,0.0,-3.1022182,3.071036
520.0,7.6413755,20.5,8532.0,2131.385,2335.3367,717.76276,0.0,3.0352223,-2.7177925
520.0,7.6413755,21.5,6263.0,107.895,473.82065,664.0025,0.0,2.387879,0.44476706
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
