snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,121118.0,121118.0,2484.0479,149.5955,0.0,0.68222576,-2.828575
520.0,7.6413755,2.5,92709.0,92709.0,4406.809,369.10468,0.0,0.86824846,-2.8349001
520.0,7.6413755,3.5,84954.0,84954.0,4670.703,446.29,0.0,0.96770996,-2.5739245
520.0,7.6413755,4.5,97090.0,97090.0,5563.067,845.0597,0.0,1.3325238,-2.018021
520.0,7.6413755,5.5,112683.0,112683.0,8042.264,838.1582,0.0,1.4121726,-2.1012244
520.0,7.6413755,6.5,103172.0,103172.0,7389.6094,533.57904,0.0,1.2863358,-0.033370472
520.0,7.6413755,7.5,98135.0,98135.0,7012.3096,3380.709,0.0,1.3735204,-0.785199
520.0,7.6413755,8.5,94827.0,94827.0,10783.439,998.7953,0.0,0.97529995,-1.9893419
520.0,7.6413755,9.5,90934.0,90934.0,7460.2715,5387.94,0.0,0.8812653,-1.5644909
520.0,7.6413755,10.5,86561.0,86561.0,872.2453,6859.534,0.0,-1.2797018,-1.3008494
520.0,7.6413755,11.5,71699.0,71699.0,9719.25,5256.329,0.0,-1.9087132,-0.44579163
520.0,7.6413755,12.5,60728.0,60728.0,13993.97,3366.2239,0.0,-2.1892147,-0.40317154
520.0,7.6413755,13.5,49568.0,49568.0,16108.578,3405.7915,0.0,-2.2128773,-0.55594337
520.0,7.6413755,14.5,38441.0,38441.0,14360.302,856.14594,0.0,-2.3570585,-1.2340578
520.0,7.6413755,15.5,30775.0,30775.0,11746.819,2898.0632,0.0,-2.288726,0.56424654
520.0,7.6413755,16.5,28298.0,28298.0,10692.486,5289.516,0.0,-2.4982786,0.10314275
520.0,7.6413755,17.5,21614.0,21614.0,9159.052,1862.1915,0.0,-2.9456916,-1.4444653
520.0,7.6413755,18.5,19029.0,19029.0,7797.8965,3334.5554,0.0,3.0373561,-2.378592
520.0,7.6413755,19.5,14239.0,14239.0,6420.672,2908.5227,0.0,3.139614,-3.019547
520.0,7.6413755,20.5,10248.0,10248.0,2981.9695,396.18637,0.0,3.089679,-3.0952957
520.0,7.6413755,21.5,7409.0,7409.0,957.1763,1479.4835,0.0,1.7777213,0.8696993
523.0,7.596713,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713,1.5,121525.0,121525.0,3043.951,209.01816,0.0,1.0032886,-0.8768375
523.0,7.596713,2.5,92430.0,92430.0,5095.9434,677.08417,0.0,1.0096025,1.4912587
523.0,7.596713,3.5,80968.0,80968.0,5940.3105,268.5047,0.0,1.0486612,3.013688
523.0,7.596713,4.5,91207.0,91207.0,6904.4844,777.3443,0.0,1.1883254,-2.6570182
523.0,7.596713,5.5,106089.0,106089.0,7629.7373,1611.1892,0.0,1.3411884,3.1156151
523.0,7.596713,6.5,113779.0,113779.0,9670.154,2537.667,0.0,1.1811522,-2.8650384
523.0,7.596713,7.5,109791.0,109791.0,9617.346,940.42377,0.0,1.2281463,-0.9638592
523.0,7.596713,8.5,104589.0,104589.0,8859.942,2952.8965,0.0,1.1866182,-2.3952942
523.0,7.596713,9.5,90162.0,90162.0,6492.1733,4580.764,0.0,1.3172007,-2.5957282
523.0,7.596713,10.5,83641.0,83641.0,2956.7266,3716.3667,0.0,1.992406,-1.9272178
523.0,7.596713,11.5,73963.0,73963.0,10837.217,2817.461,0.0,-2.297693,-1.5909108
523.0,7.596713,12.5,64993.0,64993.0,20116.709,5294.8877,0.0,-2.1390243,-1.5684413
523.0,7.596713,13.5,53348.0,53348.0,19922.805,3795.4385,0.0,-2.070838,-1.1527786
523.0,7.596713,14.5,39554.0,39554.0,16906.658,1999.2004,0.0,-2.240302,-0.37227845
523.0,7.596713,15.5,30221.0,30221.0,13894.004,1216.5304,0.0,-2.5138326,0.9295661
523.0,7.596713,16.5,25487.0,25487.0,12514.932,724.2988,0.0,-2.5597353,2.365364
523.0,7.596713,17.5,22094.0,22094.0,9713.186,1224.5386,0.0,-2.7197163,-3.0264697
523.0,7.596713,18.5,17505.0,17505.0,4641.386,3160.9758,0.0,2.9837005,2.2765675
523.0,7.596713,19.5,12789.0,12789.0,5584.402,4975.9316,0.0,2.8194835,2.790183
523.0,7.596713,20.5,9259.0,9259.0,4452.6895,4061.2078,0.0,2.8328207,2.8262672
523.0,7.596713,21.5,5402.0,5402.0,2588.6934,1619.6752,0.0,-3.024594,-2.3883717
525.0,7.566684,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566684,1.5,122011.0,122011.0,3385.2815,375.44565,0.0,0.76931024,-3.0758822
525.0,7.566684,2.5,93692.0,93692.0,4921.5044,253.17403,0.0,0.95665723,-2.7239542
525.0,7.566684,3.5,82937.0,82937.0,5780.4497,178.26437,0.0,0.94730026,2.398603
525.0,7.566684,4.5,91438.0,91438.0,7458.216,813.5103,0.0,1.0385817,-2.5599875
525.0,7.566684,5.5,104332.0,104332.0,7750.1416,1027.8444,0.0,1.2325907,-1.7343959
525.0,7.566684,6.5,108892.0,108892.0,9755.071,2703.9822,0.0,1.3954588,3.0789385
525.0,7.566684,7.5,111946.0,111946.0,10075.361,1188.0989,0.0,0.9811848,-0.87814313
525.0,7.566684,8.5,105728.0,105728.0,9372.245,2802.2163,0.0,1.1796287,1.4826125
525.0,7.566684,9.5,97610.0,97610.0,7492.96,5427.013,0.0,1.2945826,-2.8835611
525.0,7.566684,10.5,86596.0,86596.0,3648.283,3802.2869,0.0,2.7842984,-2.495558
