snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13.0,6.4745913,26.767992,7.7229757,6.4213333,5.527837,0.0,2.9235983,1.3270729,-0.31560457,0.3295085
600.0,6.3231816,2.5,36.0,1.9545594,85.56665,17.063484,4.3398185,18.91817,0.0,-2.2350802,2.6712456,-2.4934196,-1.7045776
600.0,6.3231816,3.5,40.0,3.090875,152.93744,57.885704,44.81023,29.546598,0.0,-1.9885925,-1.2929424,-1.8677621,-1.7460114
600.0,6.3231816,4.5,48.0,17.011652,222.62292,17.845207,73.68733,47.67676,0.0,-2.0669017,1.6454178,1.8632249,-1.1961446
600.0,6.3231816,5.5,74.0,16.676678,354.1451,33.08326,148.27718,46.286964,0.0,-2.2493243,-1.7603236,1.9659666,-1.4481212
600.0,6.3231816,6.5,74.0,109.52368,299.5117,82.612854,79.26394,37.79253,0.0,-1.747391,0.87270695,-1.064533,0.5694706
600.0,6.3231816,7.5,87.0,123.780525,256.7181,124.483116,128.54805,61.94382,0.0,-2.573841,0.91314584,0.90242803,-0.13879135
600.0,6.3231816,8.5,109.0,106.32029,284.55637,92.95252,99.7323,59.16886,0.0,1.8707757,-2.7378097,1.5932854,-1.8501071
600.0,6.3231816,9.5,104.0,84.282104,592.6625,208.25568,159.94644,137.34294,0.0,0.7486753,-1.9166766,-2.4736972,-1.6781744
600.0,6.3231816,10.5,132.0,20.942793,1264.9125,86.183815,365.27374,232.69077,0.0,0.27413592,-0.82522523,-1.1721814,-3.0636706
600.0,6.3231816,11.5,143.0,104.413155,1670.4586,131.02339,320.19107,170.90915,0.0,0.19572088,-3.0692925,-1.5460436,3.0639727
600.0,6.3231816,12.5,137.0,163.63287,1851.7433,361.9596,392.48514,165.018,0.0,0.09917134,1.3661982,-2.411919,-3.0036466
600.0,6.3231816,13.5,178.0,24.08036,2440.68,630.1564,423.08975,185.39877,0.0,0.307367,0.819092,-1.4162261,-0.9634809
600.0,6.3231816,14.5,171.0,53.622787,2656.898,716.6692,806.1137,462.54425,0.0,0.31609508,0.8939613,-1.3541975,-1.5917974
600.0,6.3231816,15.5,185.0,130.49997,3200.9373,804.41943,1241.3544,627.6344,0.0,0.29123807,0.5854027,-0.9903541,-1.4548014
600.0,6.3231816,16.5,201.0,215.5693,3954.132,1371.5848,1160.1793,310.26862,0.0,0.08798858,0.106560186,-1.1431491,-2.8225284
600.0,6.3231816,17.5,199.0,398.80353,4435.2256,741.0798,792.25964,280.01657,0.0,-0.113067865,0.12716804,-2.0826557,-1.8739735
600.0,6.3231816,18.5,227.0,8.910719,5289.872,736.15875,909.31134,418.3537,0.0,-0.13732582,-1.310574,-1.3452171,-2.1795094
600.0,6.3231816,19.5,231.0,335.7446,5497.623,1163.3251,1057.861,591.8926,0.0,-0.16990496,-1.7153945,-1.4136164,0.73079664
600.0,6.3231816,20.5,237.0,177.05545,4783.751,1652.7494,1091.3179,1114.856,0.0,-0.28467417,-1.643535,-2.4102373,0.9884868
600.0,6.3231816,21.5,264.0,1132.1737,4564.8022,2696.3533,1168.2926,1592.8534,0.0,-0.49648646,-1.7047095,2.7356644,1.1479263
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,13.0,5.2738833,26.782135,7.7035546,13.740867,14.799626,0.0,-2.319734,2.0264661,0.002494624,-1.492984
602.0,6.2968197,2.5,36.0,32.026752,151.90347,43.06201,36.62963,14.750767,0.0,-2.7401152,-2.1373563,2.6275773,2.4966938
602.0,6.2968197,3.5,40.0,12.136742,150.11487,55.260155,96.15762,74.24582,0.0,-2.0646348,-2.8411708,-2.3248258,2.0106354
602.0,6.2968197,4.5,48.0,5.6339703,276.90326,16.763695,82.985054,33.679718,0.0,-1.7091259,-1.4825183,3.1410909,-2.5108514
602.0,6.2968197,5.5,76.0,47.927464,353.08472,49.633472,107.01305,41.024033,0.0,-2.1486275,-1.977591,1.7242076,-1.1090881
602.0,6.2968197,6.5,72.0,75.382515,210.62924,64.87763,2.1734166,25.836351,0.0,-2.275439,-0.121491306,1.0688298,1.5178478
602.0,6.2968197,7.5,86.0,140.12184,221.98077,132.70369,57.028088,59.523693,0.0,-2.9557533,0.18967679,0.10942417,-2.0251455
602.0,6.2968197,8.5,110.0,93.66194,231.2984,94.34036,81.93875,151.86192,0.0,2.235545,3.0177736,0.36976933,2.0029752
602.0,6.2968197,9.5,104.0,28.354195,450.48474,291.62924,188.268,87.6972,0.0,1.0074334,-1.7723687,-2.8907325,2.2540536
602.0,6.2968197,10.5,132.0,201.59822,1160.5115,248.58157,298.26996,245.86942,0.0,0.23352246,-0.15988448,-1.7791336,2.4065046
602.0,6.2968197,11.5,141.0,24.699394,1626.4468,225.65833,84.220665,148.99463,0.0,0.041943476,0.14186755,-1.0003566,2.1346984
602.0,6.2968197,12.5,140.0,157.95985,1634.1958,262.4661,322.07324,106.29371,0.0,0.11446226,1.7252938,-2.74954,0.9336358
