snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,12.0,0.89757466,185.53474,1.6793723,77.96317,2.9123273,0.0,0.98519176,2.1410856,-0.7723458,-0.76929057
600.0,6.3231816,2.5,36.0,4.357638,266.71054,34.857227,138.4,17.003325,0.0,1.019919,2.3717797,-0.7052767,-2.831647
600.0,6.3231816,3.5,40.0,15.192042,155.81775,37.16532,60.595608,12.787555,0.0,-3.0634434,-1.3728765,0.1410121,-0.35609585
600.0,6.3231816,4.5,48.0,27.130308,417.24768,10.517025,49.99789,29.665598,0.0,-2.675258,1.2228923,0.19453223,-2.106773
600.0,6.3231816,5.5,76.0,16.086494,685.21313,33.849796,187.21863,33.76809,0.0,-2.6427295,0.46545509,2.3708267,-1.7924732
600.0,6.3231816,6.5,72.0,38.540287,621.26074,51.180847,65.417114,33.311443,0.0,-2.4389687,0.013621108,1.798962,-1.1125115
600.0,6.3231816,7.5,90.0,26.87792,673.4859,152.55302,69.20135,21.966105,0.0,-2.4153461,0.2727017,2.397218,-0.7237298
600.0,6.3231816,8.5,106.0,84.739365,654.5419,227.94855,145.07036,20.396643,0.0,-2.88602,-0.79349774,2.5595338,-1.4721048
600.0,6.3231816,9.5,104.0,13.365983,369.69583,69.75934,94.70156,90.236,0.0,-3.08104,-0.3457061,-2.8510692,-2.3166077
600.0,6.3231816,10.5,132.0,43.9205,134.99648,34.545788,142.75407,157.30907,0.0,-1.0684983,1.6263403,-3.032313,-2.9784179
600.0,6.3231816,11.5,143.0,165.70744,514.53766,294.75632,337.16666,174.51978,0.0,-0.09548975,2.0092,-2.9908614,2.7896237
600.0,6.3231816,12.5,137.0,259.03366,378.9439,408.98785,278.59744,153.38992,0.0,-0.46585125,1.0682218,2.7259092,2.3292289
600.0,6.3231816,13.5,179.0,28.103298,407.6246,727.5294,115.63761,416.81772,0.0,0.38582247,0.89139235,2.7146745,-1.6547192
600.0,6.3231816,14.5,169.0,92.78209,1272.3163,1056.9115,370.5952,811.59766,0.0,1.171328,0.9472558,-0.78764385,-1.7824703
600.0,6.3231816,15.5,183.0,55.958267,2089.7449,727.43427,1304.5612,736.2987,0.0,1.512855,0.7166068,-0.644647,-1.1385437
600.0,6.3231816,16.5,206.0,127.98166,1668.4636,1376.8252,774.52985,495.38754,0.0,1.1192127,-0.17801361,-0.14223906,-1.5024142
600.0,6.3231816,17.5,200.0,273.30908,1632.8049,1214.0125,265.98737,425.62445,0.0,0.2557356,-0.17351283,0.9233379,-2.3388174
600.0,6.3231816,18.5,228.0,392.7594,2277.4749,1486.1678,429.133,860.39764,0.0,-0.013290162,0.1477943,-0.87705964,-2.0466614
600.0,6.3231816,19.5,230.0,920.9129,1656.2562,762.00635,1045.9028,617.34106,0.0,-0.19300705,-0.6295243,-1.4390752,2.9985476
600.0,6.3231816,20.5,206.0,706.63605,1374.5001,1265.0035,1102.3513,908.6936,0.0,-0.69822586,-1.4031999,-2.1263337,-2.8884182
600.0,6.3231816,21.5,182.0,995.14655,2060.838,1965.4714,1723.603,1640.977,0.0,-0.75942445,-1.6026064,-2.3522918,-3.0991333
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,12.0,6.073325,166.84158,9.535721,80.24027,3.9503992,0.0,0.9146865,-2.5993013,-0.7559479,-2.460555
602.0,6.2968197,2.5,36.0,15.67783,246.59462,25.863724,113.046074,27.89265,0.0,0.9738444,-2.0751987,-0.69273376,-2.6427724
602.0,6.2968197,3.5,40.0,7.199354,138.40076,6.121216,28.514748,36.972614,0.0,-3.0366843,-1.1565905,1.0794002,2.7887125
602.0,6.2968197,4.5,48.0,28.437986,427.41217,47.448635,23.65837,18.499907,0.0,-2.6341228,-1.7473861,0.26198167,1.0046376
602.0,6.2968197,5.5,76.0,22.085192,649.8028,50.90373,167.67865,31.328108,0.0,-2.62024,-0.9148331,2.3113034,-1.327506
602.0,6.2968197,6.5,72.0,3.6060174,603.56696,116.202484,49.762665,43.766483,0.0,-2.522976,-0.6024878,0.3931405,-0.58254397
