snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,14.0,6.041617,120.01528,17.849684,31.026035,18.371336,0.0,-3.1059744,1.736937,1.5900956,0.039446842
600.0,6.3231816,2.5,36.0,11.248188,310.53265,27.46417,68.60796,21.129295,0.0,-2.7923045,1.3157651,2.1995666,-1.4994429
600.0,6.3231816,3.5,40.0,16.586023,327.70578,58.606316,38.928604,55.721237,0.0,-2.8125212,-1.3689622,-1.9107313,-1.7331938
600.0,6.3231816,4.5,48.0,39.39137,420.73816,10.308397,154.09128,26.95987,0.0,-2.6945753,2.0807662,1.7265778,-0.9893839
600.0,6.3231816,5.5,74.0,52.75091,872.8991,95.075516,279.9586,81.900505,0.0,-2.8642886,-1.2925265,1.9198536,-1.2996491
600.0,6.3231816,6.5,74.0,112.68156,869.1313,89.357376,76.68737,134.30006,0.0,-2.6783235,1.5703216,-0.487269,1.0660121
600.0,6.3231816,7.5,86.0,204.26582,1134.5007,223.88681,286.91367,116.558624,0.0,-3.0198202,1.8939492,1.5715421,0.32560012
600.0,6.3231816,8.5,110.0,272.7724,812.0412,372.19846,412.29858,38.468502,0.0,-3.1363869,2.3538103,1.5935793,-1.3309063
600.0,6.3231816,9.5,104.0,165.93019,272.67108,270.36267,82.80792,216.69061,0.0,2.3231137,-1.8362515,2.4385355,-1.9011067
600.0,6.3231816,10.5,133.0,61.83192,310.95496,144.75851,315.3317,302.84753,0.0,0.38964313,-0.47236627,-1.1162124,-2.9137404
600.0,6.3231816,11.5,142.0,35.164223,592.26514,275.41016,296.21765,113.28374,0.0,0.07972637,-2.6126602,-1.2061155,2.8235378
600.0,6.3231816,12.5,137.0,159.1076,1206.3127,231.25291,460.84528,201.29251,0.0,-0.02074496,2.1489577,-2.268364,-2.9341068
600.0,6.3231816,13.5,178.0,131.7394,1690.5695,507.57016,402.05167,28.306517,0.0,0.30073678,0.7686265,-1.866654,1.3944529
600.0,6.3231816,14.5,171.0,143.44113,1912.3804,518.1972,554.78864,292.67612,0.0,0.07052975,0.9625759,-1.512863,-1.4808792
600.0,6.3231816,15.5,184.0,321.807,2525.0059,656.72955,604.43506,491.7779,0.0,-0.094298795,0.76498514,-1.1523914,-2.088244
600.0,6.3231816,16.5,202.0,5.2838984,3492.7139,992.08496,628.8767,309.57257,0.0,-0.22046778,0.4632793,-1.3851317,3.1043444
600.0,6.3231816,17.5,197.0,318.6782,3858.3953,181.44069,769.2425,246.81065,0.0,-0.27623284,0.36830708,-2.2117586,-0.713639
600.0,6.3231816,18.5,227.0,14.245555,4536.922,1082.8749,882.7789,291.04263,0.0,-0.40903336,-1.8355484,-2.0769663,-0.84860444
600.0,6.3231816,19.5,231.0,231.63506,4534.8936,1623.6504,1241.2308,1205.5283,0.0,-0.48286277,-1.8785802,-1.8591269,0.2125572
600.0,6.3231816,20.5,236.0,17.371004,3667.915,2045.6136,1262.6791,1402.1549,0.0,-0.5379102,-1.7206472,-2.55121,0.60628164
600.0,6.3231816,21.5,263.0,1087.6069,3571.7961,1397.7872,1542.3457,1804.023,0.0,-0.57557917,-1.9100156,2.2620103,1.0996938
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14.0,1.1711876,94.35141,19.879417,48.8564,17.043806,0.0,-2.8203003,1.8931669,1.6673717,-1.987509
602.0,6.2968197,2.5,35.0,18.841805,409.8815,35.769867,132.14125,32.197823,0.0,-2.8533816,-2.7158256,2.3890731,2.3222404
602.0,6.2968197,3.5,41.0,26.617437,401.51007,54.446095,117.554115,63.410378,0.0,-2.7158725,-2.5201364,-2.399265,1.7170551
602.0,6.2968197,4.5,48.0,1.8790015,356.46515,22.900724,118.82591,57.6069,0.0,-2.5229383,-1.9610976,2.4880147,-2.6559792
602.0,6.2968197,5.5,74.0,43.201824,852.9207,52.08614,233.56062,64.255005,0.0,-2.7289228,-1.3251915,2.0240834,-1.259974
602.0,6.2968197,6.5,74.0,206.30095,917.6842,156.71205,202.73492,59.177864,0.0,-2.9287736,1.1050967,1.8020111,1.4141515
602.0,6.2968197,7.5,86.0,308.27087,1005.13324,222.21355,122.32915,63.199986,0.0,-3.0478895,1.3731228,1.8389552,-1.6292814
602.0,6.2968197,8.5,110.0,252.98328,909.68726,340.2859,144.62602,134.04077,0.0,-2.998536,2.2483587,1.3480754,1.6305004
602.0,6.2968197,9.5,104.0,111.84857,405.4528,371.0032,202.53455,123.88336,0.0,2.364633,-1.6639851,2.564143,-2.2805674
602.0,6.2968197,10.5,131.0,194.94345,473.06717,342.16226,208.26854,273.92935,0.0,0.5179213,-0.66129845,-1.4678382,2.6075788
602.0,6.2968197,11.5,142.0,53.9922,532.2784,225.4159,143.5243,164.83228,0.0,0.3426768,-1.4509326,-0.9058091,1.2626524
602.0,6.2968197,12.5,140.0,139.17125,686.2987,326.58212,348.2749,209.0422,0.0,0.13700534,2.3178687,-2.5798748,0.7252873
602.0,6.2968197,13.5,177.0,117.35967,1656.7224,587.916,282.37073,367.14777,0.0,0.30074975,1.391115,-1.6684065,0.054848008
602.0,6.2968197,14.5,170.0,280.606,1690.898,728.50696,349.25943,105.37581,0.0,0.08651241,0.8059122,-2.0926723,-0.6223998
602.0,6.2968197,15.5,185.0,359.6405,2019.8739,775.7653,302.46335,404.09674,0.0,-0.024901038,0.76186186,-1.555062,1.0764265
602.0,6.2968197,16.5,202.0,97.27229,3516.6418,1050.9425,270.35834,193.7175,0.0,-0.23648377,0.43642762,-2.1427736,1.2634646
602.0,6.2968197,17.5,200.0,8.222993,3826.2937,362.36633,694.8151,174.68686,0.0,-0.18056627,0.66485244,-2.0289948,-1.0461587
602.0,6.2968197,18.5,228.0,127.71658,4491.8066,602.6311,278.0359,388.40082,0.0,-0.28219685,-1.4917046,-1.7901245,-0.11386733
602.0,6.2968197,19.5,232.0,420.97702,4424.187,1304.6268,836.6878,1123.3396,0.0,-0.46710265,-1.408899,-2.3399034,-0.29631555
602.0,6.2968197,20.5,225.0,910.85944,4064.6318,2049.0054,1393.858,756.0581,0.0,-0.57453865,-1.5735378,-2.9170668,0.23204051
602.0,6.2968197,21.5,261.0,1958.9967,3832.8171,1655.3838,1045.3834,1542.2705,0.0,-0.6559862,-1.826737,2.3309817,0.60823524
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,15.0,17.494293,49.63221,32.15564,31.778421,19.918407,0.0,-2.2302895,2.2276764,2.7134192,0.5819241
604.0,6.2570214,2.5,35.0,4.970339,458.47668,66.1129,242.16205,30.921705,0.0,-2.657265,2.1377017,2.5938432,-0.7391122
604.0,6.2570214,3.5,41.0,53.373634,560.449,28.369415,171.69206,43.824654,0.0,-2.650392,0.95691186,2.780055,0.41788238
604.0,6.2570214,4.5,48.0,83.81438,398.847,66.51509,124.926155,68.68618,0.0,-2.3318338,1.3890866,2.275407,2.0174422
604.0,6.2570214,5.5,76.0,61.129158,796.28125,80.34288,368.825,92.80056,0.0,-2.6087518,-1.0107915,1.9336468,2.5216687
604.0,6.2570214,6.5,72.0,47.51527,771.36676,54.171513,291.40598,67.663795,0.0,-2.838396,-0.28716934,1.7877333,-1.6407614
604.0,6.2570214,7.5,88.0,256.95084,925.3029,186.83559,207.13849,54.23399,0.0,-2.944424,-0.37915412,1.9433933,0.30078965
604.0,6.2570214,8.5,108.0,438.24783,941.50146,229.05089,153.64357,160.5056,0.0,-3.0578527,2.2069776,0.7035229,-1.3962727
604.0,6.2570214,9.5,104.0,188.41806,530.55066,195.7008,161.60558,187.63155,0.0,2.0850828,-2.5611444,0.38332087,-2.5542195
604.0,6.2570214,10.5,131.0,7.9463105,751.79456,617.7893,433.45206,155.66306,0.0,0.48738205,-1.6520505,0.10271266,-0.935008
604.0,6.2570214,11.5,140.0,345.96783,346.43533,553.1386,77.319145,191.24698,0.0,-0.20102984,-1.7195705,0.59573185,0.004724123
604.0,6.2570214,12.5,141.0,10.820258,768.4554,62.256744,272.19702,226.48433,0.0,0.19387782,-2.7109985,2.5737324,2.7637212
604.0,6.2570214,13.5,179.0,32.06904,1061.9202,527.1177,291.52917,304.4623,0.0,0.5224031,1.3931252,-2.6682236,-1.9249667
604.0,6.2570214,14.5,169.0,329.25284,1510.0281,555.7751,464.28363,565.2775,0.0,0.3251295,1.0891951,-2.6058838,-1.3051076
604.0,6.2570214,15.5,187.0,215.79404,1776.2892,717.2106,419.4621,536.88464,0.0,-0.025467368,0.36292127,-2.273266,-0.799591
604.0,6.2570214,16.5,199.0,40.88077,2526.0625,853.5962,390.16132,648.5032,0.0,-0.087462306,0.21331243,-1.511607,-1.1686807
604.0,6.2570214,17.5,200.0,162.58742,3514.6575,955.72205,150.77965,146.31613,0.0,-0.20843546,0.27397782,2.5907755,-1.5383655
604.0,6.2570214,18.5,232.0,371.14142,4384.8125,1139.7147,267.8372,531.2333,0.0,-0.26978984,-0.5261331,0.76304334,2.8217084
604.0,6.2570214,19.5,225.0,707.687,3700.123,1203.958,1022.3623,763.26733,0.0,-0.512196,-1.6531775,2.6656265,-0.45329136
604.0,6.2570214,20.5,242.0,1418.3518,3236.2898,1639.6355,1023.02856,528.6685,0.0,-0.5833355,-1.6660593,-2.6834671,0.019172648
604.0,6.2570214,21.5,232.0,1844.8083,3315.9658,1742.5402,746.0341,636.9249,0.0,-0.69710815,-1.5516255,-2.7632303,0.05503038
608.0,6.198067,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,6.198067,1.5,15.0,17.900385,39.374443,44.045193,29.884691,1.6271555,0.0,3.0992804,1.3996369,1.7679741,1.9817022
608.0,6.198067,2.5,37.0,19.787722,460.91864,95.50712,215.63734,32.50916,0.0,-2.2823095,-0.34515673,2.6380017,0.20644312
608.0,6.198067,3.5,39.0,18.521019,607.1622,80.19312,175.70016,43.974415,0.0,-2.5793061,-0.7833721,2.715352,-0.0029300777
608.0,6.198067,4.5,48.0,14.319723,683.3694,38.561275,173.66258,118.401215,0.0,-2.7824533,-0.65356934,2.044197,-2.407174
