snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
520.0,7.6413755,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.6413755,1.5,15.0,5.7369013,32.996223,338.74384,40.13997,24.892843,0.0,-2.928218,-2.7471786,0.9560745,-2.2163935
520.0,7.6413755,2.5,34.0,20.005129,25.208754,827.0065,64.78539,78.23737,0.0,-2.9047801,-2.8783362,-0.4985935,2.7039156
520.0,7.6413755,3.5,42.0,45.32385,68.24856,740.69086,43.303413,159.21445,0.0,-1.5098805,-2.8247824,3.1076288,1.5804626
520.0,7.6413755,4.5,48.0,15.833899,87.87441,597.2073,30.208185,74.11923,0.0,-1.1195198,-2.8261664,-0.8318883,1.5603422
520.0,7.6413755,5.5,76.0,45.07297,100.550026,1030.5457,72.27683,222.79636,0.0,-0.9129361,-2.8831263,1.7309428,1.4538648
520.0,7.6413755,6.5,72.0,38.561993,104.605446,777.51575,46.213497,135.83992,0.0,-2.1881678,-2.7285354,1.3276734,1.8042567
520.0,7.6413755,7.5,87.0,39.968098,208.56117,688.1214,30.747335,143.03572,0.0,-2.1050198,-2.6003108,-0.121279165,2.8797624
520.0,7.6413755,8.5,109.0,79.42138,127.83432,1050.1298,366.61987,344.1432,0.0,2.943927,-2.840438,-1.5699816,2.7021942
520.0,7.6413755,9.5,104.0,48.618015,126.6087,778.42584,440.84387,240.95747,0.0,0.23860517,-2.6592512,-0.40873474,-3.0858545
520.0,7.6413755,10.5,132.0,117.40796,207.01138,1163.9681,581.6889,586.6525,0.0,0.8480378,-2.609361,-0.19506533,2.8101835
520.0,7.6413755,11.5,144.0,178.72914,271.86063,1025.6194,490.49542,300.43246,0.0,1.4681592,-2.4549615,0.09620102,-3.0190318
520.0,7.6413755,12.5,136.0,221.27986,382.31705,1131.6302,582.71545,157.05855,0.0,0.7938328,-2.6143548,0.40375495,2.231514
520.0,7.6413755,13.5,179.0,295.22217,469.78333,1528.2771,257.8022,473.76035,0.0,-0.03697943,-2.7356586,0.575232,2.0500298
520.0,7.6413755,14.5,170.0,202.06067,486.37054,1418.7056,364.6694,558.5447,0.0,0.26992053,-2.9443293,0.4573583,1.9051292
520.0,7.6413755,15.5,182.0,205.35504,851.48737,1779.3127,316.7872,608.57196,0.0,0.91106725,-2.7457652,0.7082587,2.478024
520.0,7.6413755,16.5,205.0,239.67542,936.34863,1767.1793,332.76364,794.05347,0.0,1.1779532,-2.7242258,0.013259178,1.8882585
