snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13.0,2.9996562,56.085384,252.10643,39.401638,43.39516,0.0,2.7500644,-3.0703316,1.0828425,-1.78427
600.0,6.3231816,2.5,36.0,19.9682,14.842418,1074.824,100.63026,83.46316,0.0,-0.48295802,3.0114253,-0.7274293,0.508177
600.0,6.3231816,3.5,40.0,7.1114545,78.1963,836.9783,37.194225,37.42966,0.0,2.8147125,2.9618495,1.3067784,-0.046251133
600.0,6.3231816,4.5,48.0,14.44481,75.20833,709.6597,36.73496,8.792997,0.0,1.9223183,-2.9582763,-1.6465628,1.4437144
600.0,6.3231816,5.5,74.0,15.562344,83.34315,916.024,27.453379,8.097619,0.0,0.2449126,-2.9843445,-3.0748584,0.053359054
600.0,6.3231816,6.5,74.0,46.422447,64.731476,656.3455,110.78128,66.80977,0.0,2.7993312,-3.0204136,0.94029033,0.06559238
600.0,6.3231816,7.5,87.0,100.57822,86.85406,744.45935,156.91481,88.458824,0.0,1.6130697,-3.0472038,0.59984004,0.2751403
600.0,6.3231816,8.5,109.0,59.209393,168.61424,826.5923,147.26361,126.7714,0.0,0.7887976,-3.0436246,0.31822062,1.5295115
600.0,6.3231816,9.5,104.0,82.040245,248.43726,602.13635,85.31135,110.89315,0.0,0.69794714,-3.1143484,-1.097447,1.2888384
600.0,6.3231816,10.5,132.0,55.820923,152.62761,751.73486,148.97185,205.19124,0.0,1.2741199,-3.1246693,-1.0000074,1.456571
600.0,6.3231816,11.5,143.0,58.17923,158.90463,534.74554,240.93259,167.40228,0.0,2.6318705,-2.894937,1.3445424,1.770224
600.0,6.3231816,12.5,137.0,39.18941,80.07926,432.87775,209.11017,28.832018,0.0,-2.1767268,-2.7261527,2.3642077,1.6169535
600.0,6.3231816,13.5,178.0,83.39067,83.27118,780.27734,75.500206,61.14926,0.0,-1.6099576,-2.7211452,0.84246534,0.7814164
600.0,6.3231816,14.5,171.0,217.17392,22.110655,881.7466,355.02893,247.78218,0.0,1.0739104,-2.9261675,0.016109405,0.37987
600.0,6.3231816,15.5,185.0,138.78287,159.34967,1312.8462,141.43417,267.82404,0.0,0.70762116,-3.056074,-0.12821056,0.8175358
600.0,6.3231816,16.5,201.0,100.70783,387.2602,1250.412,175.16177,263.72897,0.0,-0.8086824,3.127642,1.9572638,1.1373862
600.0,6.3231816,17.5,199.0,149.25026,347.94687,622.856,300.92203,213.18591,0.0,-0.5912078,3.017813,1.734829,1.6411977
600.0,6.3231816,18.5,227.0,125.3836,392.29214,832.86896,518.27747,405.7274,0.0,0.61527944,-2.8731737,0.7819042,2.3191845
600.0,6.3231816,19.5,231.0,23.06957,690.2243,581.6947,748.84033,211.5414,0.0,1.1190516,-2.944941,0.7668836,2.1500201
600.0,6.3231816,20.5,237.0,119.19788,221.51476,533.3528,247.10072,183.2012,0.0,1.0682431,2.728346,1.6769338,-2.2705033
600.0,6.3231816,21.5,264.0,306.67548,136.25168,344.32,210.44916,349.0332,0.0,2.8494265,2.0680177,0.60531306,-2.5069532
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,13.0,3.7042353,32.57323,271.19296,26.011581,28.160208,0.0,-2.1501145,3.1146607,2.9363463,-0.76099837
602.0,6.2968197,2.5,36.0,21.517385,29.849823,1082.848,28.465633,142.5793,0.0,2.8465066,-3.1190188,-3.1366043,1.8193696
602.0,6.2968197,3.5,40.0,0.7273849,32.315308,830.64374,55.98667,151.29895,0.0,-1.1790938,3.0634804,1.2580838,2.01608
602.0,6.2968197,4.5,48.0,5.4492526,80.14931,703.1272,93.408516,49.700726,0.0,-1.5223688,-3.0969205,1.4343224,-3.0899818
602.0,6.2968197,5.5,76.0,20.277338,51.6797,1059.2981,51.940086,44.54221,0.0,0.6756654,-3.0576134,0.16600297,2.7529407
602.0,6.2968197,6.5,72.0,36.059223,47.33984,750.47363,124.86509,24.500614,0.0,2.5755808,-2.9540753,0.5108317,1.0397893
602.0,6.2968197,7.5,86.0,25.709171,146.70508,737.0108,216.47325,21.033987,0.0,2.4256082,-3.0357003,0.95072865,1.4871119
602.0,6.2968197,8.5,110.0,26.901058,161.87999,925.1346,108.72283,186.25381,0.0,0.6433071,-3.115656,0.2147963,2.1558092
602.0,6.2968197,9.5,104.0,97.17636,212.7925,609.49396,125.621056,91.157036,0.0,0.5338241,-2.9332266,-1.2741439,0.9101976
602.0,6.2968197,10.5,132.0,8.732203,140.05414,755.3323,107.341415,204.97624,0.0,0.8259835,-2.8349438,-0.1872063,0.92146385
602.0,6.2968197,11.5,141.0,65.60121,310.96533,601.65924,258.27963,246.56111,0.0,2.6607146,-2.4857001,0.9029834,1.2876368
602.0,6.2968197,12.5,140.0,54.915417,124.10172,559.90955,157.0499,104.398636,0.0,1.4167553,-2.3302026,1.8814232,2.4949324
602.0,6.2968197,13.5,177.0,35.2285,315.75214,716.58966,245.55693,164.08366,0.0,-0.14880534,-2.7191813,-1.5762106,1.768689
602.0,6.2968197,14.5,170.0,166.33691,283.10706,831.2666,188.10027,271.9505,0.0,-0.10614509,-3.0436733,-1.2006352,0.8796537
602.0,6.2968197,15.5,185.0,122.71249,276.64825,1066.1562,335.44357,383.69788,0.0,-0.8526156,3.0911834,-1.8085792,0.7684868
602.0,6.2968197,16.5,204.0,90.92977,349.24637,1376.5356,153.9875,201.18271,0.0,-0.5140554,3.0172303,2.1680546,1.2274392
602.0,6.2968197,17.5,198.0,130.00087,408.7054,1144.9833,126.676476,198.40474,0.0,-0.44830632,3.0838075,0.20097245,1.3140231
602.0,6.2968197,18.5,230.0,45.075115,468.88272,1034.5669,741.224,287.15945,0.0,0.34611842,-2.8693817,0.4840064,1.5656483
602.0,6.2968197,19.5,228.0,36.381683,634.78284,772.4567,605.4797,458.41254,0.0,0.6904539,-2.5102499,0.14300062,1.6871586
602.0,6.2968197,20.5,233.0,119.69038,574.5559,523.9948,439.57104,144.0152,0.0,1.7986493,2.974347,0.06988952,1.901827
602.0,6.2968197,21.5,263.0,114.91552,545.2644,447.11133,415.35898,373.16266,0.0,1.811677,1.5908796,0.5245763,3.0288968
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,14.0,7.337332,18.727543,229.70403,4.1172996,6.3895144,0.0,1.1253426,-3.079188,1.6019862,-1.2378435
604.0,6.2570214,2.5,36.0,69.61416,20.71185,1067.4689,40.134792,119.06224,0.0,2.7002757,-2.9678254,-0.027287677,2.1214619
604.0,6.2570214,3.5,40.0,20.191622,30.033527,762.8667,51.20142,195.3751,0.0,1.275145,-3.0999303,1.3905946,1.8661362
604.0,6.2570214,4.5,48.0,17.101847,116.263245,718.4533,82.76281,134.59532,0.0,2.306894,-3.1378906,-0.41811374,2.0494843
604.0,6.2570214,5.5,76.0,22.323496,113.69591,1082.4464,50.030727,170.31026,0.0,-0.29667658,-3.0825226,-1.1038895,1.9523646
604.0,6.2570214,6.5,72.0,45.463017,16.537855,828.6924,101.70766,143.60477,0.0,-1.9720411,-3.0926855,-1.5371313,1.3613118
604.0,6.2570214,7.5,87.0,15.392328,83.09066,869.3098,27.225601,116.99586,0.0,-1.4596654,-3.0390704,-0.9880325,0.80579376
604.0,6.2570214,8.5,109.0,51.135323,149.23792,947.94995,100.77492,191.30038,0.0,0.77299666,-3.10948,0.618234,1.5582558
604.0,6.2570214,9.5,104.0,64.98024,119.68708,714.4459,143.99239,86.490105,0.0,1.7368559,-2.7903695,-0.8868004,1.4381346
604.0,6.2570214,10.5,133.0,3.5857506,273.64493,907.4903,127.23251,48.933567,0.0,2.3283777,-2.766641,-2.4689083,-0.77296066
604.0,6.2570214,11.5,141.0,101.8005,249.96297,665.60425,109.456345,89.36586,0.0,1.0268284,-2.884778,0.3383307,-0.5690463
604.0,6.2570214,12.5,138.0,171.20943,319.3577,646.1076,193.53172,155.91045,0.0,0.84278494,-2.5890884,0.19044578,-0.86996126
604.0,6.2570214,13.5,178.0,131.71877,323.42862,771.6394,237.21944,312.31088,0.0,0.3281116,-2.7528389,-1.5600226,0.30096236
604.0,6.2570214,14.5,170.0,88.32628,329.27493,692.83954,313.2955,343.2658,0.0,0.29992133,-2.97485,-1.68423,0.25561735
604.0,6.2570214,15.5,187.0,21.924726,410.39496,726.44025,192.68391,512.1974,0.0,0.042358555,-3.0707545,-1.0675669,0.36819935
604.0,6.2570214,16.5,200.0,33.077076,323.9796,1091.6992,444.14395,669.39624,0.0,-0.18348211,3.0285623,-0.42250943,0.76445514
