snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13.0,4.1876163,56.522987,252.07167,42.417526,52.389435,0.0,2.812004,-3.0948894,1.2075067,-1.69411
600.0,6.3231816,2.5,36.0,24.49057,14.598107,1082.1313,103.12177,74.32665,0.0,-0.3339996,3.0103471,-0.739853,0.5699308
600.0,6.3231816,3.5,40.0,10.850623,67.58451,845.1544,31.55206,41.12523,0.0,2.8779094,2.965672,1.3206438,0.13639499
600.0,6.3231816,4.5,48.0,16.37475,87.85042,704.1683,35.70907,6.7318125,0.0,2.0100293,-2.967071,-1.487923,1.5310799
600.0,6.3231816,5.5,74.0,9.693472,91.961754,912.2643,29.629875,9.293208,0.0,0.21370818,-2.9783216,2.9696717,-1.0997947
600.0,6.3231816,6.5,74.0,41.175777,64.325195,655.1012,106.683815,64.28203,0.0,2.8739717,-3.0136354,1.0318819,0.05114045
600.0,6.3231816,7.5,86.0,97.91726,93.328384,736.89606,149.64427,97.44757,0.0,1.836366,-3.048076,0.65455985,0.31339514
600.0,6.3231816,8.5,110.0,56.280106,172.50247,834.3687,157.86879,117.85831,0.0,0.7546258,-3.0445292,0.25125426,1.6782748
600.0,6.3231816,9.5,104.0,76.43053,240.99454,597.05316,82.96992,104.48639,0.0,0.6910201,-3.096652,-1.0872605,1.254847
600.0,6.3231816,10.5,132.0,54.531094,151.60445,748.5733,145.29816,205.85991,0.0,1.3303952,-3.1170788,-1.0147061,1.4633017
600.0,6.3231816,11.5,143.0,62.63071,163.64865,536.05383,244.91707,165.28633,0.0,2.621399,-2.8933449,1.3507103,1.7442455
600.0,6.3231816,12.5,137.0,36.922817,75.69682,426.3573,206.99237,23.207588,0.0,-2.136629,-2.731324,2.3150525,1.919477
