snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.641375389072152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,3.0,64.0,64.0,3.707475225355506e-14,5.488713299964949e-14,1.3415693764538879e-14,0.0,1.4113579988479614,-2.0215258598327637,-2.0451245307922363
520.0,7.641375389072152,5.0,92.0,92.0,2.5767596814843665e-14,3.322610907421029e-14,2.921154391513101e-14,0.0,-1.655877947807312,-0.898497462272644,-1.0041218996047974
520.0,7.641375389072152,7.0,136.0,136.0,1.0876099195279114e-13,3.1219962963266634e-14,7.73599603072529e-14,0.0,-1.5463024377822876,1.4199254512786865,-1.5967072248458862
520.0,7.641375389072152,9.0,176.0,176.0,3.712696492070869e-13,1.7425316820121608e-13,2.16669866886977e-13,0.0,-1.9218311309814453,2.7549996376037598,-1.621013879776001
520.0,7.641375389072152,11.0,208.0,208.0,4.875236712090671e-13,2.2909181593995515e-13,2.022306416291818e-13,0.0,-1.7941486835479736,2.470771312713623,-1.8932421207427979
520.0,7.641375389072152,13.0,244.0,244.0,5.131442638553721e-13,3.4169308662270685e-13,1.3784184196300712e-13,0.0,-1.8755568265914917,2.4604618549346924,-2.708061933517456
520.0,7.641375389072152,15.0,288.0,288.0,4.308386435862539e-13,3.598278954213213e-13,1.318980879053308e-13,0.0,-1.9848685264587402,2.5946264266967773,3.086066961288452
520.0,7.641375389072152,17.0,336.0,336.0,2.8653432375631655e-13,2.2213959795230578e-13,1.473648259805019e-13,0.0,-2.0304970741271973,2.6773314476013184,-2.5030062198638916
520.0,7.641375389072152,19.0,368.0,368.0,1.4933678778973991e-13,1.5667239077916492e-13,1.3191322931352219e-13,0.0,-2.39086651802063,3.0602493286132812,-1.919150948524475
520.0,7.641375389072152,21.0,404.0,404.0,9.844089491797446e-14,1.3695208335393662e-13,1.2508801634604834e-13,0.0,-2.819580554962158,-2.9935302734375,-1.3954733610153198
520.0,7.641375389072152,23.0,424.0,424.0,9.253233641445931e-14,1.1063051569732824e-13,8.029843655022455e-14,0.0,3.0094220638275146,-2.643768548965454,-0.9182247519493103
520.0,7.641375389072152,25.0,504.0,504.0,7.079902619818191e-14,7.123074634519455e-14,6.431803416154811e-14,0.0,2.9953677654266357,-2.252297878265381,-0.4875568151473999
520.0,7.641375389072152,27.0,504.0,504.0,5.825604340562812e-14,5.47180840197208e-14,4.25498425427614e-14,0.0,2.853288412094116,-2.005425453186035,-0.18540769815444946
520.0,7.641375389072152,29.0,580.0,580.0,5.5488665107578633e-14,5.664778902221709e-14,3.653137518419639e-14,0.0,2.9846994876861572,-1.7385852336883545,0.1285039335489273
520.0,7.641375389072152,31.0,576.0,576.0,4.65222510013237e-14,3.9751399490950887e-14,2.5607093593063404e-14,0.0,3.135334014892578,-1.6178454160690308,0.20528511703014374
520.0,7.641375389072152,33.0,640.0,640.0,4.8074317457625926e-14,3.4404247330891294e-14,2.0256681091061513e-14,0.0,3.1200573444366455,-1.67238187789917,-0.07354211807250977
