snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,44.0,44.0,1.7216835538910887e-13,1.8932134274229835e-14,0.0,0.2316899299621582,2.5589230060577393
520.0,7.641375389072152,2.5,88.0,88.0,3.656815267606243e-13,1.3414472876452872e-14,0.0,0.4651329517364502,0.1565650999546051
520.0,7.641375389072152,3.5,108.0,108.0,3.7430763437096113e-13,9.783173967951871e-14,0.0,0.46392038464546204,2.998969078063965
520.0,7.641375389072152,4.5,136.0,136.0,4.902551312951716e-13,2.2325543762806495e-14,0.0,0.8567336201667786,-1.3276433944702148
520.0,7.641375389072152,5.5,168.0,168.0,5.393506337352382e-13,1.2293493348952406e-13,0.0,0.761170506477356,0.387402206659317
520.0,7.641375389072152,6.5,228.0,228.0,4.024299281342142e-13,6.913784730444662e-14,0.0,0.5384784936904907,-0.21453772485256195
520.0,7.641375389072152,7.5,232.0,232.0,1.711379406459263e-13,9.270290821567644e-14,0.0,0.7268418669700623,-1.4575107097625732
520.0,7.641375389072152,8.5,260.0,260.0,1.2964636241933972e-13,6.734924691268462e-14,0.0,0.30265727639198303,-0.7112558484077454
520.0,7.641375389072152,9.5,296.0,296.0,5.704306959763494e-14,7.323548839772533e-14,0.0,1.2403675317764282,-1.1996105909347534
520.0,7.641375389072152,10.5,352.0,352.0,5.62324047945678e-14,9.969267131190619e-14,0.0,-2.8631949424743652,-0.7947030663490295
520.0,7.641375389072152,11.5,364.0,364.0,1.647917464889356e-13,5.594357070841919e-14,0.0,-2.2826414108276367,-0.7359398603439331
520.0,7.641375389072152,12.5,392.0,392.0,2.3201463253411337e-13,3.694519923982299e-14,0.0,-2.3088390827178955,-1.2291173934936523
520.0,7.641375389072152,13.5,412.0,412.0,2.6730287359777697e-13,3.9472340824492985e-14,0.0,-2.262763738632202,-1.088148593902588
520.0,7.641375389072152,14.5,480.0,480.0,2.550399353833564e-13,2.393515422263916e-14,0.0,-2.3043100833892822,-0.5932281017303467
520.0,7.641375389072152,15.5,484.0,484.0,2.400021673660024e-13,2.4239080483064934e-14,0.0,-2.3314409255981445,0.8111528754234314
520.0,7.641375389072152,16.5,536.0,536.0,2.2167640875144955e-13,2.6334062149138e-14,0.0,-2.5530965328216553,0.7929169535636902
520.0,7.641375389072152,17.5,544.0,544.0,1.8467736620740737e-13,8.044912202983438e-15,0.0,-2.777076244354248,-0.15831443667411804
520.0,7.641375389072152,18.5,620.0,620.0,1.7409411931797594e-13,3.867990952555454e-14,0.0,-2.932223081588745,-2.3737123012542725
520.0,7.641375389072152,19.5,616.0,616.0,1.3355084843916335e-13,2.6978134767783145e-14,0.0,-3.0404839515686035,-2.7745156288146973
520.0,7.641375389072152,20.5,628.0,628.0,9.215682787128345e-14,1.489951710533887e-14,0.0,-2.993471384048462,-2.8860671520233154
520.0,7.641375389072152,21.5,664.0,664.0,6.855745407281762e-14,8.53487621857355e-15,0.0,-3.066243886947632,-2.6671361923217773
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,44.0,44.0,1.9683632831702667e-13,4.955097639930344e-14,0.0,1.0000253915786743,-1.9963419437408447
523.0,7.596713167865263,2.5,88.0,88.0,3.3851935796804993e-13,3.690617398634099e-14,0.0,0.9761778116226196,-1.1010807752609253
523.0,7.596713167865263,3.5,108.0,108.0,5.326456542038518e-13,3.879968511534882e-14,0.0,1.0551419258117676,-1.5813006162643433
523.0,7.596713167865263,4.5,136.0,136.0,6.596314210146472e-13,6.720597303427693e-14,0.0,1.0288207530975342,-1.066756010055542
523.0,7.596713167865263,5.5,168.0,168.0,5.186507298406632e-13,2.1559926220442752e-14,0.0,0.9707517623901367,2.0106797218322754
523.0,7.596713167865263,6.5,228.0,228.0,4.750677046765851e-13,1.1978212428799079e-14,0.0,1.025038242340088,-1.026402235031128
523.0,7.596713167865263,7.5,232.0,232.0,3.685545525418454e-13,1.8148585482089673e-14,0.0,1.1602388620376587,-0.15528398752212524
523.0,7.596713167865263,8.5,260.0,260.0,3.068709620149372e-13,2.2989631631687585e-14,0.0,0.9282064437866211,-0.9213736057281494
523.0,7.596713167865263,9.5,296.0,296.0,1.2215698708714323e-13,8.77025118379006e-14,0.0,1.072141170501709,-2.5565450191497803
523.0,7.596713167865263,10.5,352.0,352.0,7.307881615914268e-14,7.293956430419347e-14,0.0,2.617248773574829,-2.4656002521514893
523.0,7.596713167865263,11.5,364.0,364.0,1.9322296350521084e-13,7.852903711132636e-14,0.0,-2.6370983123779297,-2.078723907470703
523.0,7.596713167865263,12.5,392.0,392.0,3.0898836453715137e-13,5.078290997323807e-14,0.0,-2.442476749420166,-2.186793327331543
523.0,7.596713167865263,13.5,412.0,412.0,2.9119508692496983e-13,3.79064638409217e-14,0.0,-2.371652603149414,-2.668886184692383
