snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.323181769898123,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.323181769898123,1.5,12.0,7.031357079220692e-16,6.43749915313576e-17,3.0529416835989604e-18,1.5119510824133275e-17,2.0671918488296712e-16,0.0,1.0371668338775635,1.8481942415237427,2.109348773956299,-3.1415817737579346
600.0,6.323181769898123,2.5,28.0,1.6468160673701509e-15,2.629670744837981e-16,1.7024005825232154e-17,3.3208192275572733e-17,4.609674552857181e-16,0.0,1.0382080078125,2.193124294281006,-1.068519949913025,-9.838231198955327e-05
600.0,6.323181769898123,3.5,36.0,2.129618071041524e-15,4.870693499612314e-16,4.8191157479712785e-17,1.8288003256783925e-17,1.4651206527405648e-16,0.0,1.0375460386276245,2.0560107231140137,2.3111977577209473,-3.1392390727996826
600.0,6.323181769898123,4.5,40.0,2.38287160490814e-15,6.93020751009905e-16,8.574234942444346e-17,1.2799391506661088e-17,3.510444117368623e-17,0.0,1.0377682447433472,2.0771706104278564,2.8400418758392334,-3.107652187347412
600.0,6.323181769898123,5.5,52.0,3.1249393823057402e-15,1.1017156081668157e-15,1.7750447870290356e-16,1.5723297174108416e-16,7.602527997913276e-16,0.0,1.0352351665496826,1.9708061218261719,2.2312285900115967,-3.1376192569732666
600.0,6.323181769898123,6.5,68.0,4.130756067061148e-15,1.716064080207705e-15,2.834574509538506e-16,2.3760942157042493e-16,1.271318851787928e-15,0.0,1.04165518283844,2.219024181365967,-1.2225244045257568,-0.004636657889932394
600.0,6.323181769898123,7.5,68.0,4.1821336975098045e-15,1.9955083139546057e-15,3.910614008472484e-16,1.1594895928883943e-16,4.75796241453003e-16,0.0,1.0409191846847534,2.151221752166748,-1.6596397161483765,-0.03023943305015564
600.0,6.323181769898123,8.5,84.0,5.240237937857457e-15,2.8227798424912568e-15,6.689047075306472e-16,2.999681321561299e-16,8.347722211377407e-16,0.0,1.0357983112335205,2.02908992767334,2.5182580947875977,-3.108377456665039
600.0,6.323181769898123,9.5,92.0,5.836324668993462e-15,3.51337051028921e-15,9.48962269017969e-16,5.044617884947976e-16,1.1819388898125838e-15,0.0,1.0330052375793457,1.9990975856781006,2.484856605529785,-3.101030111312866
600.0,6.323181769898123,10.5,100.0,6.4496908722534545e-15,4.238286475978203e-15,1.1434691331772154e-15,3.6971786330564536e-16,1.2480365937547666e-15,0.0,1.0441912412643433,2.1685986518859863,-1.8647382259368896,-0.04685097932815552
600.0,6.323181769898123,11.5,108.0,7.099858115972805e-15,5.076591298478924e-15,1.5395153156623251e-15,4.0717056386412176e-16,2.7540966279051833e-16,0.0,1.0406780242919922,2.1064414978027344,-2.88615083694458,-0.4377007484436035
600.0,6.323181769898123,12.5,120.0,8.058859501491704e-15,6.232735229142081e-15,2.0979828567282346e-15,7.682511173623312e-16,6.401605498451795e-16,0.0,1.0367035865783691,2.0606110095977783,2.9259252548217773,-2.8492720127105713
600.0,6.323181769898123,13.5,124.0,8.520297640167429e-15,7.07186744747637e-15,2.5753599172057487e-15,1.0416282032456631e-15,8.838827755201141e-16,0.0,1.0350571870803833,2.0490925312042236,2.888878583908081,-2.8503782749176025
600.0,6.323181769898123,14.5,156.0,1.0984165711865577e-14,9.718441649682368e-15,3.691942599519146e-15,1.2738583682315281e-15,4.203113546738493e-16,0.0,1.040944218635559,2.098607063293457,-3.0384466648101807,-1.2180920839309692
600.0,6.323181769898123,15.5,132.0,9.516325376909655e-15,8.884393016555516e-15,3.495276661013723e-15,1.2235311834592903e-15,1.3791376845539447e-15,0.0,1.0496206283569336,2.1597979068756104,-2.5949697494506836,-0.3628871440887451
600.0,6.323181769898123,16.5,172.0,1.2780397332340203e-14,1.2672154736610774e-14,5.513565676263754e-15,2.4155154049522947e-15,1.369967237106226e-15,0.0,1.037352442741394,2.0685324668884277,3.032883882522583,-2.513197422027588
600.0,6.323181769898123,17.5,164.0,1.2577160246976006e-14,1.3162750187663296e-14,6.114323231605607e-15,2.957132515816015e-15,1.969713969340664e-15,0.0,1.034091591835022,2.0510096549987793,2.969350576400757,-2.6062655448913574
600.0,6.323181769898123,18.5,188.0,1.4884198474424126e-14,1.633328186524967e-14,7.969591164398667e-15,3.972277292558665e-15,2.4730636934423856e-15,0.0,1.0338019132614136,2.0520877838134766,2.989514112472534,-2.539412498474121
600.0,6.323181769898123,19.5,180.0,1.4545798647600666e-14,1.6405564645041626e-14,7.837141340602529e-15,3.428399998895261e-15,3.3576527805269993e-15,0.0,1.0626543760299683,2.204385757446289,-2.5581071376800537,-0.4860733151435852
600.0,6.323181769898123,20.5,200.0,1.6896930022151056e-14,2.011273791468128e-14,1.0706985169764941e-14,5.747423126626136e-15,3.563704848496406e-15,0.0,1.0352805852890015,2.0602853298187256,3.030406951904297,-2.4098856449127197
600.0,6.323181769898123,21.5,204.0,1.7875974748300834e-14,2.2106992469466935e-14,1.2290430290015718e-14,6.882426210111802e-15,4.33620303829717e-15,0.0,1.0339895486831665,2.056356906890869,3.027155876159668,-2.392436981201172
600.0,6.323181769898123,22.5,196.0,1.775968898310408e-14,2.2671189255296483e-14,1.301345554376781e-14,7.414532142878951e-15,4.515435835053364e-15,0.0,1.0347458124160767,2.0609803199768066,3.049126625061035,-2.3299553394317627
600.0,6.323181769898123,23.5,228.0,2.1002481776833705e-14,2.724082760577454e-14,1.5426820738501267e-14,8.046593901316998e-15,4.578692703096236e-15,0.0,1.0611225366592407,2.168321371078491,-2.8611974716186523,-1.2289550304412842
