snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,2.4961592771357526e-17,1.066867336162332e-18,2.5117574466219665e-20,0.0,2.230280876159668,1.440728783607483
520.0,7.641375389072152,2.5,28.0,5.824347437830829e-17,4.344143110775319e-18,1.2309100505299942e-19,0.0,2.230161190032959,1.2527154684066772
520.0,7.641375389072152,3.5,36.0,7.488374102958444e-17,8.001332701475203e-18,3.6870136351696685e-19,0.0,2.230245590209961,1.333420991897583
520.0,7.641375389072152,4.5,40.0,8.320253101390773e-17,1.1312243929194142e-17,6.461928982836759e-19,0.0,2.2302260398864746,1.3216851949691772
520.0,7.641375389072152,5.5,52.0,1.0816015828140867e-16,1.7819648186552703e-17,1.378830143172495e-18,0.0,2.2305381298065186,1.379127860069275
520.0,7.641375389072152,6.5,68.0,1.4142886620992391e-16,2.7543601025065423e-17,1.9603531326177763e-18,0.0,2.229778289794922,1.2364659309387207
520.0,7.641375389072152,7.5,68.0,1.4141551220611486e-16,3.1652943176941166e-17,2.7685092561761947e-18,0.0,2.2298803329467773,1.2795021533966064
520.0,7.641375389072152,8.5,84.0,1.7467070069469853e-16,4.4098891101655243e-17,4.9194755885605985e-18,0.0,2.230517625808716,1.3491084575653076
520.0,7.641375389072152,9.5,92.0,1.9127303615180545e-16,5.397583135693174e-17,6.937921974289761e-18,0.0,2.2308807373046875,1.3649587631225586
520.0,7.641375389072152,10.5,100.0,2.078337611153785e-16,6.436433758622004e-17,7.660731090971262e-18,0.0,2.2295103073120117,1.2681351900100708
520.0,7.641375389072152,11.5,108.0,2.2439168028231377e-16,7.562300621947724e-17,1.0432199481557759e-17,0.0,2.2299747467041016,1.3062773942947388
520.0,7.641375389072152,12.5,120.0,2.492276392078755e-16,9.08667209822451e-17,1.4205227612447195e-17,0.0,2.230504035949707,1.3326658010482788
520.0,7.641375389072152,13.5,124.0,2.57403068865876e-16,1.0083323245777438e-16,1.7134034059317592e-17,0.0,2.230743646621704,1.3390209674835205
520.0,7.641375389072152,14.5,156.0,3.2356851814505365e-16,1.35655518155623e-16,2.3492979365266384e-17,0.0,2.22999906539917,1.3106021881103516
520.0,7.641375389072152,15.5,132.0,2.7351866478077713e-16,1.2154665945238403e-16,2.1111542951341817e-17,0.0,2.2289230823516846,1.275673270225525
520.0,7.641375389072152,16.5,172.0,3.561309527967915e-16,1.678111046520773e-16,3.3800398394996185e-17,0.0,2.2305824756622314,1.3298897743225098
520.0,7.641375389072152,17.5,164.0,3.3917650309653303e-16,1.6892539190420914e-16,3.66358794127333e-17,0.0,2.231093645095825,1.3403534889221191
520.0,7.641375389072152,18.5,188.0,3.882569007828974e-16,2.0329106256752511e-16,4.628030161211677e-17,0.0,2.231167793273926,1.3393101692199707
520.0,7.641375389072152,19.5,180.0,3.7080095463830516e-16,2.0169484538628893e-16,4.124206156675161e-17,0.0,2.227119207382202,1.2453787326812744
520.0,7.641375389072152,20.5,200.0,4.1158439990851765e-16,2.350878825911949e-16,5.829452157763412e-17,0.0,2.231182336807251,1.3377442359924316
520.0,7.641375389072152,21.5,204.0,4.1892547564369306e-16,2.4923634706096084e-16,6.46982002908772e-17,0.0,2.231472969055176,1.3405330181121826
520.0,7.641375389072152,22.5,196.0,4.0153832445628563e-16,2.4753130019708513e-16,6.62020254431009e-17,0.0,2.2313764095306396,1.3370146751403809
520.0,7.641375389072152,23.5,228.0,4.652635512237624e-16,2.944964354497073e-16,7.277861359531766e-17,0.0,2.2272181510925293,1.267780065536499
520.0,7.641375389072152,24.5,252.0,5.131417179903973e-16,3.3841357350820817e-16,9.61562064212843e-17,0.0,2.2311084270477295,1.3319509029388428
520.0,7.641375389072152,25.5,252.0,5.112087358652038e-16,3.4827836719887874e-16,1.0186738025792989e-16,0.0,2.230992317199707,1.3293185234069824
520.0,7.641375389072152,26.5,244.0,4.931238412874957e-16,3.462637537431054e-16,1.055018902771894e-16,0.0,2.231569290161133,1.3356280326843262
520.0,7.641375389072152,27.5,260.0,5.223146083531286e-16,3.7373548678431917e-16,1.0643056356225985e-16,0.0,2.227078914642334,1.277340054512024
520.0,7.641375389072152,28.5,280.0,5.604216147984747e-16,4.135458948707172e-16,1.2889809939931115e-16,0.0,2.2300565242767334,1.3173086643218994
520.0,7.641375389072152,29.5,300.0,5.976512009895837e-16,4.539469254610754e-16,1.507296228774203e-16,0.0,2.2320947647094727,1.3392887115478516
520.0,7.641375389072152,30.5,284.0,5.624087011531741e-16,4.371538088490033e-16,1.4798671370053052e-16,0.0,2.2319393157958984,1.336511254310608
520.0,7.641375389072152,31.5,292.0,5.731006921672467e-16,4.502838701048743e-16,1.4069746133485167e-16,0.0,2.226048231124878,1.2726378440856934
520.0,7.641375389072152,32.5,316.0,6.17409462094152e-16,4.986308992635496e-16,1.721673705745695e-16,0.0,2.2306628227233887,1.3235158920288086
520.0,7.641375389072152,33.5,324.0,6.286495893042165e-16,5.184981935519237e-16,1.8541406374478346e-16,0.0,2.2316713333129883,1.3325263261795044
520.0,7.641375389072152,34.5,324.0,6.238378068891017e-16,5.241389644435784e-16,1.9184973591286178e-16,0.0,2.2320542335510254,1.3352255821228027
520.0,7.641375389072152,35.5,348.0,6.627958167486423e-16,5.624947460248973e-16,1.9747965878027837e-16,0.0,2.228005886077881,1.2983015775680542
520.0,7.641375389072152,36.5,352.0,6.646195845631993e-16,5.738333439211721e-16,2.0770634221135655e-16,0.0,2.228949546813965,1.3077690601348877
520.0,7.641375389072152,37.5,372.0,6.965933842561546e-16,6.134364739207466e-16,2.3438737522237765e-16,0.0,2.231720209121704,1.331350326538086
520.0,7.641375389072152,38.5,372.0,6.891266300074303e-16,6.15185860456475e-16,2.374818537086043e-16,0.0,2.2314200401306152,1.3285188674926758
520.0,7.641375389072152,39.5,340.0,6.224248500539631e-16,5.605343231034597e-16,2.1327060248341154e-16,0.0,2.229257583618164,1.3109309673309326
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,2.7539421741040232e-17,1.4197547787217396e-18,3.916986058074823e-20,0.0,2.1687111854553223,1.3732774257659912
523.0,7.596713167865263,2.5,28.0,6.428508907583229e-17,5.7827668397473596e-18,2.019520733278667e-19,0.0,2.1684658527374268,1.104121446609497
523.0,7.596713167865263,3.5,36.0,8.270420432568128e-17,1.065681551544913e-17,5.897410565912548e-19,0.0,2.1686387062072754,1.2162609100341797
523.0,7.596713167865263,4.5,40.0,9.1962525902077e-17,1.507558836750087e-17,1.0376807091591375e-18,0.0,2.1685988903045654,1.1995993852615356
523.0,7.596713167865263,5.5,52.0,1.196616017731461e-16,2.3768760471825667e-17,2.181828085248966e-18,0.0,2.169238567352295,1.2821990251541138
523.0,7.596713167865263,6.5,68.0,1.5665297318272968e-16,3.6762937283642854e-17,3.2431557824988697e-18,0.0,2.1676816940307617,1.0822852849960327
523.0,7.596713167865263,7.5,68.0,1.5684699666721012e-16,4.229377657401243e-17,4.515923714323936e-18,0.0,2.167891025543213,1.1406338214874268
523.0,7.596713167865263,8.5,84.0,1.940224521590337e-16,5.900778831682246e-17,7.865626670047016e-18,0.0,2.1691946983337402,1.2386610507965088
523.0,7.596713167865263,9.5,92.0,2.1283693327190344e-16,7.233320821274268e-17,1.1060784630034522e-17,0.0,2.1699347496032715,1.2615782022476196
523.0,7.596713167865263,10.5,100.0,2.3167576658200673e-16,8.633065832093284e-17,1.258814701119959e-17,0.0,2.167140245437622,1.1251624822616577
523.0,7.596713167865263,11.5,108.0,2.5062106134566805e-16,1.0160292846944764e-16,1.695187879574392e-17,0.0,2.1680870056152344,1.1778796911239624
523.0,7.596713167865263,12.5,120.0,2.789561398461169e-16,1.223091254868212e-16,2.293409782449632e-17,0.0,2.169163227081299,1.215144157409668
523.0,7.596713167865263,13.5,124.0,2.8876073149904265e-16,1.3597252071684127e-16,2.7654430024537618e-17,0.0,2.1696484088897705,1.2242376804351807
523.0,7.596713167865263,14.5,156.0,3.638742633027943e-16,1.8322239059573983e-16,3.8295753370104095e-17,0.0,2.1681406497955322,1.1840342283248901
523.0,7.596713167865263,15.5,132.0,3.083132430067669e-16,1.6439550443396732e-16,3.485308176279607e-17,0.0,2.165964365005493,1.1354178190231323
523.0,7.596713167865263,16.5,172.0,4.025361557379308e-16,2.2756814517806273e-16,5.495124602351703e-17,0.0,2.1693170070648193,1.211167335510254
523.0,7.596713167865263,17.5,164.0,3.844725428630224e-16,2.2960602488109393e-16,5.948670704220359e-17,0.0,2.1703405380249023,1.2260690927505493
523.0,7.596713167865263,18.5,188.0,4.41365469529048e-16,2.7690033785128027e-16,7.529485315105747e-17,0.0,2.1704869270324707,1.224650263786316
523.0,7.596713167865263,19.5,180.0,4.224355537073353e-16,2.7478018644900177e-16,6.923998719530134e-17,0.0,2.162381887435913,1.0945152044296265
523.0,7.596713167865263,20.5,200.0,4.705157378318903e-16,3.2149379023926327e-16,9.51656387128734e-17,0.0,2.1705026626586914,1.2222638130187988
523.0,7.596713167865263,21.5,204.0,4.803356025476462e-16,3.4158209691788937e-16,1.0570019245214273e-16,0.0,2.171072483062744,1.2262605428695679
523.0,7.596713167865263,22.5,196.0,4.616674199066351e-16,3.3986907437584665e-16,1.084103691070588e-16,0.0,2.170877456665039,1.2213380336761475
523.0,7.596713167865263,23.5,228.0,5.359261631177092e-16,4.0429979104727317e-16,1.2189942380499894e-16,0.0,2.1626510620117188,1.1249547004699707
523.0,7.596713167865263,24.5,252.0,5.933101041953462e-16,4.66319642323386e-16,1.5806170294197097e-16,0.0,2.170342445373535,1.2141108512878418
523.0,7.596713167865263,25.5,252.0,5.928025197017041e-16,4.807686389551418e-16,1.6776188397027086e-16,0.0,2.170095920562744,1.2102752923965454
523.0,7.596713167865263,26.5,244.0,5.734799511693798e-16,4.789010893383626e-16,1.7359314408103587e-16,0.0,2.1712069511413574,1.2191312313079834
523.0,7.596713167865263,27.5,260.0,6.082248720888368e-16,5.164961040665376e-16,1.7834581903341723e-16,0.0,2.162478446960449,1.1383187770843506
523.0,7.596713167865263,28.5,280.0,6.5474810377722e-16,5.730954566029756e-16,2.134326292290994e-16,0.0,2.1682703495025635,1.193385362625122
523.0,7.596713167865263,29.5,300.0,7.004081559527919e-16,6.304798966634649e-16,2.480969988526294e-16,0.0,2.172207832336426,1.2243561744689941
523.0,7.596713167865263,30.5,284.0,6.605963898219781e-16,6.077152974405053e-16,2.437751692031564e-16,0.0,2.1718668937683105,1.2202411890029907
523.0,7.596713167865263,31.5,292.0,6.732084986483579e-16,6.245788325669058e-16,2.3621639867814713e-16,0.0,2.160571336746216,1.131929874420166
523.0,7.596713167865263,32.5,316.0,7.276532353990225e-16,6.935596263416456e-16,2.8440453331641657e-16,0.0,2.1694700717926025,1.202352523803711
