snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,5.237582026786111e-22,1.0913524250979894e-18,2.496208783895414e-20,2.554589123577875e-19,0.0,2.262913227081299,1.4649907350540161,0.8781673908233643
520.0,7.641375389072152,2.5,28.0,3.590862932720151e-21,4.444104355147802e-18,1.2061390637804483e-19,5.679113444023029e-19,0.0,2.262871742248535,1.3097440004348755,-2.2599120140075684
520.0,7.641375389072152,3.5,36.0,9.061043866450269e-21,8.185984482616675e-18,3.6397572879224767e-19,2.757678766065836e-19,0.0,2.263028144836426,1.3771227598190308,0.8559920787811279
520.0,7.641375389072152,4.5,40.0,1.5436642643072866e-20,1.1574343746302328e-17,6.372739542824776e-19,1.0269390436178726e-19,0.0,2.2631168365478516,1.3676197528839111,0.7409307956695557
520.0,7.641375389072152,5.5,52.0,2.8178482715638554e-20,1.8234068329375973e-17,1.365606018346324e-18,2.4438294327618717e-18,0.0,2.2635083198547363,1.41510808467865,0.8650013208389282
520.0,7.641375389072152,6.5,68.0,4.4553792792612976e-20,2.8190020799509114e-17,1.9168895331714508e-18,4.123509829237563e-18,0.0,2.263047695159912,1.2973557710647583,-2.2463605403900146
520.0,7.641375389072152,7.5,68.0,5.257136689557964e-20,3.24007704728205e-17,2.719137267700905e-18,1.931789123955062e-18,0.0,2.263324737548828,1.3337602615356445,-2.2087392807006836
520.0,7.641375389072152,8.5,84.0,7.543103303606248e-20,4.514655168618879e-17,4.8611382143143744e-18,3.67236014647716e-18,0.0,2.2640697956085205,1.3915281295776367,0.8268021941184998
520.0,7.641375389072152,9.5,92.0,8.821029495341052e-20,5.526843327847762e-17,6.863353288827048e-18,6.203142805230606e-18,0.0,2.2646284103393555,1.4048676490783691,0.8313251733779907
520.0,7.641375389072152,10.5,100.0,7.138931224085474e-20,6.592982853605313e-17,7.512271516291223e-18,5.65295354695831e-18,0.0,2.2637887001037598,1.3261022567749023,-2.1914772987365723
520.0,7.641375389072152,11.5,108.0,6.115773429842735e-20,7.747926835565333e-17,1.0267595247454332e-17,8.409012124698096e-19,0.0,2.264478921890259,1.358156442642212,-1.5170961618423462
520.0,7.641375389072152,12.5,120.0,3.6888736571087416e-20,9.311975819648358e-17,1.4012652989246327e-17,4.636353537214314e-18,0.0,2.2652578353881836,1.3803292512893677,0.7029566764831543
520.0,7.641375389072152,13.5,124.0,1.963354219807812e-20,1.0336426435149972e-16,1.69089431860395e-17,6.606717195060021e-18,0.0,2.2658333778381348,1.3861634731292725,0.7206180691719055
520.0,7.641375389072152,14.5,156.0,1.7441964000505527e-19,1.3912379839286934e-16,2.3120553425610503e-17,1.7998048058015605e-18,0.0,2.2656803131103516,1.364127278327942,-0.19077041745185852
520.0,7.641375389072152,15.5,132.0,3.1966376677535855e-19,1.2471701203971497e-16,2.0696973787834236e-17,7.008413471308635e-18,0.0,2.2652809619903564,1.3369275331497192,-2.0366482734680176
