snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,9.672671648064863e-19,2.272027635757234e-20,3.0602674821163176e-22,0.0,3.135040044784546,3.1158151626586914
520.0,7.641375389072152,2.5,28.0,2.2595615096307308e-18,9.273034139948844e-20,3.6256721150409636e-21,0.0,3.1350479125976562,3.1313555240631104
520.0,7.641375389072152,3.5,36.0,2.910311114971098e-18,1.711952790012212e-19,8.195593743989339e-21,0.0,3.135042428970337,3.1276605129241943
520.0,7.641375389072152,4.5,40.0,3.240654998376041e-18,2.4284780620771703e-19,1.512547705202741e-20,0.0,3.1350436210632324,3.128342628479004
520.0,7.641375389072152,5.5,52.0,4.2240614909092024e-18,3.8359609718064553e-19,2.5067823329160578e-20,0.0,3.1350231170654297,3.1242101192474365
520.0,7.641375389072152,6.5,68.0,5.54274496522542e-18,5.980327034216734e-19,6.18506316839547e-20,0.0,3.13507342338562,3.1318881511688232
520.0,7.641375389072152,7.5,68.0,5.5640316311088595e-18,6.910212864592202e-19,7.710736061294723e-20,0.0,3.1350669860839844,3.130364418029785
520.0,7.641375389072152,8.5,84.0,6.90263402816566e-18,9.664440805584508e-19,1.0584139012157542e-19,0.0,3.1350245475769043,3.126652479171753
520.0,7.641375389072152,9.5,92.0,7.598401697573307e-18,1.1903356711700987e-18,1.4010694201427481e-19,0.0,3.1349995136260986,3.1254374980926514
520.0,7.641375389072152,10.5,100.0,8.305994327427706e-18,1.4405807790135975e-18,2.283272277472564e-19,0.0,3.135091781616211,3.130796194076538
520.0,7.641375389072152,11.5,108.0,9.022966358247844e-18,1.7047058853444327e-18,2.762276172961811e-19,0.0,3.135061025619507,3.1291563510894775
520.0,7.641375389072152,12.5,120.0,1.0090405715619961e-17,2.0644617197249466e-18,3.440141524729021e-19,0.0,3.1350250244140625,3.1277127265930176
520.0,7.641375389072152,13.5,124.0,1.0500540061297228e-17,2.314103235770339e-18,4.0993282785733273e-19,0.0,3.135007858276367,3.127302646636963
520.0,7.641375389072152,14.5,156.0,1.332059977437935e-17,3.1650721203361016e-18,6.408319873495911e-19,0.0,3.1350595951080322,3.128932476043701
520.0,7.641375389072152,15.5,132.0,1.1368054827698954e-17,2.888359448840822e-18,6.628963598970984e-19,0.0,3.135134696960449,3.1305103302001953
520.0,7.641375389072152,16.5,172.0,1.493740782685611e-17,4.012952838448655e-18,8.871926118024435e-19,0.0,3.1350197792053223,3.1278908252716064
520.0,7.641375389072152,17.5,164.0,1.438135551240204e-17,4.0940577750268224e-18,9.393606854458925e-19,0.0,3.134981870651245,3.1272218227386475
520.0,7.641375389072152,18.5,188.0,1.6657007132512998e-17,5.008754045185289e-18,1.2182095096551326e-18,0.0,3.134974956512451,3.1272759437561035
520.0,7.641375389072152,19.5,180.0,1.6148855192970647e-17,5.1618736978766616e-18,1.5519857440745363e-18,0.0,3.135266065597534,3.131608486175537
520.0,7.641375389072152,20.5,200.0,1.8111366011671082e-17,6.0040817234244004e-18,1.6217467209444006e-18,0.0,3.1349754333496094,3.1274125576019287
520.0,7.641375389072152,21.5,204.0,1.869366807568391e-17,6.482979563508055e-18,1.8235121946165108e-18,0.0,3.134950637817383,3.1272032260894775
520.0,7.641375389072152,22.5,196.0,1.8176738095481148e-17,6.570827885351545e-18,1.9425744638965416e-18,0.0,3.1349551677703857,3.127410411834717
520.0,7.641375389072152,23.5,228.0,2.1474343238260546e-17,8.167867146129363e-18,2.8390678938496136e-18,0.0,3.135268211364746,3.1308178901672363
520.0,7.641375389072152,24.5,252.0,2.4014353510337327e-17,9.41737846278656e-18,3.064359430825808e-18,0.0,3.134979248046875,3.1277780532836914
520.0,7.641375389072152,25.5,252.0,2.4384616096128313e-17,9.951204250199606e-18,3.3890236287973022e-18,0.0,3.1349833011627197,3.1278939247131348
520.0,7.641375389072152,26.5,244.0,2.39578008262183e-17,1.011824139878272e-17,3.530235953651491e-18,0.0,3.13493275642395,3.1274733543395996
520.0,7.641375389072152,27.5,260.0,2.6043680670197345e-17,1.1517025352952416e-17,4.604841774059341e-18,0.0,3.1352925300598145,3.1304657459259033
520.0,7.641375389072152,28.5,280.0,2.8431964511235974e-17,1.2889580261948812e-17,5.003446949955896e-18,0.0,3.135061025619507,3.1286041736602783
520.0,7.641375389072152,29.5,300.0,3.094099852373387e-17,1.4415932709032447e-17,5.5565357339495136e-18,0.0,3.1348917484283447,3.127300977706909
520.0,7.641375389072152,30.5,284.0,2.983019422274866e-17,1.4339489543159053e-17,5.734985320489482e-18,0.0,3.134892225265503,3.127399444580078
