snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,4.7469258716215745e-20,2.7250606055753762e-21,5.671009991176132e-23,0.0,2.3572068214416504,1.4246606826782227
520.0,7.641375389072152,2.5,28.0,1.1076959113396004e-19,1.1098825085102319e-20,2.8087416456985985e-22,0.0,2.3572940826416016,1.2160319089889526
520.0,7.641375389072152,3.5,36.0,1.424333670488481e-19,2.0448225876020162e-20,8.366637357131178e-22,0.0,2.3575334548950195,1.3050873279571533
520.0,7.641375389072152,4.5,40.0,1.5827863206776076e-19,2.8920532295217913e-20,1.4673794507990417e-21,0.0,2.357774019241333,1.292144775390625
520.0,7.641375389072152,5.5,52.0,2.0579233881720416e-19,4.557352302683753e-20,3.121013104758477e-21,0.0,2.3582165241241455,1.355989694595337
520.0,7.641375389072152,6.5,68.0,2.691505092543418e-19,7.050338165196926e-20,4.47828184722968e-21,0.0,2.3583078384399414,1.1986018419265747
520.0,7.641375389072152,7.5,68.0,2.691917131886046e-19,8.10740300172764e-20,6.3036810980892835e-21,0.0,2.358806610107422,1.2459335327148438
520.0,7.641375389072152,8.5,84.0,3.325875332683105e-19,1.1301306276235865e-19,1.1151741114387388e-20,0.0,2.35958194732666,1.322944164276123
520.0,7.641375389072152,9.5,92.0,3.643190087464572e-19,1.3843210592391816e-19,1.5713262649754233e-20,0.0,2.360342264175415,1.3406634330749512
520.0,7.641375389072152,10.5,100.0,3.959970535269118e-19,1.6532458971326435e-19,1.7452767904697588e-20,0.0,2.360487937927246,1.23404860496521
520.0,7.641375389072152,11.5,108.0,4.277039720806233e-19,1.9441805877946193e-19,2.3702860718352096e-20,0.0,2.361405611038208,1.2761986255645752
520.0,7.641375389072152,12.5,120.0,4.752368720052173e-19,2.3383997034694875e-19,3.222065913115411e-20,0.0,2.362431764602661,1.3055460453033447
520.0,7.641375389072152,13.5,124.0,4.910413983789618e-19,2.5980410719964884e-19,3.884519720872504e-20,0.0,2.363429069519043,1.3128353357315063
520.0,7.641375389072152,14.5,156.0,6.175662727908252e-19,3.5017119820460466e-19,5.333961236319441e-20,0.0,2.3642349243164062,1.2819560766220093
520.0,7.641375389072152,15.5,132.0,5.222960559327599e-19,3.143907807217889e-19,4.802494785039484e-20,0.0,2.3649749755859375,1.2441513538360596
520.0,7.641375389072152,16.5,172.0,6.804148353471448e-19,4.344875593131969e-19,7.662223317003819e-20,0.0,2.366741895675659,1.3040190935134888
520.0,7.641375389072152,17.5,164.0,6.484044966049912e-19,4.381113732151014e-19,8.298160046217807e-20,0.0,2.3682684898376465,1.3160045146942139
520.0,7.641375389072152,18.5,188.0,7.426866462213618e-19,5.283044591961816e-19,1.0480023537737821e-19,0.0,2.3697569370269775,1.315474271774292
520.0,7.641375389072152,19.5,180.0,7.097377159779019e-19,5.263504442407236e-19,9.384075382307136e-20,0.0,2.370173454284668,1.2143504619598389
520.0,7.641375389072152,20.5,200.0,7.883221489171241e-19,6.136607756008201e-19,1.3190521086265633e-19,0.0,2.3729822635650635,1.315272569656372
520.0,7.641375389072152,21.5,204.0,8.029482014119219e-19,6.521188085462929e-19,1.4630479737524553e-19,0.0,2.3748748302459717,1.3191630840301514
520.0,7.641375389072152,22.5,196.0,7.701639835079366e-19,6.493335575830989e-19,1.4964929040384996e-19,0.0,2.3767054080963135,1.3163527250289917
520.0,7.641375389072152,23.5,228.0,8.931251053469801e-19,7.765818542335415e-19,1.648787011170145e-19,0.0,2.3779101371765137,1.24362313747406
520.0,7.641375389072152,24.5,252.0,9.858289943545996e-19,8.932036791645444e-19,2.170752744203661e-19,0.0,2.381086587905884,1.3137180805206299
520.0,7.641375389072152,25.5,252.0,9.83032503498711e-19,9.224823403742531e-19,2.2975506553130126e-19,0.0,2.3836512565612793,1.3125195503234863
520.0,7.641375389072152,26.5,244.0,9.491287483344235e-19,9.200115760631738e-19,2.3765844467350136e-19,0.0,2.3863749504089355,1.320914387702942
520.0,7.641375389072152,27.5,260.0,1.0065970179939685e-18,1.0000221261847203e-18,2.397585419568666e-19,0.0,2.3888282775878906,1.2630996704101562
520.0,7.641375389072152,28.5,280.0,1.0810677783493879e-18,1.1086822027712748e-18,2.896767818296115e-19,0.0,2.392232656478882,1.3070240020751953
