snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,6.420848141068662e-22,8.59013614272198e-23,2.3200949943922664e-24,0.0,-2.937366008758545,-2.634364128112793
520.0,7.641375389072152,2.5,28.0,1.5062989246849394e-21,3.5126552476634905e-22,2.4637164047458886e-23,0.0,-2.937995195388794,-2.924555540084839
520.0,7.641375389072152,3.5,36.0,1.9527341173934905e-21,6.497107686575384e-22,5.685049502728636e-23,0.0,-2.9379968643188477,-2.8502206802368164
520.0,7.641375389072152,4.5,40.0,2.1914964892532975e-21,9.241424733894283e-22,1.0467043549479553e-22,0.0,-2.938429832458496,-2.8639659881591797
520.0,7.641375389072152,5.5,52.0,2.883910679600362e-21,1.4629060834027866e-21,1.7841762894839401e-22,0.0,-2.937767744064331,-2.7840824127197266
520.0,7.641375389072152,6.5,68.0,3.831678715827136e-21,2.296745693878345e-21,4.224607773851245e-22,0.0,-2.9410483837127686,-2.9363200664520264
520.0,7.641375389072152,7.5,68.0,3.89913836439639e-21,2.6654972589530654e-21,5.319691656560172e-22,0.0,-2.941343069076538,-2.905609130859375
520.0,7.641375389072152,8.5,84.0,4.909110948142648e-21,3.738873486534155e-21,7.477055033236411e-22,0.0,-2.9397976398468018,-2.832399368286133
520.0,7.641375389072152,9.5,92.0,5.498331327847846e-21,4.627429942488696e-21,1.0008483826587358e-21,0.0,-2.9393198490142822,-2.8094749450683594
520.0,7.641375389072152,10.5,100.0,6.132740487481589e-21,5.668021369951132e-21,1.5895759463948277e-21,0.0,-2.945110321044922,-2.9156548976898193
520.0,7.641375389072152,11.5,108.0,6.792928359320505e-21,6.744261192855605e-21,1.9473077413266192e-21,0.0,-2.9444494247436523,-2.8833155632019043
520.0,7.641375389072152,12.5,120.0,7.757852315322085e-21,8.216232950808389e-21,2.456064460331084e-21,0.0,-2.9436209201812744,-2.855546236038208
520.0,7.641375389072152,13.5,124.0,8.258916163582514e-21,9.280766332955903e-21,2.9484663894040367e-21,0.0,-2.9438729286193848,-2.8482789993286133
520.0,7.641375389072152,14.5,156.0,1.0768728352704018e-20,1.28601616469697e-20,4.5975706520747976e-21,0.0,-2.9478464126586914,-2.8810956478118896
520.0,7.641375389072152,15.5,132.0,9.45456777273027e-21,1.1907742350274335e-20,4.7493491702522474e-21,0.0,-2.9529218673706055,-2.912975549697876
520.0,7.641375389072152,16.5,172.0,1.2722444949023307e-20,1.6610663395186595e-20,6.483315511271234e-21,0.0,-2.948481798171997,-2.8625054359436035
520.0,7.641375389072152,17.5,164.0,1.2602596656463316e-20,1.7111467674517115e-20,6.938076359869e-21,0.0,-2.9480903148651123,-2.850536823272705
520.0,7.641375389072152,18.5,188.0,1.5046179466618025e-20,2.1190813542253105e-20,9.064590990415868e-21,0.0,-2.9493513107299805,-2.8527541160583496
520.0,7.641375389072152,19.5,180.0,1.5237421362418298e-20,2.2524805222154897e-20,1.1421858120561182e-20,0.0,-2.9651126861572266,-2.938253879547119
520.0,7.641375389072152,20.5,200.0,1.7420292837808918e-20,2.6089572628176565e-20,1.226293354101557e-20,0.0,-2.952676773071289,-2.857717752456665
520.0,7.641375389072152,21.5,204.0,1.8565611637593815e-20,2.8535913382054537e-20,1.392295012108744e-20,0.0,-2.9532315731048584,-2.8548836708068848
520.0,7.641375389072152,22.5,196.0,1.8647964576156858e-20,2.934832443352221e-20,1.4950032552221398e-20,0.0,-2.955204486846924,-2.8601601123809814
520.0,7.641375389072152,23.5,228.0,2.318928953664955e-20,3.780079867207175e-20,2.177179318165842e-20,0.0,-2.971574068069458,-2.9266326427459717
520.0,7.641375389072152,24.5,252.0,2.6491630417682783e-20,4.3537095024246584e-20,2.4057461669627243e-20,0.0,-2.960232973098755,-2.8702211380004883
520.0,7.641375389072152,25.5,252.0,2.796590376056096e-20,4.6861483615987475e-20,2.6884529457466675e-20,0.0,-2.962437629699707,-2.8734238147735596
520.0,7.641375389072152,26.5,244.0,2.843296030744652e-20,4.835198725454257e-20,2.8362555923325683e-20,0.0,-2.9621124267578125,-2.8667616844177246
520.0,7.641375389072152,27.5,260.0,3.2887644561122815e-20,5.745992674695462e-20,3.7153150941737514e-20,0.0,-2.9801549911499023,-2.925307035446167
520.0,7.641375389072152,28.5,280.0,3.6771761600245054e-20,6.459350649886644e-20,4.111036787659499e-20,0.0,-2.972071409225464,-2.8914201259613037
520.0,7.641375389072152,29.5,300.0,4.120777289782782e-20,7.295157675564984e-20,4.64925112418788e-20,0.0,-2.966979742050171,-2.869253158569336
520.0,7.641375389072152,30.5,284.0,4.1384676457814795e-20,7.41267264870387e-20,4.858182562291714e-20,0.0,-2.9691202640533447,-2.8719911575317383
520.0,7.641375389072152,31.5,292.0,4.730729287486874e-20,8.667200441305477e-20,6.200347265768002e-20,0.0,-2.991663694381714,-2.9333484172821045
