snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,2.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,3.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,5.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,6.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,7.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,8.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,9.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,10.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,11.5,108.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,12.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,13.5,124.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,14.5,156.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,15.5,132.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,16.5,172.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,17.5,164.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,18.5,188.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,19.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,20.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,21.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,22.5,196.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,23.5,228.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,24.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,25.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,26.5,244.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,27.5,260.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,28.5,280.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,29.5,300.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,30.5,284.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,31.5,292.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,32.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,33.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,34.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,35.5,348.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,36.5,352.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,37.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,38.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,39.5,340.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,3.499345980036886e-21,7.532274823886244e-23,1.313957785053215e-24,0.0,1.2557209730148315,-0.9624891877174377
523.0,7.596713167865263,2.5,28.0,8.172986315105033e-21,3.073001134074361e-22,1.0241695538033416e-23,0.0,1.2559603452682495,-0.5182029008865356
523.0,7.596713167865263,3.5,36.0,1.0523672865060915e-20,5.672705500902917e-22,2.5449002178191164e-23,0.0,1.2557910680770874,-0.6599400043487549
523.0,7.596713167865263,4.5,40.0,1.1713968802859816e-20,8.044194481584849e-22,4.6103651006308915e-23,0.0,1.2558296918869019,-0.635784387588501
523.0,7.596713167865263,5.5,52.0,1.5261986364789135e-20,1.2709015913677231e-21,8.553753613804528e-23,0.0,1.2551966905593872,-0.7692336440086365
523.0,7.596713167865263,6.5,68.0,2.0014639815917786e-20,1.9775123405081437e-21,1.7228584696437027e-22,0.0,1.256734848022461,-0.4955403208732605
523.0,7.596713167865263,7.5,68.0,2.007853628706324e-20,2.28413795106411e-21,2.227296763842999e-22,0.0,1.2565371990203857,-0.5589086413383484
523.0,7.596713167865263,8.5,84.0,2.4891825954501148e-20,3.196455547377488e-21,3.370134209992358e-22,0.0,1.2552366256713867,-0.6940739750862122
523.0,7.596713167865263,9.5,92.0,2.737825655882739e-20,3.936923579535702e-21,4.60990302582414e-22,0.0,1.2544732093811035,-0.7327030301094055
523.0,7.596713167865263,10.5,100.0,2.989649484264571e-20,4.747866344390328e-21,6.511152273512528e-22,0.0,1.257299542427063,-0.5414721369743347
523.0,7.596713167865263,11.5,108.0,3.244595919458791e-20,5.618549443462774e-21,8.205097862667218e-22,0.0,1.2563543319702148,-0.6058211326599121
523.0,7.596713167865263,12.5,120.0,3.6246527760668024e-20,6.805004232860884e-21,1.060819024939624e-21,0.0,1.2552473545074463,-0.6581211090087891
523.0,7.596713167865263,13.5,124.0,3.767600895025903e-20,7.623871494411032e-21,1.276941585256604e-21,0.0,1.2547200918197632,-0.672245442867279
523.0,7.596713167865263,14.5,156.0,4.772199793626764e-20,1.039854129195795e-20,1.908711557477461e-21,0.0,1.2562994956970215,-0.6142997741699219
523.0,7.596713167865263,15.5,132.0,4.0659552484509765e-20,9.455886666960995e-21,1.8937718398327267e-21,0.0,1.258620023727417,-0.5529568791389465
523.0,7.596713167865263,16.5,172.0,5.336377361066276e-20,1.3166390110212328e-20,2.710063958220054e-21,0.0,1.2550747394561768,-0.6519231796264648
523.0,7.596713167865263,17.5,164.0,5.1298051589524966e-20,1.3428594772775824e-20,2.9179166078818084e-21,0.0,1.2539143562316895,-0.674950897693634
523.0,7.596713167865263,18.5,188.0,5.931237190000397e-20,1.6407082290711186e-20,3.773001495483879e-21,0.0,1.2536935806274414,-0.6732364892959595
523.0,7.596713167865263,19.5,180.0,5.731518954743443e-20,1.6725055706767806e-20,4.289582512885009e-21,0.0,1.2626962661743164,-0.5076378583908081
523.0,7.596713167865263,20.5,200.0,6.42473443591924e-20,1.9601571589233072e-20,4.987924575879782e-21,0.0,1.2537063360214233,-0.6684423089027405
523.0,7.596713167865263,21.5,204.0,6.618582273766482e-20,2.1144020891691643e-20,5.63125248975682e-21,0.0,1.2529420852661133,-0.6755266785621643
523.0,7.596713167865263,22.5,196.0,6.422234153270828e-20,2.138907126436918e-20,5.9549121420523e-21,0.0,1.253061056137085,-0.6686676740646362
523.0,7.596713167865263,23.5,228.0,7.553494760051445e-20,2.6257111061450087e-20,7.93806782120247e-21,0.0,1.2627787590026855,-0.5406655073165894
523.0,7.596713167865263,24.5,252.0,8.442949148032645e-20,3.050046250557618e-20,9.261021007557441e-21,0.0,1.2537791728973389,-0.6561395525932312
523.0,7.596713167865263,25.5,252.0,8.549800849894036e-20,3.214850192725024e-20,1.0187378890915158e-20,0.0,1.2539381980895996,-0.6516217589378357
523.0,7.596713167865263,26.5,244.0,8.381492859694222e-20,3.266904815074504e-20,1.0711956156272996e-20,0.0,1.2523961067199707,-0.6659324169158936
523.0,7.596713167865263,27.5,260.0,9.05321973951954e-20,3.661857384310237e-20,1.285832211287536e-20,0.0,1.2635103464126587,-0.5555466413497925
