snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,2.5928029240033856e-17,1.0954971671551107e-18,2.506100134492392e-20,0.0,2.26287579536438,1.464998483657837
520.0,7.641375389072152,2.5,28.0,6.050109511542681e-17,4.460980024044986e-18,1.210913793595079e-19,0.0,2.262834072113037,1.3097612857818604
520.0,7.641375389072152,3.5,36.0,7.779155219794925e-17,8.217066200996308e-18,3.6541734575917813e-19,0.0,2.2629899978637695,1.377135157585144
520.0,7.641375389072152,4.5,40.0,8.64404070990159e-17,1.161828361306452e-17,6.397979173910104e-19,0.0,2.263078212738037,1.3676315546035767
520.0,7.641375389072152,5.5,52.0,1.1238059920277673e-16,1.830328173083246e-17,1.3710157621180607e-18,0.0,2.2634689807891846,1.415116310119629
520.0,7.641375389072152,6.5,68.0,1.4696684702841133e-16,2.82969845072743e-17,1.924478886092332e-18,0.0,2.263007402420044,1.2973673343658447
520.0,7.641375389072152,7.5,68.0,1.4697476149251224e-16,3.252368055359273e-17,2.7299057922323225e-18,0.0,2.2632837295532227,1.3337681293487549
520.0,7.641375389072152,8.5,84.0,1.8156740176992066e-16,4.531777926862295e-17,4.880393034201677e-18,0.0,2.2640275955200195,1.391532063484192
520.0,7.641375389072152,9.5,92.0,1.9886491304870694e-16,5.5477994417533896e-17,6.89053865548444e-18,0.0,2.26458477973938,1.4048693180084229
520.0,7.641375389072152,10.5,100.0,2.161326193556617e-16,6.617963348723274e-17,7.542026820835131e-18,0.0,2.2637438774108887,1.3261010646820068
520.0,7.641375389072152,11.5,108.0,2.334068901679577e-16,7.77727356911203e-17,1.0308267326800298e-17,0.0,2.264432668685913,1.358151912689209
520.0,7.641375389072152,12.5,120.0,2.593093959230106e-16,9.347233711539878e-17,1.4068158248192585e-17,0.0,2.265209674835205,1.380321741104126
520.0,7.641375389072152,13.5,124.0,2.678945777692454e-16,1.0375544994570086e-16,1.6975919566170816e-17,0.0,2.2657837867736816,1.3861525058746338
520.0,7.641375389072152,14.5,156.0,3.3687765567768486e-16,1.3964989339636244e-16,2.3212154943673913e-17,0.0,2.2656283378601074,1.3641101121902466
520.0,7.641375389072152,15.5,132.0,2.8487695308698367e-16,1.2518820126823602e-16,2.0779006037975758e-17,0.0,2.2652266025543213,1.336902379989624
520.0,7.641375389072152,16.5,172.0,3.710555409785143e-16,1.7288206316492907e-16,3.3445242105945187e-17,0.0,2.2670555114746094,1.3815546035766602
520.0,7.641375389072152,17.5,164.0,3.5354549060441617e-16,1.7410378171545576e-16,3.627930206822835e-17,0.0,2.268026828765869,1.3909087181091309
520.0,7.641375389072152,18.5,188.0,4.048995894190071e-16,2.0962936408996082e-16,4.581685422604079e-17,0.0,2.268693447113037,1.391213297843933
520.0,7.641375389072152,19.5,180.0,3.869359264318747e-16,2.0819853574860758e-16,4.038715071183888e-17,0.0,2.266190767288208,1.318439245223999
520.0,7.641375389072152,20.5,200.0,4.296802000354217e-16,2.426921246079252e-16,5.76768446237831e-17,0.0,2.2700366973876953,1.3926146030426025
520.0,7.641375389072152,21.5,204.0,4.376030550564628e-16,2.574537473405742e-16,6.401574021124451e-17,0.0,2.2710113525390625,1.3961583375930786
520.0,7.641375389072152,22.5,196.0,4.1969942552946707e-16,2.5586309048165645e-16,6.546512342747505e-17,0.0,2.2717034816741943,1.3949147462844849
520.0,7.641375389072152,23.5,228.0,4.867194251733059e-16,3.0480905891947837e-16,7.135017196580071e-17,0.0,2.2694458961486816,1.3439898490905762
520.0,7.641375389072152,24.5,252.0,5.371354085290331e-16,3.503645437366636e-16,9.497605005226074e-17,0.0,2.273327350616455,1.3948359489440918
520.0,7.641375389072152,25.5,252.0,5.355723680435529e-16,3.6091346754264794e-16,1.0055306885873374e-16,0.0,2.2743053436279297,1.3949710130691528
520.0,7.641375389072152,26.5,244.0,5.170610453164614e-16,3.591280779164708e-16,1.0418096810376225e-16,0.0,2.2758069038391113,1.4017367362976074
520.0,7.641375389072152,27.5,260.0,5.483358840092543e-16,3.883148184647968e-16,1.042404464556908e-16,0.0,2.2738263607025146,1.3622153997421265
520.0,7.641375389072152,28.5,280.0,5.888290881461342e-16,4.299304753828508e-16,1.268863640704115e-16,0.0,2.2771928310394287,1.3939073085784912
520.0,7.641375389072152,29.5,300.0,6.285655212842016e-16,4.723293654259023e-16,1.4872950471094245e-16,0.0,2.2799980640411377,1.4122495651245117
520.0,7.641375389072152,30.5,284.0,5.922131965286519e-16,4.554524131490391e-16,1.4591099069255438e-16,0.0,2.2813611030578613,1.4132280349731445
520.0,7.641375389072152,31.5,292.0,6.045711425312962e-16,4.703878252482969e-16,1.372955974416873e-16,0.0,2.2791762351989746,1.374010443687439
