snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,2.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,3.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,5.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,6.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,7.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,8.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,9.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,10.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,11.5,108.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,12.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,13.5,124.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,14.5,156.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,15.5,132.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,16.5,172.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,17.5,164.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,18.5,188.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,19.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,20.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,21.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,22.5,196.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,23.5,228.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,24.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,25.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,26.5,244.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,27.5,260.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,28.5,280.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,29.5,300.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,30.5,284.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,31.5,292.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,32.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,33.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,34.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,35.5,348.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,36.5,352.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,37.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,38.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,39.5,340.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,1.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,2.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,3.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,5.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,6.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,7.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,8.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,9.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,10.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,11.5,108.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,12.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,13.5,124.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,14.5,156.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,15.5,132.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,16.5,172.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,17.5,164.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,18.5,188.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,19.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,20.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,21.5,204.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,22.5,196.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,23.5,228.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,24.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,25.5,252.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,26.5,244.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,27.5,260.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,28.5,280.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,29.5,300.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,30.5,284.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,31.5,292.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,32.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,33.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,34.5,324.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,35.5,348.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,36.5,352.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,37.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,38.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0
523.0,7.596713167865263,39.5,340.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566683618057125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,7.566683618057125,1.5,12.0,1.204345115826974e-19,4.49339511967065e-21,6.627798660442385e-23,0.0,-1.8693209886550903,2.2128641605377197
525.0,7.566683618057125,2.5,28.0,2.8121814381330136e-19,1.8328336657196756e-20,5.323636648900808e-22,0.0,-1.8691459894180298,2.6534266471862793
525.0,7.566683618057125,3.5,36.0,3.6197095318014884e-19,3.3824178053960546e-20,1.3106161811888186e-21,0.0,-1.8692693710327148,2.515772581100464
525.0,7.566683618057125,4.5,40.0,4.0273630077253443e-19,4.794759722349555e-20,2.377423194822268e-21,0.0,-1.8692407608032227,2.539412260055542
