snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,9.664369856642127e-19,4.540126672906587e-20,6.115149746777193e-22,0.0,3.135162591934204,3.1162970066070557
520.0,7.641375389072152,2.5,28.0,2.2576221846846e-18,1.8530034381055498e-19,7.245039550645145e-21,0.0,3.1351702213287354,3.131546974182129
520.0,7.641375389072152,3.5,36.0,2.907813029521188e-18,3.4209453714906908e-19,1.6376908455286307e-20,0.0,3.135164737701416,3.1279208660125732
520.0,7.641375389072152,4.5,40.0,3.237873189976025e-18,4.852757343371288e-19,3.0224609930404477e-20,0.0,3.1351661682128906,3.1285903453826904
520.0,7.641375389072152,5.5,52.0,4.2204359582843825e-18,7.665288928192457e-19,5.009186495678385e-20,0.0,3.135145664215088,3.124534845352173
520.0,7.641375389072152,6.5,68.0,5.537987022342015e-18,1.1950312964877052e-18,1.2359371606003946e-19,0.0,3.135195016860962,3.1320695877075195
520.0,7.641375389072152,7.5,68.0,5.559255076661672e-18,1.380847527583404e-18,1.540805565686381e-19,0.0,3.1351888179779053,3.1305742263793945
520.0,7.641375389072152,8.5,84.0,6.896707692667024e-18,1.931216712548164e-18,2.1149822552251228e-19,0.0,3.1351470947265625,3.12693190574646
520.0,7.641375389072152,9.5,92.0,7.591877724082101e-18,2.3786125997266823e-18,2.7996935967345584e-19,0.0,3.135122537612915,3.125739336013794
520.0,7.641375389072152,10.5,100.0,8.298862376186274e-18,2.878670061074438e-18,4.562571762231007e-19,0.0,3.1352133750915527,3.130998134613037
520.0,7.641375389072152,11.5,108.0,9.015217330269447e-18,3.4064630149243615e-18,5.519741618624044e-19,0.0,3.135183095932007,3.1293888092041016
520.0,7.641375389072152,12.5,120.0,1.0081740171522855e-17,4.1253520260928016e-18,6.874286736817344e-19,0.0,3.1351475715637207,3.12797212600708
520.0,7.641375389072152,13.5,124.0,1.0491521311078562e-17,4.6242032561911406e-18,8.191508512322709e-19,0.0,3.1351308822631836,3.1275699138641357
520.0,7.641375389072152,14.5,156.0,1.3309157384965904e-17,6.324668155917266e-18,1.2805475262159824e-18,0.0,3.1351816654205322,3.129169225692749
520.0,7.641375389072152,15.5,132.0,1.135828830620654e-17,5.7717210633684466e-18,1.3246387174171284e-18,0.0,3.1352553367614746,3.1307175159454346
520.0,7.641375389072152,16.5,172.0,1.4924573292471738e-17,8.018960724661668e-18,1.7728384972859056e-18,0.0,3.1351423263549805,3.1281468868255615
520.0,7.641375389072152,17.5,164.0,1.4368997434050496e-17,8.181028939924117e-18,1.877082822338956e-18,0.0,3.1351053714752197,3.127490520477295
520.0,7.641375389072152,18.5,188.0,1.664269029047093e-17,1.0008837553487037e-17,2.4342938396901482e-18,0.0,3.135098695755005,3.1275434494018555
520.0,7.641375389072152,19.5,180.0,1.6134971793569557e-17,1.0314810989084423e-17,3.1012696392366357e-18,0.0,3.1353840827941895,3.1317951679229736
520.0,7.641375389072152,20.5,200.0,1.8095793509459158e-17,1.1997767416721237e-17,3.2406637119131384e-18,0.0,3.135098934173584,3.1276776790618896
520.0,7.641375389072152,21.5,204.0,1.867759430202078e-17,1.2954732560156885e-17,3.643841570837692e-18,0.0,3.1350746154785156,3.127472162246704
520.0,7.641375389072152,22.5,196.0,1.8161104381903895e-17,1.3130274389086529e-17,3.881758815562789e-18,0.0,3.1350791454315186,3.1276755332946777
520.0,7.641375389072152,23.5,228.0,2.1455868986459786e-17,1.6321585410433566e-17,5.673188754883496e-18,0.0,3.1353862285614014,3.131019353866577
520.0,7.641375389072152,24.5,252.0,2.3993690538635752e-17,1.881844091381918e-17,6.1233696636937165e-18,0.0,3.1351027488708496,3.1280364990234375
520.0,7.641375389072152,25.5,252.0,2.4363630523987843e-17,1.988516352883535e-17,6.7721311557322906e-18,0.0,3.1351068019866943,3.12814998626709
520.0,7.641375389072152,26.5,244.0,2.3937175904824904e-17,2.0218944469854617e-17,7.054306736755316e-18,0.0,3.135057210922241,3.127737283706665
520.0,7.641375389072152,27.5,260.0,2.6021254149429807e-17,2.301408346105032e-17,9.201652357099108e-18,0.0,3.1354103088378906,3.13067364692688
520.0,7.641375389072152,28.5,280.0,2.8407476656381955e-17,2.5756809140681628e-17,9.998157497143756e-18,0.0,3.135183095932007,3.128847122192383
520.0,7.641375389072152,29.5,300.0,3.091434345567496e-17,2.8806863367844356e-17,1.1103359551553924e-17,0.0,3.135016918182373,3.127568244934082
520.0,7.641375389072152,30.5,284.0,2.980448544931051e-17,2.865410289923619e-17,1.145994527682066e-17,0.0,3.1350173950195312,3.127664804458618
520.0,7.641375389072152,31.5,292.0,3.147046029021681e-17,3.1652418732333925e-17,1.4488384359557142e-17,0.0,3.1354997158050537,3.130821943283081
520.0,7.641375389072152,32.5,316.0,3.4495003186625105e-17,3.52241178891391e-17,1.5382956850600302e-17,0.0,3.135143280029297,3.128574848175049
