snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.323181769898123,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.323181769898123,1.5,12.0,4.362190313447901e-18,1.2630051530638877e-18,5.781697365367493e-20,2.936217246348032e-19,1.293867852835583e-18,0.0,-1.6054208278656006,-0.6616501212120056,-1.5277501344680786,7.553504838142544e-05
600.0,6.323181769898123,2.5,28.0,1.0371526355518558e-17,5.1822688380008575e-18,5.685166013368167e-19,6.989718172302684e-19,2.8988079727262808e-18,0.0,-1.6055086851119995,-0.2997271418571472,1.5612409114837646,3.1409151554107666
600.0,6.323181769898123,3.5,36.0,1.3719690431698422e-17,9.613755042655637e-18,1.3401300599042545e-18,2.219894774741089e-19,9.251636302716417e-19,0.0,-1.6090500354766846,-0.39819031953811646,-0.9775279760360718,0.015981318429112434
600.0,6.323181769898123,4.5,40.0,1.5772959507208175e-17,1.3735021026950909e-17,2.474477020997614e-18,3.29402368222443e-19,2.0157123292151368e-19,0.0,-1.6117908954620361,-0.3802996277809143,0.6349170207977295,0.2523331642150879
600.0,6.323181769898123,5.5,52.0,2.1356604004230973e-17,2.180267121131477e-17,4.340988494315849e-18,2.3399430515046302e-18,5.174544661415856e-18,0.0,-1.6195571422576904,-0.4826825261116028,-1.2449512481689453,0.02415674738585949
600.0,6.323181769898123,6.5,68.0,2.948200743314549e-17,3.4649573378575156e-17,1.0018991063849379e-17,6.728266740192478e-18,9.403766909489303e-18,0.0,-1.6147148609161377,-0.28328925371170044,1.4080100059509277,3.1167616844177246
600.0,6.323181769898123,7.5,68.0,3.1243213923613794e-17,4.041966952354578e-17,1.2882258206331987e-17,5.293039172162195e-18,4.322311171191504e-18,0.0,-1.6220428943634033,-0.32034140825271606,1.174864649772644,3.0166468620300293
600.0,6.323181769898123,8.5,84.0,4.1013686030632945e-17,5.677331225936656e-17,1.8710724769259987e-17,4.29614304244299e-18,5.213211533870021e-18,0.0,-1.6365383863449097,-0.4104985296726227,-0.06250330060720444,0.186253622174263
600.0,6.323181769898123,9.5,92.0,4.8181897561397024e-17,7.060309542973836e-17,2.5616556985035235e-17,7.104893644103063e-18,7.969118006083584e-18,0.0,-1.6484681367874146,-0.43599894642829895,-0.2040071189403534,0.20573729276657104
600.0,6.323181769898123,10.5,100.0,5.668920862476605e-17,8.888471695250158e-17,3.994168091379313e-17,1.9694457239574866e-17,1.510349691658274e-17,0.0,-1.6370043754577637,-0.30759280920028687,1.1370583772659302,2.9976677894592285
600.0,6.323181769898123,11.5,108.0,6.555744505917156e-17,1.0731246838646637e-16,4.975732512052393e-17,2.041780047546759e-17,9.299975363327619e-18,0.0,-1.6484956741333008,-0.36179569363594055,0.8984914422035217,2.5488619804382324
600.0,6.323181769898123,12.5,120.0,7.783195169906634e-17,1.336115696348808e-16,6.358165616856013e-17,2.441508555602285e-17,9.656436656283753e-18,0.0,-1.6583755016326904,-0.4166615605354309,0.7210485935211182,1.8022968769073486
600.0,6.323181769898123,13.5,124.0,8.663977086153097e-17,1.5483871501825715e-16,7.744226697791445e-17,3.199265284224385e-17,1.4157657383620526e-17,0.0,-1.6667736768722534,-0.43848663568496704,0.7110243439674377,1.7673460245132446
600.0,6.323181769898123,14.5,156.0,1.2039128095253627e-16,2.2341299332296264e-16,1.223561507276744e-16,6.250898431543016e-17,3.272091256960388e-17,0.0,-1.666089415550232,-0.3977227807044983,0.9336932897567749,2.384711265563965
600.0,6.323181769898123,15.5,132.0,1.1334935343152943e-16,2.1610529414159705e-16,1.290521065350405e-16,7.791903987773799e-17,4.7935134779634895e-17,0.0,-1.6676344871520996,-0.3714403212070465,1.0159186124801636,2.4803106784820557
600.0,6.323181769898123,16.5,172.0,1.59793347834675e-16,3.0749057304738806e-16,1.8420060402822526e-16,1.0069218871106333e-16,5.63375490065137e-17,0.0,-1.6960819959640503,-0.45618897676467896,0.7800590395927429,2.0245635509490967
600.0,6.323181769898123,17.5,164.0,1.6828456196332374e-16,3.2749738076823527e-16,2.0469662224149254e-16,1.169689380121951e-16,6.98366848177991e-17,0.0,-1.7156435251235962,-0.49331068992614746,0.7016071081161499,1.8920681476593018
600.0,6.323181769898123,18.5,188.0,2.1305864414584725e-16,4.186299365301358e-16,2.738198386731301e-16,1.6526866628711178e-16,1.0193677710844298e-16,0.0,-1.725584626197815,-0.4986122250556946,0.7154688835144043,1.944913387298584
600.0,6.323181769898123,19.5,180.0,2.372812718082581e-16,4.742543403879119e-16,3.4287231669640097e-16,2.491352768481751e-16,1.7555324966913701e-16,0.0,-1.7000832557678223,-0.3890165686607361,0.9879618287086487,2.4138340950012207
600.0,6.323181769898123,20.5,200.0,2.801507474693211e-16,5.576412183192068e-16,3.9923409667762886e-16,2.7069550285650854e-16,1.8930492053948185e-16,0.0,-1.7435376644134521,-0.5096290111541748,0.720412015914917,1.9574519395828247
600.0,6.323181769898123,21.5,204.0,3.1645193261068023e-16,6.324675140604573e-16,4.693028019645738e-16,3.3190831994983935e-16,2.4170578800849058e-16,0.0,-1.7523232698440552,-0.5159382224082947,0.7206987142562866,1.966686487197876
600.0,6.323181769898123,22.5,196.0,3.3316818076430305e-16,6.683644352340381e-16,5.110192903368495e-16,3.74045334019055e-16,2.788696027647999e-16,0.0,-1.754123568534851,-0.5055127143859863,0.7535444498062134,2.0289230346679688
600.0,6.323181769898123,23.5,228.0,4.3297841398313194e-16,8.751413810435987e-16,6.997884341884295e-16,5.475740437938629e-16,4.167952223863625e-16,0.0,-1.732643961906433,-0.43378689885139465,0.899878978729248,2.2510077953338623
600.0,6.323181769898123,24.5,252.0,4.786184020657658e-16,9.66377325227563e-16,7.653369520314502e-16,5.802703710294694e-16,4.430076353664039e-16,0.0,-1.757288932800293,-0.4994215667247772,0.7723666429519653,2.0600056648254395
600.0,6.323181769898123,25.5,252.0,4.88346204888067e-16,9.899772924985758e-16,7.935204972036193e-16,6.102076143655413e-16,4.724957607946158e-16,0.0,-1.7591991424560547,-0.502687394618988,0.7662368416786194,2.0462520122528076
600.0,6.323181769898123,26.5,244.0,4.658049640957355e-16,9.4748188347941e-16,7.604684419946219e-16,5.831267733722007e-16,4.511273079207536e-16,0.0,-1.7625371217727661,-0.5146963596343994,0.7408148646354675,2.0040249824523926
600.0,6.323181769898123,27.5,260.0,5.062746101287699e-16,1.0374031810512318e-15,8.486892937316891e-16,6.691093875170217e-16,5.093085645011476e-16,0.0,-1.7339292764663696,-0.44099903106689453,0.8813847303390503,2.2218403816223145
600.0,6.323181769898123,28.5,280.0,5.308181838688513e-16,1.0890271551956797e-15,8.867238065554967e-16,6.896670678460674e-16,5.315600142639041e-16,0.0,-1.7525359392166138,-0.492211252450943,0.7821534872055054,2.064988136291504
600.0,6.323181769898123,29.5,300.0,5.511953084205072e-16,1.1343081169586517e-15,9.217885584456908e-16,7.116269592112575e-16,5.52944980688406e-16,0.0,-1.7590088844299316,-0.5136798024177551,0.7394101619720459,2.0036656856536865
600.0,6.323181769898123,30.5,284.0,5.165381083506503e-16,1.0676076254603783e-15,8.747425888970449e-16,6.828785266471582e-16,5.367541798339714e-16,0.0,-1.7578155994415283,-0.5126122236251831,0.7399899363517761,2.000559091567993
600.0,6.323181769898123,31.5,292.0,5.360742350648011e-16,1.116450242521571e-15,9.325065781357005e-16,7.493581546447637e-16,5.791250613200051e-16,0.0,-1.7284098863601685,-0.4399334192276001,0.8733230233192444,2.1986961364746094
600.0,6.323181769898123,32.5,316.0,5.418307239139005e-16,1.1312728259139465e-15,9.327999714781947e-16,7.313415704179976e-16,5.688952005563206e-16,0.0,-1.7416059970855713,-0.4822860360145569,0.7929748296737671,2.0832560062408447
