snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,phase0,phase1,phase2
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,4.682717269041853e-20,2.6787889248404116e-21,5.814958853605513e-23,0.0,2.330418825149536,1.3929740190505981
520.0,7.641375389072152,2.5,28.0,1.0926329523850097e-19,1.0909413672791669e-20,2.949351059198117e-22,0.0,2.330409288406372,1.1457278728485107
520.0,7.641375389072152,3.5,36.0,1.4048063919185475e-19,2.0097782724052208e-20,8.680634719145847e-22,0.0,2.330545425415039,1.2494696378707886
520.0,7.641375389072152,4.5,40.0,1.5608714628177222e-19,2.842159666342581e-20,1.5252408856767849e-21,0.0,2.3306407928466797,1.2338331937789917
520.0,7.641375389072152,5.5,52.0,2.0290843823502338e-19,4.4784064986499786e-20,3.2211345514930667e-21,0.0,2.33095383644104,1.3094096183776855
520.0,7.641375389072152,6.5,68.0,2.653188277112372e-19,6.925776356701865e-20,4.722188817867904e-21,0.0,2.3306925296783447,1.123575210571289
520.0,7.641375389072152,7.5,68.0,2.6529256472678863e-19,7.962691341367596e-20,6.6020234892594005e-21,0.0,2.3309459686279297,1.1776478290557861
520.0,7.641375389072152,8.5,84.0,3.276784231279614e-19,1.1098592704866178e-19,1.1564467636342864e-20,0.0,2.331529378890991,1.268035650253296
520.0,7.641375389072152,9.5,92.0,3.588206875160289e-19,1.3592267855691665e-19,1.6268857150127425e-20,0.0,2.331997871398926,1.2885910272598267
520.0,7.641375389072152,10.5,100.0,3.898643106160495e-19,1.622241101549197e-19,1.835006506058774e-20,0.0,2.3315138816833496,1.1607130765914917
520.0,7.641375389072152,11.5,108.0,4.2091103564336713e-19,1.9072837866427303e-19,2.4780936510464868e-20,0.0,2.3320870399475098,1.2092750072479248
520.0,7.641375389072152,12.5,120.0,4.674790035340239e-19,2.293449484483101e-19,3.3572380666353054e-20,0.0,2.3327322006225586,1.2431869506835938
520.0,7.641375389072152,13.5,124.0,4.8278246525171435e-19,2.5471882467247746e-19,4.046754552370304e-20,0.0,2.3332486152648926,1.2507290840148926
520.0,7.641375389072152,14.5,156.0,6.06797518588727e-19,3.430773544917881e-19,5.587785494467327e-20,0.0,2.3332860469818115,1.2117249965667725
