snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,phase0,phase1,phase2,phase3
520.0,7.641375389072152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.0,7.641375389072152,1.5,12.0,7.891293514635227e-16,2.3085624632367043e-15,2.4363850289332986e-15,2.286577511332482e-15,0.0,2.8253633975982666,-0.6142361164093018,2.1337480545043945
520.0,7.641375389072152,2.5,28.0,1.08911094017308e-15,9.047927194976121e-17,1.0872775638285276e-16,5.405599164126679e-17,0.0,-0.4685428738594055,-0.25142812728881836,-0.8598750829696655
520.0,7.641375389072152,3.5,36.0,1.349258051680925e-15,2.0514821668632914e-16,2.92887317199388e-16,3.1469113640179576e-16,0.0,-0.6642600893974304,-0.35336601734161377,-1.3266525268554688
520.0,7.641375389072152,4.5,40.0,1.826452273725001e-15,2.352738831326042e-16,2.3705122295373973e-16,2.133526439878833e-16,0.0,2.4849419593811035,1.6997888088226318,1.095072865486145
520.0,7.641375389072152,5.5,52.0,2.3785104440209644e-15,2.745568360065353e-16,2.672974724809903e-16,2.486534832185351e-16,0.0,2.4659297466278076,1.765275239944458,1.114567756652832
520.0,7.641375389072152,6.5,68.0,2.963052751360604e-15,5.109217703670969e-17,4.652615990775168e-17,3.8316633864901746e-17,0.0,2.4454686641693115,1.6850072145462036,1.0690325498580933
520.0,7.641375389072152,7.5,68.0,2.950711269560872e-15,2.000176487893037e-17,1.7195410721417638e-17,1.2579919092842217e-17,0.0,2.4603638648986816,1.7285361289978027,1.1805343627929688
520.0,7.641375389072152,8.5,84.0,3.64062553433013e-15,1.2082778581614172e-17,1.0282670614118111e-17,7.51331707258549e-18,0.0,2.4240853786468506,1.6491897106170654,1.0132033824920654
520.0,7.641375389072152,9.5,92.0,3.9852917108973776e-15,6.34028356052761e-18,4.930444782708049e-18,3.3349963948037857e-18,0.0,2.4290168285369873,1.6222237348556519,0.9894382953643799
520.0,7.641375389072152,10.5,100.0,4.331147968755517e-15,3.63542735930728e-18,2.2760741026088206e-18,1.1319573771997221e-18,0.0,2.4582481384277344,1.5905938148498535,1.0549471378326416
520.0,7.641375389072152,11.5,108.0,4.677648395170044e-15,2.6703691803266162e-18,1.5519752904260792e-18,8.74011029342411e-19,0.0,2.4887137413024902,1.5675653219223022,0.9476185441017151
520.0,7.641375389072152,12.5,120.0,5.1974513390763265e-15,2.076858198628234e-18,1.0406280555750126e-18,7.12425639378393e-19,0.0,2.541938304901123,1.5125938653945923,0.7690338492393494
520.0,7.641375389072152,13.5,124.0,5.3707826556882894e-15,1.5650402980086246e-18,6.00188655687158e-19,5.10760298507672e-19,0.0,2.6157491207122803,1.4215660095214844,0.582280158996582
520.0,7.641375389072152,14.5,156.0,6.75689108749775e-15,1.4883461795642393e-18,3.8724920495885723e-19,4.024296235604304e-19,0.0,2.6874032020568848,1.229015827178955,0.36556655168533325
520.0,7.641375389072152,15.5,132.0,5.717436818582743e-15,1.0111811495511608e-18,1.9611459706897223e-19,2.236124329251018e-19,0.0,2.7309720516204834,0.9153090715408325,0.21108806133270264
520.0,7.641375389072152,16.5,172.0,7.450093534168249e-15,1.1537318728494149e-18,1.7762151398458025e-19,3.731035117554055e-19,0.0,2.775073528289795,0.6766217947006226,0.17567755281925201
520.0,7.641375389072152,17.5,164.0,7.1036341888516645e-15,9.567975397934026e-19,1.3155070749146197e-19,3.073712683367553e-19,0.0,2.777627944946289,0.44322147965431213,0.13490454852581024
520.0,7.641375389072152,18.5,188.0,8.143233300400652e-15,9.79307399007655e-19,1.2956900246363512e-19,2.8085901818048263e-19,0.0,2.7509727478027344,0.38640096783638,0.09985702484846115
520.0,7.641375389072152,19.5,180.0,7.796728215304916e-15,8.3842458201703755e-19,1.202085232544085e-19,9.216881947357132e-20,0.0,2.6851963996887207,0.3956314027309418,-0.5209838151931763
520.0,7.641375389072152,20.5,200.0,8.66308113705314e-15,9.02264520537502e-19,1.2456645968815877e-19,2.1142338376185596e-19,0.0,2.67122745513916,0.6258172988891602,0.13649475574493408
520.0,7.641375389072152,21.5,204.0,8.836368831468319e-15,8.805231121123113e-19,1.3089854020194926e-19,1.799939326048677e-19,0.0,2.625544548034668,0.7979636788368225,0.17139722406864166
520.0,7.641375389072152,22.5,196.0,8.48986459340553e-15,8.227079952821652e-19,1.3372829922809903e-19,1.3967704615145655e-19,0.0,2.5855047702789307,0.9218834042549133,0.18920442461967468
520.0,7.641375389072152,23.5,228.0,9.875981495544462e-15,9.31673479650753e-19,1.5842315603041025e-19,5.1775260485959904e-20,0.0,2.543668746948242,0.9037938714027405,-0.8175635933876038
520.0,7.641375389072152,24.5,252.0,1.0915589077422922e-14,1.0342716895554254e-18,1.9947543189777518e-19,1.3625768829431548e-19,0.0,2.5236902236938477,1.0865716934204102,0.2615751326084137
